nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_logFC GRN_P.Value GRN_eigenvalue GRN_Page_Rank GRN_size GRN_nes GRN_pval fPPI_Mutations_of_interest_vs_Group_control_diff fPPI_Mutations_of_interest_vs_Group_control_p.val Metabo_mean.diff Metabo_pvalue
1 (11Z,14Z)-eicosadienoic_acid[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
2 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
3 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[r] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
4 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
5 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[r] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
6 (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
7 (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[r] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
8 (6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
9 (6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[r] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
10 (6Z,9Z)-octadecadienoic_acid[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
11 (6Z,9Z)-octadecadienoylcarnitine[c] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
12 (6Z,9Z)-octadecadienoylcarnitine[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
13 (9E)-tetradecenoic_acid[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
14 1-alkyl-2-lysoglycerol-3-phosphocholine[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
15 1-organyl-2-lyso-sn-glycero-3-phosphocholine[e] 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
16 frag_10075 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
17 frag_10076 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
18 frag_10086 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
19 frag_10088 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
20 frag_10089 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
21 frag_10091 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
22 frag_10093 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
23 frag_10097 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
