tf	target
AR	ABCE1
AR	ACAD10
AR	ACP3
AR	AHSG
AR	AKR1B1
AR	AKR1C3
AR	AKT1
AR	ALPG
AR	ANAPC10
AR	AP2M1
AR	APPBP2
AR	ATF6
AR	ATM
AR	ATP2B4
AR	BABAM2
AR	BANF1
AR	BTD
AR	C1orf21
AR	CCNG2
AR	CD4
AR	CDC6
AR	CDH2
AR	CDKL5
AR	CDKN1A
AR	CITED2
AR	COASY
AR	CPT2
AR	CRISP1
AR	CYCS
AR	DBI
AR	DDC
AR	DDT
AR	DHX15
AR	EEF1AKMT3
AR	EGFR
AR	EIF3I
AR	ELF3
AR	ERBB3
AR	ESRRA
AR	EYA2
AR	FAM13A
AR	FAM174B
AR	FKBP5
AR	FOXA1
AR	FXYD3
AR	GLRX
AR	GNL1
AR	GRB10
AR	GTF2F1
AR	H2BC21
AR	HES1
AR	HK2
AR	HLA-E
AR	HNRNPA1
AR	HSD17B11
AR	IFI35
AR	IGF1R
AR	IGFBP3
AR	IGHG1
AR	IL1R1
AR	JUN
AR	KCNH2
AR	KIAA1217
AR	KLF5
AR	KLK2
AR	KLK3
AR	KLK4
AR	KRT18
AR	KRT8
AR	LIFR
AR	LOC440157
AR	MED1
AR	MMP13
AR	MRPS27
AR	MT2A
AR	MUC1
AR	MYC
AR	NCOA2
AR	NDRG1
AR	NKX3-1
AR	NLGN4X
AR	NME7
AR	NPAT
AR	NPEPPS
AR	NUP214
AR	ORM1
AR	ORM2
AR	PEX6
AR	PGC
AR	PIGR
AR	PIN1
AR	PMAIP1
AR	PMEPA1
AR	PNPLA4
AR	PNRC1
AR	PPP2R5D
AR	PRAME
AR	PRKCD
AR	PRPS1
AR	PTGS2
AR	PTPN9
AR	PTPRM
AR	QSOX1
AR	RBMX
AR	RBPMS
AR	RELA
AR	RNASE4
AR	SCAP
AR	SCNN1A
AR	SDF2
AR	SERPINB5
AR	SERPINI1
AR	SLC25A11
AR	SMARCA2
AR	SMS
AR	SNAI2
AR	SORD
AR	SOX4
AR	SPDEF
AR	STK39
AR	STXBP2
AR	SUOX
AR	SUSD6
AR	TESK1
AR	THRA
AR	TMPRSS2
AR	TNFRSF1A
AR	TRPS1
AR	UBC
AR	UBE2D3
AR	UGT2B15
AR	VAPA
AR	VEGFA
AR	XPA
AR	ZBTB16
AR	ZCCHC9
AR	ZFHX4
AR	ZNF559
ARNTL	AVP
ARNTL	BHLHE40
ARNTL	CRY1
ARNTL	CRY2
ARNTL	DBP
ARNTL	NR1D1
ARNTL	NR1D2
ARNTL	PER1
ARNTL	PER2
ARNTL	PER3
ATF1	BCL2
ATF1	CCNA1
ATF1	CFTR
ATF1	CGA
ATF1	CIITA
ATF1	CYP11B1
ATF1	CYP11B2
ATF1	ERBB2
ATF1	FLT1
ATF1	IL10
ATF1	LDHA
ATF1	MAP1LC3B
ATF1	NTS
ATF1	PCSK1
ATF1	PLAUR
ATF1	SLC20A1
ATF1	TGFB2
ATF1	TH
ATF1	TOP2A
ATF1	UGT8
ATF2	APOC3
ATF2	ATF3
ATF2	CCND1
ATF2	CDKN1A
ATF2	CYP11B1
ATF2	CYP11B2
ATF2	DUSP1
ATF2	FN1
ATF2	FOS
ATF2	IFNB1
ATF2	IFNG
ATF2	IMPDH2
ATF2	INS
ATF2	JUN
ATF2	MMP2
ATF2	NOS3
ATF2	NR4A2
ATF2	PCK1
ATF2	PCK2
ATF2	PLAT
ATF2	PTGS2
ATF2	RB1
ATF2	TGFB2
ATF2	TNF
ATF4	ASNS
ATF4	ATF3
ATF4	CEBPB
ATF4	CHAC1
ATF4	CXCL8
ATF4	DDIT3
ATF4	DDIT4
ATF4	DDR2
ATF4	DISC1
ATF4	FGF21
ATF4	HRK
ATF4	MCL1
ATF4	NUPR1
ATF4	PTGS2
ATF4	TRIB3
ATF4	VEGFA
ATF6	ATP2A2
ATF6	CALR
ATF6	DDIT3
ATF6	DNAJC3
ATF6	HSP90B1
ATF6	HSPA5
ATF6	RTN3
ATF6	SEL1L
ATF6	SRF
ATF6	XBP1
CDX2	ABCB1
CDX2	AXIN2
CDX2	CDH17
CDX2	CFTR
CDX2	DSC2
CDX2	GUCY2C
CDX2	KLF4
CDX2	LCT
CDX2	MEP1A
CDX2	MUC2
CDX2	REG4
CDX2	SI
CDX2	SLC15A1
CDX2	SLC9A2
CDX2	SLC9A3
CDX2	UGT1A10
CDX2	UGT1A8
CEBPA	ABCB1
CEBPA	ABCC1
CEBPA	ACACA
CEBPA	ACACB
CEBPA	ACE
CEBPA	ADH1B
CEBPA	AEBP1
