FAM38B	OR4M2
DEFA1B	DEFA4
DEFA1B	COL3A1
DEFA1B	SLTM
DEFA1B	CHIT1
DEFA1B	G0S2
DEFA1B	CACNA1E
DEFA1B	S100A14
DEFA1B	CAMP
DEFA1B	MMP9
DEFA1B	GUCY2C
DEFA1B	TMEM132D
DEFA1B	GPR119
DEFA1B	NCKAP5L
DEFA1B	NPLOC4
ANKRD20A4	CHST3
HIST2H3C	HIST2H4A
HIST2H3C	HIST2H2AA3
HIST2H3C	CENPM
HIST2H3C	HIST1H3B
HIST2H3C	PKMYT1
HIST2H3C	TRPC1
XKR4	KDM5D
XKR4	EIF1B
XKR4	UXS1
XKR4	CYP11B1
XKR4	UST
XKR4	CYP11A1
XKR4	RPS4Y2
XKR4	ZFYVE1
XKR4	PRKY
XKR4	DDX3Y
XKR4	TMTC2
XKR4	BCOR
XKR4	NLGN4Y
XKR4	RPS5
XKR4	TTTY17B
HIST2H4A	HIST2H2AA3
HIST2H4A	SNORD8
HIST2H4A	CENPM
HIST2H4A	NGEF
HIST2H4A	KBTBD11
KDM5D	
KDM5D	UXS1
KDM5D	CYP11B1
KDM5D	UST
KDM5D	CYP11A1
KDM5D	RPS4Y2
KDM5D	ZFYVE1
KDM5D	PRKY
KDM5D	DDX3Y
KDM5D	TMTC2
KDM5D	BCOR
KDM5D	NLGN4Y
KDM5D	RPS5
KDM5D	TTTY17B
EIF1B	UXS1
EIF1B	CYP11B1
EIF1B	UST
EIF1B	CYP11A1
EIF1B	RPS4Y2
EIF1B	ZFYVE1
EIF1B	PRKY
EIF1B	DDX3Y
EIF1B	TMTC2
EIF1B	BCOR
EIF1B	NLGN4Y
EIF1B	RPS5
EIF1B	TTTY17B
CTAGE4	OR2A12
CTAGE4	THOC4
CTAGE4	GPR151
CTAGE4	ARHGEF38
CTAGE4	ST6GALNAC2
CTAGE4	HOOK1
CTAGE4	OR2A7
CTAGE4	C10orf35
CTAGE4	ANKRD35
CTAGE4	ASTN2
CTAGE4	POU5F1
CTAGE4	NCRNA00092
CTAGE4	LOC100233209
CTAGE4	TRIM36
CTAGE4	PLEKHO1
UXS1	
UXS1	UST
UXS1	CYP11A1
UXS1	RPS4Y2
UXS1	ZFYVE1
UXS1	PRKY
UXS1	DDX3Y
UXS1	TMTC2
UXS1	BCOR
UXS1	NLGN4Y
UXS1	RPS5
UXS1	TTTY17B
CYP11B1	UST
CYP11B1	CYP11A1
CYP11B1	RPS4Y2
CYP11B1	ZFYVE1
CYP11B1	PRKY
CYP11B1	DDX3Y
