tf	target	mor	likelihood	state
ADNP2	MAPK11	-0.0459362658202068	1	inhibition
AHCTF1	IGFL4	0.834581238582362	1	activation
AKAP8L	WAS	0.963254622720218	1	activation
AR	MSX2P1	0.640551091887569	1	activation
AR	HMBOX1	0.970415764574515	1	activation
AR	TCP11L1	0.820156320469741	1	activation
AR	A1BG	0.513336224289067	1	activation
ARID5B	CREM	0.122840005298535	1	activation
ARNTL2	SLC10A5	-0.205980489135887	1	inhibition
ARNTL2	TNFAIP1	0.809408716828072	1	activation
ARNTL2	HAVCR1	0.558744985296198	1	activation
ARNTL2	ASPHD2	0.923312356999329	1	activation
ARNTL2	ASMTL	-0.359181153321533	1	inhibition
ARNTL2	KIFC2	-0.0623224111129718	1	inhibition
ARNTL2	TMUB2	0.567441793107402	1	activation
ASCL3	ATP6V1B2	-0.0902268527582801	1	inhibition
ASCL3	ARFRP1	0.878302814473659	1	activation
ASCL3	ATP13A1	0.938851411825358	1	activation
ASCL3	ATP6AP1	0.934517159457201	1	activation
ASCL3	PRDM1	0.934517159457201	1	activation
ASCL3	ATP2A3	0.875067829762404	1	activation
ASCL3	ADCY10	0.457388219568232	1	activation
ASCL3	ASAP1	0.95531134223879	1	activation
ATMIN	PIP4K2A	-0.613231003110865	1	inhibition
BATF	B3GNT8	-0.162958459389104	1	inhibition
BATF2	BAZ2A	0.822769779984565	1	activation
BATF2	B3GNT8	0.253521611173298	1	activation
BAZ2A	BBS10	0.786491930398697	1	activation
BAZ2A	BANK1	0.284059359888609	1	activation
BAZ2A	BAZ1B	0.954782466793987	1	activation
BAZ2A	C12orf57	0.881467267754559	1	activation
BAZ2A	CAMK2D	-0.0317824991949728	1	inhibition
BAZ2A	EIF3F	0.235791839929701	1	activation
BAZ2A	B3GNT8	0.637833528240144	1	activation
BAZ2A	TBCCD1	0.0996618026786215	1	activation
BAZ2A	BLOC1S2	0.0826275841593637	1	activation
BAZ2A	AURKAIP1	-0.973241448238275	1	inhibition
BAZ2A	ATP8B1	0.838647438534963	1	activation
BAZ2A	ATP8B4	0.325686913023175	1	activation
BAZ2A	BAK1	0.886386046237789	1	activation
BAZ2A	CTSB	-0.995902711161081	1	inhibition
BAZ2A	XRN2	-0.217823988185353	1	inhibition
BAZ2A	GLIPR1L1	0.77328436401051	1	activation
BAZ2B	TTC21B	0.960530858581529	1	activation
BBX	BBS9	0.997130522729966	1	activation
BBX	BBS5	0.228297216207547	1	activation
BBX	UBA2	-0.0340732114844112	1	inhibition
BBX	ARHGAP24	-0.0691796507612948	1	inhibition
BBX	CREB3L3	0.564547277883764	1	activation
BBX	SCARNA5	-0.608204423202919	1	inhibition
BBX	MAGI1	0.359109214305861	1	activation
BCL6	TPM2	0.134551231932653	1	activation
BCL6B	NOP16	-0.971210270707992	1	inhibition
BCL6B	AFAP1L2	-0.822499449723975	1	inhibition
BCL6B	COMMD5	0.649991461021882	1	activation
BCL6B	ABCE1	-0.99238345063516	1	inhibition
BHLHE41	MBTPS2	0.656664507007961	1	activation
BHLHE41	MATR3	0.301346667431902	1	activation
BHLHE41	WDR49	0.968569200065507	1	activation
BHLHE41	FERMT1	0.959341828520235	1	activation
BHLHE41	AATK	0.140364404337792	1	activation
BHLHE41	MRAP	0.614394675263138	1	activation
BHLHE41	VWDE	-0.0638504468656974	1	inhibition
BHLHE41	XPO7	0.845767420008908	1	activation
BHLHE41	ARMCX6	-0.112151008928162	1	inhibition
BPTF	CKM	0.974754371261147	1	activation
CBX2	KCNN4	0.966615857830891	1	activation
CEBPE	KY	-0.0608261366376953	1	inhibition
CEBPE	MST1	-0.740655669564087	1	inhibition
CENPA	SERPINF2	-0.378371149010849	1	inhibition
CHCHD3	BCL2L1	0.573216639912132	1	activation
CHCHD3	ABCA13	0.96076477590165	1	activation
CPEB1	RASGRF2	0.463255831716274	1	activation
CREB1	CPNE1	0.732677611832625	1	activation
CREM	ADM2	-0.223224947054145	1	inhibition
CREM	ARID5B	0.122840005298535	1	activation
CREM	CEP97	0.659316842290904	1	activation
CREM	CPSF1	0.984660159214198	1	activation
CREM	CPSF6	-0.199587230098075	1	inhibition
CREM	DNHD1	-0.0343697696953792	1	inhibition
CREM	CA2	-0.926922995052155	1	inhibition
CREM	GATA1	-0.836543968945439	1	inhibition
CUX2	MAPK11	0.150233924574258	1	activation
DDIT3	OR56B1	-0.686077712230828	1	inhibition
DNMT1	TULP3	0.168159544092114	1	activation
DNMT1	SLC12A6	-0.0670037839313707	1	inhibition
DPF1	KIF5B	0.142595164094225	1	activation
DPF1	DNAJC18	0.821901877193222	1	activation
DPF1	PRR3	0.249011726127075	1	activation
DPF1	NPR2	0.661959341121998	1	activation
DPF1	PARD6B	-0.522619049135489	1	inhibition
DPF1	GTSF1	-0.065938090346091	1	inhibition
DPF1	FAM131B	-0.691996874200129	1	inhibition
E2F5	FCER1A	-0.0436726364691198	1	inhibition
E2F6	AGR2	0.418136205688802	1	activation
E2F6	ZNF107	0.849613438768324	1	activation
ELF1	ANGPTL4	0.990328580975096	1	activation
EOMES	RASGRF2	0.639193415666534	1	activation
EOMES	SLAMF1	0.491223615604026	1	activation
EPAS1	RNF157	0.988778267445639	1	activation
EPAS1	CYB5R2	0.946440262548349	1	activation
EPAS1	DPP3	0.590414693854308	1	activation
EPAS1	MYO3B	0.907946158048629	1	activation
EPAS1	HIC2	-0.995596723350925	1	inhibition
EPAS1	SNORD116-27	0.852634514850228	1	activation
EPAS1	C3orf62	-0.747135452937363	1	inhibition
EPAS1	CNTNAP1	0.147909323010344	1	activation
EPAS1	NECAB1	-0.0491158228331457	1	inhibition
EPAS1	YWHAG	0.830435257963566	1	activation
EPAS1	INTS5	0.752983532910871	1	activation
EPAS1	RXFP2	0.203831963525393	1	activation
EPAS1	SLC2A4RG	0.372871350792807	1	activation
EPAS1	PSMD14	0.42534722021384	1	activation
EPAS1	STMN3	0.141848477245232	1	activation
ERF	CPNE1	0.815735402993542	1	activation
ERF	FUT2	0.966816151880137	1	activation
ESR2	APOBEC3D	0.982600759520868	1	activation
ESR2	EMP3	0.486800987725245	1	activation
ESR2	TRAM1	-0.96503170904695	1	inhibition
ESR2	GAS5	-0.348854431334306	1	inhibition
ESR2	TULP3	0.138892692514215	1	activation
ESR2	TXLNA	-0.773042282380755	1	inhibition
ESR2	FCER1G	0.297594527687156	1	activation
ESR2	DPEP2	-0.552937518925359	1	inhibition
ESR2	ELAC1	-0.0411574645582736	1	inhibition
ESR2	SLC35F3	-0.199587230098075	1	inhibition
ESRRA	MKRN3	-0.038772277752971	1	inhibition
ETV2	TAS2R19	0.457388219568232	1	activation
ETV3	TRDMT1	-0.0349698641702024	1	inhibition
ETV3	ROBO3	0.813043635375303	1	activation
ETV3	CLASP2	0.290167833729556	1	activation
ETV3	FAM199X	0.151799469197652	1	activation
ETV3	KCNN3	0.818397741219327	1	activation
ETV3	SLC16A13	0.946129003782262	1	activation
ETV4	RHPN2	0.661959341121998	1	activation
ETV4	TIGD3	-0.725980801404921	1	inhibition
ETV4	RNF138	-0.390735000688955	1	inhibition
ETV4	HNRNPH2	0.0985509074806833	1	activation
ETV4	SLC27A5	0.266185644758299	1	activation
ETV4	MUL1	0.151799469197652	1	activation
ETV4	ZNF22	0.759521387329197	1	activation
ETV4	TEX9	0.154968689299296	1	activation
ETV4	WASL	0.251260265686392	1	activation
FLI1	FLNB	0.320482232544859	1	activation
FLI1	B4GALT5	0.189514895283374	1	activation
FLYWCH1	ZNF223	0.60879739541635	1	activation
FOXD2	SPDYE1	0.131017011692357	1	activation
FOXE1	SLC12A8	0.906933677842503	1	activation
FOXE1	MAST1	-0.844503716153199	1	inhibition
FOXE1	FOXO3B	-0.644329762404379	1	inhibition
FOXE1	KIAA1586	-0.0343697696953792	1	inhibition
FOXE1	POLR2H	-0.153295367931837	1	inhibition
FOXH1	CUL3	0.964550245695622	1	activation
FOXH1	TRAF4	0.768056374219141	1	activation
FOXH1	RHBDL2	0.987801215929798	1	activation
FOXH1	DNPEP	0.789460588341302	1	activation
FOXH1	FOXP4	0.815735402993542	1	activation
FOXH1	RASSF4	-0.23148263932638	1	inhibition
FOXI1	LSM12	0.539781815723607	1	activation
FOXI1	FKBP1B	-0.524415681972513	1	inhibition
FOXI1	FARS2	0.963907821542381	1	activation
FOXI1	CDK5	0.836217260932257	1	activation
FOXI1	SGMS1	0.904359944044137	1	activation
FOXI1	FPR3	0.796271754427102	1	activation
FOXI1	FOXO3B	-0.905379333433582	1	inhibition
FOXI1	TLL2	-0.23148263932638	1	inhibition
FOXI1	BBS12	0.472073719317239	1	activation
FOXM1	AGPS	0.140364404337792	1	activation
FOXM1	FOXO3B	0.734984471211856	1	activation
FOXM1	BTBD8	-0.599761713990458	1	inhibition
FOXM1	RPL3	0.920256924596291	1	activation
FOXM1	ZNF772	0.548552318093078	1	activation
FOXM1	ZNF525	0.486800987725245	1	activation
FOXM1	MCTP2	-0.0702901185301567	1	inhibition
FOXM1	ENTPD6	-0.0754776845589353	1	inhibition
FOXM1	GFRA2	0.920256924596291	1	activation
FOXM1	GLRX5	0.228297216207547	1	activation
FOXM1	ADIPOR1	0.514809107229855	1	activation
FOXM1	STK11IP	-0.997970555346634	1	inhibition
FOXO1	PRR15	-0.64752472194462	1	inhibition
FOXO1	TRAF3IP3	-0.631396361801342	1	inhibition
FOXO1	ART1	-0.101081031575408	1	inhibition
FOXO1	MUSTN1	0.954515877556439	1	activation
FOXO1	CBL	-0.422949597146002	1	inhibition
FOXP2	SRBD1	-0.86788812755446	1	inhibition
FOXP2	SNORD24	-0.227330482675665	1	inhibition
FOXP2	PRR12	-0.14207103049382	1	inhibition
FOXP2	FZD7	-0.913320592259965	1	inhibition
FOXP4	FOXH1	0.815735402993542	1	activation
