tf	target	mor	likelihood	state
ATF3	GPATCH2	-3.56483245835206e-05	1	inhibition
BATF	B3GNT8	-0.000503269881015203	1	inhibition
BCLAF1	NACA	-0.00557295621678737	1	inhibition
BRF1	CRHBP	0.998208682398251	1	activation
CBX2	KCNN4	0.946428740880068	1	activation
CBX3	ZNF562	0.353512880273408	1	activation
CHD1	HCRTR1	0.288667013973855	1	activation
CHD7	FAM161A	-0.920646027214044	1	inhibition
CREB1	CPNE1	0.67176579498318	1	activation
E2F4	TUBB	0.656928985080595	1	activation
E2F4	TMEM87B	0.591840340767237	1	activation
E2F4	SMPDL3A	0.630186394466377	1	activation
E2F4	WNT2B	-3.16869533090967e-05	1	inhibition
E2F4	ABHD15	0.556363973355668	1	activation
E2F4	BPI	-0.00693937457674841	1	inhibition
E2F4	F2R	-0.944162076070094	1	inhibition
E2F4	VPS39	-0.00300027564431544	1	inhibition
E2F4	FPR2	0.375965315035297	1	activation
E2F4	TIGD5	-0.129369623849859	1	inhibition
E2F4	TRPM6	0.798772338796178	1	activation
E2F4	PROZ	-0.00787467814333537	1	inhibition
E2F6	AGR2	0.364013102249481	1	activation
E2F6	ZNF107	0.80053580755446	1	activation
EGR1	PTPRK	-0.278102354144832	1	inhibition
EGR1	ZNF529	-0.000336445471682638	1	inhibition
EGR1	KRR1	0.378640195312781	1	activation
EGR1	UQCR11	0.100944592375592	1	activation
EGR1	SGSM3	-0.000607426994423708	1	inhibition
EGR1	CCDC78	0.784240507147838	1	activation
EGR1	TRIO	0.310384695143545	1	activation
EGR1	TRMU	0.67054247516321	1	activation
EGR1	TP53I3	0.356126484347103	1	activation
EGR1	RREB1	0.177878058727577	1	activation
EGR1	CAMTA2	0.16287403050259	1	activation
EGR1	EGR2	0.999216581071291	1	activation
EGR1	ANTXR2	0.852972164023295	1	activation
ELF1	ANGPTL4	0.981723927063698	1	activation
ESRRA	MKRN3	-7.03442952496902e-06	1	inhibition
FLI1	FLNB	0.275815625550328	1	activation
FLI1	B4GALT5	0.161267891671315	1	activation
FOXM1	STK11IP	-0.995434655239557	1	inhibition
FOXM1	AGPS	0.119184605813612	1	activation
FOXM1	FOXO3B	0.674205140081592	1	activation
FOXM1	BTBD8	-0.0661879494131907	1	inhibition
FOXM1	GFRA2	0.885338598148572	1	activation
FOXM1	GLRX5	0.194797360039546	1	activation
FOXM1	RPL3	0.885338598148572	1	activation
FOXM1	MCTP2	-4.00835891386699e-05	1	inhibition
FOXM1	ZNF772	0.48650281200625	1	activation
FOXM1	ZNF525	0.427758399979069	1	activation
FOXM1	C8orf76	-0.0064525144221909	1	inhibition
FOXM1	ENTPD6	-4.94372339520899e-05	1	inhibition
FOXM1	FRMD3	0.796105089975428	1	activation
FOXP2	SRBD1	-0.576129355747159	1	inhibition
FOXP2	PRR12	-0.000329320689318293	1	inhibition
FOXP2	SNORD24	-0.00145753648476353	1	inhibition
FOXP2	FZD7	-0.752027944116203	1	inhibition
GATA1	PAGE2B	0.998054746789645	1	activation
GATA1	ARHGAP42	-0.888226389911487	1	inhibition
GTF3C2	TAOK2	0.429144313062142	1	activation
HDAC6	CLDN12	0.954998457274325	1	activation
HDAC6	SBDSP1	0.63148088706741	1	activation
HDAC6	HS3ST3B1	-0.000164186939573799	1	inhibition
HDAC6	GJB6	-0.942923849547091	1	inhibition
HDAC6	HDAC10	0.998482787825291	1	activation
HDAC6	CECR2	-0.759679832715032	1	inhibition
HDAC6	GALNT4	-0.000238280977099539	1	inhibition
HDAC6	FAM186B	0.9995054448146	1	activation
HMGN3	ZNF420	0.979564273437829	1	activation
