name	pvalue	mean.diff
MAR00078	0.0179260340	-0.0147931133
MAR00156	0.0110294601	-0.0106118187
MAR00167	0.0176427392	-0.0082026356
MAR00180	0.0110294601	-0.0106118187
MAR00217	0.0255825645	-0.0313130053
MAR00225	0.0048912088	-0.0331577809
MAR00226	0.0255825645	-0.0313130053
MAR00313	0.0255825645	-0.0313130053
MAR00349	0.0255825645	-0.0313130053
MAR00353	0.0255825645	-0.0313130053
MAR00361	0.0255825645	-0.0313130053
MAR00397	0.0255825645	-0.0313130053
MAR00401	0.0255825645	-0.0313130053
MAR00405	0.0255825645	-0.0313130053
MAR00409	0.0255825645	-0.0313130053
MAR00568	0.0127806440	 0.0035677444
MAR00583	0.0046460841	-0.0075693890
MAR00611	0.0001987703	-0.0139345502
MAR00617	0.0122869164	-0.0101679483
MAR00622	0.0262905865	-0.0251293900
MAR00624	0.0001258990	-0.0134862411
MAR00627	0.0264120009	-0.0251344979
MAR00639	0.0002046640	-0.0138753228
MAR00650	0.0026645098	-0.0098310323
MAR01095	0.0394910187	 0.0106787020
MAR01435	0.0179260340	-0.0147931133
MAR01525	0.0411328571	 0.0421499119
MAR01616	0.0293370305	-0.0520901750
MAR01658	0.0490777715	-0.0193632968
MAR01664	0.0490777715	-0.0193632968
MAR01975	0.0057802900	 0.0207735658
MAR02331	0.0412422716	-0.0267399864
MAR02341	0.0057802900	 0.0207735658
MAR02358	0.0260288647	 0.0727730539
MAR02388	0.0169597632	 0.0104470024
MAR02427	0.0179260340	-0.0147931133
MAR02429	0.0255825645	-0.0313130053
MAR02431	0.0188294383	-0.0189897705
MAR02432	0.0255825645	-0.0313130053
MAR02471	0.0255825645	-0.0313130053
MAR02473	0.0255825645	-0.0313130053
MAR02474	0.0255825645	-0.0313130053
MAR02476	0.0255825645	-0.0313130053
MAR02477	0.0255825645	-0.0313130053
MAR02479	0.0412422716	-0.0267399864
MAR02481	0.0412422716	-0.0267399864
MAR02569	0.0255825645	-0.0313130053
MAR02626	0.0164768872	-0.0238622725
MAR02702	0.0255825645	-0.0313130053
MAR02714	0.0255825645	-0.0313130053
MAR02720	0.0255825645	-0.0313130053
MAR02742	0.0412422716	-0.0267399864
MAR02746	0.0412422716	-0.0267399864
MAR02752	0.0412422716	-0.0267399864
MAR02755	0.0255825645	-0.0313130053
MAR02777	0.0188294383	-0.0189897705
MAR02801	0.0164768872	-0.0238622725
MAR02803	0.0164768872	-0.0238622725
MAR02807	0.0255825645	-0.0313130053
MAR02809	0.0255825645	-0.0313130053
MAR02851	0.0255825645	-0.0313130053
MAR02852	0.0255825645	-0.0313130053
MAR02857	0.0255825645	-0.0313130053
MAR02859	0.0255825645	-0.0313130053
MAR02861	0.0255825645	-0.0313130053
MAR02862	0.0255825645	-0.0313130053
MAR02865	0.0255825645	-0.0313130053
MAR02866	0.0255825645	-0.0313130053
MAR02880	0.0412422716	-0.0267399864
MAR02882	0.0412422716	-0.0267399864
MAR02884	0.0412422716	-0.0267399864
