ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	eigenvalue	Page_Rank	degree	closenessness	betweenness	size	nes	pval	pval.fdr
1	A1CF	0.500093416034045	-7.31254240979279	1.4364016861451	0.157374639943013	0.945241499105275	-4.57201056818616	-11.3751135404225	-9.2843369949558	19	1.72571487738796e-05	1512.98721081244	11	0.973550404916221	0.330279821534733	0.997721700557707
2	A2M	2.3629345968789	-2.39995124570396	3.35459126245183	0.0015596606250466	0.47596169021951	-1.37591227335413	-10.1933530012608	-9.8707335635178	8	1.87223844828877e-05	8220.9240851545	0	0	1	1
3	A2ML1	0.526164968015652	3.81872154319449	0.74697224875691	0.458724111631073	0.945241499105275	-5.16371151627154	-16.6241204666854	-9.75460047231472	9	1.71969045571797e-05	4582.86576658727	7	-0.0065576650998922	0.994767777762091	0.999559670321085
4	A4GALT	-2.8611239475696	-0.621247374372882	-2.04464154333506	0.0463956928885186	0.857199360511922	-3.77527123738289	-12.2960367389895	-9.06448246496639	21	1.78078532632891e-05	49634.2890799559	15	-0.709646518333174	0.477923364936994	0.997721700557707
5	AAAS	0.0229220552674532	6.47237238369315	0.105866363399572	0.916129617130247	0.989696454036746	-5.38414081250254	-7.99653848716148	-7.97634372994912	118	2.23438721930511e-05	80359.5025385696	91	0.282360414286564	0.777667165332009	0.997721700557707
6	AACS	0.215638754666659	-7.47713043282197	0.801850463808589	0.426591790600832	0.945241499105275	-5.12971353364585	-9.90460036226265	-8.89023673642001	24	1.81563992229061e-05	29988.8543554462	19	1.62025951536129	0.105176541573157	0.997721700557707
7	AADAT	-1.61532483494152	-0.56350666327237	-1.32803905382675	0.19044639406695	0.945241499105275	-4.6880337362267	-9.59020643620603	-8.8982727482127	26	1.87006769645061e-05	47769.2512031499	16	-1.00275525375509	0.315978963268068	0.997721700557707
8	AAGAB	-0.0816250337640634	5.01547209403278	-0.575575288596482	0.567591229793923	0.945241499105275	-5.25473414861448	-15.2255875008965	-9.22950908503043	7	1.53334253338853e-05	27784.5439661825	6	-0.440076466407459	0.659881725945958	0.997721700557707
9	AAK1	0.131622099348114	6.51597966350654	0.462132154956958	0.646074643291418	0.949440601148947	-5.30220775260837	-19.7230147654138	-10.8282204635909	1	1.37311711315858e-05	0	0	0	1	1
10	AAMP	0.0934805541939703	5.75188277889865	0.356176000673665	0.723269693071768	0.956514444706596	-5.33726288431896	-16.468722507661	-11.0229373405256	1	1.53520218612791e-05	0	0	0	1	1
11	AANAT	-0.875560087615523	-2.36785987673755	-1.32038158370521	0.192969806797394	0.945241499105275	-4.69591899571359	-12.9657548125199	-9.25641592580203	17	1.82199143664025e-05	28130.1133928286	12	1.25080737793336	0.211004762460333	0.997721700557707
12	AARS2	0.109485919236977	7.55808083524596	0.435355193820272	0.665256214624139	0.952308653146683	-5.31191637537993	-14.2608682332198	-11.0468587606938	1	1.61061718850664e-05	0	0	0	1	1
13	AASDH	0.179728361413014	3.54035078536099	1.03452641745299	0.306074716878933	0.945241499105275	-4.95988426342942	-6.01680098089769	-9.15507776167983	15	1.79856115107914e-05	36358.4107193772	11	0.51653154755149	0.60548321102907	0.997721700557707
14	AASDHPPT	0.32415520885333	4.51715914767237	1.48325541252747	0.144543926356171	0.945241499105275	-4.51930725761558	-5.96253500689206	-9.37055580299644	13	1.78364398466066e-05	18912.0541301047	10	0.551153180511934	0.581528672188778	0.997721700557707
