ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	eigenvalue	Page_Rank	degree	closenessness	betweenness	size	nes	pval	pval.fdr
1	A2M	2.3629345968789	-2.39995124570396	3.35459126245183	0.0015596606250466	0.47596169021951	-1.37591227335413	-3.10932534944588	-8.22078683999936	3	0.000124316260566882	164.979867978583	0	0	1	1
2	ABCA1	0.561372762026664	-6.01832887003148	0.822148184686106	0.415058312106698	0.945241499105275	-5.11654769096897	-3.03762594065209	-7.49673387613071	7	0.000128419160138693	4807.32578607198	0	0	1	1
3	ABCA2	-0.343262351647124	7.66923992845248	-1.03028589462325	0.308039938076009	0.945241499105275	-4.96334647605916	-3.94400948525292	-8.39037447302748	2	0.000116076610562972	462.589424010059	0	0	1	1
4	ABCB1	1.09315565253217	-3.95652782056667	1.10378920038403	0.275187970820184	0.945241499105275	-4.90143383033414	-1.70402134635887	-6.85240060340807	15	0.000147536146355857	6965.94417682158	0	0	1	1
5	ABCB11	-0.3775277236295	6.10293934635012	-1.01452307067973	0.315420408916524	0.945241499105275	-4.97609793090916	-7.98617295493163	-8.95603064737697	1	8.44166807361135e-05	0	0	0	1	1
6	ABCC1	-1.23357417160665	-1.64513522985055	-0.763602960980221	0.44884135956537	0.945241499105275	-5.15365546626594	-2.55863186722096	-8.00565606249365	4	0.000135519718118986	382.149978486302	0	0	1	1
7	ABCC2	0.224506288405712	3.28534474130743	0.743481922201504	0.460814093877172	0.945241499105275	-5.16579467562994	-4.39757096680372	-8.43388482104231	2	0.000118105586394236	499.367250432905	0	0	1	1
8	ABCC3	-1.01954021438024	1.58989619503423	-0.921804044195091	0.361241400016795	0.945241499105275	-5.04731022015074	-3.58782152379237	-8.54464412865725	2	0.000123411082315192	254.430718079104	0	0	1	1
9	ABCC6	-0.0483036608718326	-6.85814283563326	-0.0711104315775739	0.943605351234983	0.992486441365988	-5.38663780571399	-5.14603888849376	-8.34220120407326	2	0.000108530497069677	494.103971772016	0	0	1	1
10	ABCE1	0.313294092383438	5.8150166892993	1.23209040073989	0.223917377792303	0.945241499105275	-4.78380548583041	-4.64445146489528	-8.81094574040143	1	0.000112930547713156	0	0	0	1	1
11	ABCG2	-1.48296705791025	1.84532819970108	-1.71127000147223	0.0934875838381973	0.940746830816311	-4.24158188566501	-3.37192809131384	-8.20474021396017	3	0.000127194098193844	319.14871660771	0	0	1	1
12	ABCG5	0.931515885297922	-4.96699687132585	1.04569996609386	0.300937591869019	0.945241499105275	-4.95069703735365	-5.21155519459198	-8.90795621886304	1	0.000108154877784988	0	0	0	1	1
13	ABCG8	-0.480142283630699	-3.97265358053274	-0.614797563103545	0.5415923212413	0.945241499105275	-5.23594428231906	-5.21155519459198	-8.90795621886304	1	0.000108154877784988	0	0	0	1	1
14	ACACA	0.283215589249487	6.86535765414656	1.00977191367106	0.317668310795907	0.945241499105275	-4.97990481830531	-4.31818367261671	-8.53357015963114	2	0.000109853894320554	0	0	0	1	1
15	ACACB	0.144723148060485	5.0213726582332	0.401356845644329	0.689938865191937	0.95361326326451	-5.32341608465655	-4.31818367261671	-8.53357015963114	2	0.000109853894320554	0	0	0	1	1
16	ACAD10	0.208902017244428	4.99965943658376	1.05374084132046	0.297277595843031	0.945241499105275	-4.9440278152648	-4.64445146489528	-8.81094574040143	1	0.000112930547713156	0	0	0	1	1
17	ACADM	0.125957336667428	6.51852083943547	0.444412958046917	0.658741564018133	0.951710245579171	-5.30869645992726	-3.48394175729059	-8.83884961687158	1	0.000130770236694128	0	0	0	1	1
18	ACAN	-0.228567613462499	-1.84137701097425	-0.180793347334333	0.857291059052022	0.979027762963048	-5.37542462650293	-3.60019536156993	-8.99729259911005	1	0.000123076923076923	0	0	0	1	1
19	ACAT2	0.526926740021151	4.07436411746211	2.23963497380964	0.0297830117251291	0.834905591980161	-3.47166580703754	-5.21155519459198	-8.90795621886304	1	0.000108154877784988	0	0	0	1	1
20	ACE	-0.00777014588002256	3.54731915016256	-0.0364173694403895	0.97110061044845	0.995136314937403	-5.3881523756819	-2.84949942402893	-8.19418526447589	3	0.000136836343732895	49.3968927159294	0	0	1	1
21	ACHE	-2.3850850198017	-0.265261863052426	-1.65583459852578	0.104280080414716	0.942271928760212	-4.31228939276113	-3.80394137207874	-8.57152345858606	2	0.000114337983077979	32.6178991700534	0	0	1	1
22	ACLY	-0.018957448711963	7.56479629709112	-0.111579514849052	0.911622143032992	0.988512849753739	-5.38363654761085	-6.10677573565555	-8.46811502395513	2	9.95718410833416e-05	8.0081163694379	0	0	1	1
23	ACO2	0.0976361787352706	6.60068577805156	0.672935279100267	0.504215810026934	0.945241499105275	-5.20586040236215	-3.48394175729059	-8.83884961687158	1	0.000130770236694128	0	0	0	1	1
24	ACOT13	0.0519158943939564	-4.0100309608662	0.0603432345479418	0.952132837531711	0.993379337315076	-5.38721243623593	-5.21155519459198	-8.90795621886304	1	0.000108154877784988	0	0	0	1	1
