ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	eigenvalue	Page_Rank	degree	closenessness	betweenness	size	nes	pval	pval.fdr
1	ATP6V1G2	1.71858322981366	-2.75487058823529	2.52090708951056	0.0150820938907088	0.726189892098373	-2.99703334048772	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
2	BCL2L1	3.27400203850932	-3.4042498745098	3.09630137557053	0.00326808432368201	0.532023378153694	-1.90818099163519	-1.91423427921537	-3.86534278583412	1	0.0169491525423729	0	0	0	1	1
3	CCL11	3.38937630434782	-5.36857256862745	2.38475133971639	0.0210893760749819	0.787951333424461	-3.23198261151984	-1.91423427921537	-3.86534278583412	1	0.0169491525423729	0	0	0	1	1
4	CCL2	1.14782638819876	1.03509368078431	2.14204845831624	0.0372918585893489	0.848979582003024	-3.62632790165261	-1.6351709209305	-3.34246683472405	2	0.0175438596491228	2	0	0	1	1
5	CD40LG	1.2095927826087	5.27981596078431	2.24105691594553	0.0296842996448884	0.834905591980161	-3.46937281457409	-1.6351709209305	-3.34246683472405	2	0.0175438596491228	2	0	0	1	1
6	CEACAM5	-2.98605227080746	-4.66941743137255	-2.90664696930704	0.0055140981883319	0.601623308718425	-2.28294381160287	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
7	CSF1	-1.14243486548447	1.78615846021569	-2.3684985831889	0.0219344749744523	0.794050676196578	-3.25938764356939	-1.91423427921537	-3.86534278583412	1	0.0169491525423729	0	0	0	1	1
8	DLEU2	1.59552519254658	-4.54031803921569	2.33236312696923	0.0239231927017688	0.796611247887469	-3.31981712012251	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
9	HSPA4	-3.66994016942236	0.719623364882353	-3.34146291787592	0.00162058411848575	0.47596169021951	-1.40352892304279	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
10	ID2	-2.35463188198758	-4.98253152156863	-2.73939585947977	0.00861460509082687	0.633252650030837	-2.60092584379164	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
11	IL2	1.05021245962733	6.53935052941176	2.17488371319509	0.0345977159282249	0.837861096953659	-3.57488772077348	-0.832806646457896	-2.97214196106951	3	0.0232558139534884	16	0	0	1	1
12	MGST1	-1.36733246583851	4.35469758823529	-1.75414448064359	0.0857890516706066	0.932799687601434	-4.18552365190556	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
13	MICA	-1.55441996378882	3.77953644490196	-2.48261884787734	0.0165913119379207	0.748478161980105	-3.06405815997466	-1.91423427921537	-3.86534278583412	1	0.0169491525423729	0	0	0	1	1
14	MST1	1.51418258434161	-1.10959961182353	2.68839385734943	0.00984095506850169	0.647026305177273	-2.69540699018266	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
15	MYC	-3.2652887242236	-0.578580616392157	-2.25069619736724	0.0290227525784117	0.83324554240018	-3.4537992579689	0	-1.27440221719322	15	0.032258064516129	208	368	-1.00255941677252	0.316073485056467	0.97194348088765
16	NOS2	3.37644530434782	-4.82868503921569	3.59769368464367	0.000757226399099331	0.458038707847724	-0.854650338674231	-1.91423427921537	-3.86534278583412	1	0.0169491525423729	0	0	0	1	1
17	NTN3	-1.58001065217391	-3.87670990196078	-2.63234031675166	0.011372392610693	0.668792525326817	-2.79785120559807	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
18	PRTN3	-3.03772319627329	-4.58594467647059	-2.04015591712293	0.0468578818073229	0.857199360511922	-3.78199649190578	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
19	REL	-3.16814915267081	-0.347315982156863	-2.07067345001362	0.0437908242823415	0.857199360511922	-3.73600778825079	-1.62027699699403	-2.97981882830645	3	0.0163934426229508	1.5	20	-1.57104537763964	0.116172108849644	0.919695861726346
20	RELA	3.10038527515528	-4.99253417647059	2.8814950568879	0.00590223982448812	0.607092676893896	-2.33153805799893	-0.486734988859908	-1.85977402284604	9	0.027027027027027	129.5	142	1.91752962425528	0.0551706811594137	0.919695861726346
21	RPL3	-1.68570060310559	-2.31156956	-2.08760081704297	0.0421661591051536	0.857199360511922	-3.71026336888165	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
22	SIM2	1.23588750490683	0.395733358823529	2.74314478620216	0.00853026512561996	0.633252650030837	-2.59393401140362	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
23	TPM2	-2.82348207763975	-3.98271339607843	-2.94292734437371	0.0049959139747922	0.589786124195503	-2.21238108001078	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
24	UCP3	1.87251420496894	-4.92963039215686	2.33359538496692	0.0238528029797377	0.795790628389447	-3.31776787158584	-1.42749929035546	-3.8124541834707	1	0.0188679245283019	0	0	0	1	1
