tf	target	mor	likelihood	state
1	DNAJC2	SLC6A12	-0.250566719525398	1	inhibition
2	DNAJC2	SLC36A3	0.396868184295336	1	activation
3	DNAJC2	SDC3	-0.982846632711297	1	inhibition
4	DNAJC2	DLGAP1	0.273276028637752	1	activation
5	DNAJC2	TANC1	-0.347750008580879	1	inhibition
6	DNAJC2	KRT18	0.901545317293267	1	activation
7	DNAJC2	ZNF652	0.811586909145775	1	activation
8	DNAJC2	PLOD2	-0.961862518177385	1	inhibition
9	DNAJC2	TMEM98	-0.349461263902629	1	inhibition
10	DNAJC2	NPY2R	0.574336739232435	1	activation
11	DNAJC2	SORCS3	-0.247660391417299	1	inhibition
12	DNAJC2	MAB21L1	0.532002405734027	1	activation
13	DNAJC2	LHX6	0.985385591660853	1	activation
14	DNAJC2	IRX3	0.769758016664843	1	activation
15	DNAJC2	WNT3	0.165640036968724	1	activation
16	DNAJC2	NTN1	0.765755089470714	1	activation
17	DNAJC2	FJX1	-0.124629463627824	1	inhibition
18	DNAJC2	HOXA1	0.998684877973271	1	activation
19	DNAJC2	GRIN2B	0.61566876375814	1	activation
20	DNAJC2	ABCC8	-0.26841281056715	1	inhibition
21	DNAJC2	KCNN4	0.92160816098502	1	activation
22	DNAJC2	KLF9	0.418203879609247	1	activation
23	DNAJC2	RARG	0.995595272333144	1	activation
24	DNAJC2	MYC	-0.25496310095133	1	inhibition
25	DNAJC2	RAB35	0.140664772232385	1	activation
26	DNAJC2	ZNFX1	-0.0523788029421435	1	inhibition
27	DNAJC2	PANK1	0.997417724348618	1	activation
28	DNAJC2	ADAM15	-0.20138624275261	1	inhibition
29	DNAJC2	FAM83D	-0.938948376281788	1	inhibition
30	DNAJC2	ST5	0.334137494956321	1	activation
31	DNAJC2	SMARCE1	-0.999242168630771	1	inhibition
32	DNAJC2	BCL6B	-0.997896208423167	1	inhibition
33	DNAJC2	SMO	-0.160186121643768	1	inhibition
34	DNAJC2	SLC17A2	0.201874267497999	1	activation
35	DNAJC2	SLC4A1	0.986441871825178	1	activation
36	DNAJC2	SEPT6	-0.143545115532876	1	inhibition
37	DNAJC2	SPATA2L	0.461709950677076	1	activation
38	DNAJC2	ASPHD2	0.788139314896713	1	activation
39	DNAJC2	CYP46A1	0.873520093815983	1	activation
40	DNAJC2	GRIK5	0.127423598129295	1	activation
41	DNAJC2	KCNF1	0.815019203456536	1	activation
42	DNAJC2	SEPT4	-0.140575672162972	1	inhibition
43	DNAJC2	BOLL	0.312325267909845	1	activation
44	DNAJC2	DMC1	-0.645012369871908	1	inhibition
45	DNAJC2	ALPPL2	-0.364995813368278	1	inhibition
46	DNAJC2	PRRT1	-0.944863392950738	1	inhibition
47	DNAJC2	KRT81	0.186916845184174	1	activation
48	DNAJC2	CASS4	0.878501512656306	1	activation
49	DNAJC2	LGALS1	0.503046122570089	1	activation
50	DNAJC2	GPR82	-0.158031373975131	1	inhibition
51	DNAJC2	MIA	-0.492553173458111	1	inhibition
52	DNAJC2	PNMA5	0.978071250408937	1	activation
53	DNAJC2	KAL1	-0.61056143550811	1	inhibition
54	FOXP2	NPFFR2	-0.987684950152491	1	inhibition
55	FOXP2	NALCN	-0.184112148481491	1	inhibition
56	FOXP2	ANGPT2	0.88855040032041	1	activation
57	FOXP2	SCARA5	-0.985862598400597	1	inhibition
58	FOXP2	KCNT2	-0.686762704685934	1	inhibition
59	FOXP2	NOTCH2	0.88682914976457	1	activation
60	FOXP2	DLGAP1	0.640276821613011	1	activation
61	FOXP2	PPAP2B	-0.956681383317762	1	inhibition
62	FOXP2	PSD3	-0.512469257465679	1	inhibition
63	FOXP2	LARGE	-0.674712985908993	1	inhibition
64	FOXP2	CERK	0.969522589443259	1	activation
65	FOXP2	ANKRD35	-0.977194459181935	1	inhibition
66	FOXP2	PIP4K2A	-0.160186121643768	1	inhibition
67	FOXP2	TPCN1	0.153492011007348	1	activation
68	FOXP2	KRT18	-0.0582659867514051	1	inhibition
69	FOXP2	RRAS2	-0.920213529261683	1	inhibition
70	FOXP2	LHFP	-0.740026612113206	1	inhibition
71	FOXP2	SEMA7A	-0.820222621254787	1	inhibition
72	FOXP2	ANO5	-0.358062773923035	1	inhibition
73	FOXP2	SLC41A1	-0.280686227358144	1	inhibition
74	FOXP2	VAPB	-0.499807216907319	1	inhibition
75	FOXP2	CDH12	-0.757931700034414	1	inhibition
76	FOXP2	GPATCH2	0.763736377877585	1	activation
77	FOXP2	TSPAN13	0.36302730125015	1	activation
78	FOXP2	GNAI1	0.73209809554617	1	activation
79	FOXP2	NCS1	-0.935189140326023	1	inhibition
80	FOXP2	WNT7B	-0.974987721292921	1	inhibition
81	FOXP2	TFAP2D	-0.409195162853153	1	inhibition
82	FOXP2	IRX3	-0.0400638618383412	1	inhibition
83	FOXP2	TSHZ3	0.34032497309446	1	activation
84	FOXP2	GPR176	-0.828881490668363	1	inhibition
85	FOXP2	ELFN1	-0.334175182341622	1	inhibition
86	FOXP2	TRIB2	0.992989998647504	1	activation
87	FOXP2	SHISA3	-0.0510968267809569	1	inhibition
88	FOXP2	ARG2	-0.200117387056583	1	inhibition
89	FOXP2	HLX	-0.990615632237133	1	inhibition
90	FOXP2	SPRY1	-0.229259025877878	1	inhibition
91	FOXP2	ISLR2	-0.752911900595575	1	inhibition
92	FOXP2	LPL	-0.932828234624137	1	inhibition
93	FOXP2	CACNA2D1	0.133252777859226	1	activation
94	FOXP2	EYA1	-0.144545428977659	1	inhibition
95	FOXP2	MMP16	0.379805967134434	1	activation
96	FOXP2	CNGB3	0.388960309270925	1	activation
97	FOXP2	DNAJC6	0.63899779389486	1	activation
98	FOXP2	MAPK4	-0.450745638152521	1	inhibition
99	FOXP2	KCTD4	0.923279679217708	1	activation
100	FOXP2	MBOAT7	0.756580780777846	1	activation
101	FOXP2	KLF9	0.806351103332975	1	activation
102	FOXP2	SPRED2	-0.978292812293384	1	inhibition
103	FOXP2	RHOB	-0.0970357978020957	1	inhibition
104	FOXP2	BCAR1	-0.728021505251132	1	inhibition
105	FOXP2	SPAG9	-0.0906344841896188	1	inhibition
106	FOXP2	MYC	0.34156888576493	1	activation
107	FOXP2	SNAI3	-0.315870605763439	1	inhibition
108	FOXP2	NACA	0.241369604921513	1	activation
109	FOXP2	PANK1	0.24651402492807	1	activation
110	FOXP2	METTL8	-0.61390968352839	1	inhibition
111	FOXP2	ADPRHL2	0.26236566456079	1	activation
112	FOXP2	CLCC1	0.701531032817536	1	activation
113	FOXP2	NEK1	0.932667597734023	1	activation
114	FOXP2	PDCD10	0.736461326923031	1	activation
115	FOXP2	SLC12A6	0.681338378274296	1	activation
116	FOXP2	GRB7	0.175221479426608	1	activation
117	FOXP2	H3F3A	-0.0306718063546611	1	inhibition
118	FOXP2	PWP2	-0.0371014961684349	1	inhibition
119	FOXP2	REL	-0.301234802347869	1	inhibition
120	FOXP2	CCDC84	0.858957603602598	1	activation
121	FOXP2	RNF25	0.275490378590401	1	activation
122	FOXP2	MDP1	0.456226185002442	1	activation
123	FOXP2	PKLR	-0.296428904968137	1	inhibition
124	FOXP2	PDXP	0.346565501003027	1	activation
125	FOXP2	RP2	0.879721310054551	1	activation
126	FOXP2	ELAC1	0.317107804658203	1	activation
127	FOXP2	SPATA2L	0.594495233838729	1	activation
128	FOXP2	MFSD6	0.602478792765697	1	activation
129	FOXP2	JPH4	-0.187724721729926	1	inhibition
130	FOXP2	TUSC5	-0.617244440366015	1	inhibition
131	FOXP2	MLN	0.331677709262849	1	activation
132	FOXP2	HAS1	-0.257918389229688	1	inhibition
133	FOXP2	LCTL	0.439843100227683	1	activation
134	FOXP2	CNKSR2	0.929657486112597	1	activation
135	FOXP2	GJB6	-0.175872103437818	1	inhibition
136	FOXP2	TWF1	-0.0717868351362915	1	inhibition
137	FOXP2	TAS2R39	0.119368794872767	1	activation
138	FOXP2	GPR65	0.793725546859216	1	activation
139	FOXP2	CYP2B6	0.197388630389772	1	activation
140	FOXP2	ELN	-0.528666204002221	1	inhibition
141	FOXP2	CD53	0.483725166288869	1	activation
142	FOXP2	SLC14A1	-0.649799373521958	1	inhibition
143	FOXP2	KCNV2	-0.0425123259982199	1	inhibition
144	FOXP2	LRRC6	0.762722720970198	1	activation
145	FOXP2	FGFR1OP	0.715351937838089	1	activation
146	FOXP2	ASPG	-0.86547315272243	1	inhibition
147	FOXP2	TAS2R31	0.701531032817536	1	activation
148	FOXP2	CLCA3P	-0.953980318253054	1	inhibition
149	FOXP2	DMBT1	-0.269930885455296	1	inhibition
150	FOXP2	FCN2	-0.767740769438138	1	inhibition
151	FOXP2	SLC5A12	0.781489311203783	1	activation
152	FOXP2	OR6C2	0.186062874574253	1	activation
153	FOXP2	CCK	-0.982194937746589	1	inhibition
154	FOXP2	CES3	-0.120219204302033	1	inhibition
155	FOXP2	FAM127C	-0.969934431804192	1	inhibition
156	FOXP3	AHRR	0.536127352786181	1	activation
157	FOXP3	ZNF562	-0.197595779896604	1	inhibition
158	FOXP3	XKRX	0.748232616893999	1	activation
159	FOXP3	ETV3	0.238316790229235	1	activation
160	FOXP3	MREG	-0.607199943490598	1	inhibition
161	FOXP3	RRAS2	-0.922078375216192	1	inhibition
162	FOXP3	GPATCH2	0.562124553817807	1	activation
163	FOXP3	S1PR1	-0.789809660223823	1	inhibition
164	FOXP3	WNT2B	-0.961396222363682	1	inhibition
165	FOXP3	TRIB2	-0.0712208513343827	1	inhibition
166	FOXP3	NTNG2	0.540247759866678	1	activation
167	FOXP3	NR4A3	-0.494367719678914	1	inhibition
168	FOXP3	NR5A2	-0.88929084562444	1	inhibition
169	FOXP3	RPL24	-0.742641981131128	1	inhibition
170	FOXP3	RTTN	0.883911172392165	1	activation
171	FOXP3	SUPT4H1	0.549841377940262	1	activation
172	FOXP3	DNAJC2	-0.803924702657151	1	inhibition
173	FOXP3	AURKAIP1	-0.62222075174077	1	inhibition
174	FOXP3	CCDC77	0.149118626277326	1	activation
175	FOXP3	RPL3	0.360473294437806	1	activation
176	FOXP3	SKA2	-0.571171149574666	1	inhibition
177	FOXP3	RRM1	0.209201274825151	1	activation
178	FOXP3	USP1	0.475457213059412	1	activation
179	FOXP3	UBC	-0.101506614990416	1	inhibition
180	FOXP3	H2AFX	-0.657698109862797	1	inhibition
181	FOXP3	PTK2B	0.145549011907092	1	activation
182	FOXP3	ECT2	0.900513826094655	1	activation
183	FOXP3	SLC3A2	0.952909731430959	1	activation
184	FOXP3	EEF1A1	-0.31095651528672	1	inhibition
185	FOXP3	PRPF18	0.695664965020833	1	activation
186	FOXP3	TARS	0.756580780777846	1	activation
187	FOXP3	ADPRHL2	0.231292814738195	1	activation
188	FOXP3	DHX40	0.162536255373648	1	activation
189	FOXP3	ADAM15	0.998871366999104	1	activation
190	FOXP3	HIST1H4D	-0.106144211833189	1	inhibition
191	FOXP3	EXD1	0.259145589906867	1	activation
192	FOXP3	CHURC1	0.999088340249384	1	activation
193	FOXP3	EEF1D	0.943597029838815	1	activation
194	FOXP3	UCHL5	-0.215696015483214	1	inhibition
195	FOXP3	SCNM1	-0.0689949622323054	1	inhibition
196	FOXP3	AMPH	0.62869918085512	1	activation
197	FOXP3	PLCE1	0.676487431962768	1	activation
198	FOXP3	ATP6V1E2	0.41551880595042	1	activation
199	FOXP3	MST1	0.96860976403597	1	activation
200	FOXP3	IL7R	0.144140090244448	1	activation
201	FOXP3	RAD17	-0.118490020209224	1	inhibition
202	FOXP3	DNAJC25-GNG10	0.913687468583712	1	activation
203	FOXP3	AIM2	0.891370478415783	1	activation
204	FOXP3	CD53	0.941677279641571	1	activation
205	FOXP3	NR2E3	0.993520543597964	1	activation
206	GFI1B	TMEM180	-0.0695457643343861	1	inhibition
207	GFI1B	NOTCH2	-0.982194937746589	1	inhibition
208	GFI1B	CXXC5	-0.842523667149651	1	inhibition
209	GFI1B	CLYBL	-0.187724721729926	1	inhibition
210	GFI1B	PIK3C2B	-0.47983684626152	1	inhibition
211	GFI1B	WDR75	0.941351701177811	1	activation
212	GFI1B	TP53INP2	0.883320136132468	1	activation
213	GFI1B	SLC1A5	0.933035737295664	1	activation
214	GFI1B	GPATCH2	-0.656126428883197	1	inhibition
215	GFI1B	GPR39	0.516847484827605	1	activation
216	GFI1B	MFSD4	-0.777242892322616	1	inhibition
217	GFI1B	B3GAT2	-0.110952017927868	1	inhibition
218	GFI1B	MMP28	0.965918595161256	1	activation
219	GFI1B	ZNF281	0.957757960725692	1	activation
220	GFI1B	AURKAIP1	0.972446618374882	1	activation
221	GFI1B	DDOST	-0.29962869297581	1	inhibition
222	GFI1B	ATP6V1G2	-0.434423901726036	1	inhibition
223	GFI1B	RRM1	-0.182918771248089	1	inhibition
224	GFI1B	ID1	0.979110828228973	1	activation
225	GFI1B	NT5C2	-0.80914385016263	1	inhibition
226	GFI1B	H2AFX	0.986860606341268	1	activation
227	GFI1B	TTL	-0.229259025877878	1	inhibition
228	GFI1B	UBE2N	0.559400600738955	1	activation
229	GFI1B	SEH1L	0.815019203456536	1	activation
230	GFI1B	ZCCHC2	0.475457213059412	1	activation
231	GFI1B	SLC35F5	-0.560659024987652	1	inhibition
232	GFI1B	ZNF48	-0.934411135076942	1	inhibition
233	GFI1B	TMEM70	0.124275056031785	1	activation
