tf	target	mor	likelihood	state
1	ADNP	SLC12A4	-0.367189950123305	1	inhibition
2	ADNP	NDRG3	0.136727526212275	1	activation
3	ADNP	EIF4H	0.994256051381493	1	activation
4	ADNP	KCNAB3	-0.406801510390809	1	inhibition
5	ADNP	TNFRSF1A	-0.11658818629154	1	inhibition
6	ADNP	PHF10	0.440265348677256	1	activation
7	ADNP	DENND5B	0.554390027628104	1	activation
8	ADNP	ZNF263	0.295339360091401	1	activation
9	ADNP	ISCA2	0.93734367199781	1	activation
10	ADNP	ITM2C	0.973824602971243	1	activation
11	ADNP	ACER3	0.236870443595602	1	activation
12	ADNP	C1orf146	-0.0459553041265687	1	inhibition
13	ADNP	CUTC	0.594789351713617	1	activation
14	ADNP	FAIM	-0.976074062536564	1	inhibition
15	ADNP	CEP97	0.384093772468123	1	activation
16	ADNP	PER1	0.222741128702321	1	activation
17	ADNP	TJP3	0.690307680509029	1	activation
18	ADNP	SV2A	0.84900890413578	1	activation
19	ADNP	EIF5AL1	0.932648043393074	1	activation
20	ADNP2	MYL12A	0.996679764419277	1	activation
21	ADNP2	ZFP90	0.998629327111566	1	activation
22	ADNP2	ZNF317	0.998302580980616	1	activation
23	ADNP2	RPAP1	0.61964775135488	1	activation
24	ADNP2	SCD	0.2927981031739	1	activation
25	ADNP2	SFTPC	0.904170864753276	1	activation
26	ADNP2	UQCRHL	0.498027681304171	1	activation
27	ADNP2	LONRF3	-0.235587125303705	1	inhibition
28	ADNP2	PLEKHJ1	-0.99649440863497	1	inhibition
29	ADNP2	CMPK2	-0.904249687643709	1	inhibition
30	ADNP2	KATNAL1	0.771289557728482	1	activation
31	ADNP2	NUDCD2	0.997903082539699	1	activation
32	ADNP2	SNORD17	0.891375828557685	1	activation
33	AEBP1	CSPG4	0.179354621246195	1	activation
34	AEBP1	KIR2DL3	-0.018181608845805	1	inhibition
35	AEBP1	ZNF362	0.868779024516671	1	activation
36	AEBP1	FRAT2	-0.154621929620259	1	inhibition
37	AEBP1	ATP6V1G1	0.936198126178479	1	activation
38	AEBP1	APTX	0.949091037897681	1	activation
39	AEBP1	IL15	0.610935375356732	1	activation
40	AEBP1	ACTR8	0.903063744649073	1	activation
41	AEBP1	ST3GAL1	-0.0696171646700533	1	inhibition
42	AEBP1	ZNF354C	0.721025274489062	1	activation
43	AEBP1	KCTD17	0.606553320999279	1	activation
44	AEBP2	NR1D1	0.998711141807414	1	activation
45	AEBP2	NDUFB3	-0.264841252915081	1	inhibition
46	AEBP2	FCRLB	0.733278053726927	1	activation
47	AEBP2	DNAJC19	0.96482082104092	1	activation
48	AEBP2	STMN1	0.405987390737383	1	activation
49	AEBP2	TAOK1	0.774555682380687	1	activation
50	AEBP2	ZSWIM7	0.441771281327082	1	activation
51	AEBP2	TRPM7	0.105060285256432	1	activation
52	AEBP2	TPRG1	-0.101431020770749	1	inhibition
53	AEBP2	ZBTB42	0.99672804234204	1	activation
54	AEBP2	EBNA1BP2	0.780991656567538	1	activation
55	AEBP2	ZDHHC2	0.930600435013449	1	activation
56	AEBP2	LRP8	0.522469731715069	1	activation
57	AEBP2	PPIH	0.166976378556986	1	activation
58	AEBP2	PPOX	-0.572381767450795	1	inhibition
59	AEBP2	NDST2	0.542265146305508	1	activation
60	AEBP2	RTKN	0.151251131546394	1	activation
61	AHCTF1	SNAPC5	0.130960876651053	1	activation
62	AHCTF1	ANKRD13A	0.981023510893079	1	activation
63	AHCTF1	HIPK1	-0.141013771332597	1	inhibition
64	AHCTF1	PSD	-0.625808136360651	1	inhibition
65	AHCTF1	VTN	0.946522453337035	1	activation
66	AHCTF1	RNF11	0.0998709480383137	1	activation
67	AHCTF1	CD59	0.58738304987758	1	activation
68	AHCTF1	PRR7	0.990221281624937	1	activation
69	AHCTF1	SMCR8	-0.0312164483982458	1	inhibition
70	AHCTF1	ANXA9	0.774555682380687	1	activation
71	AHCTF1	TRPV1	0.303037896713177	1	activation
72	AHCTF1	CISD3	-0.909160175134392	1	inhibition
73	AHCTF1	APOBEC3B	-0.0434670127553373	1	inhibition
74	AHCTF1	APOBEC3D	0.110476813807061	1	activation
75	AHCTF1	FAM149A	-0.0637209587088056	1	inhibition
76	AHCTF1	SNORA48	-0.0297491773043777	1	inhibition
77	AHCTF1	ZNF445	0.867337093115163	1	activation
78	AHDC1	MAMDC2	0.999305981483969	1	activation
79	AHDC1	WDR83	0.579939030627864	1	activation
80	AHDC1	TMEM33	-0.89436598270827	1	inhibition
81	AHDC1	EXD3	0.999997041600867	1	activation
82	AHDC1	SUMO1P3	-0.120407569738212	1	inhibition
83	AHDC1	YIPF6	0.913148255071136	1	activation
84	AHDC1	USP5	0.968840907225922	1	activation
85	AHDC1	RUVBL2	0.465995774637332	1	activation
86	AHDC1	LRRC43	0.993920646542561	1	activation
87	AHDC1	TRIM26	-0.240321746049933	1	inhibition
88	AHDC1	ZNF420	0.520943671254813	1	activation
89	AHR	LYRM7	-0.863233063948884	1	inhibition
90	AHR	ARMCX3	0.343122042481339	1	activation
91	AHR	MAP4K2	0.944519473902608	1	activation
92	AHR	SYCE1L	0.403044591000581	1	activation
93	AHR	TMBIM6	0.676993119718047	1	activation
94	AHR	YWHAG	0.531617435404866	1	activation
95	AHR	PTENP1	0.120026662906839	1	activation
96	AHR	ZNF44	-0.125321278105991	1	inhibition
97	AHR	SCN9A	0.127459063881304	1	activation
98	AHR	CCDC148	-0.995306112160892	1	inhibition
99	AHR	FOS	-0.0230852653270489	1	inhibition
100	AHR	CTU2	0.876481315660206	1	activation
101	AHR	MAP4	-0.925036966880251	1	inhibition
102	AHR	ODF3	0.734484994484359	1	activation
103	AHR	THOC7	-0.0490183728443538	1	inhibition
104	AHR	KLRK1	-0.934401939732023	1	inhibition
105	AHR	IMPDH2	-0.235587125303705	1	inhibition
106	AHR	CENPT	-0.178135416254932	1	inhibition
107	AHRR	PXMP2	0.0886090595832114	1	activation
108	AHRR	HOXA11	-0.299601797753964	1	inhibition
109	AHRR	STK32C	-0.161784790643757	1	inhibition
110	AHRR	SFRP2	0.364069925211172	1	activation
111	AHRR	C3orf49	0.182095808942881	1	activation
112	AHRR	BOLA1	-0.987269735945807	1	inhibition
113	AHRR	CISD3	0.14809510795641	1	activation
114	AHRR	EGLN2	0.101004834467121	1	activation
115	AHRR	CHD4	-0.0499262612191402	1	inhibition
116	AHRR	C1R	0.0831609956205285	1	activation
117	AHRR	JAK2	0.995809502904188	1	activation
118	AIRE	DPH2	0.879187701484287	1	activation
119	AIRE	ST20	0.343122042481339	1	activation
120	AIRE	TLN2	0.872327692533411	1	activation
121	AIRE	TLR9	-0.0522615795642342	1	inhibition
122	AIRE	TSKU	0.300459352198013	1	activation
123	AIRE	CALB1	0.96613940562541	1	activation
124	AKAP8	ZNRF2	0.0860954208552741	1	activation
125	AKAP8	NDUFB11	-0.883542969796984	1	inhibition
126	AKAP8	GPR157	-0.797658010073034	1	inhibition
127	AKAP8	ANKRD34A	0.670229125818253	1	activation
128	AKAP8	STK39	0.519417272214048	1	activation
129	AKAP8	HNRNPF	-0.288939001757795	1	inhibition
130	AKAP8	SLC14A2	-0.0551911471985762	1	inhibition
131	AKAP8	TXNDC9	-0.297811304705471	1	inhibition
132	AKAP8	KIR3DL1	-0.0422686794067839	1	inhibition
