tf	target	mor	likelihood	state
1	A2M	APOA1	0.323187838433102	1	activation
2	A2M	APP	0.253275483390682	1	activation
3	A2M	BMP1	0.955149045572677	1	activation
4	A2M	CDC42	0.128721578162779	1	activation
5	A2M	KLKB1	0.955149045572677	1	activation
6	A2M	MMP1	0.923899085921171	1	activation
7	A2M	MMP13	0.810614292149694	1	activation
8	A2M	MMP2	-0.0894941056460226	1	inhibition
9	A2M	MMP3	0.955149045572677	1	activation
10	A2M	NFKB1	0.766728527351623	1	activation
11	A2M	PROC	0.539061908708174	1	activation
12	A2M	RAC1	-0.0107970693826414	1	inhibition
13	A2M	RAC2	-0.599430332962936	1	inhibition
14	A2M	RAC3	0.830986743094142	1	activation
15	A2M	RELA	0.207287672278952	1	activation
16	A2M	RHOA	0.831832964342991	1	activation
17	A2M	RHOB	0.180456814396357	1	activation
18	A2M	RHOBTB1	0.868002434154642	1	activation
19	A2M	RHOBTB2	0.240106549032199	1	activation
20	A2M	RHOC	0.601255756445846	1	activation
21	A2M	RHOD	0.189397229721343	1	activation
22	A2M	RHOF	0.186680822667019	1	activation
23	A2M	RHOG	0.394847398893752	1	activation
24	A2M	RHOH	0.682761210011857	1	activation
25	A2M	RHOJ	0.748054507408858	1	activation
26	A2M	RHOQ	-0.0562246247264586	1	inhibition
27	A2M	RHOT1	0.178707811505855	1	activation
28	A2M	RHOT2	0.877462949228071	1	activation
29	A2M	RHOU	-0.0226696767872266	1	inhibition
30	A2M	RHOV	0.927309525876402	1	activation
31	A2M	SERPING1	0.844931057148077	1	activation
32	A2M	STAT1	0.710411165692853	1	activation
33	A2M	STAT3	0.916651898722827	1	activation
34	A4GNT	MUC12	0.506686545677602	1	activation
35	AAAS	CPSF1	-0.0567558383617518	1	inhibition
36	AAAS	SEH1L	-0.956801402250181	1	inhibition
37	AAAS	THOC3	0.822344052579088	1	activation
38	AAK1	AMPH	0.87481897547633	1	activation
39	AAK1	DNAJC6	-0.883710096716042	1	inhibition
40	AAK1	IL7R	0.237957030558926	1	activation
41	AAK1	LDLRAP1	0.0959951130644335	1	activation
42	AAK1	RPS27A	0.198665127960293	1	activation
43	AAK1	UBC	0.365711695891914	1	activation
44	AATF	FOXP3	0.144924620791322	1	activation
45	AATF	PAWR	0.637535226164785	1	activation
46	AATF	RELA	0.678886942352554	1	activation
47	ABCC8	ANK2	0.680181027710786	1	activation
48	ABCC8	CACNA1A	0.180456814396357	1	activation
49	ABCC8	CACNA1B	0.753644547126907	1	activation
50	ABCC8	CACNA1C	0.275063347133624	1	activation
51	ABCC8	CACNA1D	-0.16014999902201	1	inhibition
52	ABCC8	CACNA1E	0.276241245208401	1	activation
53	ABCC8	CACNA1G	0.279793303506001	1	activation
54	ABCC8	KCNJ1	0.931777162813431	1	activation
55	ABCC8	KCNJ10	0.222252336579206	1	activation
56	ABCC8	KCNJ11	0.553696234340076	1	activation
57	ABCC8	KCNJ12	0.996032252080015	1	activation
58	ABCC8	KCNJ13	0.857211610302183	1	activation
59	ABCC8	KCNJ15	0.99676434725898	1	activation
60	ABCC8	KCNJ16	-0.710181632489242	1	inhibition
61	ABCC8	KCNJ2	-0.0135449787762647	1	inhibition
62	ABCC8	KCNJ3	0.566794844294658	1	activation
63	ABCC8	KCNJ4	0.984726945956812	1	activation
64	ABCC8	KCNJ5	0.983705135670189	1	activation
65	ABCC8	KCNJ6	0.353505302630275	1	activation
66	ABCC8	KCNJ8	0.967539952896841	1	activation
67	ABCC8	PRKACA	-0.20371168872558	1	inhibition
68	ABCC8	PRKACB	-0.857317291829258	1	inhibition
69	ABCC8	PRKACG	0.893536612311693	1	activation
70	ABCC8	RAPGEF3	-0.688730537314429	1	inhibition
71	ABCC8	RAPGEF4	0.218189217432676	1	activation
72	ABCC9	KCNJ14	0.182218813268776	1	activation
73	ABCC9	KCNJ6	-0.0492331107695522	1	inhibition
