tf	target	mor	likelihood	state
1	A2M	RELA	0.207287672278952	1	activation
2	A2M	RHOB	0.180456814396357	1	activation
3	A2M	SERPING1	0.844931057148077	1	activation
4	ABCC8	KCNJ6	0.353505302630275	1	activation
5	ACTA1	ACTC1	0.986056622773018	1	activation
6	ACTA1	CKM	0.918979185247299	1	activation
7	ACTA1	MMP16	0.596992629769632	1	activation
8	ACTA1	MMP20	0.711634919330871	1	activation
9	ACTA1	MMP28	0.239030163461954	1	activation
10	ACTA1	MYH11	0.312963178625748	1	activation
11	ACTA1	MYH4	0.99975334846513	1	activation
12	ACTA1	OCLN	0.766728527351623	1	activation
13	ACTA1	TTN	0.397665309994476	1	activation
14	ACTC1	GRIN2B	0.276241245208401	1	activation
15	ACTC1	MMP16	0.0850622392449925	1	activation
16	ACTC1	MMP20	0.661828604765878	1	activation
17	ACTC1	MMP28	0.290612771637181	1	activation
18	ACTC1	MYH11	-0.26996823248509	1	inhibition
19	ACTC1	MYH4	0.990166943587946	1	activation
20	ACTC1	TPM2	0.0934089976344616	1	activation
21	ACTC1	WAS	0.393441053607973	1	activation
22	ADAM15	SH3RF1	0.345470802766245	1	activation
23	ADAM22	LGI1	0.419005449189551	1	activation
24	ADRA2C	GNAI1	0.243355186229734	1	activation
25	ADRA2C	GNAZ	-0.94410587783072	1	inhibition
26	AHRR	SNAI3	-0.722869779036791	1	inhibition
27	AHRR	TGS1	0.220214189332648	1	activation
28	ALB	APOC2	-0.171661134360996	1	inhibition
29	ALB	HBA1	-0.970950179860311	1	inhibition
30	ALMS1	CC2D2A	0.825840602855655	1	activation
31	ALMS1	FGFR1OP	0.380865901853903	1	activation
32	ALMS1	ODF2	0.999734702268287	1	activation
33	ALMS1	RAB3IP	-0.892380298632627	1	inhibition
34	AMOTL1	MPDZ	-0.685340742848958	1	inhibition
35	AMPH	DNAJC6	-0.1756269119369	1	inhibition
36	AMPH	IL7R	0.471342397332025	1	activation
37	AMPH	LDLRAP1	-0.0147532086136695	1	inhibition
38	AMPH	RPS27A	-0.813395969706281	1	inhibition
39	AMPH	UBC	0.260033081412441	1	activation
40	ANGPTL4	GPIHBP1	-0.186517632360974	1	inhibition
41	ANGPTL4	LPL	-0.816802214217091	1	inhibition
42	ANO3	CLCA3P	0.997908764382522	1	activation
43	ANO5	CLCA3P	0.132797778348492	1	activation
44	APBB2	LRP3	0.978260504301396	1	activation
45	APLN	GNAI1	-0.0783125569941427	1	inhibition
46	APOC2	GPC1	0.220214189332648	1	activation
47	APOC2	GPIHBP1	0.0975762278463846	1	activation
48	APOC2	LPL	-0.10023291653012	1	inhibition
49	APOC2	SDC3	-0.489967899131312	1	inhibition
50	APOC2	SDC4	0.0928990619863963	1	activation
51	ARHGEF15	LIMCH1	0.184886231409405	1	activation
52	ARTN	GRB7	0.983278698836509	1	activation
53	ARTN	IRS2	0.179580690014331	1	activation
