tf	target	mor	likelihood	state
1	AR	DDT	0.821849491357467	1	activation
2	AR	KRT18	0.452793594392009	1	activation
3	AR	MYC	0.422130072564159	1	activation
4	AR	RELA	0.872591729730678	1	activation
5	AR	UBC	0.360704013314597	1	activation
6	ATF1	UGT8	0.973642639277571	1	activation
7	ATF2	PLAT	0.642891813662264	1	activation
8	CDX2	SI	-0.630511636350333	1	inhibition
9	CEBPA	ALB	0.637873346416356	1	activation
10	CEBPA	CSF1	-0.463841260196508	1	inhibition
11	CEBPA	ELN	0.915294666912095	1	activation
12	CEBPA	EPO	0.324732014540027	1	activation
13	CEBPA	HSPA4	0.961193292418152	1	activation
14	CEBPA	ID1	0.959195600436751	1	activation
15	CEBPA	IGF1	0.422130072564159	1	activation
16	CEBPA	IL5	-0.661442573811723	1	inhibition
17	CEBPA	LBP	0.998606340206951	1	activation
18	CEBPA	MYC	-0.835330463300743	1	inhibition
19	CEBPB	ALB	-0.164123407356595	1	inhibition
20	CEBPB	BCL2L1	-0.412272689177847	1	inhibition
21	CEBPB	F8	0.885671268181879	1	activation
22	CEBPB	IL5	0.563153527033689	1	activation
23	CREB1	BDNF	0.96000515362325	1	activation
24	CREB1	CYP17A1	0.712653189208909	1	activation
25	CREB1	ETV3	-0.0862313418106436	1	inhibition
26	CREB1	IL2	0.932260619666868	1	activation
27	CREB1	NR4A3	-0.980697084739988	1	inhibition
28	CREB1	PLAT	0.774476769998321	1	activation
29	CREB1	UGT8	0.96581900357031	1	activation
30	CTCF	ANG	0.77993545434123	1	activation
31	CTCF	C1R	0.747612824161665	1	activation
32	CTCF	MYC	-0.926763979238137	1	inhibition
33	CTCF	NPC1	-0.105036998134247	1	inhibition
34	CTCF	PLXNB3	-0.673143729562878	1	inhibition
35	CTCF	RPP30	-0.263761578793431	1	inhibition
36	CTCF	SIX5	0.971629848651358	1	activation
37	CTCF	SLC6A4	0.903286961959937	1	activation
38	CTCF	ZNF20	0.505317337345358	1	activation
39	E2F1	ATG10	-0.111767998298572	1	inhibition
40	E2F1	CASR	-0.37507758852864	1	inhibition
41	E2F1	DCC	0.541822620690439	1	activation
42	E2F1	DIRAS3	0.803078118588277	1	activation
43	E2F1	ECT2	-0.2688199492263	1	inhibition
44	E2F1	ETV4	-0.744720603254179	1	inhibition
45	E2F1	GRIK5	0.788340803952805	1	activation
46	E2F1	IQCK	0.490264993223709	1	activation
47	E2F1	MPPED2	0.511769665694364	1	activation
48	E2F1	MYC	0.764114794451211	1	activation
49	E2F1	NTNG2	0.396144127935628	1	activation
50	E2F1	RELA	-0.653512726302325	1	inhibition
51	E2F1	RRM1	-0.848839393441781	1	inhibition
52	E2F1	TMCO5A	0.691444985490789	1	activation
53	E2F4	DIRAS3	0.403370421050158	1	activation
54	E2F4	LGALS1	0.654823468059776	1	activation
55	E2F4	MYC	0.449601097016248	1	activation
56	E2F4	P4HA2	0.983085935987496	1	activation
57	E2F4	PDXP	-0.231042622564937	1	inhibition
58	E2F4	REL	0.999232612113635	1	activation
59	E2F4	RRM1	0.295991625126607	1	activation
60	E2F4	SH3BGR	0.305112844927199	1	activation
61	EGR1	ANGPTL4	0.968519369809751	1	activation
62	EGR1	BCAR1	-0.683343662355562	1	inhibition
63	EGR1	CACNA1H	-0.340376221091445	1	inhibition
64	EGR1	CYP2B6	0.401301556327022	1	activation
65	EGR1	IL2	-0.630511636350333	1	inhibition
66	EGR1	IL2RB	-0.385400978799855	1	inhibition
67	EGR1	MYC	0.355746312111176	1	activation
68	EGR1	RELA	-0.654841392776271	1	inhibition
69	EGR1	SPRY1	0.475236894872574	1	activation
70	ELK1	MYLK	0.886152531883705	1	activation
71	EPAS1	EPO	0.976171774671261	1	activation
72	ESR1	ABCG2	0.526813925325934	1	activation
73	ESR1	ANGPTL4	-0.0776741385874313	1	inhibition
74	ESR1	BMP6	-0.685863402613892	1	inhibition
75	ESR1	C3	0.323783982494559	1	activation
76	ESR1	CLDN4	-0.683343662355562	1	inhibition
77	ESR1	CRH	0.331405477193772	1	activation
78	ESR1	CRHBP	0.306954575900066	1	activation
79	ESR1	GREB1	-0.129323623213978	1	inhibition
80	ESR1	IGF1	-0.129323623213978	1	inhibition
81	ESR1	KRT18	0.297804092148596	1	activation
82	ESR1	MTA3	0.897674197284403	1	activation
83	ESR1	MYC	0.435817559354252	1	activation
84	ESR1	NBPF4	0.375741775583399	1	activation
85	ESR1	NOTCH2	-0.480608274958043	1	inhibition
86	ESR1	NR5A2	0.807361342657251	1	activation
87	ETS1	ANGPT2	-0.883241175508633	1	inhibition
88	ETS1	CD53	0.99621844375099	1	activation
89	ETS1	ETV4	0.531106826518109	1	activation
90	ETS1	F13A1	0.48059974752939	1	activation
91	ETS1	IL2	0.825845234892478	1	activation
92	ETS1	IL2RB	0.976171774671261	1	activation
93	ETS1	IL5	0.892265179906296	1	activation
94	ETS1	WAS	0.517145152588992	1	activation
95	ETS2	ANGPT2	0.955374128399888	1	activation
96	ETS2	IL5	-0.498872898183453	1	inhibition
97	ETS2	MYC	-0.469938606737506	1	inhibition
98	ETV4	AGTR1	-0.760771229199718	1	inhibition
99	ETV4	BDKRB1	0.88806170606449	1	activation
100	ETV4	ERBB2	0.478453931816094	1	activation
101	ETV4	ETS1	0.531106826518109	1	activation
102	ETV4	MMP2	0.73045013018379	1	activation
