tf	target	mor	likelihood	state
1	MYC	ATP6V1G2	-0.723312343227295	1	inhibition
2	MYC	CEACAM5	0.882750134570273	1	activation
3	MYC	DLEU2	-0.492790573880303	1	inhibition
4	MYC	HSPA4	0.935348387061546	1	activation
5	MYC	ID2	0.315312895019068	1	activation
6	MYC	IL2	-0.603945040755618	1	inhibition
7	MYC	MGST1	0.417940684218578	1	activation
8	MYC	MST1	-0.944207059498881	1	inhibition
9	MYC	NTN3	0.90072798546032	1	activation
10	MYC	PRTN3	0.915672926583467	1	activation
11	MYC	RPL3	0.956465510483416	1	activation
12	MYC	SIM2	-0.71156788060911	1	inhibition
13	MYC	TPM2	0.817107092153599	1	activation
14	MYC	UCP3	-0.107021147427715	1	inhibition
15	REL	CCL2	-0.613831503772994	1	inhibition
16	REL	CD40LG	-0.164123407356595	1	inhibition
17	REL	IL2	-0.898976655343257	1	inhibition
18	RELA	BCL2L1	0.980698217869755	1	activation
19	RELA	CCL11	0.443228706128933	1	activation
20	RELA	CCL2	0.838078462938068	1	activation
21	RELA	CD40LG	0.635858534163356	1	activation
22	RELA	CSF1	-0.421314403387519	1	inhibition
23	RELA	IL2	0.717160213727767	1	activation
24	RELA	MICA	-0.530630665909439	1	inhibition
25	RELA	MYC	-0.44404757430343	1	inhibition
26	RELA	NOS2	0.995256514915144	1	activation
