tf	target	mor	likelihood	state
1	BCL6B	A4GALT	0.293000099959006	1	activation
2	BCL6B	ABCA13	-0.892424111739433	1	inhibition
3	BCL6B	ADAM15	0.207040649105707	1	activation
4	BCL6B	AFF3	-0.599002660418604	1	inhibition
5	BCL6B	ANGPT2	-0.980321341736345	1	inhibition
6	BCL6B	ARHGEF15	0.991873662370251	1	activation
7	BCL6B	B3GNT8	0.993987299516	1	activation
8	BCL6B	BAALC	-0.809076929737725	1	inhibition
9	BCL6B	CC2D2A	0.349923341222832	1	activation
10	BCL6B	CCDC102B	-0.996473967246632	1	inhibition
11	BCL6B	CDH6	0.263390599249161	1	activation
12	BCL6B	CLECL1	-0.831528418499909	1	inhibition
13	BCL6B	CNTNAP4	-0.915033349293769	1	inhibition
14	BCL6B	CRB1	-0.433759195561987	1	inhibition
15	BCL6B	CSF1	0.950999294788068	1	activation
16	BCL6B	DMBT1	-0.952013070046688	1	inhibition
17	BCL6B	EPHX4	0.280918566878246	1	activation
18	BCL6B	ESAM	0.735400165259508	1	activation
19	BCL6B	ETV4	-0.226626521602269	1	inhibition
20	BCL6B	F8	0.62394617158079	1	activation
21	BCL6B	GHR	0.733313976984548	1	activation
22	BCL6B	GIMAP6	-0.174433491775083	1	inhibition
23	BCL6B	GPR176	0.836652625802012	1	activation
24	BCL6B	HLF	-0.980823396276065	1	inhibition
25	BCL6B	HLX	0.98049613514369	1	activation
26	BCL6B	HOXA13	-0.948324021673452	1	inhibition
27	BCL6B	HSD3B7	0.820089506419427	1	activation
28	BCL6B	IL3RA	0.841176984338702	1	activation
29	BCL6B	KIR2DS5	-0.772764035551719	1	inhibition
30	BCL6B	LCA5L	-0.283208156517346	1	inhibition
31	BCL6B	LHX6	-0.833373274479818	1	inhibition
32	BCL6B	MAGI1	-0.535884300566373	1	inhibition
33	BCL6B	MYC	0.196746680925183	1	activation
34	BCL6B	MYCT1	-0.971292686649823	1	inhibition
35	BCL6B	NAALADL1	0.962246265346838	1	activation
36	BCL6B	NBL1	0.659834332841365	1	activation
37	BCL6B	NOG	-0.274260694689788	1	inhibition
38	BCL6B	NOVA2	0.728059285950839	1	activation
39	BCL6B	PIK3C2B	-0.50785710908716	1	inhibition
40	BCL6B	PLAT	-0.758333520037405	1	inhibition
41	BCL6B	PMFBP1	-0.96017556406557	1	inhibition
42	BCL6B	PROS1	0.945300303630817	1	activation
43	BCL6B	RASGRF2	-0.376623887644306	1	inhibition
44	BCL6B	RTTN	-0.951416030262253	1	inhibition
45	BCL6B	S1PR1	-0.925970195069169	1	inhibition
46	BCL6B	SH2B3	0.996424291195097	1	activation
47	BCL6B	SH2D1B	-0.979936605694581	1	inhibition
48	BCL6B	SLC1A5	0.55939549873673	1	activation
49	BCL6B	SMARCE1	0.999610755814541	1	activation
50	BCL6B	SPRY1	-0.889244815178406	1	inhibition
51	BCL6B	TINAGL1	0.95351316326044	1	activation
52	BCL6B	TMC6	0.32996861116336	1	activation
53	BCL6B	UBE2U	-0.130587732802985	1	inhibition
54	BCL6B	VEGFC	0.996263277981424	1	activation
55	DMRTC2	APCS	0.200660030606211	1	activation
56	DMRTC2	CRH	0.622729149776602	1	activation
57	DMRTC2	DEFA1B	0.60926615593561	1	activation
58	DMRTC2	HOXA13	0.968925185954467	1	activation
59	DMRTC2	LYPD4	0.964458773421741	1	activation
60	DMRTC2	MS4A6E	-0.304665613428825	1	inhibition
61	DMRTC2	PPP3R2	0.527807595114401	1	activation
62	DMRTC2	RPTN	0.943060417247079	1	activation
63	DMRTC2	SI	0.583231428415988	1	activation
64	DMRTC2	TMCO5A	-0.213665133307368	1	inhibition
65	DMRTC2	ZBBX	0.258650500005466	1	activation
66	ETV3	RELA	0.337656445773021	1	activation
67	ETV3	AURKAIP1	0.648014739781532	1	activation
68	ETV3	CDC42BPB	-0.284714262365389	1	inhibition
69	ETV3	CERK	-0.252585074855568	1	inhibition
70	ETV3	CRYBG3	-0.504335687046754	1	inhibition
71	ETV3	DDOST	-0.234637767883662	1	inhibition
72	ETV3	DUSP5	-0.0635805319331661	1	inhibition
73	ETV3	HAL	0.209471317937099	1	activation
74	ETV3	HSPA4	0.254899166008639	1	activation
75	ETV3	NOTCH2	-0.888598939305834	1	inhibition
76	ETV3	NUDT12	0.87720696968701	1	activation
77	ETV3	PRRG2	-0.184589589160783	1	inhibition
78	ETV3	PTK2B	-0.189234500873476	1	inhibition
79	ETV3	RAB14	0.309587637118821	1	activation
80	ETV3	RAB35	0.243863854202703	1	activation
81	ETV3	REL	0.638452255311485	1	activation
82	ETV3	RRM1	-0.331727829565688	1	inhibition
83	ETV3	SH2B3	0.252109525744629	1	activation
84	ETV3	TASP1	0.545516435038469	1	activation
85	ETV3	TGS1	-0.497284517120061	1	inhibition
86	ETV3	TMEM9B	0.199872781046048	1	activation
87	ETV3	UBE2N	0.994196833974476	1	activation
88	ETV3	USP1	0.975777727741294	1	activation
89	ETV3	USP6NL	-0.203652494267161	1	inhibition
90	ETV3	ZNF223	0.804125688699187	1	activation
91	ETV3	ZNF281	0.999112040998887	1	activation
92	ETV3	ZNFX1	0.616626401832401	1	activation
93	FOXE1	MSX1	-0.115334530308476	1	inhibition
94	FOXE1	ABCA13	0.656304696222332	1	activation
95	FOXE1	ACTA1	0.957452454292337	1	activation
96	FOXE1	CKM	0.989876500664042	1	activation
97	FOXE1	GJB6	0.571967182329777	1	activation
98	FOXE1	KRT14	-0.374925629849227	1	inhibition
99	FOXE1	WFDC5	0.885579020430962	1	activation
100	FOXH1	ACSF2	0.99609553897605	1	activation
101	FOXH1	ACTC1	0.845609409136712	1	activation
102	FOXH1	C3	0.861756663002813	1	activation
103	FOXH1	CC2D2A	0.942076493270699	1	activation
104	FOXH1	CSMD2	0.992780165040398	1	activation
105	FOXH1	DMC1	-0.944708656125502	1	inhibition
106	FOXH1	ESAM	-0.534141864084948	1	inhibition
107	FOXH1	FTCD	0.903018303831234	1	activation
108	FOXH1	KCNK5	-0.44254980283591	1	inhibition
109	FOXH1	LAMC1	-0.889887334785637	1	inhibition
110	FOXH1	LBP	-0.177773494920979	1	inhibition
111	FOXH1	LIMCH1	-0.287739006747008	1	inhibition
112	FOXH1	MMP17	-0.800723778370702	1	inhibition
113	FOXH1	MMP20	-0.688320041565959	1	inhibition
114	FOXH1	MPDZ	-0.980193884534878	1	inhibition
115	FOXH1	MYADML2	0.304346270367977	1	activation
116	FOXH1	MYH4	0.86509188260372	1	activation
117	FOXH1	OMD	0.979987993464527	1	activation
118	FOXH1	OR5K2	0.928294139621666	1	activation
119	FOXH1	OSMR	-0.987289870877275	1	inhibition
120	FOXH1	PDE11A	0.932919696182189	1	activation
121	FOXH1	PRR15	-0.241446048711047	1	inhibition
122	FOXH1	RORC	-0.587303009273171	1	inhibition
123	FOXH1	SCT	0.548042935604977	1	activation
124	FOXH1	SLAMF1	-0.176655123045277	1	inhibition
125	FOXH1	SLC35A1	0.905537740849854	1	activation
126	FOXH1	SPAG9	0.973880767917126	1	activation
127	FOXH1	TMEM70	0.99871961521047	1	activation
128	FOXH1	ZNF496	0.249340396006642	1	activation
129	FOXI1	ACE2	0.684120606282273	1	activation
130	FOXI1	ACTL8	0.752761872632793	1	activation
131	FOXI1	ALDOB	0.963145514103594	1	activation
132	FOXI1	ALG1	0.484839717357154	1	activation
133	FOXI1	ALOX12	0.904032563260412	1	activation
134	FOXI1	BEND7	-0.730176617451995	1	inhibition
135	FOXI1	CCDC102B	0.81348109695159	1	activation
136	FOXI1	CMTM5	-0.346455681562335	1	inhibition
137	FOXI1	CYP2B6	0.972542905766529	1	activation
138	FOXI1	CYP2R1	0.959912598290983	1	activation
139	FOXI1	DLGAP1	0.754759942133039	1	activation
140	FOXI1	DNAH5	-0.0660666349553626	1	inhibition
141	FOXI1	ETV4	0.987436173835349	1	activation
142	FOXI1	F13A1	0.420341159548679	1	activation
143	FOXI1	FAM156A	0.679554107739858	1	activation
144	FOXI1	GAS2	-0.414516470336023	1	inhibition
145	FOXI1	HBA1	-0.577173978371157	1	inhibition
146	FOXI1	HSD17B8	0.841176984338702	1	activation
147	FOXI1	KCNQ1	0.469771593548694	1	activation
148	FOXI1	LGALS1	0.977833129362776	1	activation
149	FOXI1	LYPLA2	-0.0650622682206654	1	inhibition
150	FOXI1	MPDZ	-0.298454663397105	1	inhibition
151	FOXI1	MYRIP	0.757739162478005	1	activation
152	FOXI1	NDRG2	0.944668248085966	1	activation
153	FOXI1	PDXP	0.818452858148142	1	activation
154	FOXI1	PLEKHG5	-0.314097098154676	1	inhibition
155	FOXI1	PSD3	0.426434224511975	1	activation
156	FOXI1	RFPL4B	0.974527452105226	1	activation
157	FOXI1	RHOB	0.339870088090926	1	activation
158	FOXI1	RP2	0.807563619915891	1	activation
159	FOXI1	RPL11	0.884411318447174	1	activation
160	FOXI1	SERPIND1	0.773260445407711	1	activation
161	FOXI1	SERTAD1	-0.172231997894167	1	inhibition
162	FOXI1	SKA2	-0.147374320818866	1	inhibition
163	FOXI1	SP8	0.944029886581801	1	activation
164	FOXI1	SPC25	-0.230610364525381	1	inhibition
165	FOXI1	TAS2R20	0.867715626696464	1	activation
166	FOXI1	TMEM9B	0.742630179690465	1	activation
167	FOXI1	TPCN1	-0.0583955748634729	1	inhibition
168	FOXI1	TRIB2	0.456039012334793	1	activation
169	FOXI1	TTC39B	0.812643458932924	1	activation
170	FOXI1	USP1	0.951850131898254	1	activation
171	FOXI1	VCY	0.302264316949771	1	activation
172	FOXI1	ZDHHC13	-0.261133860068261	1	inhibition
173	FOXI1	ZNF213	-0.127067846593753	1	inhibition
174	FOXI1	ZNF597	-0.233290478775366	1	inhibition
175	FOXL1	A2M	0.92947511903281	1	activation
176	FOXL1	ACE2	0.369305766564528	1	activation
177	FOXL1	ACTC1	0.461022572439327	1	activation
178	FOXL1	ADRA2C	0.838170981357261	1	activation
179	FOXL1	ALG1	0.941745278774586	1	activation
180	FOXL1	ALOX12	0.881450965001774	1	activation
181	FOXL1	ATP8B1	0.968347223339646	1	activation
182	FOXL1	BEND7	-0.753377379006132	1	inhibition
183	FOXL1	BMX	-0.672020130634621	1	inhibition
184	FOXL1	CDH6	-0.528906165981769	1	inhibition
185	FOXL1	CMTM5	-0.353081944836537	1	inhibition
186	FOXL1	COL18A1	-0.886641043623111	1	inhibition
187	FOXL1	CSDC2	-0.667490554722792	1	inhibition
188	FOXL1	CYP2R1	0.555614715918089	1	activation
189	FOXL1	DLGAP1	0.90148059497527	1	activation
190	FOXL1	DNAH5	-0.314097098154676	1	inhibition
191	FOXL1	ELN	-0.590659129043592	1	inhibition
192	FOXL1	ESAM	-0.449596864310315	1	inhibition
193	FOXL1	F13A1	-0.848381817111592	1	inhibition
194	FOXL1	FRZB	-0.844091057850556	1	inhibition
195	FOXL1	GAS2	-0.818135947022349	1	inhibition
196	FOXL1	GPR176	-0.965737627950497	1	inhibition
197	FOXL1	HBA1	-0.115334530308476	1	inhibition
198	FOXL1	JAG1	-0.214939090797934	1	inhibition
199	FOXL1	KCNQ1	0.753762095958776	1	activation
200	FOXL1	LYPLA2	-0.883309542239987	1	inhibition
201	FOXL1	MMP28	-0.996473967246632	1	inhibition
202	FOXL1	MPDZ	-0.942637514892224	1	inhibition
203	FOXL1	MYH11	-0.528906165981769	1	inhibition
204	FOXL1	MYLK	0.983306538944216	1	activation
205	FOXL1	MYOZ1	0.249340396006642	1	activation
206	FOXL1	NCS1	-0.647463451075349	1	inhibition
207	FOXL1	NDRG2	0.204630687701064	1	activation
208	FOXL1	PIP4K2A	0.202241408081333	1	activation
209	FOXL1	PLEKHG5	-0.650585668676634	1	inhibition
210	FOXL1	PPFIA2	0.846339235073746	1	activation
211	FOXL1	PSD3	-0.15131868475152	1	inhibition
212	FOXL1	RASL12	0.987931266840109	1	activation
213	FOXL1	RPL11	0.310642120569569	1	activation
214	FOXL1	SERPIND1	0.363553548577626	1	activation
215	FOXL1	SGCA	-0.570373483232475	1	inhibition
216	FOXL1	SP8	0.627589931194044	1	activation
217	FOXL1	SPEG	0.883234240487353	1	activation
218	FOXL1	TAS2R20	0.965099679119865	1	activation
219	FOXL1	TINAGL1	-0.647463451075349	1	inhibition
220	FOXL1	TMEM176A	0.689787214896018	1	activation
221	FOXL1	TMEM9B	0.505029456401182	1	activation
222	FOXL1	TPM2	-0.984524362297118	1	inhibition
223	FOXL1	TRIB2	0.947159105633872	1	activation
224	FOXL1	TSHZ3	0.853498099359328	1	activation
225	FOXL1	TTC39B	0.86965766038911	1	activation
226	FOXL1	ZDHHC13	0.208658792733994	1	activation
227	FOXL1	ZNF213	-0.833373274479818	1	inhibition
228	FOXP2	HIVEP3	0.694286464976225	1	activation
229	FOXP2	SLC1A5	-0.830599642115596	1	inhibition
230	FOXP3	IL2	0.955125693353552	1	activation
