source	target
C1orf159	TTLL10
TTLL10	RP11-54O7.2
TTLL10	C1orf170
TTLL10	PLEKHN1
C1orf170	PLEKHN1
TTLL10	231
TTLL10	240
TTLL10	241
TTLL10	242
TTLL10	245
TTLL10	251
TTLL10	252
TTLL10	RP5-902P8.10
TTLL10	UBE2J2
RP5-902P8.10	UBE2J2
TNFRSF18	TNFRSF4
TNFRSF18	TTLL10
TNFRSF4	TTLL10
RP5-902P8.10	TTLL10
UBE2J2	TTLL10
SCNN1D	TTLL10
SSU72	TMEM240
SSU72	AURKAIP1
TMEM240	AURKAIP1
SSU72	CDK11A
SSU72	RP1-283E3.4
SSU72	RP1-283E3.8
SSU72	SLC35E2
TMEM240	CDK11A
TMEM240	RP1-283E3.4
TMEM240	RP1-283E3.8
TMEM240	SLC35E2
CDK11A	RP1-283E3.4
CDK11A	RP1-283E3.8
CDK11A	SLC35E2
RP1-283E3.4	RP1-283E3.8
RP1-283E3.4	SLC35E2
RP1-283E3.8	SLC35E2
AGMAT	NECAP2
DDI2	NECAP2
CLCNKB	RP11-5P18.10
CLCNKB	NECAP2
RP11-5P18.10	NECAP2
ANO7P1	NECAP2
C1orf134	NECAP2
NECAP2	3454
NECAP2	3455
NECAP2	3473
NECAP2	3482
NECAP2	3510
NECAP2	3528
NECAP2	3529
NECAP2	3531
NECAP2	3573
NECAP2	3574
NECAP2	3575
NECAP2	3633
NECAP2	3636
NECAP2	34265
NECAP2	60250
NECAP2	60251
IFNLR1	5333
NIPAL3	STPG1
NIPAL3	5333
STPG1	5333
RCAN3	5333
ZDHHC18	RP1-159A19.4
RNU6-48P	RP11-4K3__A.5
RNU6-48P	RP1-159A19.4
RP11-4K3__A.5	RP1-159A19.4
RP1-159A19.4	5958
RP1-159A19.4	5959
RP1-159A19.4	5960
RP1-159A19.4	5961
RP1-159A19.4	5962
RP1-159A19.4	5963
RP1-159A19.4	5964
RP1-159A19.4	5967
RP1-159A19.4	5969
RP1-159A19.4	5970
RP1-159A19.4	5971
RP1-159A19.4	5988
RP1-159A19.4	6007
AHDC1	RP1-159A19.4
PUM1	6990
PEF1	RP11-73M7.6
PEF1	RP11-73M7.9
PEF1	6990
RP11-73M7.6	RP11-73M7.9
RP11-73M7.6	6990
RP11-73M7.9	6990
AL136115.1	DCDC2B
AL136115.1	EIF3I
AL136115.1	RP4-622L5.7
AL136115.1	TMEM234
DCDC2B	EIF3I
DCDC2B	RP4-622L5.7
DCDC2B	TMEM234
EIF3I	RP4-622L5.7
EIF3I	TMEM234
RP4-622L5.7	TMEM234
RP11-277A4.4	TMEM39B
RP11-277A4.4	6990
TMEM39B	6990
KPNA6	6990
TXLNA	DCDC2B
TXLNA	EIF3I
TXLNA	RP4-622L5.7
TXLNA	TMEM234
CCDC28B	DCDC2B
CCDC28B	EIF3I
CCDC28B	RP4-622L5.7
CCDC28B	TMEM234
CCDC28B	6990
IQCC	RP4-622L5.7
IQCC	6990
RP4-622L5.7	6990
DCDC2B	6840
EIF3I	6840
RP4-622L5.7	6840
TMEM234	6840
DCDC2B	6844
EIF3I	6844
RP4-622L5.7	6844
TMEM234	6844
DCDC2B	6846
EIF3I	6846
RP4-622L5.7	6846
TMEM234	6846
DCDC2B	CCDC28B
EIF3I	CCDC28B
RP4-622L5.7	CCDC28B
TMEM234	CCDC28B
DCDC2B	6964
EIF3I	6964
RP4-622L5.7	6964
TMEM234	6964
DCDC2B	6970
EIF3I	6970
RP4-622L5.7	6970
TMEM234	6970
DCDC2B	6972
EIF3I	6972
RP4-622L5.7	6972
TMEM234	6972
DCDC2B	6973
EIF3I	6973
RP4-622L5.7	6973
TMEM234	6973
DCDC2B	6975
EIF3I	6975
RP4-622L5.7	6975
TMEM234	6975
DCDC2B	6976
EIF3I	6976
RP4-622L5.7	6976
TMEM234	6976
DCDC2B	6977
EIF3I	6977
RP4-622L5.7	6977
TMEM234	6977
DCDC2B	6978
EIF3I	6978
RP4-622L5.7	6978
TMEM234	6978
DCDC2B	6979
EIF3I	6979
RP4-622L5.7	6979
TMEM234	6979
DCDC2B	6980
EIF3I	6980
RP4-622L5.7	6980
TMEM234	6980
DCDC2B	6981
EIF3I	6981
RP4-622L5.7	6981
TMEM234	6981
DCDC2B	6982
EIF3I	6982
RP4-622L5.7	6982
TMEM234	6982
DCDC2B	HDAC1
DCDC2B	MARCKSL1
EIF3I	HDAC1
EIF3I	MARCKSL1
RP4-622L5.7	HDAC1
RP4-622L5.7	MARCKSL1
TMEM234	HDAC1
TMEM234	MARCKSL1
HDAC1	MARCKSL1
DCDC2B	RP4-811H24.9
DCDC2B	TSSK3
EIF3I	RP4-811H24.9
EIF3I	TSSK3
RP4-622L5.7	RP4-811H24.9
RP4-622L5.7	TSSK3
TMEM234	RP4-811H24.9
TMEM234	TSSK3
RP4-811H24.9	TSSK3
DCDC2B	FAM229A
EIF3I	FAM229A
RP4-622L5.7	FAM229A
TMEM234	FAM229A
FAM229A	TSSK3
DCDC2B	6986
EIF3I	6986
RP4-622L5.7	6986
TMEM234	6986
DCDC2B	6987
EIF3I	6987
RP4-622L5.7	6987
TMEM234	6987
DCDC2B	6988
EIF3I	6988
RP4-622L5.7	6988
TMEM234	6988
DCDC2B	6989
EIF3I	6989
RP4-622L5.7	6989
TMEM234	6989
DCDC2B	6990
EIF3I	6990
TMEM234	6990
DCDC2B	BSDC1
EIF3I	BSDC1
RP4-622L5.7	BSDC1
TMEM234	BSDC1
DCDC2B	6992
EIF3I	6992
RP4-622L5.7	6992
TMEM234	6992
DCDC2B	6993
EIF3I	6993
RP4-622L5.7	6993
TMEM234	6993
DCDC2B	6994
EIF3I	6994
RP4-622L5.7	6994
TMEM234	6994
DCDC2B	6995
EIF3I	6995
RP4-622L5.7	6995
TMEM234	6995
DCDC2B	6996
EIF3I	6996
RP4-622L5.7	6996
TMEM234	6996
DCDC2B	6997
EIF3I	6997
RP4-622L5.7	6997
TMEM234	6997
DCDC2B	7000
EIF3I	7000
RP4-622L5.7	7000
TMEM234	7000
FAM167B	6990
LCK	6990
HDAC1	DCDC2B
HDAC1	EIF3I
HDAC1	RP4-622L5.7
HDAC1	TMEM234
HDAC1	6990
MARCKSL1	DCDC2B
MARCKSL1	EIF3I
MARCKSL1	RP4-622L5.7
MARCKSL1	TMEM234
MARCKSL1	6990
RP4-811H24.9	DCDC2B
RP4-811H24.9	EIF3I
RP4-811H24.9	RP4-622L5.7
RP4-811H24.9	TMEM234
TSSK3	DCDC2B
TSSK3	EIF3I
TSSK3	RP4-622L5.7
TSSK3	TMEM234
RP4-811H24.9	6990
TSSK3	6990
FAM229A	DCDC2B
FAM229A	EIF3I
FAM229A	RP4-622L5.7
FAM229A	TMEM234
BSDC1	DCDC2B
BSDC1	EIF3I
BSDC1	RP4-622L5.7
BSDC1	TMEM234
ZBTB8OS	6990
RBBP4	6990
SYNC	6990
RP11-114B7.6	6990
KIAA1522	6990
RNF19B	DCDC2B
RNF19B	EIF3I
RNF19B	RP4-622L5.7
RNF19B	TMEM234
ARTN	9870
IPO13	RP11-7O11.3
IPO13	9870
RP11-7O11.3	9870
BTBD19	PLK3
BTBD19	TCTEX1D4
BTBD19	PTCH2
BTBD19	RNU5E-6P
PLK3	TCTEX1D4
PLK3	PTCH2
PLK3	RNU5E-6P
TCTEX1D4	PTCH2
TCTEX1D4	RNU5E-6P
PTCH2	RNU5E-6P
BTBD19	RNU5F-1
PTCH2	RNU5F-1
RNU5E-6P	RNU5F-1
PTCH2	PLK3
PTCH2	TCTEX1D4
RNU5E-6P	PLK3
RNU5E-6P	TCTEX1D4
BTBD19	EIF2B3
BTBD19	RP5-882O7.4
PTCH2	EIF2B3
PTCH2	RP5-882O7.4
RNU5E-6P	EIF2B3
RNU5E-6P	RP5-882O7.4
EIF2B3	RP5-882O7.4
BTBD19	10239
PTCH2	10239
RNU5E-6P	10239
BTBD19	MUTYH
BTBD19	TOE1
PTCH2	MUTYH
PTCH2	TOE1
RNU5E-6P	MUTYH
RNU5E-6P	TOE1
MUTYH	TOE1
BTBD19	10251
PTCH2	10251
RNU5E-6P	10251
BTBD19	10284
PTCH2	10284
RNU5E-6P	10284
BTBD19	TESK2
PTCH2	TESK2
RNU5E-6P	TESK2
BTBD19	PRDX1
PTCH2	PRDX1
RNU5E-6P	PRDX1
BTBD19	AKR1A1
PTCH2	AKR1A1
RNU5E-6P	AKR1A1
HECTD3	UROD
HECTD3	BTBD19
HECTD3	PTCH2
HECTD3	RNU5E-6P
UROD	BTBD19
UROD	PTCH2
UROD	RNU5E-6P
MUTYH	BTBD19
MUTYH	PTCH2
MUTYH	RNU5E-6P
TOE1	BTBD19
TOE1	PTCH2
TOE1	RNU5E-6P
TESK2	BTBD19
TESK2	PTCH2
TESK2	RNU5E-6P
PDZK1IP1	TAL1
TAL1	MKNK1
TAL1	MOB3C
MKNK1	MOB3C
TAL1	ATPAF1
TAL1	EFCAB14-AS1
TAL1	TEX38
ATPAF1	EFCAB14-AS1
ATPAF1	TEX38
EFCAB14-AS1	TEX38
TAL1	CYP4A22-AS1
TAL1	LINC00853
CYP4A22-AS1	LINC00853
TAL1	10680
TAL1	10681
TAL1	PDZK1IP1
TAL1	10683
TAL1	10684
TAL1	10685
TAL1	10686
TAL1	10693
TAL1	10694
TAL1	10695
TAL1	10696
TAL1	10697
TAL1	10699
TAL1	10700
TAL1	10707
TAL1	10708
TAL1	FOXD2
TAL1	10800
ROR1	15542
FRRS1	27505
RNU4-75P	27505
AL451051.1	27505
AGL	27505
SASS6	27505
SASS6	CENPL
SASS6	DARS2
CENPL	DARS2
TRMT13	27505
MIR553	27505
RP5-837M10.4	27505
GPR88	27505
RNU2-38P	34858
ACP6	34858
HAX1	UBAP2L
HAX1	AQP10
HAX1	ATP8B2
UBAP2L	AQP10
UBAP2L	ATP8B2
AQP10	ATP8B2
AQP10	36231
ATP8B2	36231
AQP10	36398
ATP8B2	36398
AQP10	MIR190B
AQP10	TPM3
ATP8B2	MIR190B
ATP8B2	TPM3
MIR190B	TPM3
AQP10	36402
ATP8B2	36402
AQP10	C1orf189
ATP8B2	C1orf189
AQP10	36415
ATP8B2	36415
AQP10	36416
ATP8B2	36416
AQP10	36426
ATP8B2	36426
AQP10	36428
ATP8B2	36428
AQP10	IL6R
AQP10	RP11-350G8.5
ATP8B2	IL6R
ATP8B2	RP11-350G8.5
IL6R	RP11-350G8.5
AQP10	36438
ATP8B2	36438
AQP10	36440
ATP8B2	36440
AQP10	36443
ATP8B2	36443
AQP10	36444
ATP8B2	36444
AQP10	36448
ATP8B2	36448
AQP10	36449
ATP8B2	36449
