V1,V2
AAAS,NCBP2
AAAS,NUP205
AAAS,SLU7
AAK1,TF
AARSD1,ARPC1A
ABCA1,PRKACB
ABCA1,SP3
ABCA2,SP3
ABCC1,NTRK1
ABCC3,ALB
ABCC8,PRKACB
ABCD1,PEX3
ABCD2,PEX3
ABCD3,PEX3
ABL1,JAK1
ABL1,MAP4K1
ABL1,PPP2CA
ABL2,PPP2CA
ACACA,SP3
ACACB,PTEN
ACAD8,ACADSB
ACAD8,CYP2C18
ACAD8,LDHD
ACAD9,NDUFAF7
ACAP2,SP3
ACBD5,PEX3
ACTA1,MYH11
ACTA2,MYH11
ACTA2,PXN
ACTB,FN1
ACTB,MEAF6
ACTB,MYH11
ACTB,PXN
ACTB,VPS72
ACTB,XPC
ACTBL2,FN1
ACTBL2,MYH11
ACTBL2,PXN
ACTC1,MYH11
ACTG1,FN1
ACTG1,MYH11
ACTG1,PXN
ACTG2,MYH11
ACTG2,PXN
ACTL6A,MEAF6
ACTL6A,VPS72
ACTL6A,XPC
ACTN1,FN1
ACTN1,JAK2
ACTN1,PXN
ACTN1,SRC
ACTN2,CAMK2G
ACTN2,FN1
ACTN2,PXN
ACTN3,FN1
ACTN3,PXN
ACTN4,FN1
ACTN4,PXN
ACTR10,CD59
ACTR10,HLA-DRB5
ACTR10,KDELR1
ACTR1A,AKAP9
ACTR1A,CD59
ACTR1A,CEP135
ACTR1A,HLA-DPA1
ACTR1A,HLA-DRB5
ACTR1A,KDELR1
ACTR1A,MYH11
ACTR1A,MZT2B
ACTR1A,ODF2
ACTR1A,SPTB
ACTR1A,SYNE1
ACTR1B,HLA-DPA1
ACTR1B,HLA-DRB5
ACTR1B,MYH11
ACTR2,TF
ACTR3,ARPC1A
ACTR3,EPN1
ACTR3,TF
ACTR5,XPC
ACTR8,XPC
ACVR1,TGFB1
ACVR1B,PRKACB
ACVR1B,TGFB1
ACVR1C,TGFB1
ACVR2A,TGFB1
ACVR2B,TGFB1
ACVRL1,TGFB1
ADA,NFIC
ADAM8,KIT
ADARB1,TGFB1
ADCK2,PDK2
ADCY1,CAMK2G
ADCY1,PRKACB
ADCY10,PRKACB
ADCY2,CAMK2G
ADCY2,PRKACB
ADCY3,CAMK2G
ADCY3,PRKACB
ADCY4,CAMK2G
ADCY4,PRKACB
ADCY5,CAMK2G
ADCY5,PRKACB
ADCY6,CAMK2G
ADCY6,PRKACB
ADCY7,CAMK2G
