name,attr1,attr2,n
AAAS,lalala,lalala,PPI
AAK1,lalala,lalala,PPI
AARSD1,lalala,lalala,PPI
ABCA1,lalala,lalala,PPI
ABCA2,lalala,lalala,PPI
ABCC1,lalala,lalala,PPI
ABCC3,lalala,lalala,PPI
ABCC8,lalala,lalala,PPI
ABCD1,lalala,lalala,PPI
ABCD2,lalala,lalala,PPI
ABCD3,lalala,lalala,PPI
ABL1,lalala,lalala,PPI
ABL2,lalala,lalala,PPI
ACACA,lalala,lalala,PPI
ACACB,lalala,lalala,PPI
ACAD8,lalala,lalala,PPI
ACAD9,lalala,lalala,PPI
ACAP2,lalala,lalala,PPI
ACBD5,lalala,lalala,PPI
ACTA1,lalala,lalala,PPI
ACTA2,lalala,lalala,PPI
ACTB,lalala,lalala,PPI
ACTBL2,lalala,lalala,PPI
ACTC1,lalala,lalala,PPI
ACTG1,lalala,lalala,PPI
ACTG2,lalala,lalala,PPI
ACTL6A,lalala,lalala,PPI
ACTN1,lalala,lalala,PPI
ACTN2,lalala,lalala,PPI
ACTN3,lalala,lalala,PPI
ACTN4,lalala,lalala,PPI
ACTR10,lalala,lalala,PPI
ACTR1A,lalala,lalala,PPI
ACTR1B,lalala,lalala,PPI
ACTR2,lalala,lalala,PPI
ACTR3,lalala,lalala,PPI
ACTR5,lalala,lalala,PPI
ACTR8,lalala,lalala,PPI
ACVR1,lalala,lalala,PPI
ACVR1B,lalala,lalala,PPI
ACVR1C,lalala,lalala,PPI
ACVR2A,lalala,lalala,PPI
ACVR2B,lalala,lalala,PPI
ACVRL1,lalala,lalala,PPI
ADA,lalala,lalala,PPI
ADAM8,lalala,lalala,PPI
ADARB1,lalala,lalala,PPI
ADCK2,lalala,lalala,PPI
ADCY1,lalala,lalala,PPI
ADCY10,lalala,lalala,PPI
ADCY2,lalala,lalala,PPI
ADCY3,lalala,lalala,PPI
ADCY4,lalala,lalala,PPI
ADCY5,lalala,lalala,PPI
ADCY6,lalala,lalala,PPI
ADCY7,lalala,lalala,PPI
ADCY8,lalala,lalala,PPI
ADCY9,lalala,lalala,PPI
ADD3,lalala,lalala,PPI
ADIRF,lalala,lalala,PPI
ADRA1B,lalala,lalala,PPI
AFF4,lalala,lalala,PPI
AFP,lalala,lalala,PPI
AGO2,lalala,lalala,PPI
AGRN,lalala,lalala,PPI
AGT,lalala,lalala,PPI
AGTR1,lalala,lalala,PPI
AHCTF1,lalala,lalala,PPI
AHI1,lalala,lalala,PPI
AHSG,lalala,lalala,PPI
AICDA,lalala,lalala,PPI
AIMP1,lalala,lalala,PPI
AJUBA,lalala,lalala,PPI
AKAP1,lalala,lalala,PPI
AKAP10,lalala,lalala,PPI
AKAP12,lalala,lalala,PPI
AKAP5,lalala,lalala,PPI
AKAP9,lalala,lalala,PPI
AKR1B1,lalala,lalala,PPI
AKR1C3,lalala,lalala,PPI
AKT1,lalala,lalala,PPI
AKT1S1,lalala,lalala,PPI
AKT2,lalala,lalala,PPI
AKT3,lalala,lalala,PPI
ALAS1,lalala,lalala,PPI
ALB,lalala,lalala,PPI
ALDH3A2,lalala,lalala,PPI
ALDOA,lalala,lalala,PPI
ALG1,lalala,lalala,PPI
ALK,lalala,lalala,PPI
ALMS1,lalala,lalala,PPI
ALOX5AP,lalala,lalala,PPI
ALPK3,lalala,lalala,PPI
ALYREF,lalala,lalala,PPI
AMELX,lalala,lalala,PPI
AMELY,lalala,lalala,PPI
AMHR2,lalala,lalala,PPI
AMOT,lalala,lalala,PPI
