TF	size	nes	pval	pval.fdr
1	ZNF20	15	2.86858380910976	0.00412313946867508	0.977581089556162
2	FOSL2	20	-2.84869345448094	0.00438991554815506	0.977581089556162
3	HES1	11	2.81043849605205	0.00494740437760743	0.977581089556162
4	ZNF621	16	2.63026065910996	0.0085319422897221	0.977581089556162
5	ZNF761	17	2.5927831924386	0.00952027655433474	0.977581089556162
6	ZNF142	14	2.48172130794946	0.013074949102132	0.977581089556162
7	ZNF341	10	2.44980663264018	0.0142932950817274	0.977581089556162
8	ZNF23	10	2.418446487264	0.0155869380144893	0.977581089556162
9	PBX1	10	-2.4017986544684	0.0163146854782142	0.977581089556162
10	ZNF630	17	2.39686296523439	0.0165361067098077	0.977581089556162
11	ZNF155	14	2.39647579866964	0.0165535866091907	0.977581089556162
12	CTCF	19	2.39313850992772	0.0167049334548672	0.977581089556162
13	ZNF732	6	2.3794493225204	0.0173385269243791	0.977581089556162
14	AR	26	2.3188183773319	0.020404886313546	0.977581089556162
15	CENPA	10	-2.31820649859857	0.0204381010241354	0.977581089556162
16	TFCP2L1	13	2.30057947565716	0.0214154122554352	0.977581089556162
17	ETV3	11	-2.29259388205461	0.0218713969367204	0.977581089556162
18	LHX6	10	2.28463626358489	0.0223341647289635	0.977581089556162
19	ZSCAN20	23	2.2665656214876	0.0234167742069369	0.977581089556162
20	ZNF566	7	2.24804282578587	0.0245734592431373	0.977581089556162
21	ZNF320	11	2.24349325999615	0.0248650240082615	0.977581089556162
22	ZNF334	16	2.24134527054562	0.0250037186764817	0.977581089556162
23	ZNF469	17	-2.22478691151039	0.0260955464606044	0.977581089556162
24	ZNF568	10	2.16335972802069	0.0305135224919856	0.977581089556162
25	ZNF438	15	2.14714519365879	0.0317817243218583	0.977581089556162
26	STAT6	12	-2.13827719836343	0.0324942520443446	0.977581089556162
27	GZF1	6	-2.11695910397379	0.0342633187850301	0.977581089556162
28	ZBTB22	15	2.08926693536381	0.036683701030883	0.977581089556162
29	ZNF146	7	2.07747684638469	0.0377575700562838	0.977581089556162
30	ZNF589	24	2.07002091816416	0.0384503856103027	0.977581089556162
31	SOX12	12	2.0689350096859	0.0385521857534049	0.977581089556162
32	NPAS1	11	2.05023583560296	0.0403414225836409	0.977581089556162
33	ZNF562	11	-2.03110054010043	0.0422447966929452	0.977581089556162
34	TFDP1	8	2.01741240065886	0.0436524942401324	0.977581089556162
35	ZNF195	15	2.00374224210313	0.0450976787520183	0.977581089556162
36	KLF9	26	1.99451272471594	0.0460960507737838	0.977581089556162
37	STAT2	19	1.98593755929576	0.0470402575874029	0.977581089556162
38	ZNF652	15	1.98447327668158	0.0472031043012751	0.977581089556162
39	ZNF662	13	1.97451049603696	0.0483237251563368	0.977581089556162
40	LCOR	17	1.97297517229104	0.048498391071166	0.977581089556162
41	ZNF763	14	1.97228521490804	0.0485770564854619	0.977581089556162
42	ZNF345	16	1.96859929713734	0.0489991233576758	0.977581089556162
43	DNTTIP1	14	1.96600219155027	0.0492983574584638	0.977581089556162
44	BRF2	18	1.96484023604956	0.0494327316222438	0.977581089556162
45	ZNF626	17	1.96424422822718	0.0495017759956352	0.977581089556162
46	ZNF77	7	1.95629341049624	0.0504305999997964	0.977581089556162
47	WIZ	30	1.95265146355815	0.0508609086072474	0.977581089556162
48	RFX8	32	1.95055762292285	0.05110969241988	0.977581089556162
49	PATZ1	13	1.94402554413458	0.0518923708101542	0.977581089556162
50	ZFP82	20	1.93875977651026	0.0525305960919391	0.977581089556162
51	TEAD2	10	1.93513823861968	0.0529733342227604	0.977581089556162
