tf	target	mor	likelihood	state
1	AMIGO3	SYPL1	-0.000117050998278185	1	inhibition
2	AMIGO3	AKAP3	-2.56776834136369e-05	1	inhibition
3	AMIGO3	PCDHB8	0.37819181222342	1	activation
4	AMIGO3	SLC35B1	0.277936995863071	1	activation
5	AMIGO3	OMG	0.36682391032652	1	activation
6	AMIGO3	LRFN1	0.930517412083945	1	activation
7	AMIGO3	TMEM127	0.97219239053248	1	activation
8	AMIGO3	UNC13C	0.730056691987271	1	activation
9	AMIGO3	ADAM22	0.567987119859827	1	activation
10	AMIGO3	AMIGO2	-0.848362555217117	1	inhibition
11	AMIGO3	ARHGDIA	-0.00176175273113044	1	inhibition
12	AMIGO3	ANKRD40	0.265815226550527	1	activation
13	AMIGO3	HSPA4L	-9.19923898470696e-07	1	inhibition
14	AMIGO3	TCERG1	0.611044240250755	1	activation
15	AMIGO3	ANKMY2	0.470302035422922	1	activation
16	AMIGO3	GP9	-0.377025459269928	1	inhibition
17	AMIGO3	CHRNB1	0.974344585736362	1	activation
18	AMIGO3	ANKK1	-0.000143524780023407	1	inhibition
19	AMIGO3	GMPPB	0.908263508966767	1	activation
20	AMIGO3	HSPB7	0.895314285347796	1	activation
21	AMIGO3	SEZ6	0.404575296473602	1	activation
22	AMIGO3	CRELD1	0.996257006975193	1	activation
23	AMIGO3	NXPH3	0.484843260053115	1	activation
24	AMIGO3	OLFML1	0.787191981997301	1	activation
25	AMIGO3	NXPH4	0.899027638066903	1	activation
26	AMIGO3	C1QL4	0.8390421351269	1	activation
27	AMIGO3	LIMK1	0.304145961385684	1	activation
28	AMIGO3	SEL1L	0.931183021674204	1	activation
29	AMIGO3	RTN4	0.412086063076272	1	activation
30	AMIGO3	LINGO1	0.746456987215418	1	activation
31	AMIGO3	GUCA2A	0.879338049870921	1	activation
32	AMIGO3	STRN3	0.92710607002813	1	activation
33	AMIGO3	PTPRK	0.25075225105083	1	activation
34	AMIGO3	SEMA4A	-0.0432680372369889	1	inhibition
35	AMIGO3	AMIGO1	-0.623900748171835	1	inhibition
36	AMIGO3	IGSF1	0.19925570234398	1	activation
37	AMIGO3	CAP1	-0.964432285920438	1	inhibition
38	AMIGO3	TCF19	-0.936604466623565	1	inhibition
39	AMIGO3	PTPRH	0.224688586475533	1	activation
40	AMIGO3	UNC13B	0.995888834769314	1	activation
41	AMIGO3	SYT8	-1.98587645492602e-06	1	inhibition
42	AMIGO3	TNFRSF19	0.199950885146669	1	activation
43	AMIGO3	CHRM5	-4.56771954166852e-08	1	inhibition
44	AMIGO3	MAG	0.223173987357913	1	activation
45	AMIGO3	SYT12	0.867271242855771	1	activation
46	AMIGO3	GPC3	0.666271184040266	1	activation
47	AMIGO3	CRELD2	0.835722578755346	1	activation
48	AMIGO3	MEX3C	-1.49900835888114e-06	1	inhibition
49	AMIGO3	SEMA4B	-0.0179838755348186	1	inhibition
50	AMIGO3	NTM	0.912001438384885	1	activation
51	AMIGO3	TNRC6B	0.456950141658048	1	activation
52	AMIGO3	ABTB2	0.985153504236372	1	activation
53	AMIGO3	GABRR1	0.99894904460899	1	activation
54	AMIGO3	PCDHGB6	-2.21560005866669e-08	1	inhibition
55	AMIGO3	PCDHGA5	-0.0773162298851302	1	inhibition
56	AMIGO3	GABRQ	0.966873753931923	1	activation
57	ARL6IP6	YBX2	0.95342770634381	1	activation
58	ARL6IP6	MORC2	0.748242458379817	1	activation
59	ARL6IP6	CBX7	-0.177894691759061	1	inhibition
60	ARL6IP6	TMED8	0.712119949122234	1	activation
61	ARL6IP6	EFS	0.80735768668072	1	activation
62	ARL6IP6	PYGB	0.891974538145548	1	activation
63	ARL6IP6	YKT6	0.968574694040821	1	activation
64	ARL6IP6	PNPO	-9.98451580451471e-07	1	inhibition
65	ARL6IP6	DUSP3	0.874510806006451	1	activation
66	ARL6IP6	CREBL2	-0.000439686939035368	1	inhibition
67	ARL6IP6	FBXO5	0.278816259244297	1	activation
68	ARL6IP6	SNX3	0.960456013827847	1	activation
69	ARL6IP6	SLC11A1	0.816205841944957	1	activation
70	ARL6IP6	NAA50	-3.99249160472603e-08	1	inhibition
71	ARL6IP6	TMX4	0.950270861082118	1	activation
72	ARL6IP6	SORL1	0.926757202622288	1	activation
73	ARL6IP6	BLVRB	-0.927775201347064	1	inhibition
74	ARL6IP6	GRB14	0.212780117159993	1	activation
75	ARL6IP6	CYTIP	0.217931497537687	1	activation
76	ARL6IP6	LXN	0.860303870792576	1	activation
77	ARL6IP6	LMBR1L	0.586881796705198	1	activation
78	ARL6IP6	CMTM2	-0.911779285140313	1	inhibition
79	ARL6IP6	ATP6V1A	0.573561019414022	1	activation
80	ARL6IP6	CDKAL1	0.80585474247855	1	activation
81	ARL6IP6	ITPRIP	0.846806080798039	1	activation
82	ARL6IP6	PLEKHH2	0.294033196229897	1	activation
83	ARL6IP6	GPD1L	-0.000207552927030543	1	inhibition
84	ARL6IP6	SCN3A	0.860303870792576	1	activation
85	ARL6IP6	NEIL2	0.617564246400621	1	activation
86	ARL6IP6	CA3	-0.0462736499017923	1	inhibition
87	ARL6IP6	FMNL2	-7.47617777824531e-05	1	inhibition
88	ARL6IP6	NMUR1	0.339622664690862	1	activation
89	ARL6IP6	ARL6IP1	0.537717298058873	1	activation
90	ARL6IP6	NINJ2	-0.00552628623515185	1	inhibition
91	ARL6IP6	TADA2B	0.999867391216951	1	activation
92	ARL6IP6	GPD2	0.764827454927196	1	activation
93	ARL6IP6	ELF4	0.754432529300003	1	activation
94	ARL6IP6	GSTM1	-0.00181472860667307	1	inhibition
95	ARL6IP6	FRG2C	0.994505653863431	1	activation
96	ARL6IP6	AOC3	0.205578756247113	1	activation
97	ARL6IP6	SNX14	0.769920872230504	1	activation
98	ARL6IP6	HSF5	0.872317068411331	1	activation
99	ARL6IP6	B3GNT5	0.304145961385684	1	activation
