Regulator	Target	MI
ATF1	MAPKBP1	0.4913739632794143
ATF1	AHCYL2	0.5158991377623483
ATF1	C6orf192	0.5030126511978192
ATF1	PLXND1	0.4555119320247223
ATF1	UBE3C	0.45980126102092367
ATF1	SNORD1B	0.4611112826447181
ATF1	SMC3	0.596628445190726
ATF1	TUBB8	0.4580944851241995
ATF1	TMEM147	0.6651786733395944
ATF1	PPP4R2	0.44238407139548475
ATF1	FAM19A2	0.44844640437044037
ATF1	ADNP2	0.5124940019683426
ATF1	C9orf106	0.44134751018857
ATF1	PITX3	0.477603441360674
ATF1	C16orf72	0.4948722848645781
ATF1	HIST1H2AL	0.49002981701365167
ATF1	SNRPN	0.7419377048442177
ATF1	ZNF283	0.5234041219466672
ATF1	SNORD114-10	0.44165761373046
ATF1	HCFC2	0.7671134386593481
ATF1	KRT9	0.522615925273815
ATF1	MED7	0.4519328714296216
ATF1	POU3F4	0.44165761373046
ATF1	NUP93	0.4403991202769517
ATF1	CCDC80	0.5553617974148981
ATF1	FAM173B	0.4453256213964272
ATF1	ZNF831	0.4630077571538629
ATF1	ANKK1	0.4716700215392735
ATF1	PRR12	0.8692133444671715
ATF1	SNORD114-8	0.44165761373046
ATF1	C1orf74	0.4546602423109629
ATF1	INO80E	0.43497838597251715
ATF1	SEMA7A	0.5184145943578202
ATF1	INO80D	0.5686687138933251
ATF1	C6orf170	0.5973439190154495
ATF1	LOC550643	0.46066613512648225
ATF1	CUL3	0.482474022265178
ATF1	ORC3L	0.4606488908055413
ATF1	ALOX15	0.5618826602394389
ATF1	ENDOD1	0.5840287976583638
ATF1	PROZ	0.47128244920196005
ATF1	SNORD114-2	0.44165761373046
ATF1	LIN7C	0.4587438438212206
ATF1	SKA3	0.49042386962868845
ATF1	GTF2E1	0.4603133086775646
ATF1	ADAMTS10	0.6341221305941822
ATF1	ART3	0.4853300189893841
ATF1	SNORD111	0.4643761251794518
ATF1	CASKIN2	0.4435832062698646
ATF1	VPS8	0.568068718056475
ATF1	UTP20	0.5087186701367892
ATF1	ARSE	0.44682127883900646
ATF1	LYAR	0.5382963281589173
ATF1	PCDHA7	0.6214475466722886
ATF1	ZNF662	0.5061843952767346
ATF1	C3orf17	0.48202114661160733
ATF1	SLC37A1	0.4443445179794092
ATF1	AMBP	0.45116010599918877
ATF1	OR5B21	0.456148060912819
ATF1	MEIG1	0.6016190400626638
ATF1	XRCC1	0.5996137034589815
ATF1	PTK6	0.5228599636787883
ATF1	BTBD12	0.4723022101715495
ATF1	TAS2R38	0.44217839520927926
ATF1	TMPRSS13	0.46120532538369075
ATF1	GPN3	0.49767667366634605
ATF1	SNHG3	0.48358773326835225
ATF1	C2orf34	0.4710057441895552
ATF1	TDRD1	0.44955378523110534
ATF1	MCM3APAS	0.46598340255885473
ATF1	SON	0.46331033095392105
ATF1	MYO5C	0.47509216867661896
ATF1	SP3	0.4568907224250034
ATF1	HIST1H4G	0.5530329111479073
ATF1	CDK10	0.4977890963791216
ATF1	NMUR1	0.44839302359984634
ATF1	UBA1	0.5728534272450765
ATF1	RNF186	0.614149323668999
ATF1	SIM1	0.4445886816255933
ATF1	ZNF322B	0.43803183331410134
ATF1	NOX1	0.44798631939229017
ATF1	CCNJL	0.5319482735187249
ATF1	MRPL42P5	0.4832611604940471
ATF1	SLC44A4	0.44497686586120055
ATF1	FASTKD1	0.644106402584185
ATF1	PYROXD1	0.4592834035890636
ATF1	PTPRN	0.6624357634166897
ATF1	C13orf23	0.5609350296029865
ATF1	SLC2A2	0.4453785280610103
ATF1	NR2E1	0.48869876019332104
ATF1	MRPL34	0.4797232740495456
ATF1	N4BP2L2	0.44349988592923895
ATF1	RND1	0.43706026133093445
ATF1	FCRLA	0.5695190995294199
ATF1	IFT52	0.4617223209449941
ATF1	TMEM189	0.47850132250786714
ATF1	TRIM6	0.609664319226479
ATF1	CPT2	0.45416859260027076
ATF1	ZNF407	0.4959087949161032
ATF1	LOC728758	0.5311771794993572
ATF1	WDR7	0.5300686292406427
ATF1	ZNF385D	0.5714101999621426
ATF1	QRFPR	0.4824881742309044
ATF1	POLH	0.49447648985228554
ATF1	SDC4P	0.4603470463233523
ATF1	DENND2D	0.45080417387061855
ATF1	OPALIN	0.474055533730648
