Regulator	Target	MI
ATF1	PHF2	0.5516982373224333
ATF1	C1orf52	0.5009122176660212
ATF1	C20orf12	0.45891343610035795
ATF1	PARS2	0.5481456789437549
ATF1	CISD1	0.45830648388449324
ATF1	ORC5L	0.4496761567725587
ATF1	MRPS10	0.66210861230971
ATF1	SCARNA2	0.519878537901405
ATF1	ZNF44	0.5273666772816066
ATF1	ZFP82	0.46580959952477263
ATF1	EPRS	0.4533351822588805
ATF1	SLC2A6	0.5526575950730201
ATF1	TMEM187	0.4488321545841063
ATF1	NIPAL4	0.7270391439363837
ATF1	RNF216L	0.47244518914581146
ATF1	FASTK	0.43551244918174126
ATF1	KPNA4	0.45328285375718647
ATF1	MAP3K7	0.4734071976837786
ATF1	CCDC51	0.5464837603162334
ATF1	RBM6	0.4339274664852897
ATF1	SH3D19	0.4569037184696545
ATF1	DST	0.5016711431709
ATF1	KHNYN	0.5717102468242827
ATF1	STRBP	0.5054664667886111
ATF1	CSNK2A2	0.5524710606126608
ATF1	SC65	0.4734071976837786
ATF1	IMMP1L	0.4623831156104128
ATF1	TAF6L	0.5009731567446329
ATF1	SLC9A5	0.4412846877300072
ATF1	GPD2	0.46209078734342324
ATF1	TNNT2	0.5078997458271877
ATF1	SMCR8	0.46151904328345017
ATF1	PPIG	0.4421592389519833
ATF1	SNRPF	0.4860424535592536
ATF1	B4GALT4	0.5196044472431449
ATF1	TLR3	0.43678170339690325
ATF1	SEC22C	0.4658464258761055
ATF1	ZNF596	0.4535955192436991
ATF1	C20orf185	0.5544181520535987
ATF1	C1orf198	0.43551244918174126
ATF1	CRABP2	0.4352675817200491
ATF1	ORC3L	0.44577221670653655
ATF1	CSTF2T	0.5009731567446325
ATF1	SFRS13A	0.4874175217219614
ATF1	HIF1A	0.4989407834181874
ATF1	THSD1	0.5699480470322751
ATF1	RNFT1	0.43664868207208185
ATF1	TMEM71	0.45751224894574394
ATF1	PAK1	0.4336266277733647
ATF1	CXCR1	0.4967037565918413
ATF1	RGS21	0.46565844700943737
ATF1	EXOSC3	0.48849820250036746
ATF1	PCK1	0.4875113636017776
ATF1	XDH	0.5184175820446866
ATF1	C1orf105	0.47403603172530495
ATF1	EVC2	0.4734231672361986
ATF1	SLC35A2	0.4644926191455454
ATF1	RANBP3	0.4925505479082548
ATF1	FANCL	0.4488526812577214
ATF1	KLHL21	0.5439377806900842
