Regulator	Target	MI
ATF1	ATF2	0.6191493896523745
ATF1	TOR2A	0.47643148788659406
ATF1	CPNE4	0.49617279438853057
ATF1	TTLL10	0.538526668484046
ATF1	HJURP	0.47801374381181505
ATF1	GPATCH1	0.4622162414841626
ATF1	C1orf170	0.4847031351050983
ATF1	C19orf23	0.4656911034693385
ATF1	DCAF7	0.6845307611453473
ATF1	RXFP2	0.48505335743519806
ATF1	CHCHD4	0.47557519928391745
ATF1	CCDC91	0.6510683490431903
ATF1	FPGT	0.5014307142135994
ATF1	WDR91	0.43981213275249376
ATF1	ZC3H12A	0.4454770014043614
ATF1	C7orf13	0.5148642067268687
ATF1	ZNF324	0.504808931352196
ATF1	ATG3	0.5265583349129761
ATF1	CCDC78	0.7069999151913895
ATF1	STARD7	0.4402237841198433
ATF1	THEMIS	0.43935592252047684
ATF1	RPGRIP1L	0.6604210258263445
ATF1	CDC25C	0.6172643877595236
ATF1	FOXP4	0.5095186876116582
ATF1	MRPS18C	0.45579239599682797
ATF1	RBMXL2	0.4828377826473087
ATF1	MAK	0.4828377826473078
ATF1	MYADM	0.43420913297805663
ATF1	UBE2V1	0.4375817616896267
ATF1	KPNB1	0.45094509132864324
ATF1	TMEM87A	0.4458251291102848
ATF1	tAKR	0.43555206579008354
ATF1	EEF1DP3	0.6053827707894284
ATF1	ABCB5	0.5768400577545991
ATF1	SPATA3	0.6464340253730367
ATF1	RTDR1	0.4594573297271798
ATF1	TAPBPL	0.5009731567446329
ATF1	MTDH	0.4512371674183586
ATF1	WNT6	0.47711556393363264
ATF1	SBNO2	0.6074637574988335
ATF1	SGPL1	0.4562858825457141
ATF1	PCDHA1	0.4582369669602375
ATF1	ERI1	0.4449900872964072
ATF1	BTBD2	0.4405452526375422
ATF1	SLCO1B3	0.47643148788659406
ATF1	HMOX1	0.5266477652518384
ATF1	ZNF668	0.47974215729866376
ATF1	PIP5K1B	0.5495541598208611
ATF1	NDUFV3	0.46289384784449883
ATF1	NXNL1	0.4541566918109665
ATF1	HLA-DQA1	0.4621040670523433
ATF1	ZNF662	0.45282939382075726
ATF1	XRCC5	0.500511856850983
ATF1	NCAPH2	0.4379939677638305
ATF1	TRIP4	0.5055578602921869
ATF1	COQ9	0.5057331866758394
ATF1	WDR55	0.49554889464061747
ATF1	ACER1	0.4684742897093397
ATF1	NSFL1C	0.46219845291154416
ATF1	KIF4A	0.4649397019443082
ATF1	ZNF658	0.43476996575048776
ATF1	CYCS	0.44191707985904394
ATF1	OR2A4	0.6543496563407185
ATF1	CITED1	0.44652104482472366
ATF1	SH2D4A	0.44584982996442735
ATF1	FAM45B	0.5417073119275306
ATF1	ZFAND2A	0.5297798740631556
ATF1	ZNF43	0.5696165839956082
ATF1	KIF15	0.43732105002308197
ATF1	ZNF280D	0.5512196938994793
ATF1	RPL7A	0.4837500283306255
ATF1	THBD	0.5340052480008213
ATF1	C1QTNF6	0.4690496330574101
ATF1	CYP2R1	0.5904311902935366
ATF1	ZNF641	0.46495386640036784
ATF1	NCK1	0.614865832538555
ATF1	CHST8	0.5173424281251906
ATF1	MYBPC3	0.603253602209664
ATF1	TGIF1	0.5996991900530597
ATF1	C3orf38	0.5125767678071584
ATF1	GPX1	0.6409374571863018
ATF1	DUSP1	0.4884019799458197
ATF1	PLA2G4A	0.47643148788659406
ATF1	COMMD1	0.5032940409949789
ATF1	GNL2	0.5073623830044189
ATF1	MRPS5	0.4892492668328474
ATF1	IL1A	0.4596056006135232
ATF1	PLSCR1	0.44271967430650383
ATF1	HNRNPH2	0.4592402895611607
ATF1	KIF2C	0.5134277686199233
ATF1	C12orf11	0.5363705327442796
ATF1	C2orf18	0.7142861187783001
ATF1	CNTNAP5	0.50612880074724
ATF1	SLC47A1	0.45930371510289314
