Regulator	Target	MI
ATF1	RPL4	0.444481053834076
ATF1	ANKRD13D	0.6714693802138445
ATF1	SLA	0.5068762352769225
ATF1	NUCKS1	0.4420948656962058
ATF1	EPRS	0.44531119054994317
ATF1	SLA2	0.4661188385226249
ATF1	SMC4	0.5776391030518568
ATF1	FERD3L	0.489314591718053
ATF1	RXFP3	0.614595392779957
ATF1	C2orf67	0.4484593553796725
ATF1	NYNRIN	0.4652814249118986
ATF1	LACTB	0.47551408094367176
ATF1	ZXDA	0.5290852443765428
ATF1	GOLGA5	0.46986559386628146
ATF1	NRD1	0.5327121034321278
ATF1	MAP3K7	0.5009731567446329
ATF1	ANKS1B	0.4539980474000078
ATF1	IER3	0.5726103650726246
ATF1	OR2D3	0.4928605951797844
ATF1	SRRM3	0.5603496925351665
ATF1	C1orf186	0.4619433734481979
ATF1	RPL23	0.4625201182391261
ATF1	ACOT13	0.4595912674990772
ATF1	OR2L3	0.47750397355979635
ATF1	ZNF98	0.5122920014666841
ATF1	AP1AR	0.5153787635034326
ATF1	HCFC2	0.49648160076834946
ATF1	ZNF16	0.5104677204467882
ATF1	CXorf65	0.46220932049842567
ATF1	ARMCX1	0.5558900310619528
ATF1	WBSCR17	0.4999515541153907
ATF1	NHP2	0.5786703823280313
ATF1	PRR12	0.49878900515545954
ATF1	ALDH7A1	0.48912804431646073
ATF1	ZNF675	0.5883155632872077
ATF1	CCDC150	0.6331956144216093
ATF1	C10orf26	0.5678484556686714
ATF1	C12orf52	0.5624917668956844
ATF1	KANK3	0.4386134571986924
ATF1	LRRC58	0.6008249928457254
ATF1	DNMT1	0.6811316368733391
ATF1	SAR1B	0.486200549643391
ATF1	ABCB5	0.4558752018419625
ATF1	ITPR2	0.4372197376495661
ATF1	CACNA1C	0.4636708271233627
ATF1	PCDH17	0.4349953724587654
ATF1	PRH1	0.5318768534678302
ATF1	GLB1L2	0.4515495104911733
ATF1	GRIN2A	0.5684817292118498
ATF1	ANKH	0.4597045243585036
ATF1	WDR70	0.4896904605805408
ATF1	C2orf43	0.46076467229301743
ATF1	MICAL1	0.4788327820422462
ATF1	C6orf204	0.44591398283575323
ATF1	STAP1	0.5161464590938589
ATF1	FAM55C	0.5787715179907638
ATF1	KDSR	0.5050038171272848
ATF1	SEC31B	0.47653153775302615
ATF1	UCKL1AS	0.5060897773743198
ATF1	PPP4R1L	0.46092822834046476
ATF1	NAA50	0.5225474829580383
ATF1	FAM38B	0.4334542309525258
ATF1	HSPA8	0.4664626797536999
ATF1	NEK9	0.4573118370744731
ATF1	CDK19	0.6130113183797681
ATF1	C7orf65	0.5214240666504693
ATF1	YES1	0.44110732582479484
ATF1	CPSF1	0.5150496436898493
ATF1	FANCL	0.47739967085904844
ATF1	EIF2AK1	0.4848238805690497
ATF1	FUCA1	0.47221914819651234
ATF1	TMEM50B	0.44738181756899387
ATF1	ANKRD23	0.4958291852132142
ATF1	CBX1	0.48215101553950257
ATF1	PCIF1	0.43391687211567165
ATF1	CIDEA	0.4342135174390247
ATF1	BTBD11	0.43591672658582636
ATF1	PRG4	0.4609247972728707
ATF1	TNFRSF10A	0.5009455406183552
ATF1	BTBD12	0.4343477086206544
ATF1	CYP4F11	0.4350291817055796
ATF1	TRYX3	0.4368818517982085
ATF1	RNF222	0.5968680141184386
ATF1	DLG2	0.5230175573245877
ATF1	RPS27	0.5636141351618815
ATF1	ARPC3	0.5153436511347027
ATF1	LYPD6B	0.4442708928121428
ATF1	ZNF416	0.4841585178688139
ATF1	SNORA48	0.44612798524912556
ATF1	MUC21	0.4338028372805054
ATF1	DYRK4	0.6466394469604535
ATF1	ALAS2	0.5305808954635252
ATF1	SETD2	0.44866104357384895
ATF1	MEGF11	0.4522314744985203
ATF1	OLA1	0.45195910753486146
ATF1	BRCA1	0.45371096979941505
ATF1	TNFAIP1	0.43755937275105516
ATF1	BICD1	0.5476783989268856
ATF1	LYST	0.4402653407862762
ATF1	HSPB11	0.4363407835345723
ATF1	EEA1	0.4806218798561215
ATF1	RBM3	0.45038326296320363
ATF1	SEPT9	0.4496903493127724
ATF1	MCEE	0.4674745182838751
ATF1	CASP8	0.48290211029640107
ATF1	ZC3H7B	0.5062622633280696
ATF1	CHMP1B	0.6292925915587548
ATF1	C14orf174	0.4553613015577027
ATF1	EFCAB2	0.43384187439129196
ATF1	CA6	0.521513783839199
ATF1	DHX16	0.479553895457304
ATF1	ZNF385B	0.4338673428864004
ATF1	SH3BGRL3	0.4339050932879398
ATF1	AP3S1	0.5399623426295399
ATF1	ZNF763	0.5370010526418452
ATF1	MRPS28	0.5958250213594107
ATF1	MYST3	0.5153823740364336
ATF1	PTCRA	0.43796269081217654
ATF1	C20orf43	0.4571648150052994
ATF1	DFFA	0.5321733256742212
ATF1	DUSP3	0.4348937674250175
ATF1	RFC2	0.664027712844458
ATF1	IL18	0.463843864469621
ATF1	ABHD14A	0.5435610596346625
ATF1	COMMD1	0.5152712357926656
ATF1	VPS37B	0.4373874280906658
ATF1	GFRA3	0.4485802974672617
ATF1	MRPL46	0.5858698078271649
ATF1	PATL1	0.44729471906852103
ATF1	DNM3	0.4592447447308854
ATF1	IL1A	0.6193323621625924
ATF1	TAF6L	0.5076213822424087
ATF1	C17orf42	0.45375446404933495
ATF1	POC5	0.4934500064786951
ATF1	CANX	0.4817560580038056
ATF1	CDH11	0.5019858976692668
ATF1	RPL37A	0.4678742378405172
ATF1	G2E3	0.4622162414841626
ATF1	NAA35	0.5196419544156705
ATF1	ERGIC3	0.5275192862444946
ATF1	ATP6V0C	0.4882867358535914
ATF1	C20orf112	0.4624870016645657
ATF1	HIST1H2BM	0.4834505471341317
ATF1	SLC24A4	0.6276404824913779
ATF1	LIN37	0.5519244947053492
ATF1	UNC93B1	0.44189673121479167
ATF1	DERL3	0.47344403158793646
ATF1	PRIM1	0.4610920942528929
ATF1	RAB1B	0.5052743299368605
ATF1	USP11	0.5620774089982854
ATF1	USP12	0.519904882364933
ATF1	FURIN	0.43597269943938244
ATF1	DBF4B	0.485216578163413
ATF1	ATP2C1	0.5633097003591669
ATF1	RCHY1	0.48466234306106326
ATF1	CLCN2	0.4558834149660784
ATF1	HSN2	0.4458532813562912
ATF1	MALT1	0.6326013689863488
ATF1	AP3M1	0.477358558474275
ATF1	RNU11	0.4403816335101869
ATF1	CHN2	0.5088184816306156
ATF1	REXO1L1	0.4622587042078794
ATF1	PLEKHG4B	0.439748727459524
ATF1	IL21R	0.5066445612188506
ATF1	APBB1	0.4536920387979997
ATF1	GC	0.5688588180002174
ATF1	UGGT2	0.48324578775534377
ATF1	PDLIM4	0.47767749913780433
ATF1	OR1F2P	0.5014375905288144
ATF1	C6orf141	0.4899216475883139
ATF1	EGLN1	0.47350013122393353
ATF1	R3HDML	0.5967303056602433
ATF1	ZDHHC8P1	0.5130737712414151
ATF1	CABLES1	0.46565391966901837
ATF1	IMMT	0.46408958309546966
ATF1	SRP68	0.4622162414841626
ATF1	C16orf11	0.44876843035704317
ATF1	WARS2	0.5377972420719472
ATF1	CLEC2A	0.5780918053676651
ATF1	NLRP10	0.48267708115265506
ATF1	MORN2	0.5009862893641173
ATF1	LNX1	0.4817560580038056
ATF1	TTTY13	0.44844245086155876
ATF1	ATP13A3	0.4339602692922031
ATF1	ZNF699	0.4481733169746538
ATF1	HLA-DPB2	0.45368656922340067
