Regulator	Target	MI
ATF1	ANKRD13C	0.46361872016568206
ATF1	RGS17	0.49506742594280206
ATF1	PCDHGB6	0.49539323578390215
ATF1	CUL5	0.4900703833700675
ATF1	USP12	0.4919054696959706
ATF1	MRPL16	0.5104280301302433
ATF1	MRPS10	0.4900676673567119
ATF1	NAGPA	0.45964101055959183
ATF1	NOC2L	0.4482630961192142
ATF1	THSD1	0.43664868207208185
ATF1	CDKN2AIP	0.6043305257769527
ATF1	SGPL1	0.4784572390192321
ATF1	TBK1	0.45794388691847043
ATF1	RG9MTD1	0.48390085760345425
ATF1	C6orf204	0.4470595675525506
ATF1	DPF2	0.43954044343185883
ATF1	ME2	0.49712655396511396
ATF1	RPP38	0.5257599745273223
ATF1	MUTYH	0.44493431421239915
ATF1	UTP14C	0.51362045537797
ATF1	ARHGEF15	0.4414521921430432
ATF1	VPS37C	0.4868892618010481
ATF1	PALB2	0.46437802999983724
ATF1	SCRT1	0.6947334372401368
ATF1	TMUB2	0.4382993932803019
ATF1	TRYX3	0.4613214510443693
ATF1	ACAP3	0.48888459651908933
ATF1	SF3B14	0.4919054696959706
ATF1	PRPF39	0.5082746713166504
ATF1	IRF4	0.47826244784215266
ATF1	KLHL8	0.46747451828387465
ATF1	PRKRIR	0.5057908909706397
ATF1	PIN4	0.5138655348881
ATF1	NUPL1	0.47487949198155466
ATF1	C7orf26	0.5023005020324192
FOXA1	MESP2	0.5052156150006222
FOXA1	DDX6	0.4415246159021944
FOXA1	CELA3B	0.4762315708131002
FOXA1	LOC143666	0.46275106589761617
FOXA1	GIMAP6	0.4636658387252206
FOXA1	CTGF	0.49443649418520774
FOXA1	C3	0.5205003452993497
FOXA1	MRPL4	0.44851834526905865
FOXA1	TMEM202	0.4648559817344142
FOXA1	PLK1S1	0.5861503007351696
FOXA1	TRA2A	0.48577178330534165
FOXA1	ANKRD53	0.5135879744772827
FOXA1	TRIM49	0.4586643665008028
FOXA1	PRY2	0.4747965173351876
FOXA1	NAPSA	0.495936879827362
FOXA1	RIPK3	0.44385047754960283
FOXA1	TMEM50B	0.4686415541238578
FOXA1	USP22	0.4652629213151287
FOXA1	IGFL3	0.45996242439973
FOXA1	EPOR	0.5302630198657821
FOXA1	ZBTB6	0.5054363926950249
FOXA1	KIFC2	0.4908961680124002
FOXA1	TEF	0.4403272663584472
FOXA1	CENPJ	0.5301445922188694
FOXA1	MRTO4	0.43429066675047734
FOXA1	ZNF439	0.4437816282531424
FOXA1	ZNF699	0.48941650300555395
FOXA1	ATP6V0D2	0.4613316754700212
FOXA1	HIST1H4D	0.4752576555714616
FOXA1	KCTD18	0.6718570798951715
ATF2	RPLP0P2	0.5952142931446658
ATF2	UXS1	0.4629065860670001
ATF2	ZMYND8	0.4740893902952581
ATF2	THUMPD3	0.5160976859689232
ATF2	C2orf61	0.6081361764076103
ATF2	ZFYVE1	0.5623482640046489
ATF2	VPREB3	0.5358437727163201
ATF2	EDNRA	0.45302813558201427
ATF2	RPS16	0.5728989235912447
ATF2	OGFOD1	0.4939894665179585
ATF2	CPNE1	0.5870501861341708
ATF2	ACAD11	0.6625642239354237
ATF2	FNBP4	0.4828377826473078
ATF2	UBE2MP1	0.5350216274115742
ATF2	ZNF160	0.4623468009920333
ATF2	TINF2	0.729894070730225
ATF2	CACNA2D3	0.5003485959666945
ATF2	WDR74	0.7571246705324377
ATF2	ISLR2	0.5870501861341708
ATF2	SND1	0.5279392224813324
ATF2	KRT9	0.6165683642949631
ATF2	HOXB9	0.6335942294329358
ATF2	RBP5	0.5583899502690852
ATF2	HOXB3	0.48683850683553276
ATF2	OR8G5	0.49548414552677933
ATF2	TLN1	0.43551244918174126
ATF2	TCL6	0.46521140958349916
ATF2	EXD1	0.4788447772770432
ATF2	ZNF155	0.5239210841614459
ATF2	TMEM87A	0.4709886001115713
ATF2	KLK1	0.4950997663960761
