Regulator	Target	MI
ATF1	SUV420H2	0.4521343614119142
ATF1	JRK	0.47207196629536075
ATF1	NAA40	0.44744581556184393
ATF1	TXNL4B	0.5206549968823317
ATF1	CPNE7	0.460237729379287
ATF1	NUDT5	0.48430598864587093
ATF1	MRPL33	0.4383068446549556
ATF1	NHSL1	0.4340829647636393
ATF1	RSRC1	0.4580541958867612
ATF1	CYP2R1	0.5248162709281852
ATF1	WDR91	0.44841788977552177
ATF1	NUSAP1	0.6544898963839132
ATF1	C7orf58	0.5677247091837279
ATF1	UTP14C	0.5973299681054676
ATF1	MANEAL	0.5216649712025783
ATF1	HCFC2	0.5263979531384151
ATF1	C5orf52	0.44749792133046773
ATF1	SCAMP2	0.45153043450826447
ATF1	C14orf166	0.45153043450826447
ATF1	C17orf89	0.5773639546164708
ATF1	ADSSL1	0.493957661401879
ATF1	ZNF559	0.573246220832635
ATF1	ZNF239	0.5913920299057165
ATF1	PRR12	0.47407788727594236
ATF1	SMPDL3A	0.4785066791155925
ATF1	SLC24A4	0.6889234212753239
ATF1	DNAH7	0.4786232988454455
ATF1	SRCAP	0.5239043718291279
ATF1	AASDH	0.4383068446549556
ATF1	HMMR	0.5209914331030236
ATF1	LOC153684	0.4678162912702293
ATF1	PPM1D	0.46491249709085025
ATF1	GTF2E1	0.44324081159585216
ATF1	THSD1	0.5009490099251295
ATF1	NSL1	0.5122228112285496
ATF1	RNFT1	0.45881144847988775
ATF1	C6orf204	0.4613169482855626
ATF1	NHS	0.48153742433622426
ATF1	AASDHPPT	0.4392997195722943
ATF1	MCTS1	0.5097558742833024
ATF1	RRM2	0.47989526883252287
ATF1	LSM1	0.48727850417412366
ATF1	GTF2H1	0.45153043450826447
ATF1	STAM	0.48620770193723883
ATF1	LARP4	0.4421171160185491
ATF1	TMCO4	0.5624769773922726
ATF1	SCARNA4	0.5113782455124816
ATF1	TADA3	0.5346660929764804
ATF1	BUD13	0.4956078248565503
ATF1	ZNF696	0.4489365451853078
FOXA1	IFI27L2	0.49166116778261193
FOXA1	DAGLA	0.443179882857315
FOXA1	FAM57B	0.4600371091852713
FOXA1	LRRK1	0.5029036943705956
