Regulator	Target	MI
ATF1	ALDH1L1	0.4469675358848968
ATF1	C1orf52	0.5901275057243693
ATF1	CD84	0.5548946910831596
ATF1	DBR1	0.6522398952494863
ATF1	SMEK3P	0.6356395999581976
ATF1	HDAC10	0.4683620166399063
ATF1	TBC1D3C	0.45371476278494827
ATF1	TXNDC12	0.4734071976837786
ATF1	CCDC91	0.4383068446549556
ATF1	C22orf31	0.46371764445589436
ATF1	FAM162B	0.4961546598553497
ATF1	C2orf65	0.4383068446549556
ATF1	PI4KAP1	0.4410260784482878
ATF1	C9orf102	0.4897684006337868
ATF1	PDHX	0.4892492668328474
ATF1	FBXO2	0.49939347767469044
ATF1	NGDN	0.45971817282224015
ATF1	RPL22	0.5143506449428852
ATF1	PCDHA13	0.44687905459198474
ATF1	HCFC2	0.5447502291570236
ATF1	KNCN	0.4934251313001492
ATF1	STON1-GTF2A1L	0.44688950167505004
ATF1	GNPAT	0.4384066197558911
ATF1	ZW10	0.5043398325515849
ATF1	APLNR	0.5426510194524865
ATF1	LOC391322	0.5195813336017916
ATF1	ZNF559	0.5427765540219229
ATF1	ZG16	0.5574174982314815
ATF1	UTRN	0.4943288349921362
ATF1	C21orf29	0.46075234492913797
ATF1	RPL28	0.7398169374261117
ATF1	TP53	0.5567734912628421
ATF1	GPM6A	0.5111505223869055
ATF1	ZNF396	0.5048460388531604
ATF1	KLK1	0.45153354118710176
ATF1	PSMD14	0.4720303558815542
ATF1	COPB1	0.5141304647892659
ATF1	SLC35D2	0.4666432462560355
ATF1	C21orf84	0.4675762577342999
ATF1	GLT8D1	0.49927534662378825
ATF1	CYP2C19	0.5040257361383209
ATF1	CYP4F22	0.5670677320406496
ATF1	UBE2J2	0.45617514334036047
ATF1	GTF2E1	0.5452156770432062
ATF1	RAP1GAP	0.4735174333042096
ATF1	CNN3	0.5103230293961443
ATF1	FAM136B	0.4961546598553497
ATF1	KIAA1009	0.4468676335210149
ATF1	CYP11A1	0.6004724879228829
ATF1	PPCS	0.4647063693447153
ATF1	TMEM129	0.46986559386628146
ATF1	RHPN1	0.5580647850723754
ATF1	DVL3	0.4608412730066349
ATF1	FAM55C	0.46712854212979593
ATF1	TRPM5	0.4716699350923883
ATF1	ARSE	0.5231532905895482
ATF1	HMGCLL1	0.45760739878647616
ATF1	MOSC2	0.43723201838522785
ATF1	NOP14	0.492528439563404
ATF1	MCART3P	0.5909687174581069
ATF1	LOC285733	0.4837916336720278
