Regulator	Target	MI
ATF1	LOC388789	0.49896067807273425
ATF1	MDC1	0.4848835804843392
ATF1	C10orf40	0.4993934776746909
ATF1	MRGPRF	0.5317106716183573
ATF1	THYN1	0.5154879726973758
ATF1	ALKBH4	0.45153043450826447
ATF1	TBK1	0.5060303876889081
ATF1	DIMT1L	0.5188992953024112
ATF1	ADNP2	0.6622638605051736
ATF1	VSTM1	0.5748058097623785
ATF1	MED1	0.49328350684187283
ATF1	ZNF12	0.47487595937887583
ATF1	MED4	0.5727932587469451
ATF1	GTPBP4	0.5051508166534289
ATF1	MED7	0.49551643879843343
ATF1	C22orf43	0.5780105113025158
ATF1	GPR160	0.49647925917582514
ATF1	SNORA23	0.5897360817699862
ATF1	PRR12	0.5044945645129566
ATF1	DAD1L	0.5783517569815495
ATF1	ATF4	0.4727923167543979
ATF1	EXD1	0.5059879915440257
ATF1	SRCAP	0.4700856476445745
ATF1	MFI2	0.5959770009762222
ATF1	CFI	0.4348158827419648
ATF1	OR2K2	0.4581321983224207
ATF1	ZNF22	0.6632207717365777
ATF1	PRDM11	0.5524710606126608
ATF1	FAM149A	0.46715973482097617
ATF1	LDHA	0.5583586271910472
ATF1	CYB5R3	0.44854579312147
ATF1	NCRNA00116	0.5016570215112792
ATF1	CEP72	0.4539493956156613
ATF1	PIP5K1B	0.4956078248565503
ATF1	ATG5	0.4349086532151638
ATF1	ZNF143	0.4834593761908299
ATF1	LRRC37A4	0.49704610435053675
ATF1	PRPF38A	0.5725825055749176
ATF1	PNO1	0.49789119258364023
ATF1	CGN	0.4513268283645271
ATF1	ZNF35	0.6073723311680941
ATF1	NFATC4	0.4874814703047381
ATF1	ALS2CR12	0.5253416943983731
ATF1	REN	0.6424829606333207
ATF1	ZBTB8B	0.4361408214256586
ATF1	FARSB	0.5419220805642704
ATF1	ARHGAP9	0.4371131366979655
ATF1	BTG1	0.4415744141577016
ATF1	DPYS	0.6600230666828164
ATF1	LRRC32	0.5943233483138766
ATF1	PHF7	0.4417498935808819
ATF1	SMG7	0.6378645611377785
ATF1	MED15	0.6116084465661644
ATF1	MRPL33	0.7366896973827117
ATF1	MRPL42	0.6988911218738929
ATF1	NKRF	0.7301042902770951
ATF1	C10orf76	0.43697997281063605
ATF1	JAK3	0.4541262416175673
ATF1	SLC18A2	0.6427582842300894
ATF1	UPF2	0.5040800861618231
ATF1	DUSP5	0.46799438279533057
ATF1	DUSP2	0.440358886722076
ATF1	ZNF362	0.5642340519774436
ATF1	BRD7P3	0.8372923551899603
ATF1	NSUN2	0.5986207316452279
ATF1	SPHK1	0.47948145699177713
ATF1	ATPIF1	0.5274287679160108
ATF1	NIPA1	0.4391410705303387
ATF1	SLC39A10	0.6705309799270842
ATF1	NSUN6	0.43476996575048776
ATF1	JOSD2	0.4520948107030405
ATF1	LOC644936	0.4494292897910026
ATF1	TAF6L	0.5883212954089907
ATF1	C11orf85	0.45906506786194345
ATF1	NCOR1	0.5269958147349327
ATF1	VAMP7	0.558713479578036
ATF1	C18orf55	0.4359180009409189
ATF1	ANGPTL4	0.5269994252679338
ATF1	CHST4	0.7591422834947723
ATF1	ZNF233	0.5260076153934459
ATF1	ZSWIM1	0.4489719484154371
ATF1	CTF1	0.457792225048391
ATF1	RPL11	0.4605835539063019
ATF1	GPS2	0.4369772474649207
ATF1	TMEM160	0.5338845574429718
ATF1	TMEM70	0.5931306555438791
ATF1	FGD2	0.47867199099645363
ATF1	TMEM71	0.5093024660622607
ATF1	SRPX2	0.5099513597223799
ATF1	C17orf75	0.48953444136318947
ATF1	OR2AG1	0.45704895873119966
ATF1	REXO1L1	0.5632001654603336
ATF1	LEO1	0.7088634266136391
ATF1	SLC17A8	0.5325548445042068
ATF1	ZNF347	0.5790862778680488
ATF1	FARP2	0.4399444463484632
ATF1	ATRNL1	0.47516928559424176
ATF1	TMEM62	0.44008413038375194
ATF1	TMEM60	0.5760943902654709
ATF1	THSD1P1	0.43811515184106886
ATF1	IGLL1	0.5204354710506331
ATF1	MITD1	0.5822616551120516
ATF1	C7orf23	0.4752511869323266
ATF1	YPEL4	0.4663987022597529
ATF1	ZNF334	0.5801030972824703
ATF1	MSX2P1	0.5153436511347027
ATF1	ZNF572	0.49551933178346586
ATF1	ZNF570	0.49185876480244417
ATF1	CXCL16	0.45884163439376113
ATF1	RAB43	0.480244653140796
ATF1	C11orf53	0.4432129216504541
ATF1	SMR3A	0.4340930257369777
ATF1	STK16	0.549647119333009
ATF1	SLC39A6	0.4941084318195146
ATF1	ZNF326	0.5666827995349779
ATF1	CD177	0.53208524437325
ATF1	CEP135	0.5199621260306948
ATF1	ORC4L	0.4929386838850842
ATF1	C1orf182	0.5434968820822759
ATF1	SC65	0.616131495501973
ATF1	VRK1	0.561281872359745
ATF1	ZCRB1	0.6045775173124954
ATF1	RNF40	0.43846898555126845
ATF1	CXorf66	0.4883449507605362
ATF1	MAK	0.5555415209120587
ATF1	KIAA1731	0.44881236073090136
ATF1	MALAT1	0.5248276664179272
ATF1	C17orf85	0.43996801039144495
ATF1	CTSL3	0.6456784223894507
ATF1	OR13C5	0.5100769504178291
ATF1	ZNF551	0.5407598483497584
ATF1	FAM149B1	0.4554330895264327
ATF1	METTL2A	0.4935333607967718
ATF1	ORC3L	0.7725473874155604
ATF1	GLIS3	0.593163012126205
ATF1	ITPR3	0.43474678282589263
ATF1	CYP4F22	0.5460345068993244
ATF1	FBXO41	0.6440847079175738
ATF1	BAG5	0.6074914790033419
ATF1	TPR	0.6084134187112595
ATF1	ZNF543	0.5319063018214316
ATF1	C9orf84	0.5142843014512288
ATF1	MAP2K6	0.5009731567446325
ATF1	MCL1	0.6084429152424788
ATF1	FAM38B	0.4752850538008575
ATF1	ZBTB17	0.4666587727616065
ATF1	API5	0.5421439825447916
ATF1	ORC2L	0.5346660929764804
ATF1	TRAPPC4	0.4618948735895714
ATF1	SRD5A3	0.5833744377632613
ATF1	TCEANC	0.4775343512032917
ATF1	TNFRSF10C	0.6097947699846129
ATF1	ZBTB10	0.6346408594527775
ATF1	B3GALT5	0.4548097019151207
ATF1	UCKL1	0.5305728800114689
ATF1	MARCH2	0.5059723082836971
ATF1	TRYX3	0.6161406494291808
ATF1	CNOT3	0.656922893203618
ATF1	PIN4	0.6028721209469547
ATF1	SP7	0.453963973861955
ATF1	ZNF774	0.5009731567446325
ATF1	SLC26A6	0.47441324769547855
ATF1	LOC55908	0.5187087692135246
ATF1	BMPR2	0.43405740955283445
ATF1	ITGB3	0.64905379588811
ATF1	MTO1	0.471492877363322
ATF1	OSTBETA	0.5538049502062479
ATF1	TRO	0.4903113280782514
ATF1	THBD	0.62687146950798
ATF1	C9orf68	0.8405459086840223
ATF1	C4orf35	0.48732887098399225
ATF1	ADAMTS9	0.45763788055308696
ATF1	KIAA1429	0.6791056047624555
ATF1	UNKL	0.5339290492972646
ATF1	EIF5A	0.48424414564318763
ATF1	EP400NL	0.5902339927780771
ATF1	C19orf75	0.46362823749704196
ATF1	PDCD6IP	0.46891567369508147
ATF1	CTDSPL	0.49190546969597015
ATF1	AHSA1	0.44530273203763926
ATF1	VPS37A	0.48175416069294075
ATF1	REXO2	0.43527979009886586
ATF1	SLCO1C1	0.45836807156340065
ATF1	DNAJC1	0.45500977825320854
ATF1	DALRD3	0.6512269285736165
ATF1	TFDP1	0.5335320842738551
ATF1	DMRTA1	0.5666947171003467
ATF1	OR10A4	0.5698752047200935
ATF1	SEC22C	0.44839707455037514
ATF1	WBP1	0.6308000059367682
ATF1	SRF	0.45538545840160793
ATF1	FOXK2	0.5838386156888902
ATF1	ATP10A	0.4856504289894641
ATF1	TPTE	0.4952677957734526
ATF1	NSL1	0.530711956624069
ATF1	BOD1L	0.4993934776746909
ATF1	ZNF626	0.4845284827102452
ATF1	BSND	0.48401017816330105
ATF1	CCL3	0.4713822228220894
ATF1	IGF2BP2	0.6231991613811245
ATF1	BEND5	0.43573807839339507
ATF1	C1orf105	0.5292337791517392
ATF1	CCDC72	0.4684280977159081
ATF1	NOP58	0.4581848584015864
ATF1	ANGPT1	0.5459799142677917
ATF1	FBXL18	0.5053940729981603
ATF1	FBXL14	0.494026824090541
ATF1	APLN	0.6268458440663163
ATF1	DNAJA1	0.45552158003004006
ATF1	GOLGA8DP	0.4455274344363378
ATF1	MFAP1	0.4537549713831033
ATF1	POLR3B	0.43623796450421004
ATF1	POLR3C	0.48914758071326636
ATF1	P2RX1	0.4480767309973275
ATF1	C4orf27	0.4880539078708894
ATF1	TLL1	0.4845171334577967
ATF1	LOC283922	0.47553959823738134
ATF1	TTLL10	0.506829023460948
ATF1	PARS2	0.5127142220620415
ATF1	AQP4	0.5202757192770195
ATF1	TXNDC12	0.46170434047832565
ATF1	MKI67	0.5553821340180845
ATF1	CCAR1	0.5149725393814615
ATF1	TIAL1	0.4930224764518236
ATF1	PNP	0.5643145973414203
ATF1	LOC643387	0.46387985671305465
ATF1	SNRPD1	0.5491201313404619
ATF1	PEG10	0.5806030462523344
ATF1	C8orf4	0.4666587727616065
ATF1	TBC1D10C	0.5672418456351078
ATF1	LGALS8	0.6970641449206147
ATF1	C6orf223	0.5672913709229612
ATF1	EPHB1	0.49890306898751025
ATF1	IMP3	0.4767098757191959
ATF1	HLA-L	0.4906257994820158
ATF1	RSAD1	0.4591637521913996
ATF1	COG2	0.4990537792428338
ATF1	ALG3	0.5165965091794722
ATF1	AP1AR	0.4666432462560355
ATF1	KRT9	0.5055034991655454
ATF1	LOC84740	0.44981754480320113
ATF1	CDC34	0.4891781618047144
ATF1	ZNF836	0.5205162911571701
ATF1	ALPK3	0.5335100595756503
ATF1	TLN1	0.8421099966285892
ATF1	C16orf62	0.4965743416764954
ATF1	RTEL1	0.6129288139059881
ATF1	ANP32A	0.46578256971278575
ATF1	DCUN1D4	0.520500076962692
ATF1	PIK3R4	0.5371295495524526
ATF1	C5orf20	0.4967571984181003
ATF1	TTBK2	0.44719315419084626
ATF1	LOC100126784	0.7701454983941987
