Regulator	Target	MI
ATF1	SNORD115-8	0.5148237616378921
ATF1	KIAA0020	0.6045641830269619
ATF1	RXFP4	0.4608127086135001
ATF1	THYN1	0.6066594841136896
ATF1	GPATCH3	0.5475031991314259
ATF1	ALKBH7	0.43900813620580426
ATF1	PSMD8	0.46347271732765805
ATF1	HMGB3L1	0.5037572485841446
ATF1	SCN11A	0.5148237616378921
ATF1	CSPP1	0.4665063727380714
ATF1	SNORA38	0.43696693932552755
ATF1	WDR90	0.4765171368089067
ATF1	ZC3H12B	0.47920928404661955
ATF1	AKT3	0.5187056380535928
ATF1	PSMD3	0.4590278925313056
ATF1	OR11H6	0.5760608657713093
ATF1	CYP1B1	0.4773274397327385
ATF1	ZNF169	0.5724294702296819
ATF1	ZNF282	0.4509456756033323
ATF1	HPCAL1	0.5338731178587914
ATF1	LGALS14	0.4710701241253026
ATF1	LOC339240	0.4673341653630412
ATF1	TMEM81	0.4719831051501324
ATF1	NCRNA00202	0.4710701241253026
ATF1	SNORD116-29	0.5132994265109327
ATF1	CLDN8	0.4710701241253026
ATF1	ORAI2	0.47829650685871883
ATF1	UQCRC1	0.5415649085936005
ATF1	HOXB1	0.44864960653293995
ATF1	NUP98	0.4599490305850913
ATF1	RPL26	0.525842737238611
ATF1	UQCRC2	0.4965730376135973
ATF1	PLBD2	0.44880878447501527
ATF1	PROL1	0.4710701241253026
ATF1	C4orf51	0.46896436040398504
ATF1	SNORD114-8	0.45598798683740904
ATF1	EXD3	0.46536821701191755
ATF1	MEAF6	0.49517504774698295
ATF1	NOLC1	0.4748531690532718
ATF1	COPS7A	0.530202232538457
ATF1	AGAP3	0.5455958546798718
ATF1	PLA2G5	0.44864960653293995
ATF1	ADH7	0.5163932264942361
ATF1	TEX28	0.45598798683740904
ATF1	OR6S1	0.5163932264942361
ATF1	C3	0.4657647005066976
ATF1	WDR70	0.6867075263211291
ATF1	PCDHA5	0.46127261253421015
ATF1	PPAPDC1A	0.4764411016165888
ATF1	PRR22	0.44864960653293995
ATF1	ZBTB7C	0.5296758978960141
ATF1	SDR42E1	0.5256421415612285
ATF1	ACD	0.6407666419122346
ATF1	UPF3B	0.5582073184592797
ATF1	RNASE13	0.48208915475658687
ATF1	EIF2AK4	0.5483341843093976
ATF1	SOX30	0.47263958898164704
ATF1	XKR7	0.4582609924176704
ATF1	GJB1	0.44864960653293995
ATF1	SNORA47	0.4711864914884365
ATF1	DLX6AS	0.5033323011018416
ATF1	HOXD4	0.4710701241253026
ATF1	FXYD5	0.49874027389594433
ATF1	GALNTL6	0.44864960653293995
ATF1	ZNF138	0.44405697812377154
ATF1	EZH1	0.45810933080393124
ATF1	ZNF134	0.44713041577526047
ATF1	ADC	0.5163932264942361
ATF1	ARHGAP9	0.5048968722618765
ATF1	BTG4	0.4710701241253026
ATF1	KGFLP2	0.4777439183002228
ATF1	PYGB	0.4521406035295068
ATF1	ARF1	0.43437194075301644
ATF1	ZNF252	0.46277177363203403
ATF1	C13orf23	0.454859726294341
ATF1	RPLP0	0.4728564795205896
ATF1	ZNF43	0.5672829504397456
ATF1	ADM	0.4898810910339857
ATF1	SERPINA6	0.4657647005066976
ATF1	FAM127B	0.452791944584539
ATF1	ABCC13	0.4710701241253026
ATF1	PIGX	0.6349412245971924
ATF1	GPRC6A	0.4710701241253026
ATF1	MRPL42	0.4964261414601583
ATF1	CSRP3	0.46430933392215534
ATF1	ING3	0.613256788041991
ATF1	PEA15	0.4365313194909546
ATF1	APPL1	0.47029907344455246
ATF1	DIO3OS	0.4903030787338416
ATF1	SULT1C4	0.449185841849284
ATF1	MESDC2	0.49257507436224257
ATF1	ZNF485	0.4433996458679146
ATF1	MSTO2P	0.47597751653063325
ATF1	LOC440040	0.4710701241253026
ATF1	RPS6KL1	0.44671446365527734
ATF1	KCND2	0.4710701241253026
ATF1	BRD7P3	0.45639277023063496
ATF1	DUSP1	0.5451496731599974
ATF1	C10orf72	0.4808590856524484
ATF1	C7orf40	0.490244965100322
ATF1	FCRL4	0.4778549499049136
ATF1	MED26	0.5816941407695011
ATF1	SERPINB8	0.4710701241253026
ATF1	GJD2	0.4903030787338416
ATF1	MED23	0.6191100271353527
ATF1	RNF168	0.46647010962725455
ATF1	MMP14	0.5091191925425318
ATF1	MMP13	0.4710701241253026
ATF1	OR6X1	0.4710701241253026
ATF1	MTF2	0.6212050872833608
ATF1	POT1	0.5009731567446325
ATF1	CRYAA	0.48370658908263975
ATF1	ERGIC3	0.6378520980127718
ATF1	SNORA64	0.6241715939013495
ATF1	ZNF473	0.7256706705092903
ATF1	CDC123	0.4528109191451213
ATF1	C1orf198	0.6677088156823001
ATF1	ZNF470	0.6196298080481135
ATF1	USO1	0.5530543036061846
ATF1	KCNA4	0.47263958898164704
ATF1	PATE1	0.4710701241253026
ATF1	WNT8B	0.49491118368351206
ATF1	OR1M1	0.4710701241253026
ATF1	SCARNA18	0.6460703717194964
ATF1	SLC7A1	0.4710701241253026
ATF1	OR4S2	0.5163932264942361
ATF1	PSMB7	0.48244759792273895
ATF1	C11orf74	0.5171615185026286
ATF1	EXTL2	0.5886996281913262
ATF1	UNK	0.6064685350566514
ATF1	SLC17A5	0.4710701241253026
ATF1	PMS2	0.5049256487491092
ATF1	C17orf73	0.46799357189688706
ATF1	STAT6	0.5308945586857239
ATF1	ZNF347	0.4863825606412693
ATF1	ZNF225	0.5115654403578489
ATF1	TP53I11	0.4340770826463425
ATF1	YKT6	0.4966416796953048
ATF1	RPRM	0.46219295342436695
ATF1	FARP2	0.4704155791657807
ATF1	LOC285419	0.452849057124721
ATF1	YTHDF1	0.4753524066933257
ATF1	ZDHHC8P1	0.4585161650871439
ATF1	ODAM	0.4710701241253026
ATF1	KCNB2	0.47263958898164704
ATF1	NR1H4	0.5163932264942361
ATF1	NCRNA00032	0.45598798683740904
ATF1	ASPRV1	0.5329997986346147
ATF1	POU4F2	0.5163932264942361
ATF1	FAM71E2	0.5287979709126849
ATF1	ZNF33B	0.4779937365940423
ATF1	FOXR2	0.4710701241253026
ATF1	PHF5A	0.6407335246984016
ATF1	CENPH	0.4719273922848086
ATF1	PSMC4	0.61176128952
ATF1	FABP7	0.4903030787338416
ATF1	ZNF74	0.4671570114284016
ATF1	UBAP1	0.536081423631285
ATF1	MITD1	0.7862759858279378
ATF1	C18orf34	0.5148237616378921
ATF1	ZNF576	0.5076726231444142
ATF1	SLC28A3	0.6186460780295793
ATF1	ZNF573	0.6309499107761121
ATF1	ZNF571	0.5355058193188662
ATF1	CCNT2	0.5184721223750759
ATF1	ZNF570	0.6253239163225426
ATF1	FBXO27	0.4670335358108417
ATF1	NAB1	0.466296481789942
ATF1	REG1B	0.4710701241253026
ATF1	IRS4	0.47263958898164704
ATF1	NCRNA00185	0.46896436040398504
ATF1	OR1S2	0.4710701241253026
ATF1	SESN1	0.4828038295698036
ATF1	SSX7	0.5163932264942361
ATF1	SSX4	0.5163932264942361
ATF1	ZNF689	0.5368402713547415
ATF1	SLC16A9	0.5681020145906026
ATF1	SSX5	0.4903030787338416
ATF1	POTEB	0.45598798683740904
ATF1	POTEC	0.5020146299302595
ATF1	PSKH1	0.521573980348335
ATF1	SERF1A	0.4964261414601583
ATF1	ANAPC7	0.5464663703436736
ATF1	ANKRD46	0.4808959212937518
ATF1	RPS5	0.4581118971043412
ATF1	STX7	0.4670381604934595
ATF1	SNORD114-11	0.44864960653293995
ATF1	OR2T6	0.5163932264942361
ATF1	FOXP1	0.5627383198224933
ATF1	CLK2P	0.48825702298820195
ATF1	LY6D	0.44864960653293995
ATF1	LOC401463	0.47263958898164704
ATF1	FKBP9	0.5622428954692613
ATF1	SNRPF	0.7670250619743593
ATF1	PHLDB2	0.46535018901686565
ATF1	ARL8A	0.45438360080684337
ATF1	KANK4	0.46128839233751995
ATF1	SLC26A1	0.43561417251097323
ATF1	FAM149B1	0.4524905863937767
ATF1	ABHD2	0.48669187337817954
ATF1	CCDC25	0.5130188379700753
ATF1	DLX6	0.47263958898164704
ATF1	ABHD8	0.44020822646106694
ATF1	CT45A3	0.5679177436904124
ATF1	LOC642587	0.4710701241253026
ATF1	KIAA1530	0.550257137017161
ATF1	CT45A6	0.46739489554764146
ATF1	KIAA0562	0.5494064396749372
ATF1	CORO1A	0.4400849257131414
ATF1	HSPBP1	0.500856581243307
ATF1	LRRC55	0.5163932264942361
ATF1	RHOBTB2	0.47865315144117826
ATF1	NEUROD1	0.4710701241253026
ATF1	OR2S2	0.4710701241253026
ATF1	ZNF549	0.4400928654281957
ATF1	ZKSCAN3	0.5336228378506047
ATF1	BRIX1	0.4666432462560355
ATF1	DRD1	0.4710701241253026
