Regulator	Target	MI
ATF1	CCT8L2	0.46156393073734714
ATF1	UBE3C	0.698145082367676
ATF1	C13orf23	0.460008110036072
ATF1	C16orf48	0.586992824275427
ATF1	CELF4	0.43939207585968765
ATF1	KIAA1033	0.5506524442895762
ATF1	UBE2L6	0.505404539388016
ATF1	EDC4	0.4584789246584773
ATF1	EEA1	0.4666432462560355
ATF1	BEST4	0.45373519568276643
ATF1	RNF114	0.5793981796848566
ATF1	SENP8	0.43630606202227806
ATF1	C6orf108	0.4512309301801105
ATF1	C4orf35	0.531742064412875
ATF1	GPRASP2	0.48421654153094407
ATF1	HRAS	0.4399352018146918
ATF1	TRIM23	0.5392799770660854
ATF1	VSIG8	0.5193870722656362
ATF1	MYBPC3	0.6735253549360096
ATF1	CNOT6L	0.46986559386628146
ATF1	MSX2	0.47216122002744276
ATF1	CKAP2L	0.47603534830562255
ATF1	COG3	0.4669837595629156
ATF1	COMMD2	0.5009309756685214
ATF1	HBA2	0.5059903883315431
ATF1	PDCD1LG2	0.5680499248551989
ATF1	ZNF12	0.4382982418473742
ATF1	FAM126B	0.43726780342081595
ATF1	FAM126A	0.5009309756685214
ATF1	TAF6L	0.4828377826473087
ATF1	AFTPH	0.4454173194947173
ATF1	CHDH	0.575137848912961
ATF1	PFDN4	0.5675749191396808
ATF1	PPID	0.7513159129894471
ATF1	CEBPA	0.4599320221516878
ATF1	VCP	0.5132950624043238
ATF1	C1orf198	0.5196457585729575
ATF1	TUBGCP2	0.49216362584232565
ATF1	SHOX2	0.5178464647722656
ATF1	PBXIP1	0.46496716779555136
ATF1	CUZD1	0.47138757310507184
ATF1	LTBP1	0.4802257036650155
ATF1	GTF2E2	0.4632744372371902
ATF1	NSL1	0.4580890308772143
ATF1	CNN3	0.44369330585301947
ATF1	RELN	0.5480561076122479
ATF1	NRIP2	0.49383085932870063
ATF1	SPINLW1	0.4806444110557635
ATF1	SERPINH1	0.4516783763626284
ATF1	XIRP2	0.5209945614303622
ATF1	DNAJC25-GNG10	0.48281773659364857
ATF1	SCAND2	0.4555291211233592
ATF1	ZNF347	0.44535079477632955
ATF1	ZC3H13	0.543513066556403
ATF1	PLXNA4	0.5058270479286882
ATF1	KLHL29	0.6142625427587309
ATF1	YTHDF2	0.530923931352536
ATF1	NFYB	0.4507560119154679
ATF1	EYA3	0.6560019804799642
ATF1	MBD2	0.620630836920804
ATF1	NDUFA2	0.4641152062981546
ATF1	AKR7L	0.5211768772939664
ATF1	EXOG	0.4793223371708981
ATF1	MARCH7	0.5582124018510024
ATF1	SFRS3	0.6026817748450046
ATF1	ADAT2	0.5029828936619078
ATF1	TMPRSS15	0.5074247950758419
ATF1	ICK	0.4958089701258177
ATF1	TRYX3	0.49190546969597015
ATF1	BCL9	0.49280387224369937
ATF1	CDK8	0.49063145620875703
ATF1	GATM	0.49484802674269357
ATF1	C14orf23	0.4463182355962667
ATF1	LSM6	0.5324413334496376
ATF1	IL9	0.5144571982232549
ATF1	ECHDC1	0.5460723956544045
ATF1	SELV	0.4761482949351712
ATF1	PI4KB	0.4713780886640624
ATF1	TGFBI	0.4347067781559453
ATF1	MAP3K13	0.46215301876264636
ATF1	SERGEF	0.4585710371862728
ATF1	TAF1	0.45473262327367436
FOXA1	POP5	0.4336629743510745
FOXA1	SLC35B2	0.4390732603101437
FOXA1	NUP107	0.4897181314144663
FOXA1	VIPR2	0.4387480727662245
FOXA1	MAML2	0.4992436435993932
FOXA1	KDELR1	0.5306879149403576
FOXA1	LRRC37B2	0.5978228086404043
FOXA1	RFESD	0.4381100523628598
FOXA1	IPP	0.43635059364271056
FOXA1	SNORD116-22	0.5765213217363456
FOXA1	ACCS	0.5139476217855288
