Regulator	Target	MI
ATF1	UGT1A10	0.4570268356363205
ATF1	DBR1	0.5275192862444946
ATF1	TOR2A	0.6870541316460854
ATF1	SNORA8	0.46924030557667074
ATF1	FCF1	0.5275192862444946
ATF1	GIMAP2	0.4496560105802607
ATF1	C22orf28	0.48823994653206526
ATF1	EPRS	0.5009731567446325
ATF1	CDH9	0.4636865930444589
ATF1	RPL6	0.44356507059093087
ATF1	CDC20	0.43829018422567767
ATF1	KIAA0776	0.6330107159502494
ATF1	ZNF204P	0.539917632546413
ATF1	RIMS1	0.5753321709673727
ATF1	RNF112	0.46065921050119396
ATF1	GOLGA5	0.5424677476428701
ATF1	CHCHD8	0.4893465847653675
ATF1	FNTA	0.5223516193051014
ATF1	C2orf65	0.46437802999983724
ATF1	DPF2	0.4461198282510228
ATF1	TRIM25	0.4489098836594154
ATF1	FAM3D	0.6008087875988282
ATF1	CPSF3L	0.5937588516733179
ATF1	SLC26A10	0.5859664681647843
ATF1	ARL11	0.5059082305292506
ATF1	CUBN	0.4578816304144451
ATF1	UTS2R	0.5050158607960404
ATF1	SNRPN	0.4414377383497876
ATF1	ZNF284	0.4687993809711717
ATF1	ANKRD46	0.46668892514130356
ATF1	LMO4	0.47956307530360087
ATF1	COG2	0.5106595836104537
ATF1	SCAMP1	0.4544418607926044
ATF1	WDR78	0.48549744708199594
ATF1	SDHB	0.45158628790442146
ATF1	KCTD7	0.4739111146436672
ATF1	SCAMP2	0.5009731567446325
ATF1	DHX40	0.5121300491724656
ATF1	RBMXL2	0.4552992476888247
ATF1	OR2T1	0.47718213687303734
ATF1	RPL13AP20	0.470312466569613
ATF1	MYL1	0.5298777839545488
ATF1	SLC9A8	0.46128319631633063
ATF1	LPPR4	0.623200692868787
ATF1	GEMIN7	0.6243237937119086
ATF1	SNRNP25	0.49156436297815054
ATF1	SPTBN4	0.458737926779365
ATF1	C17orf103	0.4711118444725897
ATF1	PFKFB4	0.6758118139034139
ATF1	PARM1	0.4692555072089233
ATF1	AASDH	0.5250118430575141
ATF1	C7orf72	0.5239191202762994
ATF1	HTRA4	0.4833538172960279
ATF1	TCF7	0.4691973286866995
ATF1	STK39	0.4659027810062546
ATF1	ATP5J	0.465972233192824
ATF1	MRPL17	0.44670014731689633
ATF1	NLK	0.473253613271988
ATF1	SEL1L2	0.6182502306773929
ATF1	CUZD1	0.4427750531230661
ATF1	GTF2E1	0.4847300849571101
ATF1	SPATA6	0.5873853656128136
ATF1	OSGEP	0.5275192862444946
ATF1	SPATA8	0.5094008741601823
ATF1	FXR1	0.5032210629216691
ATF1	ITPRIPL2	0.48783440260137256
ATF1	TCTEX1D2	0.47804136006221976
ATF1	TMEM129	0.5250839221976791
ATF1	SMN2	0.5059857020983367
ATF1	VTI1A	0.5275192862444946
ATF1	ATP6V0A4	0.4580136721793844
ATF1	PCDHA3	0.5392242581986002
ATF1	BRAP	0.4828377826473087
ATF1	TRAPPC3	0.43564563849626214
ATF1	MOSC2	0.4499305945391532
ATF1	RABGAP1L	0.6736358741197619
ATF1	TGFB2	0.5275192862444946
ATF1	FER1L4	0.5943328303685069
ATF1	ASNS	0.4361945125403901
ATF1	MRPL28	0.6071556924379151
ATF1	TRIP4	0.6755779434077382
ATF1	TYSND1	0.4600018631556826
ATF1	ACADSB	0.5304456146617134
ATF1	LRRC66	0.43839751269176075
ATF1	FBXO31	0.46257135577342723
ATF1	GPN3	0.5608059603107947
ATF1	MANF	0.4412508157715429
ATF1	TRYX3	0.4552992476888247
ATF1	RNF222	0.5275192862444946
ATF1	UCK2	0.48428197293895714
ATF1	NPLOC4	0.4522885863769237
ATF1	ARPC3	0.5855337917523031
ATF1	C14orf143	0.5560009485609259
ATF1	KIAA0146	0.48430390498208054
ATF1	PYROXD2	0.5356588164096014
ATF1	FAM82B	0.4582089592622318
ATF1	DHRS13	0.4351432525828054
ATF1	CD164L2	0.521210400497039
ATF1	NVL	0.5003558947763573
ATF1	FASTKD3	0.4903963151441091
ATF1	ZFAND2A	0.44792325265362454
ATF1	RMND1	0.5689599943185977
ATF1	LMOD1	0.4461756775236543
ATF1	MRPS10	0.4666432462560355
ATF1	CBWD1	0.5383467738046823
ATF1	AATF	0.4817361070633006
ATF1	ECSIT	0.48461806016863207
ATF1	C3orf26	0.47398080664824027
ATF1	EFCAB10	0.5010520820130506
ATF1	FAM127B	0.43573807839339507
ATF1	CDC73	0.5840413999753915
ATF1	ARHGAP4	0.43574530270001244
ATF1	MRPL33	0.5326882678046929
ATF1	TMEM187	0.606107563374549
ATF1	EEA1	0.6040679240709039
ATF1	OR4N3P	0.4494980660032777
ATF1	C1QTNF8	0.6947874905232796
ATF1	DBT	0.45500977825320854
ATF1	C9orf66	0.5139116680044227
ATF1	CCDC54	0.4530613155105505
ATF1	INSL3	0.5544915918366278
ATF1	SFTA1P	0.45246648518095833
ATF1	MCF2L2	0.4627638512935661
ATF1	PWRN1	0.4892492668328474
ATF1	STRBP	0.526018418578786
ATF1	ANKRD26P1	0.5538615361823838
ATF1	FAAH2	0.5732304034039775
ATF1	VPS37C	0.5128231644687271
ATF1	CACYBP	0.43726528321815694
ATF1	MRPL47	0.7684913723413156
ATF1	MRPL45	0.5582757397327129
ATF1	C5orf52	0.5711450960469477
ATF1	UTP18	0.5711450960469477
ATF1	PACS2	0.49402415061272986
ATF1	FAM84A	0.49323013185384257
ATF1	FAM32A	0.679182370142736
ATF1	WDR27	0.472499837915902
ATF1	PTX4	0.47310204910445064
ATF1	USP11	0.5126814173101568
ATF1	CEBPG	0.4415768789753618
ATF1	DDX23	0.5260477822427285
ATF1	FAM35A	0.5072162758178655
ATF1	TIMM13	0.5483771926052969
ATF1	MTIF2	0.5002372138317055
ATF1	PDC	0.5117299287642396
ATF1	GNA13	0.45162621869096586
ATF1	ADAM28	0.439394038844668
ATF1	DCAF17	0.46437802999983724
ATF1	SRPX2	0.44414205605968426
ATF1	BOD1L	0.5009731567446325
ATF1	UBE2NL	0.48008300087635813
ATF1	VPS53	0.4586713670782556
ATF1	C17orf71	0.5340052480008213
ATF1	ZNF503	0.49190546969597015
ATF1	SLC25A21	0.7295023323862848
ATF1	ZNF226	0.4579380331689036
ATF1	MBNL3	0.4828377826473087
ATF1	AAMP	0.4935753070068767
ATF1	POLR2K	0.555978857717125
ATF1	ZNF189	0.5150310777027496
ATF1	P2RY12	0.5133325029294191
ATF1	CGREF1	0.5247424827934113
ATF1	RIC3	0.45341940215601495
ATF1	TM4SF18	0.5059082305292506
ATF1	ZNF187	0.49190546969597015
ATF1	PLA2G2E	0.5346815630951456
ATF1	SNX21	0.657545692451944
ATF1	NOC3L	0.5341720455480186
ATF1	UBE2G2	0.5882310976451581
ATF1	GNPDA1	0.4878207295022352
ATF1	ERCC4	0.4734071976837795
ATF1	PCDHB18	0.43775400817754484
ATF1	SYT11	0.44979055627136777
ATF1	JKAMP	0.48549744708199594
ATF1	EIF3J	0.454166123950833
ATF1	MITD1	0.6929549344838635
ATF1	SIPA1	0.4385334175425717
ATF1	CCDC62	0.748106459970673
FOXA1	RTP1	0.5274221055360413
FOXA1	HSPB7	0.4374840492534431
FOXA1	UBE3A	0.4677419040215032
FOXA1	ATP5G2	0.5136159264447517
FOXA1	CASP14	0.44742571649428386
FOXA1	HEPH	0.5473419494097351
FOXA1	C11orf90	0.5035842757274969
FOXA1	UBXN8	0.5735680875646065
FOXA1	CALN1	0.4708434674961457
FOXA1	ABHD14B	0.45091413804481784
FOXA1	KIAA0494	0.5635199421402932
FOXA1	GTPBP8	0.4341723307672005
