Regulator	Target	MI
ATF1	SNED1	0.45880978267954964
ATF1	GTF3C3	0.46120703368871974
ATF1	PDCD7	0.5619460630016828
ATF1	DNAH6	0.567729184872237
ATF1	PALM2-AKAP2	0.4833397584393362
ATF1	TTC27	0.5044017368205194
ATF1	ADAMTS4	0.49314099199102124
ATF1	GGA1	0.5482918155979357
ATF1	ARVCF	0.4793323928395701
ATF1	BAIAP2L2	0.43619258226526014
ATF1	ADAMTS19	0.48992470753798534
ATF1	RSRC1	0.45657145113393494
ATF1	ARHGDIA	0.46400974403761186
ATF1	MUC12	0.48791921351776635
ATF1	TCTEX1D4	0.4935123695355208
ATF1	SNORA10	0.5365269651984632
ATF1	TMED7	0.4351827863551807
ATF1	ARHGEF12	0.44173986252012165
ATF1	CCDC58	0.43383203637873313
ATF1	GPR77	0.4418228283125196
ATF1	STYK1	0.4781999643171049
ATF1	SRCRB4D	0.46889413771343325
ATF1	SNORD18C	0.5038028369948346
ATF1	B3GALTL	0.4748137649735278
ATF1	GAK	0.4893968302037943
ATF1	TRYX3	0.4383049696867243
ATF1	ARMC2	0.5111907431933167
ATF1	NIF3L1	0.6187875461548749
ATF1	INF2	0.5183039800308258
ATF1	TRPV6	0.44708420845421726
ATF1	PACS1	0.46735558938053057
ATF1	POLR3C	0.49212906944374035
ATF1	GRWD1	0.4335586846254671
ATF1	PIGK	0.6155579618073435
ATF1	COL4A5	0.5217610501835424
ATF1	MANSC1	0.44693401666100296
ATF1	UTRN	0.48396472858969775
ATF1	MBTPS2	0.45316740125649924
ATF1	CSNK1G1	0.44976845168969914
FOXA1	IFITM1	0.44273379380029443
FOXA1	SFT2D3	0.44155340111614816
FOXA1	KDELR1	0.543590878076484
FOXA1	RPL10L	0.44402501652140813
FOXA1	HDLBP	0.4510401685965344
FOXA1	CLEC14A	0.435202212475692
FOXA1	ATP5G2	0.4560012839160077
FOXA1	JPH1	0.7164996750011956
FOXA1	MTP18	0.46092317628969015
FOXA1	ZMIZ2	0.47986635444613235
FOXA1	ZIC1	0.5442768102307465
FOXA1	CD38	0.4891609903983962
FOXA1	ITGB7	0.45690393703589516
FOXA1	WDR8	0.4485987876179114
FOXA1	C18orf25	0.46505376876424975
FOXA1	RGS9	0.45526936167227516
FOXA1	CC2D2B	0.4471225948522113
FOXA1	EMX1	0.6952404388711018
FOXA1	KIRREL2	0.49584958625265063
FOXA1	IMP4	0.4623339467106726
