Regulator	Target	MI
ATF1	PIGU	0.4617541582820648
ATF1	SEMA7A	0.6679383720751875
ATF1	PPIL2	0.5280890101767608
ATF1	ANGPT1	0.5229269037732998
ATF1	NDUFA4	0.4508354791250242
ATF1	GLO1	0.5344961101930794
ATF1	METTL2A	0.4587438438212206
ATF1	TRYX3	0.4958982998484802
ATF1	TAF6L	0.4761434532916571
ATF1	CLDN3	0.5287725003915393
ATF1	C22orf31	0.44791463045950675
ATF1	XPO5	0.4489098836594154
ATF1	PSMD1	0.47825415032012497
ATF1	NAE1	0.6049706043260668
ATF1	PCDHA2	0.4772247734797488
ATF1	ERGIC3	0.7619318346886597
ATF1	C9orf84	0.5317737021918401
ATF1	ZNF442	0.6167736616887356
FOXA1	CDS1	0.4439778110332302
FOXA1	SLC44A5	0.5200798366763726
FOXA1	LEAP2	0.5400927631330417
FOXA1	SLA	0.48466903012209395
FOXA1	LTBP2	0.4696431456239982
FOXA1	LYZL1	0.47888989262928794
FOXA1	WASH2P	0.5200243802943847
FOXA1	CYP17A1	0.4643208263458032
FOXA1	FGD2	0.4524615478820837
FOXA1	GALR3	0.465263320677916
FOXA1	ZNF706	0.5291839042715147
FOXA1	CDH20	0.5313687325774912
FOXA1	C12orf61	0.4444269640822891
FOXA1	C9orf66	0.47153811030089043
FOXA1	RAB8A	0.5283560532381539
FOXA1	ZNF365	0.4389825906850935
FOXA1	C7orf42	0.4694976499392278
FOXA1	COL23A1	0.4862553795782869
FOXA1	KLF15	0.4393141507791207
FOXA1	TNRC6C	0.4941150707029265
FOXA1	NR4A1	0.4495640141082715
FOXA1	DBNDD2	0.4646168643666302
FOXA1	PPA2	0.44662952197701156
FOXA1	C3orf71	0.4694976499392278
FOXA1	DCX	0.7152275160516801
FOXA1	ECT2L	0.4338415690407591
FOXA1	NFE2L2	0.4414552778213432
ATF2	KCNG1	0.4776917242973555
ATF2	LOC285548	0.4477161824183651
ATF2	ZWILCH	0.4647615548159205
ATF2	MAGEB16	0.5040150005748281
ATF2	MT1M	0.48708058561632406
ATF2	OR5K1	0.43364718329496377
ATF2	PRUNE	0.4535321060834936
ATF2	MRGPRF	0.49229033214747897
