Regulator	Target	MI
ATF1	LRRC14B	0.4829651845764511
ATF1	PWWP2B	0.4829651845764511
ATF1	GAGE8	0.4829651845764511
ATF1	LOC284578	0.4829651845764511
ATF1	SPINT4	0.4829651845764511
ATF1	FLJ12825	0.4829651845764511
ATF1	OR4Q3	0.4829651845764511
ATF1	ZC3H12A	0.521379567684761
ATF1	PWWP2A	0.4829651845764511
ATF1	C14orf70	0.4829651845764511
ATF1	FNBP4	0.5061095248153022
ATF1	CXADR	0.4829651845764511
ATF1	ESX1	0.4829651845764511
ATF1	HDGFRP2	0.4829651845764511
ATF1	OR4P4	0.4829651845764511
ATF1	ISL1	0.4829651845764511
ATF1	OPTC	0.4829651845764511
ATF1	C14orf86	0.4829651845764511
ATF1	CLOCK	0.46355954641069896
ATF1	LOC643719	0.4829651845764511
ATF1	TPRG1L	0.4829651845764511
ATF1	ADAM5P	0.4829651845764511
ATF1	SCGB1D2	0.4829651845764511
ATF1	KCNQ1OT1	0.4829651845764511
ATF1	SCGB1D4	0.4829651845764511
ATF1	PIP5K1A	0.4640971856628666
ATF1	BTBD17	0.4829651845764511
ATF1	TIPARP	0.4829651845764511
ATF1	OR4N2	0.4829651845764511
ATF1	PPFIBP1	0.4965232142741427
ATF1	SFTA2	0.4829651845764511
ATF1	LOC440173	0.4829651845764511
ATF1	CSDAP1	0.4829651845764511
ATF1	LOC92973	0.4829651845764511
ATF1	ZNF44	0.5526598370969111
ATF1	FRG2B	0.4829651845764511
ATF1	HOXC13	0.4829651845764511
ATF1	FRG2C	0.4829651845764511
ATF1	HOXC12	0.4829651845764511
ATF1	ANXA8L2	0.4829651845764511
ATF1	MMP27	0.4829651845764511
ATF1	TCP11L1	0.44392928539566956
ATF1	POM121L1P	0.4829651845764511
ATF1	ZNF483	0.4829651845764511
ATF1	WNT9B	0.4337019487402505
ATF1	RAB3IL1	0.533122755214746
ATF1	TEX15	0.4829651845764511
ATF1	SLC7A5	0.4829651845764511
ATF1	TMEFF1	0.4829651845764511
ATF1	MMP13	0.4829651845764511
ATF1	PLSCR5	0.4829651845764511
ATF1	RAPGEF1	0.4363201995605581
ATF1	KRTAP25-1	0.4829651845764511
ATF1	WRB	0.4829651845764511
ATF1	CRCT1	0.4829651845764511
ATF1	KCNA4	0.4829651845764511
ATF1	LOC285401	0.4829651845764511
ATF1	LAMB2L	0.4656165433348778
ATF1	SLC7A1	0.4829651845764511
ATF1	SLC7A2	0.4829651845764511
ATF1	OR4S1	0.4829651845764511
ATF1	LOC643763	0.4829651845764511
ATF1	PABPC1P2	0.4829651845764511
ATF1	AGR3	0.4829651845764511
ATF1	IL12RB1	0.4758137317295712
ATF1	C4orf7	0.4829651845764511
ATF1	MBD3	0.4829651845764511
ATF1	LOC339788	0.4829651845764511
ATF1	MBD4	0.4829651845764511
ATF1	ODAM	0.4829651845764511
ATF1	MBD1	0.4829651845764511
ATF1	SCTR	0.4430331588946239
ATF1	PASD1	0.4829651845764511
ATF1	UNCX	0.4829651845764511
ATF1	LOC100130148	0.4829651845764511
ATF1	LOC653545	0.4829651845764511
ATF1	LOC653544	0.4829651845764511
ATF1	ADAM21P1	0.4829651845764511
ATF1	KCNG4	0.4829651845764511
ATF1	REG1B	0.4829651845764511
ATF1	CASC2	0.4829651845764511
ATF1	MSI1	0.4829651845764511
ATF1	FBXO24	0.4829651845764511
ATF1	IL1RAP	0.4829651845764511
ATF1	C21orf15	0.4829651845764511
ATF1	REG1P	0.4829651845764511
ATF1	POTED	0.4829651845764511
ATF1	MTPAP	0.447779153467295
ATF1	IFNA14	0.4829651845764511
ATF1	KCNH5	0.4829651845764511
ATF1	FBXW8	0.5741358408425214
ATF1	LOC255167	0.4829651845764511
ATF1	CNPY2	0.4829651845764511
ATF1	SDCBP2	0.4829651845764511
ATF1	FKSG83	0.4829651845764511
ATF1	CLK2P	0.48620770193723883
ATF1	OR4X2	0.4829651845764511
ATF1	OR4X1	0.4829651845764511
ATF1	LPAL2	0.6250346451422075
ATF1	OR51T1	0.4829651845764511
ATF1	LY6D	0.4829651845764511
ATF1	SMS	0.4829651845764511
ATF1	LOC401463	0.4829651845764511
ATF1	FTL	0.4829651845764511
ATF1	IFNA10	0.4829651845764511
