Regulator	Target	MI
ATF1	ATF2	0.5044804700273628
ATF1	SNORD121B	0.5932947474326205
ATF1	ZFYVE9	0.495498506540236
ATF1	LACTB	0.5404364196261535
ATF1	SPIC	0.5491229848589989
ATF1	AS3MT	0.4723798277299385
ATF1	TBK1	0.6042028338858296
ATF1	C22orf31	0.6086929241418404
ATF1	SNORD115-48	0.5381880994250228
ATF1	ZNF17	0.5059082305292506
ATF1	STARD3	0.45084078274893624
ATF1	ZNF283	0.5966571885392598
ATF1	DNTTIP1	0.4972524526971194
ATF1	ZNF12	0.4805001376329465
ATF1	RUFY1	0.5821529732688289
ATF1	SLC5A6	0.618594855534198
ATF1	CLDN3	0.6501602064888239
ATF1	EID3	0.5866218234872065
ATF1	C22orf43	0.442695345493723
ATF1	ZFYVE19	0.5210645960586437
ATF1	TBPL1	0.444506696645417
ATF1	TMEM126B	0.5106083634914893
ATF1	MYL9	0.6356946667360872
ATF1	LOC441046	0.7077551850890975
ATF1	CDCA2	0.45618100218165125
ATF1	MRPL12	0.692531735867906
ATF1	NCAPH	0.5497587368103036
ATF1	ZNF26	0.620969914228529
ATF1	CYB5R1	0.46799438279533057
ATF1	SCGB1D1	0.4624779189727226
ATF1	NCRNA00116	0.6420780975009781
ATF1	PIP5K1B	0.4533351822588805
ATF1	ABCA1	0.5221839451930212
ATF1	MRPL27	0.59456294721029
ATF1	RNF222	0.7656650660791682
ATF1	BHMT	0.5369717514332129
ATF1	PCDHGA12	0.4480415268106519
ATF1	SNORD115-37	0.5113121021401899
ATF1	NAPEPLD	0.43348813269690156
ATF1	ZNF43	0.4795341322542095
ATF1	EFCAB7	0.6805996115948703
ATF1	LRRC32	0.548394821237562
ATF1	ARHGAP6	0.5287590262213535
ATF1	HSPB11	0.6014410498936487
ATF1	MED18	0.4533351822588805
ATF1	EEA1	0.5603299682258447
ATF1	MECP2	0.4933077280942286
ATF1	FASTK	0.6354081246197518
ATF1	LRRC47	0.7318001992320231
ATF1	DUSP2	0.5150312943240194
ATF1	MRPL47	0.6514498285106831
ATF1	MMP14	0.5499478178081088
ATF1	LOC100131691	0.50808391475982
ATF1	CHST4	0.6459964999704293
ATF1	CRYAB	0.48310092014663164
ATF1	CHST3	0.48694038413640417
ATF1	ZNF232	0.5180874082398228
ATF1	C20orf185	0.5621604633523263
ATF1	ZNF470	0.6073585910910286
ATF1	TMEM71	0.7461546037256719
ATF1	ADAM28	0.44729054211405295
ATF1	SULT1E1	0.5006258187759021
