Regulator	Target	MI
ATF1	C1orf52	0.4559213826282531
ATF1	C20orf11	0.4640232826162487
ATF1	DBR1	0.4828377826473078
ATF1	TXNL4B	0.5149357359732831
ATF1	UBXN2B	0.5983650287974251
ATF1	VARS	0.4637568936607792
ATF1	C10orf40	0.43856965492476085
ATF1	COL12A1	0.5793887108685207
ATF1	DDX60L	0.493594434198692
ATF1	NUCKS1	0.43707419999279074
ATF1	MKI67	0.4501739504650626
ATF1	RPS15	0.5155424181153436
ATF1	PCMT1	0.5702739526877547
ATF1	CCDC91	0.5387458418521884
ATF1	PTTG1	0.4821467421864014
ATF1	KIF5A	0.46184482914774083
ATF1	UBAP2L	0.4441354198622971
ATF1	ZNF324	0.44012328886292806
ATF1	MAP3K7	0.4689360405998211
ATF1	FBXO9	0.5226155877887511
ATF1	RAB2A	0.5574975533248545
ATF1	TPTE2	0.5185445112861822
ATF1	ZNF441	0.5599110638122706
ATF1	MIA	0.44332181161164996
ATF1	ZBTB38	0.46745115353810274
ATF1	ARMC9	0.5453146448925863
ATF1	UNC5C	0.45393465006234024
ATF1	HCFC2	0.6315867291781769
ATF1	MGC72080	0.47013285472555166
ATF1	KCTD5	0.4746946887084533
ATF1	PHKA2	0.5111099707450353
ATF1	ATP5J2	0.4771871029387369
ATF1	MRPS18C	0.4905526215795879
ATF1	CACNB1	0.46729381124506997
ATF1	CMPK1	0.5060802967650879
ATF1	C17orf85	0.5119404201882998
ATF1	NHLRC2	0.5444325165755948
ATF1	SNRNP25	0.4826315498819289
ATF1	SPINK9	0.59417570768652
ATF1	CLOCK	0.5194923002770988
ATF1	KPNB1	0.4552984016454533
ATF1	PPID	0.5008828456887886
ATF1	SF1	0.43491519190127814
ATF1	ZNF155	0.576787303015736
ATF1	TMEM161A	0.4777227372464643
ATF1	GYPC	0.4633660850685444
ATF1	CTR9	0.45272817853545444
ATF1	STK39	0.6084564914464634
ATF1	FAM125A	0.45373241864459946
ATF1	ODF2L	0.4473413949235998
ATF1	BCL2L11	0.49421042660170666
ATF1	OR2AK2	0.506519099267154
ATF1	VTI1A	0.6138039003962263
ATF1	C9orf84	0.43576821020729284
ATF1	ZC3H15	0.49933928360672786
ATF1	BPTF	0.4767466016294355
ATF1	PCDHA6	0.5032970480548782
ATF1	HSPA8	0.6054756479687109
ATF1	ACD	0.6779800145215615
ATF1	JUN	0.49690462123503476
ATF1	MLL4	0.61785781115544
ATF1	YES1	0.48294611347288763
ATF1	DENND4A	0.4766388484903503
ATF1	STAM	0.45050006405572685
ATF1	RNF222	0.49190546969597015
ATF1	GNAL	0.4772058451952108
ATF1	FAM175B	0.5265162791049653
ATF1	ZFAT	0.5203367179426235
ATF1	ECHDC1	0.5055245677063844
ATF1	DYNLRB1	0.47459206489972994
ATF1	PCDHB9	0.43726840074200224
ATF1	BRWD3	0.4902556559317621
ATF1	SLC2A4RG	0.4386890019098195
ATF1	DCP1B	0.438928912512361
ATF1	ZNF497	0.4913521964665457
ATF1	CEP57	0.4993263955559937
ATF1	PHF2	0.5691408144560772
ATF1	SETD2	0.46462171949966313
ATF1	ST6GALNAC1	0.438325142517777
ATF1	C2CD3	0.5256951701116321
ATF1	PSIP1	0.48567839105525046
ATF1	DOC2B	0.49491403072990625
ATF1	PEAR1	0.59692201589402
ATF1	SH3RF1	0.4542327532771453
ATF1	MMP20	0.5461416091812699
ATF1	DTWD1	0.5853378922437908
ATF1	ARL5B	0.4410265031212903
ATF1	CA3	0.5540880747266437
ATF1	RSRC1	0.47112966265592204
ATF1	KIAA1429	0.5358210863825197
ATF1	PDZK1P1	0.6706280339435198
ATF1	VPS37C	0.4379038091694323
ATF1	RNF208	0.6337475464878013
ATF1	C9orf4	0.5124258115505667
ATF1	C5orf52	0.47767850495146646
ATF1	TAF6L	0.5275192862444946
ATF1	FCHSD2	0.5039110603041523
ATF1	MRAS	0.5078899591778443
ATF1	PSMA1	0.46372749710648753
ATF1	RGS7BP	0.45689163688380274
ATF1	CHMP6	0.6519470232822933
ATF1	FAM72B	0.5595952469489083
ATF1	FOXC2	0.49203510872626177
ATF1	RPL12	0.4383068446549556
ATF1	GOSR1	0.6442304342096516
ATF1	TMEM72	0.4714868704796591
ATF1	DLL3	0.47773853591356286
ATF1	TMEM71	0.5320283590094821
ATF1	AP3M1	0.44680629298752184
ATF1	OS9	0.5218972278033105
ATF1	SRP72	0.5000459261963779
ATF1	TMEM65	0.4520551115162599
ATF1	REXO1L1	0.48548032243569494
ATF1	SH3BP4	0.48292105286679954
ATF1	XIRP2	0.5226137879644321
ATF1	HS1BP3	0.5922489044849994
ATF1	E2F6	0.4981088194739143
ATF1	VAT1L	0.48842118012237234
ATF1	RCVRN	0.5728918351819328
ATF1	SDHAP2	0.44439365348105664
ATF1	TMUB2	0.48549744708199594
ATF1	TJP1	0.43773936906874056
ATF1	STAC2	0.5762998641540302
ATF1	SARDH	0.4340255398219335
ATF1	TRIM31	0.5111337847250534
ATF1	ACTR10	0.539385887556612
ATF1	EBAG9	0.44405006077675324
FOXA1	DCLRE1B	0.5768470635031444
FOXA1	DCLRE1C	0.4723135517673507
FOXA1	SFT2D3	0.4607987056749949
FOXA1	TTC24	0.4955815501140557
FOXA1	IL29	0.45693274026570796
FOXA1	LPCAT1	0.4585623211112133
FOXA1	GRIK4	0.475843971289037
FOXA1	RND2	0.484565777933021
FOXA1	BACH2	0.43601527103062976
FOXA1	CAPN8	0.5295883038501148
FOXA1	SYNGAP1	0.44049348412857015
FOXA1	ZNF805	0.6051954432794733
FOXA1	NKIRAS1	0.46727424052050726
FOXA1	NCK2	0.5263732460969681
FOXA1	GJA9	0.47233657294584974
FOXA1	MYOZ1	0.5304329235639491
FOXA1	RAB8A	0.5718202057669655
FOXA1	TAPT1	0.4974263763368638
FOXA1	ZNF883	0.4344297838794944
FOXA1	BCAS1	0.5186258637872108
FOXA1	GARNL3	0.49816505123922816
FOXA1	CHID1	0.46382207470542713
FOXA1	RAB6C	0.4962201226935483
FOXA1	CCDC153	0.44689894281778697
FOXA1	SH2D3A	0.4741916116652356
FOXA1	SLC30A5	0.5343230432430168
FOXA1	HLA-B	0.5580097902961056
FOXA1	HLA-F	0.4877103065240571
