Regulator	Target	MI
ATF1	UXS1	0.47593677758695874
ATF1	STMN4	0.4713293512845751
ATF1	PSMD2	0.6012606599911865
ATF1	ZC3H12A	0.4710064978134705
ATF1	ADNP2	0.48964883522683467
ATF1	OR2L2	0.5076213822424087
ATF1	SCAMP1	0.5931858104505108
ATF1	OR10AD1	0.45444479537911064
ATF1	TMEM82	0.4428117137878753
ATF1	MAPKSP1	0.48549744708199594
ATF1	VIPAR	0.482332665296461
ATF1	ETHE1	0.4566066592943807
ATF1	LOC349196	0.4848059527990012
ATF1	RBCK1	0.698227300445541
ATF1	MYL9	0.46338137698762916
ATF1	PLBD2	0.4914398780959548
ATF1	SHMT1	0.45256954453241827
ATF1	ABCB5	0.47788117031914545
ATF1	LOC284233	0.4616743354550392
ATF1	LARP1	0.5435778426693405
ATF1	VTI1A	0.5275192862444946
ATF1	MGC16703	0.4657217966713212
ATF1	PIP5K1B	0.5059082305292506
ATF1	PCDHA2	0.4792149810459825
ATF1	PCDHA8	0.4570128810353795
ATF1	LRRC37A3	0.483421871115699
ATF1	PLK3	0.4524891456695843
ATF1	NAPSA	0.5548283555710039
ATF1	PHC2	0.4856583770634675
ATF1	PRELID1	0.446373402858554
ATF1	C3orf17	0.7295905069436905
ATF1	GSTM1	0.48595021090549473
ATF1	ZNF140	0.4570565980515777
ATF1	BTBD10	0.47790307060771076
ATF1	DHFR	0.5275192862444946
ATF1	RNF222	0.6267174311932795
ATF1	GJB2	0.5906295020337273
ATF1	EIF5	0.5532756580762817
ATF1	LOC653501	0.4334372388943013
ATF1	GPR183	0.58780405974335
ATF1	SNAI2	0.479053190190045
ATF1	RAD18	0.483421871115699
ATF1	LRSAM1	0.49625876279016623
ATF1	RARG	0.6573259947325267
ATF1	PIGP	0.4558052524485734
ATF1	LRRC3	0.4416703271275533
ATF1	ING1	0.5818953230913944
ATF1	LRRC30	0.6016091732832805
ATF1	DDA1	0.6192821433963589
ATF1	TAF7L	0.4857763580297987
ATF1	JPH2	0.4950849948103353
ATF1	TRIM5	0.4478340400601106
ATF1	FASTK	0.45538545840160793
ATF1	CEP55	0.6030367092409428
ATF1	PANX3	0.4791480714862937
ATF1	TIGD1	0.44952335670920274
ATF1	MSTO2P	0.6165661434246479
ATF1	ZSCAN5B	0.5659395329568917
ATF1	NSUN3	0.46482359977563315
ATF1	BGN	0.5186782823597427
ATF1	PAX4	0.5027894284948831
ATF1	HSFX1	0.5815567799587051
ATF1	MANEAL	0.5250839221976791
ATF1	F2	0.46309935223702814
ATF1	TAF6L	0.43798819263087374
ATF1	PSMA3	0.4729159170702917
ATF1	F9	0.45475581403467036
ATF1	PSMA4	0.54649957774489
ATF1	C11orf80	0.4641458870702291
ATF1	TMEM106C	0.6242712567331603
ATF1	ERGIC3	0.6279145605200998
ATF1	LOC442454	0.5655974090192277
ATF1	EXOC1	0.679735814437052
ATF1	ZNF473	0.5059082305292502
ATF1	ZNF594	0.5700951725636196
ATF1	TMEM165	0.45500977825320854
ATF1	ERMP1	0.6148240519740829
ATF1	RG9MTD1	0.5510798303082689
ATF1	RG9MTD2	0.4700635657658818
ATF1	FLNA	0.4814913936219609
ATF1	ANKRD52	0.4969710063281645
ATF1	EGLN3	0.44941777621941625
ATF1	ZNF582	0.5100769504178286
ATF1	CSNK1A1	0.4557084742451054
ATF1	DAB2IP	0.5259347325215424
ATF1	NMNAT2	0.5100368155587307
ATF1	HIPK3	0.48547009955403597
ATF1	OR6V1	0.5318283028883144
ATF1	RNF145	0.469688073017974
ATF1	C11orf61	0.4367892248963323
ATF1	ZNF71	0.5186300042095562
ATF1	TTLL2	0.4699506104321194
ATF1	C7orf27	0.4339974332404992
ATF1	UBAP2	0.49296693252972457
ATF1	ZNF697	0.5339421737207712
ATF1	TXNL4B	0.585000484616562
ATF1	TNC	0.5009731567446325
ATF1	RPL10A	0.49355266771970685
ATF1	OR52W1	0.47439542149060365
ATF1	HHAT	0.46198470852273754
ATF1	PAPOLA	0.4892492668328474
ATF1	MTPAP	0.45801833891964927
ATF1	MAP3K7	0.5275192862444946
ATF1	RPTN	0.5541231422142641
ATF1	SYBU	0.44664664358511397
ATF1	ZNF564	0.5050556013190972
ATF1	IL13RA1	0.4730063364793766
ATF1	IFNAR2	0.6228989304358921
ATF1	RAB2A	0.6929549344838635
ATF1	LOC678655	0.4594445174052795
ATF1	TBR1	0.6279145605200998
ATF1	NRBP1	0.5881917014442055
ATF1	HIC2	0.5180867971865855
ATF1	MELK	0.47276914055828634
ATF1	NAAA	0.5268494242377821
ATF1	KIAA0528	0.4828377826473087
ATF1	OR13C2	0.4926524326301487
ATF1	ZNF433	0.5719277536362686
ATF1	KPNB1	0.514911745432237
ATF1	IFNAR1	0.48289109750992765
ATF1	C1orf157	0.48095545320788036
ATF1	CSF1R	0.46437802999983724
ATF1	RNASEH2C	0.4576252348943881
ATF1	CBFB	0.4838983431627786
ATF1	TROAP	0.43982050248396654
ATF1	CYP4F22	0.5295273149431998
ATF1	GTF2E1	0.6110401398293641
ATF1	GLIS1	0.43882728434695206
ATF1	SPATA8	0.4892492668328474
ATF1	BAG5	0.4861473247355579
ATF1	STK36	0.4352330974677203
ATF1	THEM5	0.4762692942466469
ATF1	GPR115	0.5015629038847358
ATF1	LOC100130691	0.4415984739133938
ATF1	UGT3A2	0.4477212333152143
ATF1	TXNDC2	0.4463807418242909
ATF1	ZNF667	0.45164922229981963
ATF1	NAE1	0.5711450960469477
ATF1	ZKSCAN4	0.4378187565358167
ATF1	ZNF787	0.45027790606640483
ATF1	NPTX2	0.441317880493191
ATF1	SRGAP1	0.507357525706321
ATF1	AP1M1	0.574956123111726
ATF1	MAP2K6	0.635171487290382
ATF1	ZNF660	0.5015636953823477
ATF1	ANKRD26	0.4974287484433195
ATF1	RAB4A	0.6152054238615174
ATF1	MYPOP	0.5278789319599406
ATF1	API5	0.5696165839956078
