Regulator	Target	MI
ATF1	HNRPDL	0.4910465951757197
ATF1	SETD2	0.48319448323846714
ATF1	ZWILCH	0.4734071976837786
ATF1	KIAA0020	0.5896599825287931
ATF1	LOC647979	0.5263008313406874
ATF1	CBWD1	0.4490652870803622
ATF1	NUCKS1	0.48449701991440897
ATF1	CASC1	0.44440397251450214
ATF1	IPO7	0.502504416026563
ATF1	MED15	0.5259287567956372
ATF1	LACTB	0.5897360817699862
ATF1	FAM178A	0.4936449221286008
ATF1	FCGR3A	0.4601984006558344
ATF1	RPPH1	0.4919054696959706
ATF1	GOLGA5	0.444851090606023
ATF1	C22orf31	0.5824070315259209
ATF1	HEPHL1	0.6053423982016453
ATF1	EXO1	0.6089557988463956
ATF1	XPO5	0.46986559386628146
ATF1	ZNF689	0.5182730714384163
ATF1	CPNE2	0.5969139490833029
ATF1	SLC26A10	0.7089072711387785
ATF1	TMEM38A	0.5346660929764804
ATF1	ZNF688	0.4355564750486596
ATF1	LOC440563	0.5322063445978085
ATF1	RPP38	0.4613169482855626
ATF1	C7orf58	0.4627566820646356
ATF1	UTP14C	0.4361945125403901
ATF1	MST4	0.4962041243239974
ATF1	ZHX2	0.48565564426713914
ATF1	RFC2	0.49577714106663073
ATF1	CTDSPL	0.5688607554671568
ATF1	RPGRIP1L	0.48449701991440897
ATF1	GNL2	0.5670803011151548
ATF1	MRPS7	0.43480616202763
ATF1	TMEM130	0.4680600098309835
ATF1	MRPS5	0.4900676673567119
ATF1	THOC6	0.47001179296331985
ATF1	ARMC1	0.4585623211112133
ATF1	SLFN11	0.4696374869522857
ATF1	WBSCR16	0.6300003017299738
ATF1	RRM2B	0.46781041779090504
ATF1	GPR161	0.44778844156023334
ATF1	FAM96B	0.4367239689207145
ATF1	FKBP8	0.4587354683734244
ATF1	G2E3	0.4793940247717776
ATF1	SNRPE	0.4500896453330365
ATF1	ANGPTL4	0.539385887556612
ATF1	FAM193A	0.4449324676236852
ATF1	UQCRC2	0.5205366430376617
ATF1	ERGIC3	0.46406372698555876
ATF1	ZNF433	0.4705541347481219
ATF1	TSEN34	0.4634432468772389
ATF1	ZNF155	0.7494408942263155
ATF1	PTGFR	0.4664626797536999
ATF1	C1orf198	0.5816262424491967
ATF1	ORC3L	0.4939246894740026
ATF1	SHOX2	0.5454106590238701
ATF1	PARD6G	0.4341186524501204
ATF1	RBM4B	0.49190546969597015
ATF1	KIR2DL1	0.5507022023890098
ATF1	TMEM31	0.4607917453701629
ATF1	LIN7C	0.47647370005388723
ATF1	NAPG	0.43705330495192074
ATF1	NSL1	0.4594164914504044
ATF1	RNFT1	0.5433033533365355
ATF1	TMEM71	0.6261038002417201
ATF1	ARSJ	0.46750757495669415
ATF1	MTERF	0.4609247972728707
ATF1	EXOSC8	0.7559908472883725
ATF1	TBC1D15	0.5207153299053626
ATF1	CCL25	0.495250498512096
ATF1	FEM1A	0.4470129760519841
ATF1	XRCC5	0.4334605815376187
ATF1	SPDYC	0.6251991825506362
ATF1	TMCO4	0.49190546969597015
ATF1	PALB2	0.45941649145040486
ATF1	RAB11A	0.6283799577399165
ATF1	CCDC144NL	0.5068256428834381
ATF1	TRYX3	0.5345010705424547
ATF1	RNF222	0.5484535746052739
ATF1	KRT18	0.4886435165950105
ATF1	LSM6	0.47821916048903423
ATF1	NASP	0.5300537331465747
ATF1	TADA3	0.46219845291154416
ATF1	C4orf27	0.47647370005388723
ATF1	PRKRIR	0.5244322067203138
ATF1	ZNF658	0.49185876480244417
ATF1	MPHOSPH10	0.6367200967475517
ATF1	TAF4B	0.4734071976837786
ATF1	KRAS	0.45185608734997906
ATF1	MITD1	0.4479481791497659
ATF1	PKN2	0.473566730229372
ATF1	KBTBD8	0.4998388243149372
ATF1	SPSB4	0.4410222299887385
FOXA1	CYFIP2	0.4744125079132546
FOXA1	TMEM200B	0.4580340087825707
FOXA1	TRAF3IP1	0.4689828849943849
FOXA1	TXNDC17	0.47503543305714224
FOXA1	RPS14	0.5466364675314481
FOXA1	PPP4R1	0.46837523125079805
FOXA1	MPRIP	0.4925545070523003
FOXA1	PEG10	0.6076156152367314
FOXA1	FAM110B	0.49093494242169466
FOXA1	PTGFRN	0.4976134523902278
FOXA1	ATXN7L3	0.4540413957779377
FOXA1	C1orf203	0.44255581974556435
FOXA1	DYNC2H1	0.460247485486899
FOXA1	PRKCH	0.6095163003465127
FOXA1	SLC6A18	0.5538328088007347
FOXA1	KRT5	0.5196567393314853
FOXA1	RBP5	0.5132998865919784
FOXA1	KATNAL1	0.4603991736353916
FOXA1	FEZ1	0.5062467657436316
FOXA1	BOLA2	0.45014518759915045
FOXA1	TYRO3	0.5070415406193995
FOXA1	VPS24	0.6243704230861709
FOXA1	DNA2	0.4408029948695371
FOXA1	LOC100131496	0.7137635904311748
FOXA1	TRIM10	0.5399078340003491
FOXA1	GTSF1	0.44054041994659077
FOXA1	LLGL1	0.5246134352884289
FOXA1	TCL6	0.47166088937102124
FOXA1	EPHA2	0.4894176047330432
FOXA1	GRB7	0.5174321108307716
FOXA1	CELA3B	0.5720350813980071
FOXA1	EEF1DP3	0.5398420317092736
FOXA1	CTBP1	0.4716612690233708
FOXA1	DHH	0.47651471225696085
FOXA1	LYPD3	0.4679788852108926
FOXA1	ABO	0.46372831737092435
FOXA1	ADAMTS15	0.45850180212054514
FOXA1	INPP5A	0.47661402958216437
FOXA1	ZBED2	0.5005021229065227
FOXA1	MOV10L1	0.4393592654726399
FOXA1	SYMPK	0.57099365586213
FOXA1	PIP5K1B	0.44418228129231885
FOXA1	OR7D2	0.48224159080012496
FOXA1	ARSB	0.5638146443923775
FOXA1	BARD1	0.5816913494307063
FOXA1	STAT5A	0.5348017894096735
FOXA1	GSDMC	0.48997499615813744
FOXA1	ZNF263	0.4368142275958635
FOXA1	XCR1	0.7097054482349212
FOXA1	ST8SIA1	0.5628924562660651
FOXA1	PYHIN1	0.48775820173534834
FOXA1	SH2D1B	0.44343084413257206
FOXA1	PILRB	0.4336439210585974
FOXA1	L1CAM	0.5668427324573093
FOXA1	CDK12	0.5044302899787132
FOXA1	PLCH2	0.6312222379440384
FOXA1	INTS9	0.4494288830181441
FOXA1	TECPR1	0.5051256043580796
FOXA1	GSTM5	0.5269206505200428
FOXA1	TRAM1	0.437558297662322
FOXA1	CLIC3	0.5275963699195945
FOXA1	GMEB2	0.5800354822890288
FOXA1	HIP1	0.4939162419712262
FOXA1	OTUD7A	0.5150312943240194
FOXA1	KIAA1274	0.46774558153243273
FOXA1	PRSS27	0.5778796869605287
FOXA1	ABCC10	0.6151769844637767
FOXA1	PEPD	0.4523407336072265
FOXA1	LIMD2	0.4413444946350449
FOXA1	TAF7L	0.4734935553926305
FOXA1	ZNF805	0.6056209515480795
FOXA1	C11orf90	0.4805877002338943
FOXA1	C13orf18	0.4423088513416822
FOXA1	RNF152	0.4762366876126052
FOXA1	RALGPS2	0.5574421403854872
FOXA1	ANKDD1A	0.4998898965277041
FOXA1	SSR3	0.4803539868887259
FOXA1	RHOH	0.44763386097775504
FOXA1	IL17RE	0.4427016022802017
FOXA1	HADHB	0.5354587673058093
FOXA1	FAM113A	0.4908262103719614
FOXA1	RILPL1	0.43709889147580405
FOXA1	CLDN12	0.4608789061815992
FOXA1	ANGPTL4	0.5055860983411602
FOXA1	ANGPTL1	0.6067658686370794
FOXA1	AMIGO1	0.5827742843277663
FOXA1	PTGER2	0.47914057507622054
FOXA1	LRRC17	0.7366812605513506
FOXA1	CXCR5	0.5868311199651033
FOXA1	LYPLA2P1	0.503070542501916
FOXA1	TMEM169	0.48104701699349484
FOXA1	ORMDL3	0.5056803644091699
FOXA1	SUSD4	0.5064816475379708
FOXA1	KIAA1609	0.5194889470210144
FOXA1	CILP2	0.46398815871086807
FOXA1	ZNF468	0.45130442873624776
FOXA1	CYP2F1	0.4830502049363057
FOXA1	CD74	0.6123357544795818
FOXA1	C19orf10	0.4931951968477124
FOXA1	GSN	0.5222357944759541
FOXA1	RANBP6	0.4600462874821676
FOXA1	DSPP	0.5038233905714633
FOXA1	PPP1CA	0.4518730654625114
FOXA1	TMCO1	0.47949866819382825
FOXA1	FAP	0.45079703012887373
FOXA1	MORN3	0.4343352066783859
FOXA1	SAA1	0.6227652124192935
FOXA1	C6orf1	0.46045938025538957
FOXA1	NARF	0.4942822798158666
FOXA1	OR1C1	0.6408479424495277
FOXA1	PAGE2	0.49034295646342363
FOXA1	ZBTB26	0.48983539871491244
FOXA1	ZBTB20	0.49464621315755286
FOXA1	C3orf64	0.520188076865757
FOXA1	DAOA	0.5253659323102462
FOXA1	POFUT2	0.46524591776106927
FOXA1	EME2	0.4369060919970127
FOXA1	CFL1	0.5511549659641597
FOXA1	OSBP	0.5548294257849471
FOXA1	HMGN3	0.47038733703104496
FOXA1	CDKL4	0.4705316813344562
FOXA1	TLE1	0.594857685786669
FOXA1	DSCAM	0.6093012319281645
FOXA1	MGC2752	0.5328921883749809
FOXA1	EIF1AX	0.6368938963785409
FOXA1	MMGT1	0.46242154180413886
FOXA1	C1orf185	0.6057031921284519
FOXA1	HMHA1	0.4770658384328028
FOXA1	CYBA	0.5580358918726738
FOXA1	MUTED	0.4484858834930545
FOXA1	LOC349114	0.5637878013803608
FOXA1	CD8B	0.5962944509373171
FOXA1	TMEM138	0.5916213495335634
FOXA1	DGKQ	0.4442969527002636
FOXA1	DOK6	0.5862461508459718
FOXA1	HAT1	0.4684148055314199
FOXA1	ZFP42	0.4409728564666575
FOXA1	KLRF1	0.7228919643227654
FOXA1	PPIE	0.5124454812101269
FOXA1	S100A5	0.5666873547420543
FOXA1	TBC1D25	0.5268926795523359
FOXA1	GOLGA8A	0.5135731970811785
FOXA1	CTSL2	0.4435779887098126
FOXA1	KHDRBS2	0.43432455461263864
FOXA1	CD151	0.49421205698096804
FOXA1	UBA5	0.5837626575900088
FOXA1	ISG20L2	0.584791789445938
FOXA1	EFNA5	0.5832600989015497
FOXA1	KIR2DL3	0.4832489456430875
FOXA1	DPP9	0.6187107593366812
FOXA1	ABL1	0.5061637881665066
FOXA1	PGK1	0.6337415963477708
FOXA1	KLRC1	0.5724459286152053
FOXA1	NDUFV3	0.5718552486729731
FOXA1	AP1M1	0.49715121401926243
FOXA1	CNTLN	0.635278037885989
FOXA1	SMAD2	0.4665217520932661
FOXA1	KL	0.5510610036538832
FOXA1	UBE2H	0.47864351327106336
FOXA1	KLHDC5	0.4989455767088846
FOXA1	IDH1	0.43806281084213294
FOXA1	KLRC4	0.5198952653049953
FOXA1	UBE2A	0.45468374237081655
FOXA1	ZBTB11	0.6094617865508773
FOXA1	TDRD5	0.5067749972886437
FOXA1	PTPRE	0.4351045668216149
FOXA1	C9orf91	0.7676484059956508
FOXA1	TRPV6	0.4433770584302663
FOXA1	GOLGA6D	0.4400438330813716
FOXA1	SFT2D3	0.5293814879183749
FOXA1	WDR1	0.6363949376708127
FOXA1	C1orf130	0.5667844045687254
FOXA1	CELF6	0.49062237227628813
FOXA1	RND2	0.5336621325932436
FOXA1	TRIM78P	0.7832019463609385
FOXA1	GPHN	0.49651023489356305
FOXA1	HS2ST1	0.5221143725256838
FOXA1	LBH	0.5801381015101543
FOXA1	FLOT1	0.6071229652208756
FOXA1	VWC2L	0.5362886612708007
FOXA1	NEO1	0.5612537825691413
FOXA1	HS3ST3B1	0.4486981498341871
FOXA1	TRPC6	0.4470943028027117
FOXA1	CKAP2L	0.5198577786512542
FOXA1	DCK	0.4479693023612574
FOXA1	GIP	0.6302087279783639
FOXA1	ARL4D	0.6426288928112998
FOXA1	C9orf70	0.518266190960925
FOXA1	TMEM213	0.5130389567628395
FOXA1	CHDH	0.44702339058210505
FOXA1	PFDN1	0.5650022338523875
FOXA1	GNB1L	0.46274213815714393
FOXA1	BECN1	0.503766156807238
FOXA1	SUMO1P3	0.5851848551009828
FOXA1	CDNF	0.4473045015943389
FOXA1	TAF9	0.5510953825424689
FOXA1	ZBTB42	0.49605000237411234
FOXA1	NLRC3	0.6419951926374261
FOXA1	CLN8	0.5829213083271454
FOXA1	HSD17B11	0.493759802139325
FOXA1	IL2RG	0.8302788311146241
FOXA1	MLLT3	0.6918668932077678
FOXA1	FLJ39609	0.4750184923621328
FOXA1	NCALD	0.7076611348865369
FOXA1	LRP6	0.5096199479323804
FOXA1	PARD6A	0.527536239840392
FOXA1	GNG4	0.4467902100122325
FOXA1	POLR2E	0.47323496741414806
FOXA1	C9orf43	0.5263579502364659
FOXA1	CAMK2G	0.5316062549592915
FOXA1	C4orf10	0.4505881909500715
FOXA1	SLC25A25	0.5180081999538118
FOXA1	CTHRC1	0.49818775899534495
FOXA1	DRGX	0.49097643932339663
FOXA1	KLRG1	0.6358578923436453
FOXA1	NTRK2	0.5396788906036294
FOXA1	MMAA	0.5428995948556197
FOXA1	KRTAP10-6	0.46120448392791635
FOXA1	CDC42BPB	0.48646477549301537
FOXA1	BAIAP2	0.6170802629243828
FOXA1	SHCBP1	0.46304155978113304
FOXA1	TBX4	0.5734525576346705
FOXA1	GZMM	0.5991144763711977
FOXA1	IMPDH1	0.48153211923606065
FOXA1	CD7	0.5984415313752631
FOXA1	PDCD2	0.4737355970933055
FOXA1	PTPN4	0.44121442149024936
ATF2	SMAD5OS	0.45008964533303697
ATF2	AHCYL1	0.5250733850437759
ATF2	CCNH	0.451959107534861
ATF2	MAML1	0.7192481913986715
ATF2	LDLRAD2	0.48438311497001063
ATF2	PPP2R2A	0.43551244918174126
ATF2	DCAF7	0.4973727684967306
ATF2	RPS6KA6	0.4391836552773154
ATF2	LIPJ	0.5187746553397523
ATF2	UBASH3B	0.4885009185137239
ATF2	ZC3H12B	0.4368462957870909
ATF2	ADNP2	0.5623178428604638
ATF2	ZNF844	0.47643148788659406
ATF2	TNS1	0.6595022627376435
ATF2	FNBP4	0.4613169482855626
ATF2	AQR	0.4674745182838751
ATF2	ZNF705D	0.45923881284317103
ATF2	SLC6A13	0.5340162376178723
ATF2	AARSD1	0.46579090389651556
ATF2	ADPRH	0.44882017782217387
ATF2	TLN1	0.4993934776746909
ATF2	SLC45A4	0.4795704175992821
ATF2	ZNF155	0.5935842352440073
ATF2	GCDH	0.45683023394521394
ATF2	C17orf104	0.6853265035299687
ATF2	OR2K2	0.4817560580038056
ATF2	KIAA1012	0.5326882678046925
ATF2	MTMR4	0.5125062065153809
ATF2	OAZ1	0.5048208237243861
ATF2	VTI1A	0.4456932248714178
ATF2	ZNF700	0.5213333838475496
ATF2	HEXIM2	0.4613169482855626
ATF2	PRPF38B	0.4408839936345905
ATF2	GDF2	0.5570296878783831
ATF2	LOC731789	0.7084044237593039
ATF2	C2orf34	0.5707315626616376
ATF2	DAZL	0.44659011134861126
ATF2	ICK	0.5825872121061799
ATF2	FAM111A	0.45881144847988775
ATF2	STAG3	0.5665123544919775
ATF2	PAH	0.4986324066511405
ATF2	RAD18	0.44722601080246616
ATF2	ATR	0.4454279598065902
ATF2	DCP1B	0.5195329297003908
ATF2	CCDC123	0.5104964554190086
ATF2	PHF3	0.47207196629536075
ATF2	AHCTF1	0.5123327571259972
ATF2	MLF1IP	0.4450659810599866
ATF2	DPYS	0.5275192862444946
ATF2	C13orf23	0.4991200256476134
ATF2	WDR41	0.45794388691847043
ATF2	NAT10	0.5418184312669876
ATF2	ZNF43	0.5322079801180748
ATF2	TCF20	0.5123422031480782
ATF2	EFCAB7	0.5655974090192277
ATF2	MED18	0.46986559386628146
ATF2	GLI2	0.44024433769647153
ATF2	PIGX	0.4537613071174724
ATF2	AKAP12	0.4401163301029425
ATF2	EEA1	0.48852173728481096
ATF2	THTPA	0.48838895318120334
ATF2	NIPBL	0.6574425693104136
ATF2	IMPA1	0.44518950239563715
ATF2	HYAL2	0.4520600221329807
ATF2	MED10	0.46289091590071285
ATF2	GSG1	0.43371094172615177
ATF2	FLVCR1	0.46986559386628146
ATF2	TNFAIP8L1	0.4867145671174984
ATF2	OR52B4	0.4564981283909968
ATF2	PROX2	0.4361218153469748
ATF2	ZFX	0.46437802999983724
ATF2	VAMP7	0.45644034378404896
ATF2	FAM193A	0.4748620230302505
ATF2	C7orf47	0.47986635444613235
ATF2	RNF165	0.6170174175648016
ATF2	C11orf68	0.5225454091294499
ATF2	TMEM71	0.596278950755913
ATF2	PURB	0.6303183687869374
ATF2	ZDHHC19	0.47112966265592204
ATF2	TCOF1	0.6617050367048756
ATF2	AP2S1	0.4770864026050994
ATF2	GPBP1L1	0.4993934776746909
ATF2	RPRML	0.451630429372762
ATF2	CHML	0.5797093859465128
ATF2	CCL18	0.5630671547311796
ATF2	FILIP1L	0.43476996575048776
ATF2	ZSWIM4	0.5369504641280902
ATF2	C12orf23	0.4819927086136069
ATF2	IL31	0.5382761998280121
ATF2	ZDHHC8P1	0.4471401879971584
ATF2	PCGF5	0.4893775627899202
ATF2	DAB2IP	0.4815649584710937
ATF2	SCTR	0.5110678624930336
ATF2	MIAT	0.6783129440613558
ATF2	APTX	0.43653878301067817
ATF2	C11orf57	0.5021606327682839
ATF2	PEX14	0.5589802837999902
ATF2	MAS1	0.4919054696959706
ATF2	SNX19	0.4362308294712336
ATF2	SNX16	0.5234816091468306
ATF2	ABI1	0.4781885343442136
ATF2	AGGF1	0.4606488908055413
ATF2	FAM46D	0.4361218153469748
ATF2	C17orf63	0.4613169482855626
ATF2	MPHOSPH8	0.4423169304418164
ATF2	DBR1	0.43551244918174126
ATF2	N6AMT2	0.551159044027028
ATF2	CCNT1	0.5009731567446329
ATF2	UBE3C	0.5369587433932481
ATF2	ZWILCH	0.49190546969597015
ATF2	ZFAND6	0.512829655549945
ATF2	IRS4	0.4817560580038056
ATF2	ZFAND1	0.48098150631508396
ATF2	FOXQ1	0.6398688243167237
ATF2	PAPOLG	0.4471228718268425
ATF2	CWC22	0.5763013737573877
ATF2	POGZ	0.7458726676800622
ATF2	SACS	0.47207196629536075
ATF2	ZNF569	0.6070498670139881
ATF2	SNORD10	0.4809461767752037
ATF2	RPP38	0.5591051603837722
ATF2	FAM48A	0.44577221670653655
ATF2	SLC30A8	0.5072439195327814
ATF2	OSR1	0.5108372050749606
ATF2	TBR1	0.46245298451342043
ATF2	FTSJ2	0.46515756749428716
ATF2	FBXW2	0.5131053040146254
ATF2	THOC6	0.4993934776746909
ATF2	ATXN2L	0.6454172120785864
ATF2	TMEM134	0.46325766577941385
ATF2	EHBP1L1	0.44591398283575323
ATF2	STAMBP	0.5089139339714288
ATF2	TBC1D29	0.4632889432306415
ATF2	PPID	0.7541153141866546
ATF2	TMEM31	0.4812596618481302
ATF2	ANKRD19	0.7235867495051269
ATF2	NPHP3	0.5988579240948826
ATF2	TNFRSF14	0.527276191975274
ATF2	C9orf86	0.491523480863278
ATF2	KIAA0319	0.5130512255411777
ATF2	MFAP3L	0.45794388691847043
ATF2	CPSF7	0.48223828247545786
ATF2	TGFB2	0.5149590586705366
ATF2	TOR1A	0.5655974090192277
ATF2	OR5B21	0.4919054696959706
ATF2	MARCH7	0.4892492668328474
ATF2	ST7OT2	0.579405212843886
ATF2	ZFHX4	0.45941649145040486
ATF2	BMP5	0.5318546165589813
ATF2	CNOT4	0.46969751810903615
ATF2	TRYX3	0.45588617935170594
ATF2	AHI1	0.4732890655396509
ATF2	LSM7	0.5150555244221744
ATF2	SELL	0.5140477106622807
ATF2	C8orf39	0.4919054696959706
ATF2	CDK1	0.7382083453950514
ATF2	NFE2L3	0.5141807603502806
ATF2	ZNF415	0.46986559386628146
ATF2	NAT9	0.43627034262995146
ATF2	OR13A1	0.5070485968210323
ATF2	GSK3B	0.4357990956680422
ATF2	TRADD	0.44440397251450214
ATF2	BICD1	0.5786594056552667
