Regulator	Target	MI
ATF1	LOC400759	0.48955888808261383
ATF1	C20orf12	0.4453737490709404
ATF1	POP4	0.4853828075721234
ATF1	SMC5	0.8658725914106524
ATF1	RXFP1	0.4936449221286008
ATF1	FAM110A	0.5548271706780592
ATF1	ALKBH2	0.4796699710603729
ATF1	LACTB	0.5763013737573877
ATF1	GOLGA5	0.7025915909810552
ATF1	DLEU1	0.4380506262411581
ATF1	BCAP29	0.5466068350947548
ATF1	KIFAP3	0.4551670630010358
ATF1	SKP2	0.4678327546766825
ATF1	MS4A10	0.6035545149574153
ATF1	CCDC94	0.4633546295144253
ATF1	PTGDR	0.4652801720956683
ATF1	HES7	0.4754693240392682
ATF1	CPT1A	0.45070878034648976
ATF1	TIPIN	0.6109698277442419
ATF1	REV1	0.46452411116906855
ATF1	YOD1	0.48780429085800314
ATF1	TMEM81	0.4848179332108753
ATF1	DKK4	0.4452352173180083
ATF1	EID1	0.43739805814883104
ATF1	CCDC42B	0.47827070445228737
ATF1	GUF1	0.4867644062163041
ATF1	FAR1	0.4951766251702301
ATF1	ZFPM2	0.4598163169971814
ATF1	TRIM11	0.4434103572467718
ATF1	PTGES	0.4476884832130912
ATF1	FLG	0.5904929918082411
ATF1	SLBP	0.4993600109625267
ATF1	WHAMML1	0.4450977567934
ATF1	ABCB5	0.5772547653685907
ATF1	PIK3R4	0.48396472858969775
ATF1	ABO	0.45729228185803716
ATF1	TERT	0.4505207472816819
ATF1	PPCS	0.4959531834030986
ATF1	BRAP	0.6461876551342285
ATF1	EDEM3	0.45951955019039215
ATF1	SNAPIN	0.5043427255366182
ATF1	XCR1	0.444154686035545
ATF1	TAS2R31	0.4827093473119697
ATF1	INTS2	0.47643148788659406
ATF1	SMARCA5	0.5360567292770861
ATF1	C21orf94	0.4415148565080358
ATF1	ACADSB	0.4447604096213147
ATF1	SETX	0.5841746130833516
ATF1	TREML1	0.43703718141691095
ATF1	RICH2	0.5701835285033274
ATF1	ZNF815	0.47744404391442963
ATF1	C12orf71	0.44409787284247093
ATF1	ECHDC3	0.45581166401122264
ATF1	ADA	0.5519056911826241
ATF1	CD200	0.4660231179925547
ATF1	SFXN5	0.5668657365509695
ATF1	C12orf74	0.4885731894439358
ATF1	ACHE	0.49349132160252474
ATF1	DAZAP1	0.608047034282873
ATF1	FKBP15	0.45743995935492165
ATF1	GPR21	0.4414708264285361
ATF1	LOC388588	0.454378241812738
ATF1	PRKAG2	0.5392565021560118
ATF1	OSBPL11	0.4629438795960277
ATF1	PTPRH	0.4987558275755415
ATF1	PCSK5	0.5851007429383728
ATF1	TRAM2	0.4345209328273074
ATF1	MED17	0.5763261230305887
ATF1	FCRLA	0.44097285646665796
ATF1	HINT2	0.4632361109974559
ATF1	NUDCD1	0.47729320693700217
ATF1	MMP26	0.46038971152682473
ATF1	RSRC1	0.44883215458410586
ATF1	TCP11L1	0.4885439919385064
ATF1	GPR139	0.44125086629777943
ATF1	CGNL1	0.4604537909913833
ATF1	PARP4	0.4597124201313645
ATF1	FCRL5	0.6632468299714747
ATF1	TPSG1	0.4765901355840998
ATF1	C10orf75	0.4354380916435834
ATF1	IL18	0.5664534405068764
ATF1	SORCS1	0.5540506343489486
ATF1	WDR34	0.541236617656129
ATF1	ZDHHC17	0.48976039291076656
ATF1	MRPS5	0.49190546969597015
ATF1	RNF167	0.4693702424556503
ATF1	CDCP1	0.48262561604924326
ATF1	NR5A2	0.46172963020292457
