Regulator	Target	MI
ATF1	DCLRE1B	0.4383834867137062
ATF1	ATF2	0.4732786162632663
ATF1	LY6K	0.5289380916334112
ATF1	DBR1	0.6110290721692317
ATF1	PRSS1	0.5163173877178244
ATF1	ERO1LB	0.5636745911491525
ATF1	GLDC	0.5248127158819238
ATF1	MCM8	0.4905818045635306
ATF1	CCBL2	0.4879547742638817
ATF1	HNF4G	0.6154930915378052
ATF1	FRY	0.5318164752619814
ATF1	MKI67	0.5059082305292506
ATF1	MSLN	0.48799560025274147
ATF1	HOXA10	0.5095078113136537
ATF1	TIAL1	0.5059082305292502
ATF1	LACTB	0.5633800237549766
ATF1	RS1	0.4641913689257642
ATF1	ZC3H7A	0.5181083118502308
ATF1	DPF2	0.5736292796130562
ATF1	ENPP4	0.46195485697457084
ATF1	KIAA1704	0.494415733939058
ATF1	TRIM22	0.5182277873306917
ATF1	ZNF563	0.4704230539707517
ATF1	SLC30A7	0.4734071976837795
ATF1	ZCCHC24	0.47724606683860094
ATF1	TIGD5	0.5098915896868701
ATF1	GLRX3	0.6928014702154344
ATF1	DNTTIP1	0.4732764643158496
ATF1	HCFC2	0.595477901772369
ATF1	FRS3	0.4740355080499721
ATF1	STON1-GTF2A1L	0.6726895571605502
ATF1	TAF6L	0.5009545960984112
ATF1	RBMXL2	0.5196882561401654
ATF1	RAB31	0.5144421650264848
ATF1	KCNQ1	0.4866184338822497
ATF1	PGAM4	0.5484252275767769
ATF1	FAM64A	0.5573952484571314
ATF1	ZNF513	0.467242699713208
ATF1	SNAP47	0.49465823600787795
ATF1	ZNF154	0.47760665647230427
ATF1	SLC24A4	0.44366509989517944
ATF1	SCARNA12	0.5020716604489488
ATF1	C1orf198	0.4896488352268342
ATF1	HVCN1	0.5037372831221529
ATF1	GPR88	0.4964674225774752
ATF1	LHB	0.4336367600993798
ATF1	MRPL14	0.5655380239838532
ATF1	SLC5A10	0.5472647133139907
ATF1	NSL1	0.4606132543348753
ATF1	ZBTB2	0.5262004710567263
ATF1	BCL2L12	0.4494288003573774
ATF1	KIAA1967	0.45444143611960275
ATF1	SRPX2	0.49606354742033876
ATF1	ERI1	0.856589177521133
ATF1	NUP85	0.5526637359126334
ATF1	POLR2C	0.5982174831636491
ATF1	ZC3H18	0.5653710079568754
ATF1	EXOSC3	0.4748620230302505
ATF1	ZNF544	0.6089451372828538
ATF1	DYNC1I1	0.6454822009782526
ATF1	KIR2DL5B	0.44125920983655176
ATF1	HSPA8	0.5009171780153974
ATF1	CBX5	0.44379058345662514
ATF1	CHCHD10	0.530182421444843
ATF1	MTHFS	0.44810581872965116
ATF1	COQ9	0.6256304135715025
ATF1	RIT2	0.45144617191869285
ATF1	XKR9	0.45249607388328394
ATF1	ETNK2	0.6890579633277123
ATF1	SGSM3	0.4750407019804097
ATF1	MKRN3	0.550340004673779
ATF1	RAD51L3	0.4956792075630716
ATF1	MITD1	0.46277177363203403
ATF1	PIN4	0.4993934776746909
FOXA1	ISCA2	0.602238355180031
FOXA1	PCSK1	0.4921293069793662
FOXA1	TMEM200B	0.6454938014407166
FOXA1	CAB39L	0.44961874770951216
FOXA1	ATF7IP2	0.46799126238858735
FOXA1	PTPRH	0.4454953382295508
FOXA1	ANTXR1	0.47171652271777775
FOXA1	GOLGA6L6	0.43460695447365083
FOXA1	SCRN1	0.4825436283305149
FOXA1	C1QTNF7	0.5735278178445467
FOXA1	LOC149134	0.49450429073101443
FOXA1	SEC61B	0.5963100270589972
FOXA1	ZNF521	0.4697089834526973
FOXA1	PKNOX2	0.45171639773663763
FOXA1	CBR1	0.5722833137087124
FOXA1	SPAG11B	0.5742280576260681
FOXA1	MKL1	0.4951940608330796
FOXA1	TEX11	0.48371125720787767
FOXA1	VPS13A	0.44844245086155876
FOXA1	UBE2QL1	0.4376603030401829
FOXA1	NAV2	0.47498482773496953
FOXA1	PARP9	0.4478513176671517
FOXA1	RANGAP1	0.4729566779611214
FOXA1	EEF1G	0.5249298083127352
FOXA1	CLIP1	0.4410906750053054
FOXA1	AEBP2	0.592294811829781
FOXA1	ASTL	0.43453118895965925
FOXA1	STIM1	0.4499517633440191
FOXA1	ZNF517	0.6415387973586708
FOXA1	COL8A2	0.5131748018983928
FOXA1	GAS2	0.48232600144023996
FOXA1	TNFRSF25	0.49452881000193827
FOXA1	MAPT	0.47053079741738824
FOXA1	KIAA1539	0.4589982815878155
FOXA1	SCN4B	0.46138258535910737
FOXA1	NAIP	0.442428344683536
FOXA1	CCDC40	0.4499645899436113
FOXA1	RNASEK	0.4790966730737103
FOXA1	SAMD9	0.4942941323841552
FOXA1	GYPE	0.4822937719683451
FOXA1	CD5L	0.4736652095483467
FOXA1	ARHGAP17	0.46404624288343044
FOXA1	CCDC106	0.5331019371994783
FOXA1	SPG7	0.5638243755580343
FOXA1	CACNA1F	0.5248162709281852
FOXA1	MFF	0.4426858226212391
FOXA1	FAM129B	0.44573025794098475
FOXA1	CKMT2	0.5336098244846577
FOXA1	HIST2H4A	0.4646457380517153
FOXA1	FAM136B	0.4553588248867215
FOXA1	PPCS	0.46752334464097256
FOXA1	LCN12	0.44205552288271344
FOXA1	FAM164A	0.5873244579182142
FOXA1	TCEAL1	0.5897349807621626
FOXA1	CTNNAL1	0.7445287375146092
FOXA1	OR5AU1	0.4553627544703618
FOXA1	HNRNPA3	0.4770556277396101
FOXA1	PTPRN2	0.5352424840515138
FOXA1	TMEM50B	0.4454481708028153
FOXA1	HIGD2B	0.5112398807725698
FOXA1	LARP6	0.507886028044803
FOXA1	ASB6	0.4385334175425717
FOXA1	SARM1	0.49517662517022965
FOXA1	UBE2N	0.5024721582340548
FOXA1	PTPN6	0.46518019758552853
ATF2	ATF1	0.4732786162632663
ATF2	RB1	0.4473413949235998
ATF2	RPL4	0.447767210929118
ATF2	GMFG	0.46986763056444714
ATF2	C10orf40	0.49309294571962203
ATF2	KIAA0020	0.6670200250388776
ATF2	CWH43	0.5477144296423151
ATF2	ZFYVE1	0.4494353977402654
ATF2	EPS8	0.5879922220792779
ATF2	PCMT1	0.5921617268217467
ATF2	C14orf79	0.4452625168663924
ATF2	ALKBH4	0.5653710079568754
ATF2	CAPNS1	0.4436652875160405
ATF2	LIPN	0.5133150815119083
ATF2	BBX	0.5219449924849906
ATF2	LOC100132215	0.45008964533303697
ATF2	TMEM8A	0.5155340573055813
ATF2	WSB2	0.4415678165899237
ATF2	IFT88	0.43820849050599353
ATF2	MTHFD2	0.5625022264759907
ATF2	ZNF155	0.9443090223055521
ATF2	TPH1	0.5397691788825818
ATF2	HOXD1	0.45538545840160793
ATF2	PRDM14	0.5305254237508712
ATF2	OAZ1	0.49562998477755915
ATF2	ANAPC10	0.6551614604991736
ATF2	SLC5A4	0.5037370003580492
ATF2	HMGXB4	0.4614896361334906
ATF2	CEP70	0.44483168343195967
ATF2	GRPEL2	0.5166226022984026
ATF2	SNORD115-26	0.4868955543786351
ATF2	MOV10L1	0.4577684146112597
ATF2	CDK18	0.45230237503534854
ATF2	NR2F2	0.5314744760024306
ATF2	ZFAT	0.6259049722362673
ATF2	NMT1	0.4459071397676153
ATF2	STAG3L1	0.517934267625717
ATF2	ARF4	0.4668005622318101
ATF2	ZNF490	0.45266754315669067
ATF2	DIS3L	0.4666824079208092
ATF2	EFCAB7	0.5250839221976791
ATF2	AREG	0.5099372427932041
ATF2	MED18	0.46986559386628146
ATF2	MYPN	0.5368837016376191
ATF2	MRPL33	0.6328879786921782
ATF2	ZCWPW2	0.6129738505263376
ATF2	TRIM4	0.46704030741413005
ATF2	FASTK	0.4946798393711953
ATF2	WDR36	0.5762396967088743
ATF2	FCRL5	0.4421801918913988
ATF2	C3orf1	0.478597177350613
ATF2	NSUN6	0.5568984559265591
ATF2	LRRC41	0.439744673682239
ATF2	MED25	0.4647738262011867
ATF2	NCOR1	0.5503180705538826
ATF2	C17orf42	0.6300768436577604
ATF2	C17orf44	0.6637406435263022
ATF2	ANGPTL4	0.5731896755200445
ATF2	EXOC5	0.48449701991440897
ATF2	PIGF	0.5316409999554184
ATF2	ANGPTL1	0.4595792557896523
ATF2	LOC442454	0.49006766735671103
ATF2	LYPLAL1	0.5226178667831194
ATF2	TMF1	0.5671170592719186
ATF2	CCNDBP1	0.44338416509189393
ATF2	PSMB2	0.44553251356018864
ATF2	HS1BP3	0.5325224757768132
ATF2	ZNF345	0.48450823936349474
ATF2	PMS1	0.5229483134003376
ATF2	SEPT7L	0.4425582656542639
ATF2	LRRC29	0.5021230561446544
ATF2	FAM116B	0.4444522972929059
ATF2	DEF6	0.4551249089143967
ATF2	PRSS41	0.5536374077595698
ATF2	FAM200A	0.516819207965634
ATF2	LYRM5	0.47229922155366433
ATF2	SNX15	0.4542056056041739
ATF2	ZNF217	0.5372591927927286
ATF2	C17orf63	0.4622162414841626
ATF2	SLC28A3	0.5717103227258074
ATF2	FAM107A	0.5691700264551929
ATF2	CXCL16	0.7353352759357539
ATF2	C11orf54	0.6359077027876205
ATF2	SALL2	0.45538545840160793
ATF2	KPNA4	0.6349763783193185
ATF2	KPNA5	0.4609247972728707
ATF2	ZNF688	0.4711296626559216
ATF2	PSKH1	0.6281831946561476
ATF2	ORC4L	0.7218017548809645
ATF2	STX7	0.6456840894201141
ATF2	DYRK1A	0.7265911290077063
ATF2	TAP1	0.46986559386628146
ATF2	TBR1	0.7412148003901211
ATF2	VRK1	0.504895238007439
ATF2	THOC4	0.4704656814707695
ATF2	THOC6	0.718973447894995
ATF2	TEX9	0.6041678540548681
ATF2	LOC653566	0.45661599329846725
ATF2	ZNF438	0.4540368684375191
ATF2	TSSK3	0.4591977056899146
ATF2	OR13C2	0.705702641052266
ATF2	DGKI	0.4836121304333565
ATF2	FKBP5	0.48620770193723883
ATF2	CHODL	0.44210066147062
ATF2	GTF2E2	0.4473413949235998
ATF2	RAD51AP1	0.564909929932377
ATF2	AMDHD2	0.45656994278248675
ATF2	SMYD1	0.6218074594233416
ATF2	SMN1	0.49327680442237654
ATF2	C9orf84	0.556768608758075
ATF2	MAP2K6	0.6358135498912545
ATF2	SLMO1	0.5600739744549545
ATF2	CNOT3	0.6592101394480148
ATF2	TADA3	0.664705418240739
ATF2	PIN4	0.4993934776746909
ATF2	RNF186	0.5079706267471886
ATF2	RSL24D1	0.5651099025935604
ATF2	ZNF653	0.6097615469234929
ATF2	PRAC	0.5477144296423151
ATF2	MBL1P	0.6438605319286146
ATF2	PIK3C2A	0.47613001623934803
ATF2	CCDC53	0.691887660615639
ATF2	DSP	0.6472684988786415
ATF2	PTCRA	0.6652136622396667
ATF2	CR1	0.4631582078137386
ATF2	HMGCS1	0.4415982710299917
ATF2	RFC2	0.5843185875078687
ATF2	CTDSPL	0.6626360270874199
ATF2	HTR3B	0.625676145506826
ATF2	DUSP27	0.5055905343701141
ATF2	TFDP1	0.45932462993215495
ATF2	NPC2	0.5096440581480675
ATF2	RPL37A	0.505532563195279
ATF2	TRAF5	0.5468936088210659
ATF2	RP9	0.46219845291154416
ATF2	DCTPP1	0.5238796143950197
ATF2	CNTNAP5	0.4336367600993798
ATF2	HDAC4	0.45100197279717413
ATF2	CCDC68	0.4575859661721253
ATF2	WBP2	0.4936449221286008
ATF2	KIAA0240	0.5108625316690878
ATF2	ZBTB44	0.5959641632128871
ATF2	PPM1D	0.6530162469068745
ATF2	THSD1	0.6342191112062068
ATF2	AP3M1	0.7461678971655523
ATF2	CACNG7	0.5477144296423151
ATF2	DNAJB1	0.4734071976837786
ATF2	HECTD1	0.4750153724519084
ATF2	DNAJB6	0.5640565377132738
ATF2	FIP1L1	0.45971817282224015
ATF2	POLR2B	0.542086408736298
ATF2	ANKAR	0.516566747453794
ATF2	TRIM45	0.45246226394689204
ATF2	TTC39A	0.6997498669013864
ATF2	APLN	0.5590810017032726
ATF2	KLF7	0.5271025780201759
ATF2	MFAP1	0.4573411923646993
ATF2	IMPDH1	0.4922725370958072
ATF2	MAB21L1	0.5613568474895256
ATF2	RAB13	0.673002967036298
ATF2	IFI27L1	0.46259331404169757
ATF2	PNP	0.613025705378194
ATF2	FLAD1	0.4533351822588805
ATF2	OGFOD1	0.45969604853830326
ATF2	KIF21A	0.4598304572740135
ATF2	IFITM5	0.4681124323974597
ATF2	ARSA	0.47015446987359466
ATF2	C12orf45	0.4557124656680296
ATF2	ARL15	0.6988911218738929
ATF2	COG5	0.4439495688984949
ATF2	AP1B1	0.4570945583768311
ATF2	CTPS	0.47898813146266495
ATF2	CRNKL1	0.6440501198565407
ATF2	KLKP1	0.4572229406349866
ATF2	RUNX1	0.45359495245397374
ATF2	ZNF713	0.5944022462307803
ATF2	CD2BP2	0.5503650029300604
ATF2	TLN1	0.588288573759375
ATF2	C17orf104	0.48595587480872515
ATF2	SCFD2	0.6544700925560241
ATF2	OR6B2	0.5759720738071117
ATF2	ZRSR2	0.5055578602921869
ATF2	YES1	0.5179262303754046
ATF2	APOBEC3G	0.6421889669263354
ATF2	SURF2	0.4412483304625887
ATF2	HSPA12A	0.5702539215391038
ATF2	SFRS3	0.6626360270874199
ATF2	RPE65	0.6089152172027124
ATF2	C2orf34	0.5787363726946881
ATF2	ZNF815	0.5507622271707096
ATF2	GOLGB1	0.4626626395026361
ATF2	CDC16	0.45101959983664
ATF2	ZNF813	0.5945126045865567
ATF2	GLIPR1L2	0.4366181667224893
ATF2	DCP1B	0.6659743066452437
ATF2	IL21	0.4775703187222651
ATF2	FASTKD2	0.6429231821101289
ATF2	NAT10	0.5493802197653941
ATF2	AP2A1	0.4798717938319381
ATF2	IDE	0.4750153724519084
ATF2	MAGT1	0.45496494616284844
ATF2	IL28B	0.4408121404204306
ATF2	SIP1	0.5175259912361017
ATF2	ZMYM3	0.45649879916099234
ATF2	C5orf48	0.5279255947697856
ATF2	MTERFD1	0.465632168967673
ATF2	TNFAIP8L1	0.5439494342529088
ATF2	UBXN7	0.45971817282224015
ATF2	BBS7	0.47207196629536075
ATF2	PWRN2	0.572197492848376
ATF2	RAB8B	0.5009801847013997
ATF2	TLR1	0.5154009499900485
ATF2	KIN	0.451630429372762
ATF2	B3GNT7	0.43801545997848645
ATF2	MAPT	0.4390449112372261
ATF2	ATP6V0C	0.4343798656061231
ATF2	MATN4	0.5309087391186305
ATF2	CCDC101	0.49497180611798886
ATF2	SDCCAG3	0.5530254918700224
ATF2	SP100	0.5553792428741988
ATF2	RABGAP1	0.4597181728222397
ATF2	CXorf40A	0.5880421460806851
ATF2	FITM2	0.6353773150551181
ATF2	NAPG	0.4585660426681595
ATF2	RASIP1	0.6216982494358176
ATF2	PURA	0.45008964533303697
ATF2	PNMA1	0.47403197615980863
ATF2	PERP	0.4885626709072457
ATF2	GPBP1L1	0.46986559386628146
ATF2	ANKMY1	0.5103371813618711
ATF2	CBR4	0.7507406251913049
ATF2	RANBP3	0.6485334136808003
ATF2	PNPLA7	0.5598375303040868
ATF2	DKKL1	0.5477144296423151
ATF2	RSRC2	0.4970482141969077
ATF2	MIAT	0.7568284778085883
ATF2	NEDD1	0.4622162414841626
