Regulator	Target	MI
ATF1	EIF4A2	0.4948112963098361
ATF1	LTV1	0.5057123414865465
ATF1	SLC23A3	0.4462681857367685
ATF1	WIPF1	0.43687297159067384
ATF1	EHMT2	0.4538823059212054
ATF1	C10orf40	0.4337330524219758
ATF1	CCL14-CCL15	0.4496057717583253
ATF1	MKI67	0.7019039610416797
ATF1	SNORD116-20	0.48511593750322923
ATF1	SNRPD2	0.4476924746360149
ATF1	BSG	0.49231005790219884
ATF1	OR11H6	0.473566730229372
ATF1	OBFC1	0.46869272761460445
ATF1	VPS35	0.4544860278421732
ATF1	C7orf13	0.4443441562419701
ATF1	ZNF287	0.6661360929740083
ATF1	ARL11	0.44655663228079234
ATF1	FNBP1	0.4942359986571714
ATF1	LMAN1L	0.5648269362733211
ATF1	MAPK8IP1	0.728831365013364
ATF1	HOXB9	0.4536530225364954
ATF1	LOC100129387	0.48093063429969485
ATF1	UBA52	0.5241306143888491
ATF1	OPTN	0.46139993188904693
ATF1	PTGFR	0.49605599133831246
ATF1	tAKR	0.5202907869569384
ATF1	SNORD115-31	0.4568140390506188
ATF1	ZNF22	0.5176068779831606
ATF1	SLC5A1	0.45564331883199216
ATF1	ADH5	0.6226883407442512
ATF1	FAM100A	0.4859599010118574
ATF1	ATP5D	0.5242848578545232
ATF1	PIP5K1B	0.47034741828556736
ATF1	ZNF700	0.48974438493504335
ATF1	OR6B2	0.4666771045143925
ATF1	ARGLU1	0.4471635199682953
ATF1	GTF2A1L	0.46499602865289624
ATF1	AFAP1L2	0.47652867914731845
ATF1	TMEM86A	0.48287072238122786
ATF1	FOXF2	0.46749176045424035
ATF1	IL31RA	0.4811520074840967
ATF1	ZNF34	0.4373359000369259
ATF1	AIMP2	0.5665593157515261
ATF1	GJB4	0.43936766850275655
ATF1	UNC119	0.4642556966613167
ATF1	NCRNA00204B	0.47255369362643407
ATF1	ZNF259	0.5606274275574865
ATF1	ZNF497	0.5291737923602824
ATF1	CCDC123	0.4786804274999139
ATF1	PCSK2	0.44916853796838385
ATF1	CSRNP1	0.43523873716745154
ATF1	PMS2CL	0.4777366026821426
ATF1	ZNF492	0.4537990557719045
ATF1	ZFAND2A	0.4686735087591529
ATF1	SERPINA10	0.6189987497023264
ATF1	ARHGAP1	0.4780151004298414
ATF1	MRPS10	0.5098915896868701
ATF1	IKBKAP	0.47924796980781004
ATF1	PEAR1	0.4360226099963671
ATF1	SIPA1L2	0.5149725393814619
ATF1	NAT14	0.4636743229730609
ATF1	LRRC1	0.44088483446121085
ATF1	EEA1	0.5236076898714428
ATF1	MED12	0.5662131620984927
ATF1	NUDCD2	0.47494304488356587
ATF1	TRIM7	0.45804584209437404
ATF1	RBPMS2	0.45097574865211376
ATF1	C20orf7	0.4862046891655698
ATF1	TNFAIP8L3	0.701794117799015
ATF1	VENTX	0.47102556967285425
ATF1	ZNF485	0.6843538193048042
ATF1	DFFA	0.4360513292090724
ATF1	C13orf30	0.47255369362643407
ATF1	EDN2	0.5015921431390384
ATF1	OPALIN	0.43546857091722835
ATF1	SSR3	0.4432695438034857
ATF1	NSUN6	0.43439702828655324
ATF1	PPHLN1	0.5088828215546357
ATF1	DUSP9	0.4362945040010282
ATF1	PSMA5	0.5512352204050504
ATF1	BDH2	0.4342225233130903
ATF1	COL2A1	0.49874116442950145
ATF1	CENPC1	0.5579840526453133
ATF1	TAX1BP1	0.5067685081605675
ATF1	TFF2	0.466816003077168
ATF1	EXOC5	0.5515707440080893
ATF1	SMTNL1	0.45161259257221786
ATF1	C7orf31	0.6531145027772096
ATF1	TPSD1	0.47255369362643407
ATF1	MRPS35	0.5016182349569167
ATF1	HSD17B4	0.537626847052088
ATF1	CYP7A1	0.4635381748017049
ATF1	TMEM71	0.4974961595085534
