Regulator	Target	MI
ATF1	RPL4	0.4381334906112313
ATF1	MAPKBP1	0.4585648963466591
ATF1	FAM89B	0.5055540024261207
ATF1	LOC389634	0.7166953379571819
ATF1	RRP1	0.47643148788659406
ATF1	KIAA0020	0.46819672538441637
ATF1	C16orf86	0.5026088690099244
ATF1	ZNF204P	0.44049837736870456
ATF1	ALKBH5	0.6538419147962151
ATF1	LOC643387	0.4468346840051334
ATF1	SPATA21	0.5162760815157053
ATF1	ALKBH1	0.45459740272140037
ATF1	OGFOD1	0.43829939328030143
ATF1	WDR91	0.4748620230302505
ATF1	KIF21A	0.4677135208941232
ATF1	RPL38	0.5124537459861509
ATF1	C7orf13	0.595493540542511
ATF1	C12orf63	0.44971946087088943
ATF1	SNORD92	0.7821311388409691
ATF1	MGC57346	0.4925120928583744
ATF1	SF3B14	0.6019478226906054
ATF1	EML6	0.6782919743180758
ATF1	TYRO3	0.4490405001623592
ATF1	SIK1	0.510367346429514
ATF1	SNORA23	0.43443447299560045
ATF1	RPL26	0.5402210200783388
ATF1	ZFPM2	0.8363778540289566
ATF1	STX1A	0.45500977825320854
ATF1	TCL6	0.6698399770226859
ATF1	LIPT2	0.584612021265531
ATF1	MTMR2	0.5122255899589638
ATF1	DCUN1D5	0.45153043450826447
ATF1	NEDD4L	0.5454115582670505
ATF1	TRMT2A	0.4768668040791484
ATF1	LIAS	0.5059082305292502
ATF1	SKA3	0.4503488044017421
ATF1	OSGEP	0.46986559386628146
ATF1	ANKH	0.4985266946711522
ATF1	C2orf43	0.48793121182186683
ATF1	NAA50	0.5921053017644371
ATF1	JUN	0.5955307994340813
ATF1	ST14	0.4892492668328474
ATF1	SETD1A	0.4853828075721234
ATF1	FN1	0.45087251150195895
ATF1	MRPL21	0.44994970306023907
ATF1	POLA2	0.5069522918637568
ATF1	INTS8	0.4969627006402457
ATF1	PIGS	0.5246647886655942
ATF1	ANXA8L1	0.4818204298746105
ATF1	CDKN1A	0.43962614833842073
ATF1	USPL1	0.8408513145402678
ATF1	HBD	0.4779612799960389
ATF1	SLC7A10	0.4818072152637187
ATF1	PHF6	0.49190546969597015
ATF1	WFDC2	0.5643840027554257
ATF1	MRPL33	0.6404527633093919
ATF1	EEA1	0.5241765710399755
ATF1	TMEM189	0.5323354870529724
ATF1	KCNT2	0.4373062508241672
ATF1	SLC22A17	0.5176399541476608
ATF1	C17orf56	0.5061909906254161
ATF1	ZMYM6	0.5541087511635112
ATF1	KIAA1704	0.6275370426409195
ATF1	MCF2L2	0.5332581050560039
ATF1	APPL2	0.48527642250074
ATF1	C7orf58	0.4710523955713999
ATF1	SREBF1	0.46142371166484564
ATF1	PARP2	0.4828377826473078
ATF1	GMIP	0.4729415111723605
ATF1	RENBP	0.4411284981240313
ATF1	RAP2C	0.464830909820237
ATF1	MN1	0.5992925227165324
ATF1	PLCB4	0.4856844415096142
ATF1	C18orf55	0.493957661401879
ATF1	FAM193A	0.5583136451473103
ATF1	MATN4	0.4447542566366325
ATF1	LOC220930	0.4649396412408171
ATF1	CCDC104	0.48944274690361755
ATF1	FAM71F2	0.5304992613163453
ATF1	RUNDC2C	0.5539494190636449
ATF1	TMEM71	0.6519831651690686
ATF1	LMAN1	0.45274979209069954
ATF1	TCEAL7	0.5802127830956096
ATF1	FRZB	0.43467271492181414
ATF1	EXOSC8	0.5009731567446325
ATF1	NHEDC2	0.44339229316886364
ATF1	NT5M	0.4533185995677198
ATF1	MGAT2	0.43681316777636026
ATF1	TAF9B	0.5153557247676042
ATF1	AASDHPPT	0.48964883522683467
ATF1	CBR4	0.4851481395024422
ATF1	CA12	0.5983481251162908
ATF1	ZNF341	0.5718814205058456
ATF1	PLEKHA3	0.49046277745049194
ATF1	FAM104B	0.46465438032453
ATF1	TMCO4	0.6060724002540758
ATF1	CENPE	0.43905836993239955
ATF1	ETAA1	0.4622162414841626
ATF1	LYRM1	0.4541092326241656
ATF1	SH3RF2	0.43764966323149856
ATF1	KRT19	0.45856037960190843
ATF1	PRPF39	0.5833964007364432
ATF1	RPA3	0.5671787328295426
ATF1	PRKRIR	0.5563202157616773
ATF1	HYLS1	0.49879861043067164
ATF1	CDKN3	0.47665751296540293
ATF1	WDR45L	0.45873184648893517
ATF1	C1orf50	0.48695227242846695
ATF1	MTFMT	0.4538442603610604
ATF1	CHCHD4	0.5913543007992446
ATF1	SYDE2	0.5597422782140118
ATF1	AP2M1	0.5475049975506918
ATF1	MYLIP	0.44397985022628683
ATF1	AKR1E2	0.5257242914592917
ATF1	CSGALNACT2	0.5228206928184935
ATF1	RPGRIP1L	0.4892492668328474
ATF1	THOC5	0.4913065943233965
ATF1	LGALS9C	0.4721661322369619
ATF1	PGF	0.6486817863806649
ATF1	CACNB3	0.43445379303319864
ATF1	DKC1	0.5104964554190086
ATF1	MAK	0.5790600328184152
ATF1	ZNF317	0.4627717736320345
ATF1	FKBP7	0.4845657779330206
ATF1	UCA1	0.5176391111424867
ATF1	GEMIN7	0.45034279732681126
ATF1	SPINK9	0.46164714513302885
ATF1	PFKFB1	0.5368657885041044
ATF1	NDUFB11	0.43710913406790164
ATF1	SEL1L	0.47612029157668756
ATF1	RPF2	0.5096789280630776
ATF1	GTF2E1	0.5969237863022809
ATF1	ANKRD19	0.4631665288277693
ATF1	BAG4	0.4550547384240402
ATF1	SCIN	0.5762451526414374
ATF1	CASKIN2	0.46829860013979463
ATF1	ZNF668	0.4421592389519833
ATF1	MORC2	0.48798995928811273
ATF1	C9orf84	0.4457577255979692
ATF1	HSPA8	0.4609247972728707
ATF1	PRNP	0.4632742279331201
ATF1	EIF2B2	0.4611638068265793
ATF1	SDF2L1	0.5754039560099007
ATF1	ORC2L	0.4892492668328474
ATF1	COQ9	0.6013701022828193
ATF1	EIF2S1	0.4393293875017128
ATF1	PALB2	0.5126814173101568
ATF1	NFKBIA	0.4909092804142938
ATF1	MAFG	0.4837997419951612
ATF1	FGF18	0.6242123394615136
ATF1	ZNF512B	0.4761124116697637
ATF1	C19orf62	0.49754011287122557
ATF1	THRA	0.46986559386628146
