Regulator	Target	MI
ATF1	SLC35B2	0.5002257438501392
ATF1	DBR1	0.5275192862444946
ATF1	CPNE4	0.7617886595902386
ATF1	PDCD7	0.45100629196931363
ATF1	DCAF4L2	0.4709441912097927
ATF1	ALKBH2	0.4369828316417568
ATF1	LACTB	0.45644034378404896
ATF1	LSM12	0.5776682571524279
ATF1	TMEM147	0.46635127520748254
ATF1	SNORD116-16	0.47245038592282107
ATF1	ZNF688	0.650254167206302
ATF1	LZTS1	0.5657021038315269
ATF1	MS4A10	0.4709963288257528
ATF1	TPTE2	0.47167942516856165
ATF1	OR2D2	0.489114123751623
ATF1	C1orf43	0.48736679834574526
ATF1	LOC90586	0.46968724863001166
ATF1	RFX2	0.6773869677980016
ATF1	HMHA1	0.5257099046052129
ATF1	LOC285830	0.5414516660118665
ATF1	ALG12	0.5185302748312646
ATF1	C19orf34	0.4751545240206756
ATF1	WDR78	0.4965730376135973
ATF1	PRAP1	0.479222679101885
ATF1	ALPPL2	0.4776944147995801
ATF1	MRPS18C	0.44351169325428286
ATF1	GNPAT	0.4473413949235998
ATF1	GPRIN1	0.44505109104918184
ATF1	COL4A5	0.47039516402535364
ATF1	FKBP7	0.4343524106376493
ATF1	ADAM8	0.5116502456744665
ATF1	FAM8A1	0.47521463592407365
ATF1	C18orf16	0.43736768189030917
ATF1	DPEP3	0.5826238273400941
ATF1	PIF1	0.44154754472747815
ATF1	ZNF670	0.4419799929512047
ATF1	STC1	0.44846668961041125
ATF1	PRAMEF10	0.5463959992116543
ATF1	LIAS	0.47207196629536075
ATF1	LIN7C	0.5126414126779704
ATF1	POU5F1B	0.4556497996092892
ATF1	DHX37	0.4829647458134092
ATF1	MAP7	0.4664626797536999
ATF1	VTI1A	0.4979956063165023
ATF1	S100A12	0.6336623327142488
ATF1	ZC3H18	0.4901826927329438
ATF1	ZNF667	0.4664335256908916
ATF1	SMN1	0.45600914409772786
ATF1	C14orf159	0.5076213822424087
ATF1	MFAP3L	0.4552992476888247
ATF1	SLC10A6	0.5997192652881571
ATF1	FZD7	0.4554363375284134
ATF1	NACA2	0.5441932749409237
ATF1	TRYX3	0.46406372698555876
ATF1	RSL24D1	0.5069227789168149
ATF1	IFNA5	0.4382612446055836
ATF1	DET1	0.4593546194200031
ATF1	HNRNPCL1	0.6504789299710847
ATF1	ZFAND2B	0.4745225630421914
ATF1	DDX42	0.5309214838132754
ATF1	MED19	0.4472978657491238
ATF1	CHRDL2	0.5523316109590852
ATF1	CLINT1	0.5302972757931803
ATF1	EEA1	0.5499967927232201
ATF1	TCHP	0.6221281393806781
ATF1	TMEM100	0.5839333448157178
ATF1	MRPL42	0.43551244918174126
ATF1	THBD	0.45691476197609315
ATF1	SGCA	0.4746023834873916
ATF1	RSRC1	0.46362125036570845
ATF1	ZNF649	0.5039644026627261
ATF1	ENC1	0.5827211937244381
ATF1	BDKRB1	0.6936693017422777
ATF1	CCDC55	0.5930165605586235
ATF1	FAM21B	0.525481995915646
ATF1	TMED7	0.7235712470413458
ATF1	SPANXE	0.5250744072526987
ATF1	A2LD1	0.4367545493683367
ATF1	FCRL5	0.5566021776966266
ATF1	ITGA3	0.4416388329107095
ATF1	TET2	0.47262675764705664
ATF1	PAX5	0.4433683364282959
ATF1	WDR34	0.4704301117217855
ATF1	ASPN	0.4650264811125866
ATF1	TNFRSF1A	0.4495193524863397
ATF1	C9orf71	0.5801144364918907
ATF1	INF2	0.5704435313330265
ATF1	SARS2	0.5655830644359807
ATF1	ATG4C	0.4716367518269986
ATF1	CLDN19	0.5834002529974325
ATF1	IVL	0.4697574888802478
ATF1	EXOC1	0.4471228718268425
ATF1	OR56A1	0.4521158916156236
ATF1	ITIH4	0.43982916980837494
ATF1	TMPRSS7	0.4424999862954704
ATF1	C1orf198	0.5541087511635112
ATF1	SFTPA2	0.6952381173342799
ATF1	RAP1GDS1	0.43909337325991826
ATF1	MRPS31	0.4788109150772688
ATF1	ADAM21	0.48937869919361754
ATF1	NCRNA00164	0.4544447169685353
ATF1	UQCR11	0.43648359635032064
ATF1	DLEU2L	0.5360822369286531
