Regulator	Target	MI
ATF1	DBR1	0.5059082305292506
ATF1	SNORD116-8	0.5622593631545376
ATF1	LRP1	0.6184955962164991
ATF1	RPL12	0.43383203637873313
ATF1	BCCIP	0.43469579989038243
ATF1	CWC22	0.5424677476428701
ATF1	TMEM8C	0.45400976489980005
ATF1	RBBP6	0.5213574676450303
ATF1	HMGN3	0.4696074209236425
ATF1	ABCF1	0.45908737163682156
ATF1	MKL2	0.484077348565477
ATF1	SEC24A	0.47900440388519794
ATF1	ORC2L	0.4558052524485734
ATF1	C8orf51	0.46260960661811934
ATF1	MTERFD3	0.46540709208771736
ATF1	MYO19	0.45583344133860093
ATF1	FANCF	0.48126794941840956
ATF1	MAPKSP1	0.4477710264983177
ATF1	TRYX3	0.4421592389519833
ATF1	RNF222	0.5631901393049534
ATF1	TAF6L	0.5322047600097863
ATF1	TOX3	0.523611912858589
ATF1	RBMXL2	0.45794388691847043
ATF1	MFAP1	0.4609247972728707
ATF1	ZC3H11A	0.46789461296921697
ATF1	MPHOSPH10	0.4585623211112133
ATF1	SPIN2B	0.44948755939110674
ATF1	TBC1D28	0.47513673592595485
ATF1	ACOT4	0.4662885256509961
FOXA1	GTF2A2	0.466854663236397
FOXA1	PDE1A	0.4641040278858557
FOXA1	CBLC	0.48571804374644767
FOXA1	SPG7	0.5119403565734291
FOXA1	TOB2	0.45278818322369174
FOXA1	KIR2DL3	0.598175508488584
FOXA1	IPO5	0.4511527962850832
FOXA1	RNU11	0.4606132543348753
FOXA1	GYLTL1B	0.4854864826483407
FOXA1	PARD6A	0.44712844143879327
FOXA1	BOC	0.6382648496900121
FOXA1	CRYM	0.540633709013076
FOXA1	DNAI1	0.44941690444741766
FOXA1	PLXNA3	0.45115200478747086
FOXA1	GLYATL3	0.503964402662727
FOXA1	RFC4	0.4711065215487946
FOXA1	RIPK3	0.533986686893066
FOXA1	HSPA7	0.4789053933559244
FOXA1	EMR1	0.5052485542730079
FOXA1	WDR19	0.4993404143493909
FOXA1	KIF22	0.4818933743649376
FOXA1	THNSL1	0.5316158364507535
FOXA1	NAALADL2	0.48031307014635827
FOXA1	GALC	0.4593706546590828
FOXA1	LOC399744	0.4401531227040105
FOXA1	RCN3	0.4948696025282442
FOXA1	MST1P9	0.45833041803863317
FOXA1	RSPH1	0.4615299509955544
FOXA1	ARMC5	0.4802445704800302
FOXA1	SH3D20	0.5023618459562815
FOXA1	MKRN1	0.46120025651345387
FOXA1	MRTO4	0.47495761572669704
FOXA1	SNRNP27	0.4680716817501258
FOXA1	PTF1A	0.6288480605519489
FOXA1	TJP2	0.6405133786986945
ATF2	SPON1	0.6031857189282772
ATF2	KDM1B	0.5133236766112743
ATF2	MT1M	0.5176221505292138
ATF2	DCAF5	0.45408648968259824
ATF2	NUB1	0.4810481965024058
ATF2	IPO9	0.5454382197929415
ATF2	CAPNS1	0.48879672433444465
ATF2	BSG	0.4719787858180471
ATF2	POGZ	0.44112363160174883
ATF2	SPATA24	0.5965410133241602
ATF2	EARS2	0.54372482303304
ATF2	ZNF564	0.5149944057297562
ATF2	PSKH1	0.4968436956158544
ATF2	PIAS3	0.439598530642618
ATF2	SP110	0.4334268133500987
ATF2	STARD8	0.6900001827066782
ATF2	ZBTB38	0.5493582579945819
ATF2	NSMCE2	0.5638299956230735
ATF2	MOGS	0.5176221505292138
ATF2	TBR1	0.6191177284778018
ATF2	FBXO11	0.44167134673950814
ATF2	SCAMP2	0.554771304481962
ATF2	ATXN2L	0.5398875456181789
ATF2	CTAGE5	0.5182322294796178
ATF2	C22orf43	0.46467814503361016
ATF2	C2orf51	0.5483470518208842
ATF2	OR9A4	0.6302308476701493
ATF2	AIPL1	0.45702989160681495
ATF2	LPA	0.45716499420904677
ATF2	ZNF155	0.5322047600097863
ATF2	L3MBTL3	0.6064220875265018
ATF2	TPTE2P3	0.5538553200543137
ATF2	CHRD	0.519031551789269
ATF2	MRPL16	0.4668884371402404
ATF2	COPS7B	0.48088812733413944
ATF2	BAZ2B	0.6249444910315836
ATF2	KIAA1012	0.6805996115948716
ATF2	MAGEA9B	0.5030932889812525
ATF2	RPF2	0.48620770193723883
ATF2	GTF2E2	0.4849180533851789
ATF2	TAF5L	0.45596157701645756
ATF2	ADH4	0.4741312338115593
ATF2	PRRC1	0.46843680031704604
ATF2	MICAL1	0.5577354959256335
ATF2	SNORA55	0.5106885608558946
ATF2	FAM83B	0.461136927490267
ATF2	SPDYC	0.492291945502326
ATF2	NR2F1	0.4559915692050964
