Regulator	Target	MI
ATF1	JRK	0.4695546440445635
ATF1	C7orf10	0.6087605344665241
ATF1	FNBP1L	0.45827833247546623
ATF1	DCAF7	0.5508741089422968
ATF1	PCMT1	0.5360183728477916
ATF1	PSMD3	0.4335640861242638
ATF1	WDR91	0.4496681227078443
ATF1	AKT1	0.5490603858432599
ATF1	RPL37	0.4786264197905128
ATF1	MBNL2	0.4440084172094809
ATF1	HCFC2	0.5904786039065955
ATF1	WDR76	0.4675635411672072
ATF1	MAPKSP1	0.665360099717208
ATF1	ABCA10	0.46102613725424035
ATF1	GPR161	0.5937378633398596
ATF1	NCRNA00201	0.4781273337035432
ATF1	ADPRH	0.4657533702623846
ATF1	ZSCAN23	0.466296481789942
ATF1	ASPHD2	0.6576580956717764
ATF1	RPL27	0.43466808152807346
ATF1	TMEM126B	0.6625196082468117
ATF1	PRR11	0.4689377254128475
ATF1	SNORD114-9	0.46924553412786807
ATF1	AIRE	0.5817885350185046
ATF1	MRPL12	0.4909802529476255
ATF1	MRPL13	0.5214068260295042
ATF1	ADH5	0.4369413396194006
ATF1	GABARAP	0.5774157701058336
ATF1	RNF212	0.6303694159095832
ATF1	CYB5R1	0.6035545149574153
ATF1	FAM160B2	0.6246800501387213
ATF1	SCGB1D1	0.4578549271396808
ATF1	DDX26B	0.46260960661811934
ATF1	PDGFC	0.5109945799061713
ATF1	HMGXB3	0.47849494709431273
ATF1	ZBTB7A	0.5029511955168573
ATF1	PRRT1	0.4497165391190312
ATF1	BTBD18	0.5402650308727219
ATF1	NEBL	0.4527811897645613
ATF1	PLK1	0.4654830464152462
ATF1	LOC158572	0.4517902445506574
ATF1	GP9	0.5330581663271001
ATF1	METT11D1	0.4525098750160139
ATF1	CDK10	0.44328333781789153
ATF1	FXYD7	0.4464754449181978
ATF1	TNFSF9	0.5115497052811842
ATF1	FXC1	0.5066264955481445
ATF1	KCNC3	0.45573036491932895
ATF1	ATF7IP2	0.45299509295709806
ATF1	KIAA1033	0.48197492172782574
ATF1	TMEM182	0.4539855552164287
ATF1	LITAF	0.7173361621623622
ATF1	NIPBL	0.5070019955617768
ATF1	C10orf76	0.5631325975799166
ATF1	JARID2	0.6878096284998363
ATF1	FCRL5	0.4766775690434635
ATF1	SSR4	0.43540976023159006
ATF1	TMC8	0.4691547338288613
ATF1	ELOVL6	0.5760588479922215
ATF1	MRPL47	0.6965277624444011
ATF1	HEXDC	0.5617737661547175
ATF1	TUBB2A	0.5014672197475574
ATF1	C11orf82	0.48497490867929827
ATF1	ADSSL1	0.47791517080622015
ATF1	ERGIC3	0.4557279944056716
ATF1	ZNF114	0.43971198601258354
ATF1	C7orf31	0.4536713438913198
ATF1	GRAMD1B	0.4392358538986332
ATF1	FH	0.7261268992141732
ATF1	TMEM72	0.4427869969946472
ATF1	RECQL4	0.5103919789691771
ATF1	PSMB5	0.4371749943386827
ATF1	SLC17A6	0.46986559386628146
ATF1	BRD4	0.5560382784746749
ATF1	RPL19	0.4803558052262553
ATF1	CASP8AP2	0.45365302253649586
ATF1	FARP1	0.5821007117884607
ATF1	MDH2	0.436664072126947
ATF1	CARD8	0.49463050600974334
ATF1	EMR3	0.5246748878934335
ATF1	NOC3L	0.663894305057736
ATF1	SRP68	0.44433940487988055
ATF1	DHRS1	0.48906521134338865
ATF1	BLCAP	0.437516600707589
ATF1	GTF2H4	0.5129212708431217
ATF1	HIPK3	0.4745597349434365
ATF1	FABP4	0.5378956567230784
ATF1	PSMC6	0.5268576602857316
ATF1	GPR144	0.4398459418519076
ATF1	YPEL4	0.5123681092089076
ATF1	FRK	0.47631162788920456
ATF1	TMEM167B	0.5107485044222266
ATF1	PDCD7	0.43675175258887844
ATF1	GOLIM4	0.6211888239802454
ATF1	CASC3	0.4433541817240165
ATF1	FNTA	0.49619140402607576
ATF1	TNN	0.5430486626544608
ATF1	PMPCB	0.49131991508344086
ATF1	UGT2B10	0.49533578192561656
ATF1	MAP2K4	0.4540419220810916
