Regulator	Target	MI
ATF1	ATP5C1	0.5974926486121603
ATF1	HNRNPU	0.5628482119300009
ATF1	SLC4A2	0.5059931574521688
ATF1	EPRS	0.5276317968495525
ATF1	SMC3	0.49418229142351233
ATF1	WDR88	0.520823522710709
ATF1	IL4I1	0.4922981860271194
ATF1	PCMT1	0.7234680098911905
ATF1	ALKBH4	0.6703111032019615
ATF1	MPRIP	0.5646253340264571
ATF1	PSMD3	0.6348530554791294
ATF1	ADNP2	0.595569839831414
ATF1	PSMD1	0.5202023483130662
ATF1	GUSBL2	0.7031067288548805
ATF1	ZNF167	0.552072959576321
ATF1	ZNF17	0.4733900972898555
ATF1	DDX18	0.481964865841658
ATF1	PRKCI	0.5482915970316942
ATF1	MECR	0.49533786911240973
ATF1	ZNF283	0.6905227164783794
ATF1	GTPBP8	0.8465820423549237
ATF1	WDR78	0.46500099891071667
ATF1	GTPBP1	0.4785233853406634
ATF1	SOX10	0.459751983545305
ATF1	MAPKSP1	0.5693015860522319
ATF1	DYNC1LI2	0.5164245415073321
ATF1	C22orf41	0.4370983193380136
ATF1	PI4K2A	0.5066980714227767
ATF1	ANAPC13	0.5321829343604434
ATF1	tAKR	0.5533879313871553
ATF1	ANAPC16	0.44352595967789954
ATF1	HSPA4L	0.6788271361788305
ATF1	MRPL17	0.47216863851174695
ATF1	PDGFA	0.5071703325442645
ATF1	ABCB8	0.483993138576694
ATF1	ZC3HAV1	0.5472377914729849
ATF1	MRPL12	0.439394038844668
ATF1	HIF1A	0.44027760220502765
ATF1	RNF213	0.45445026049277804
ATF1	VTI1A	0.6012606599911865
ATF1	PIP5K1B	0.5513312551441762
ATF1	CEP76	0.508786192877964
ATF1	S100A10	0.47196226538541497
ATF1	GSDMC	0.4791721320032134
ATF1	C3orf17	0.5179128052632147
ATF1	SETD1A	0.5398397161325708
ATF1	LARP7	0.4454279598065902
ATF1	MRPL28	0.4953690973412139
ATF1	FRG1B	0.5380477698967443
ATF1	SETX	0.6860752657634541
ATF1	RNF222	0.6361451015156003
ATF1	VANGL2	0.5113530812450886
ATF1	GJB4	0.4345536917879538
ATF1	NMT1	0.5896240857656956
ATF1	SNAI2	0.5427795949085983
ATF1	CYB5RL	0.5487822067098329
ATF1	FARSA	0.5258838408974968
ATF1	LRRC36	0.44874627043603477
ATF1	ZNF133	0.5701742604877649
ATF1	PHF2	0.5490620480048785
ATF1	C13orf23	0.6090155287258319
ATF1	CLTC	0.4873967020198551
ATF1	SETD7	0.5169566368522314
ATF1	LRRC4	0.44163847843899484
ATF1	KIAA1274	0.587457684764042
ATF1	MED15	0.6866842373512041
ATF1	PHF6	0.7072243717686604
ATF1	MRPL33	0.4900676673567119
ATF1	MRPL41	0.49093704480652
ATF1	PANX1	0.4664865385127972
ATF1	ZCWPW2	0.5553337891770695
ATF1	MRPL42	0.5041567743854656
ATF1	TMEM189	0.47040025938003716
ATF1	ZCWPW1	0.6853003219399074
ATF1	RARS	0.5459187666759142
ATF1	ENSA	0.44427640184051276
ATF1	CIC	0.6273814029412401
ATF1	MYBPC3	0.49439686303287234
ATF1	ZNF485	0.4621314052074008
ATF1	SSR4	0.49003928164839206
ATF1	KTELC1	0.46453468952661225
ATF1	KIAA1143	0.49185876480244417
ATF1	MRPL47	0.532851081221724
ATF1	GNL2	0.6637869538121648
ATF1	MRPL45	0.5429590875516022
ATF1	COQ10A	0.6810591783222648
ATF1	LRRC41	0.48802932285961065
ATF1	SRP9	0.6172290316974349
ATF1	CIT	0.6304229711489282
ATF1	C14orf169	0.47819368882435587
ATF1	C14orf166	0.7364168485796228
ATF1	C17orf42	0.5436995801297173
ATF1	OPN1MW	0.5911009942440324
ATF1	C18orf55	0.5828120712650433
ATF1	PIGK	0.5185445112861822
ATF1	EXOC1	0.6600440698744015
ATF1	SERPINB12	0.6651984169487997
ATF1	ZNF593	0.47264450119116574
ATF1	C1orf190	0.5379581884691422
ATF1	FAM129C	0.4530337404637872
ATF1	SFRS13B	0.5259539301755383
ATF1	TMEM71	0.6871703182126723
ATF1	FSTL5	0.5024522317823843
ATF1	BCLAF1	0.450980161885314
ATF1	SRPX2	0.5513731845473644
ATF1	NRAP	0.4614472319347107
ATF1	PABPC1L2A	0.4978742003810681
ATF1	PMS1	0.5407853978511477
ATF1	CDKN2D	0.5064425966893156
ATF1	FARP1	0.6804373207223633
ATF1	GTF2H3	0.6378581440062043
ATF1	KTN1	0.5678205018600551
ATF1	CENPF	0.4875666655776256
ATF1	FAM200A	0.9174369702499252
ATF1	POM121L4P	0.43989896169118836
ATF1	ZNF70	0.538757131940427
ATF1	MYBBP1A	0.5996063750455152
ATF1	LYRM5	0.6090678368344169
ATF1	TMEM56	0.5964589008408581
ATF1	HLA-DPB1	0.460241308576975
ATF1	YPEL1	0.5747793686896281
ATF1	INHA	0.4354759361568252
ATF1	LOC729799	0.5762148445499955
ATF1	EBAG9	0.6148500464120024
ATF1	ZNF697	0.6669770599372487
ATF1	C7orf25	0.45454790797527833
ATF1	ANUBL1	0.5739702026202602
ATF1	PDCD5	0.6344842567392388
ATF1	RTKN2	0.5244045699704447
ATF1	FAM119A	0.8937971898809627
ATF1	ZC3HAV1L	0.5779265411625882
ATF1	YEATS4	0.5288686507983296
ATF1	ATP12A	0.4554021072356025
ATF1	EPX	0.6809963026623915
ATF1	METRNL	0.4734071976837786
ATF1	IPO7	0.6023908517774004
ATF1	KIAA0776	0.6511492727607262
ATF1	ATXN3L	0.5011724889767253
ATF1	IPO8	0.4454279598065902
ATF1	FNTA	0.480554557528321
ATF1	RUVBL1	0.6291893261492456
ATF1	MAP2K4	0.4395473790556297
ATF1	CPA1	0.5611308406026079
ATF1	RNF44	0.6532250178751977
ATF1	STX8	0.5574591340365105
ATF1	VRK1	0.4473726567353866
ATF1	ZBTB34	0.6186735277665374
ATF1	CASD1	0.592036838886477
ATF1	TICAM1	0.5764607094892424
ATF1	RNF40	0.4429813494086847
ATF1	SNRPG	0.5287942063662405
ATF1	ZNF559	0.6144484927557166
ATF1	ANAPC4	0.49359729498295346
ATF1	C18orf10	0.45340536648710517
ATF1	ERH	0.49596966741048565
ATF1	SNRPE	0.5211023945567348
ATF1	SNRPC	0.5124434626752197
ATF1	ARL8A	0.45577788049303747
ATF1	METTL2A	0.6231693996554473
ATF1	ORC3L	0.5957974766722711
ATF1	ANKRD12	0.49853077508263866
ATF1	UBFD1	0.46770012624250423
ATF1	GTF2E1	0.9408569781159004
ATF1	SPATA8	0.5715665277156252
ATF1	RAD51AP1	0.47121743829194873
ATF1	IGSF21	0.5087365606335688
ATF1	TBXA2R	0.46650382790001066
ATF1	NAE1	0.49551643879843343
ATF1	SRGAP1	0.6219502511289132
ATF1	TMEM132C	0.6921821538426749
ATF1	TRAPPC3	0.5124088867592542
ATF1	RAB4A	0.5363290073238294
ATF1	API5	0.5716265827907088
ATF1	GPR108	0.44609937595237303
ATF1	ORC2L	0.6187650762214849
ATF1	GLMN	0.48202260519719253
ATF1	LRRC66	0.4750923439011885
ATF1	PALB2	0.7233904378369402
ATF1	LSM3	0.5138871936649156
ATF1	TRYX3	0.5346660929764804
ATF1	C14orf21	0.46966226096939945
ATF1	CDK7	0.5418184312669876
ATF1	SCCPDH	0.5973657261949805
ATF1	MTL5	0.5747144644767643
ATF1	LOC729991	0.4427282491680593
ATF1	TADA3	0.5701742604877649
ATF1	NFE2L3	0.484289410040474
ATF1	ZNF416	0.6294319543648506
ATF1	ZNF415	0.441093405663604
ATF1	PIN4	0.5913111361089292
ATF1	TUBGCP3	0.5250839221976791
ATF1	CNOT8	0.6717950545016436
ATF1	SLC26A6	0.6232810108079998
ATF1	ITGB1	0.45987776707836625
ATF1	C19orf62	0.4606916709208577
ATF1	BMP10	0.5651668600658253
ATF1	PIK3CD	0.5175482588340832
ATF1	SUMO4	0.4525239117758888
ATF1	CSAG2	0.6053205448934698
ATF1	MCM10	0.6409528913386584
ATF1	UFSP2	0.4946797128640674
ATF1	TRO	0.538757131940427
ATF1	AP1G2	0.5267474473557323
