Regulator	Target	MI
ATF1	RYR1	0.5187742720634501
ATF1	PHF2	0.58040296663461
ATF1	C7orf11	0.44285054284693004
ATF1	TOR2A	0.4379881926308733
ATF1	SLC44A1	0.6214790836855717
ATF1	PARS2	0.5058839512964224
ATF1	HMGB2	0.4648950188452017
ATF1	C3orf26	0.5140905638902615
ATF1	FCRLA	0.433723928012113
ATF1	LACTB	0.6013701022828193
ATF1	MCEE	0.5201999285742236
ATF1	TFG	0.5039829496952075
ATF1	YWHAQ	0.43673674325692424
ATF1	CREB3L4	0.44446014339935225
ATF1	CWC22	0.6145692397461326
ATF1	STMN1	0.5763013737573877
ATF1	DHX15	0.5532177003959475
ATF1	ADNP2	0.4520067006739965
ATF1	ENPP4	0.4347954698058092
ATF1	WHSC1	0.5166465099177873
ATF1	GPRASP2	0.4795291964443096
ATF1	RPL39	0.5779532070830178
ATF1	C1orf126	0.5092917578705012
ATF1	TMPRSS11A	0.47143561747489926
ATF1	ZC3H10	0.5534910014786312
ATF1	MYBPC2	0.44883261759952475
ATF1	NGDN	0.474409153401778
ATF1	PAPD4	0.4405476511622055
ATF1	ETV1	0.48532971363885125
ATF1	NME4	0.6921121916877868
ATF1	PPP2R5D	0.47356578971270746
ATF1	VRK1	0.5704735260523921
ATF1	HCFC2	0.9358147041549985
ATF1	KCTD5	0.44252674107779777
ATF1	MSH6	0.5164058255247181
ATF1	RUFY1	0.4415902463672401
ATF1	TAF6L	0.6150949349838717
ATF1	HAX1	0.4629581941972636
ATF1	MT1A	0.4352735026166181
ATF1	HNRNPH1	0.5356225329444269
ATF1	LOC374443	0.5730370577672477
ATF1	C18orf54	0.5050342427148147
ATF1	L2HGDH	0.5567999800137304
ATF1	TMEM9	0.4548097019151207
ATF1	ZNF831	0.43688990523595495
ATF1	PLA2R1	0.5341940318139842
ATF1	SEC22B	0.5697818064826641
ATF1	C14orf126	0.4579068885010331
ATF1	C10orf26	0.5700606449696197
ATF1	ZNF431	0.4569770995444693
ATF1	PTGFR	0.5197791631363198
ATF1	NBAS	0.5020408503444909
ATF1	C2orf83	0.4426883739314422
