Regulator	Target	MI
ATF1	TDRKH	0.44085887982719285
ATF1	UBE3C	0.45617514334036047
ATF1	PDCD7	0.5215111497238816
ATF1	POP4	0.43564563849626214
ATF1	C6orf191	0.46125976001293045
ATF1	GOLIM4	0.545519196602668
ATF1	HNRNPR	0.5461006779452142
ATF1	SMC5	0.5618869118331289
ATF1	C19orf23	0.44397985022628683
ATF1	LACTB	0.57808636838155
ATF1	TMEM147	0.634440011976845
ATF1	OSBP	0.5558480333751383
ATF1	DPF2	0.45794388691847043
ATF1	ANKFY1	0.4840913124285877
ATF1	CLCC1	0.45313995882866465
ATF1	CPSF3L	0.6852278767847415
ATF1	VPS36	0.49449618116725524
ATF1	SKP1	0.47112966265592204
ATF1	ZNF200	0.6228022893270513
ATF1	COG5	0.6975079737379186
ATF1	LMAN1L	0.4367002552859578
ATF1	COG2	0.4651290112670434
ATF1	VASH2	0.5009653010036255
ATF1	WBSCR16	0.44494061369357674
ATF1	GPD2	0.5529501874183076
ATF1	C17orf80	0.47534062681928946
ATF1	COPB2	0.552556990488783
ATF1	PFKFB4	0.4361387232681815
ATF1	C6orf170	0.46250469370111214
ATF1	NDUFB10	0.5908428080425172
ATF1	ORC3L	0.4594164914504044
ATF1	DCUN1D4	0.4493724660538283
ATF1	RTDR1	0.4810084696685051
ATF1	ZC3HAV1	0.43475503371970303
ATF1	CYP2C19	0.43859486039579476
ATF1	C19orf44	0.4504118450310699
ATF1	HIF1A	0.438587842750529
ATF1	ADAMTS10	0.4524001594680347
ATF1	STK3	0.43380504073548387
ATF1	RAD51AP1	0.583332024445065
ATF1	VPS8	0.4420836032667994
ATF1	VTI1A	0.5803241016080563
ATF1	ZBED1	0.5495379895132864
ATF1	FAM192A	0.45263132179474663
ATF1	PIBF1	0.5164798453197745
ATF1	C14orf159	0.47647370005388634
ATF1	HTR1F	0.4860778850163854
ATF1	ORC2L	0.5096937536801982
ATF1	SRD5A3	0.46180197920630484
ATF1	TRIP4	0.5915184619757792
ATF1	MARCH7	0.5447946865669184
ATF1	EIF2S1	0.6002429184944318
ATF1	THAP10	0.4603133086775646
ATF1	AIMP2	0.45175677016912275
ATF1	HNRNPM	0.45202512615193724
ATF1	RNF222	0.4443445179794101
ATF1	DIAPH2	0.47112966265592204
ATF1	FAM175B	0.48973712946705295
ATF1	CCDC88C	0.4986936062067544
ATF1	TADA3	0.715282189100447
ATF1	TMCC3	0.5507584537025547
ATF1	YWHAE	0.4383068446549556
ATF1	SETD5	0.469954073670396
