Regulator	Target	MI
ATF1	EIF4A2	0.4828377826473078
ATF1	PHF3	0.5632078626691386
ATF1	ERO1LB	0.6531301224889092
ATF1	RNPEPL1	0.7050625450878152
ATF1	DPY30	0.5753112422803341
ATF1	EFCAB7	0.48564902739130833
ATF1	SLC4A4	0.4823204341985816
ATF1	FAM122A	0.5481924339652302
ATF1	LSM12	0.46386393189917063
ATF1	NIPBL	0.4536590464400194
ATF1	GOLGA5	0.5241306143888491
ATF1	ZFYVE27	0.434343902807381
ATF1	AP1G1	0.4969510728509485
ATF1	TMEM88	0.4949649301676704
ATF1	TBC1D10C	0.4923183515924485
ATF1	TRIM25	0.44860448560871813
ATF1	CCDC11	0.43966180975795055
ATF1	LGALS8	0.5329544422362855
ATF1	PSKH1	0.46310995698497814
ATF1	RAG1	0.5092824911965144
ATF1	XAGE1D	0.4548789924675889
ATF1	RNF208	0.6047763459242845
ATF1	AMPD3	0.44758691519321836
ATF1	CDC40	0.4871133569930519
ATF1	NME6	0.5646474353215796
ATF1	SNORD104	0.6328532936972402
ATF1	LOC391322	0.513172968345244
ATF1	SNRPE	0.4793940247717776
ATF1	TMEM9	0.5101633819468772
ATF1	C6orf155	0.43383203637873313
ATF1	CSH1	0.4593476108941541
ATF1	ORC3L	0.5383049111863629
ATF1	C19orf48	0.5638350533524092
ATF1	RTDR1	0.5178595438380253
ATF1	LIN7C	0.5117698491428606
ATF1	C14orf156	0.4585736384112402
ATF1	LOC100130932	0.453505266358023
ATF1	TCEAL2	0.4456144844719989
ATF1	MFAP3L	0.44518950239563715
ATF1	C1orf61	0.4736869894064508
ATF1	PRRT1	0.4623394503144671
ATF1	HSPA8	0.5250839221976791
ATF1	ORC2L	0.6628379036221248
ATF1	MARCH7	0.5618505789624333
ATF1	SRP68	0.4499620466549512
ATF1	ZNF35	0.4791409679668641
ATF1	CCDC144NL	0.49480105355862536
ATF1	WARS2	0.44119155363947016
ATF1	TRYX3	0.4793940247717776
ATF1	C5orf34	0.47281323435084355
ATF1	NEDD1	0.5480671422647183
ATF1	PM20D2	0.512377644363899
ATF1	KLHL8	0.5012303247308929
ATF1	PYDC2	0.5104137539479368
ATF1	TUBGCP3	0.46406372698555876
ATF1	INTS8	0.5301607147566183
ATF1	C7orf26	0.4817560580038056
FOXA1	TCERG1	0.4493843574868288
FOXA1	GGPS1	0.4418031678636547
FOXA1	ANKRD36	0.497397373218448
FOXA1	DGKA	0.43367296926273813
FOXA1	CHRM5	0.5502393140988318
FOXA1	LOC113230	0.46103567772181453
FOXA1	TTF1	0.47081149385271504
FOXA1	GABARAP	0.44028072734676904
FOXA1	MARCH3	0.545282340956668
FOXA1	ATP6AP1L	0.4550755718331603
FOXA1	LOC646762	0.47193271347145727
FOXA1	SKINTL	0.5017911047984405
FOXA1	CABYR	0.44042417211375273
FOXA1	ZNRD1	0.48579516190469585
