Regulator	Target	MI	pvalue
HCFC1	TRAT1	0.5486779284544445	0.0
ZEB1	LOC100302640	0.7860077702423981	3.584222865065101E-4
POLR3A	SNAR-A2	0.6159621204343949	3.098024592418369E-8
POLR3A	SNAR-A3	0.6134438848636367	2.445808888751344E-9
POLR3A	SNAR-A4	0.6199962182539992	3.098024592418369E-8
POLR3A	SNAR-B2	0.6199962182539992	3.098024592418369E-8
POLR3A	SNAR-C2	0.6225757586633007	3.098024592418369E-8
POLR3A	SNAR-C3	0.6157291069127682	3.464895925731071E-7
POLR3A	SNAR-C4	0.6197042347262244	3.098024592418369E-8
GTF3C2	SNORD50B	0.6130510738315401	4.076348147918907E-10
POLR3A	SNAR-G1	0.6184519551225864	3.464895925731071E-7
POLR3A	SNAR-G2	0.620004225532483	2.445808888751344E-9
BRCA1	RAD51AP2	0.6103194161017462	0.0
HCFC1	TRAK1	0.5778781210915823	0.02731852556630443
HNF4G	DIO3OS	0.8938598631287809	0.0
GTF3C2	SNORD32A	0.6023437397076878	2.445808888751344E-9
CCNT2	ZBTB38	0.5844931659787901	0.0
TAF1	FXC1	0.5693609741818115	0.00323015085730205
SMC3	DSN1	0.5932238852037433	4.076348147918907E-10
ARID3A	CPVL	0.5877405930402253	3.746286238381913E-5
IRF4	CLIC5	0.5341077441472811	0.0
MAFF	MRPS24	0.5547825465698363	0.00323015085730205
NFYA	SFRS5	0.5365816407357558	0.02731852556630443
CCNT2	ZBTB10	0.5304420306741511	0.0
KDM5B	SPIN2A	0.5806276911911512	0.0
CCNT2	ZBTB17	0.5973677844910309	0.0
CTCF	FAM41AY1	0.6398416107009547	2.445808888751344E-9
POLR3A	FAM41AY1	0.6157291069127682	3.464895925731071E-7
GTF2F1	IMPAD1	0.532616399053333	0.02731852556630443
ZEB1	DPPA2	0.7294254148543714	0.00323015085730205
ZEB1	DPPA5	0.8366969329941196	0.0
SIN3A	TOP3A	1.1766077210781296	0.0
SMARCC1	MAT2A	0.5401251453796853	3.746286238381913E-5
SIN3A	CACNG2	1.2153542654226994	0.0
SIN3A	CACNG3	1.1490662161042293	0.0
SIN3A	CACNG5	1.2081111680321155	0.0
SIN3A	CACNG6	0.789916145114088	3.7005088486807836E-6
SIN3A	CACNG7	1.1383954245490988	3.464895925731071E-7
SIN3A	CACNG8	0.6715015120472235	3.584222865065101E-4
TFAP2C	C21orf90	0.5901398319051947	0.02731852556630443
GABPA	CHRNB1	0.5524819648995722	0.00323015085730205
CEBPD	BTRC	0.590039194115154	0.00323015085730205
USF2	WDR81	0.5859179374913912	4.076348147918907E-10
MBD4	SPG11	0.661325488682146	0.00323015085730205
HNF4A	VSTM2L	0.6801475735500256	3.464895925731071E-7
HMGN3	ZNF780A	0.5668461096120763	0.02731852556630443
USF2	WDR54	0.5950552435362514	0.0
YY1	ANKLE1	0.5536312325177057	3.464895925731071E-7
GATA1	BPGM	0.6355358045085936	0.0
USF2	WDR49	0.5651578899768962	0.0
NCOR1	CDC5L	0.6290987357272166	3.7005088486807836E-6
USF2	WDR20	0.5858276636260076	0.0
USF2	WDR26	0.5808010094502807	0.0
MAFK	IL16	0.5441067917908698	0.02731852556630443
REST	MBD3L5	1.4074722219946323	0.0
CBX2	PPT2	0.5474100278894343	3.584222865065101E-4
HDAC2	SRGAP1	0.546664833127797	0.00323015085730205
RELA	RGS9BP	0.5409667413636249	0.02731852556630443
NFYB	KIAA1731	0.5806389286369973	0.02731852556630443
TAF7	MECR	0.5954471438718002	0.0
GTF3C2	SGTB	0.6084145319094627	3.7005088486807836E-6
SIN3A	MMP23B	0.6523783567168027	0.02731852556630443
POLR2A	PPHLN1	0.5124736642427563	0.02731852556630443
NFYB	KIAA1704	0.5692519630577508	0.0
CTCF	SOX30	0.7020901143856524	3.098024592418369E-8
USF2	C8orf71	0.5361066426598762	0.02731852556630443
USF2	C8orf73	0.6305556915591738	0.00323015085730205
POLR3A	HEATR1	0.6167393435595955	0.0
MBD4	AKAP4	0.9714711055468465	0.0
USF2	C8orf31	0.5780375017854154	3.746286238381913E-5
USF2	C8orf41	0.5943546651912965	0.0
CTCF	GUCY2GP	0.6190149978431139	3.7005088486807836E-6
REST	BCMO1	0.7912345349262456	0.0
TAF1	KIAA1310	0.564638388699654	3.584222865065101E-4
NCOR1	ZC3H15	0.5688593446652652	3.584222865065101E-4
BCL3	FAM53C	0.547947561567789	4.076348147918907E-10
CEBPZ	GABARAPL2	0.5226311516326732	3.746286238381913E-5
FOXM1	RDX	0.5016691949042342	3.464895925731071E-7
TFAP2C	EIF2S2	0.5361521172414156	3.584222865065101E-4
HNF4G	PBOV1	0.8897968445772716	0.0
TBL1XR1	CETN1	0.5726579820530048	3.584222865065101E-4
POLR3A	LOC256880	0.6556594967744748	0.0
XRCC4	TUBB3	0.53176130208166	0.0
HMGN3	RRAGC	0.5630836713649643	3.464895925731071E-7
HNF4G	KRTAP10-10	0.9583507117467726	3.7005088486807836E-6
HNF4G	KRTAP10-11	1.0026421972887047	0.0
HNF4G	KRTAP10-12	0.9313545649745895	0.0
