Regulator	Target	MI
ATF1	GIT2	0.9219736122091531
ATF1	BAT1	0.8734641445321509
ATF1	ERO1LB	1.0217278604945919
ATF1	ATP8B1	0.8191566392551524
ATF1	RTP1	0.9219736122091535
ATF1	KLHDC1	0.7984690266234171
ATF1	CBWD3	0.9219736122091531
ATF1	CYP46A1	0.8191566392551524
FOXA1	PIWIL3	0.7984690266234171
FOXA1	C19orf22	0.8253132609580933
FOXA1	GLTSCR2	0.9219736122091535
ATF2	PIGS	0.9219736122091535
ATF2	DDX5	0.8253132609580933
ATF2	GMEB2	0.9219736122091531
ATF2	ATF6B	1.051275519067704
ATF2	TRIM16L	0.955508957622452
ATF2	KIAA1012	1.0353133253669036
ATF2	HIF1A	1.0217278604945919
ATF2	ANKRD19	0.9317278849971542
ATF2	MED18	0.8253132609580933
ATF2	MCART1	0.8734641445321514
ATF2	PURB	1.053843710210944
ATF2	DTWD1	1.202548864118925
ATF2	PPP2R5E	1.0217278604945919
ATF2	MED10	1.0353133253669036
ATF2	TMEM128	0.816843194256776
ATF2	ANKAR	0.9317278849971542
ATF2	HIVEP1	0.8094592125412281
ATF2	SACS	0.94307719503928
ATF2	SLC39A6	0.816843194256776
ATF2	FAM48A	1.0353133253669036
ATF2	RBM17	0.90915661475259
ATF2	SNORD9	1.0353133253669036
ATF2	TMEM132C	1.0353133253669036
ATF2	AQR	0.9317278849971542
ATF2	DGAT2	0.8094592125412281
ATF2	ZNF284	1.0353133253669036
ATF2	EYA3	1.051275519067704
ATF2	PAPD4	1.0353133253669036
ATF2	COMMD1	0.8253132609580933
ATF2	MARCH7	1.051275519067704
ATF2	DCK	0.8101786141578553
ATF2	FBXO11	1.0353133253669036
ATF2	ZFX	1.0217278604945919
ATF2	TRAIP	0.9317278849971542
ATF2	C14orf102	0.9091566147525905
ATF2	VCAN	0.8734641445321509
ATF2	NAT1	0.8094592125412281
ATF2	CNOT3	0.8253132609580933
ATF2	C18orf56	0.9337378124069291
ATF2	CORO7	1.030756747760933
ATF2	ERGIC3	1.0353133253669036
ATF2	C10orf47	1.0353133253669036
ATF2	LOC442454	1.0217278604945919
CCNT2	NFAT5	0.90915661475259
