Regulator	Target	MI
ATF1	TMEM20	0.8734641445321509
FOXA1	NCKAP1	0.9219736122091535
FOXA1	OR11L1	0.9219736122091535
FOXA1	C20orf46	0.8131904766573732
FOXA1	RASEF	0.816843194256776
FOXA1	C19orf48	0.9219736122091531
FOXA1	PLRG1	0.9219736122091535
FOXA1	PRODH2	0.8131904766573737
FOXA1	BICD2	0.8131904766573737
FOXA1	OCEL1	0.8467979627105846
FOXA1	RPS16	0.9307281833181484
FOXA1	PSMD4	0.8131904766573732
FOXA1	C3orf71	0.8438651867491789
FOXA1	WAC	0.9091566147525905
FOXA1	ZNF512	0.8131904766573732
FOXA1	SNORA77	0.9219736122091535
FOXA1	SCAI	0.8131904766573737
ATF2	FOXC1	1.1570490255307035
ATF2	MGAM	1.051275519067704
ATF2	TBC1D8	0.9317278849971538
ATF2	CPOX	0.9317278849971542
ATF2	RPL35A	0.9555089576224525
ATF2	ZNF22	0.9219736122091535
ATF2	C5orf35	0.9430771950392796
ATF2	ZNF609	1.089977618376924
ATF2	POC5	0.9430771950392796
ATF2	KRIT1	0.9430771950392796
ATF2	RAD51L3	0.9430771950392796
ATF2	INTS6	0.9317278849971538
ATF2	MAP3K7	0.9430771950392796
CCNT2	ITSN2	1.0217278604945919
CCNT2	PCGEM1	0.9091566147525905
CCNT2	GABRB1	0.859951360321122
CCNT2	PTPRR	0.9219736122091531
CCNT2	CATSPER2P1	0.859951360321122
CCNT2	FASTKD2	0.8734641445321514
CCNT2	CCDC125	0.8734641445321509
CCNT2	NCAPG2	0.9219736122091535
CCNT2	KIF14	1.0395113188699283
CCNT2	PIK3C2A	1.0217278604945919
CCNT2	DUSP13	0.9307281833181484
CCNT2	MCEE	1.0217278604945919
CCNT2	SNORD116-15	0.9219736122091535
CCNT2	CFL2	1.0562419799864777
CCNT2	SNORA31	0.9198896616191785
CCNT2	TOP3B	1.0395113188699283
CCNT2	ZNF682	0.9205059247947163
CCNT2	PRKAB2	0.9219736122091535
CCNT2	JOSD2	0.9417139024144832
CCNT2	LEMD3	0.9091566147525905
CCNT2	MFSD11	0.9910018511929266
CCNT2	RNF40	1.051275519067704
CCNT2	FAM173A	0.859951360321122
CCNT2	TMEM139	1.0353133253669036
CCNT2	ATP6V1B2	0.8131904766573732
CCNT2	PRR18	0.9337378124069291
CCNT2	ROR1	1.1482944544217082
CCNT2	FAM193A	0.9205059247947163
CCNT2	TTLL12	0.9219736122091535
CCNT2	RAPGEF5	0.8131904766573737
CCNT2	PFDN5	0.8734641445321509
CCNT2	C14orf126	0.9219736122091531
CCNT2	CCDC150	1.1482944544217082
CCNT2	SNORD80	0.7988320775478375
CCNT2	NFAT5	0.9205059247947163
CCNT2	DDX5	1.0217278604945919
CCNT2	HKR1	0.8367657094413086
CCNT2	PEF1	0.816814572551769
CCNT2	HIST1H2BL	0.9219736122091535
CCNT2	HMMR	1.0307567477609334
CCNT2	PURB	0.9091566147525905
CCNT2	LOC100303728	0.9307281833181484
CCNT2	ABCC6P2	0.8219450477663686
CCNT2	PTPRZ1	0.9186031656066906
CCNT2	PDCD10	0.7988320775478375
CCNT2	PLK1S1	0.9219736122091535
CCNT2	TCEB3	0.8740533198964275
CCNT2	TAC1	0.9219736122091531
CCNT2	ZNF587	0.8191566392551524
CCNT2	ZNF862	0.9205059247947163
CCNT2	ARSB	1.1482944544217084
CCNT2	CYP2J2	0.8131904766573737
CCNT2	CASP8AP2	0.7984690266234171
CCNT2	MFSD6L	1.0217278604945919
CCNT2	TXNRD1	0.8599513603211224
CCNT2	KIAA1244	0.9186031656066906
CCNT2	TRPV1	0.8599513603211224
CCNT2	WDR13	0.8599513603211224
CCNT2	FLI1	0.90915661475259
CCNT2	NDC80	0.9219736122091535
CCNT2	PLEKHA8	0.8599513603211224
CCNT2	ANLN	0.9219736122091535
CCNT2	DPY19L1	1.089977618376924
CCNT2	LPCAT4	0.8045908832206972
CCNT2	PRC1	0.9219736122091535
