Regulator	Target	MI
ATF1	MYOM1	0.9307281833181484
ATF1	UBE2L6	0.9219736122091531
ATF1	UBE2J2	0.90915661475259
ATF1	PHF6	0.90915661475259
ATF1	THSD1	0.9091566147525905
ATF1	LYPLA2P1	0.9219736122091531
ATF1	LIPE	0.9219736122091531
ATF1	ZCWPW1	0.90915661475259
ATF1	GPR132	0.9186031656066906
ATF1	ACTR1B	0.8610842211802079
ATF1	KIAA1147	0.8610842211802083
ATF1	EME2	0.9219736122091535
ATF1	LCMT2	0.9219736122091531
ATF1	ADAMTS9	0.8734641445321509
ATF1	UBE2MP1	0.90915661475259
ATF1	CELA2A	0.9219736122091535
ATF1	FBXW5	0.8734641445321509
ATF1	QPCTL	0.9091566147525905
ATF1	LARP7	0.90915661475259
ATF1	RPE65	0.90915661475259
ATF1	SCRT1	0.90915661475259
ATF1	BSCL2	0.8131904766573737
ATF1	CXorf21	0.9091566147525905
ATF1	TRYX3	0.9091566147525905
ATF1	FAM111A	0.9091566147525905
ATF1	RBMXL2	0.90915661475259
ATF1	RPA4	0.8090961616168082
ATF1	CDK2AP1	0.859951360321122
ATF1	RAD1	0.90915661475259
ATF1	CYP2E1	0.9317278849971542
ATF1	LTBR	0.8191566392551524
ATF1	ZNF510	0.8131904766573737
FOXA1	ZBTB47	0.7988320775478375
FOXA1	SDHAF1	0.8219450477663686
FOXA1	NAA25	0.7988320775478375
FOXA1	PHIP	1.1570490255307035
FOXA1	OPRM1	0.8872536528759039
FOXA1	C15orf44	0.8734641445321514
ATF2	SUV420H2	1.051275519067704
ATF2	KDM1B	1.0395113188699283
ATF2	LOC100189589	0.9219736122091531
ATF2	TNC	1.0395113188699283
ATF2	AKD1	1.0353133253669036
ATF2	UBP1	1.051275519067704
ATF2	CBLB	0.9091566147525905
ATF2	IPO7	1.1570490255307035
ATF2	DAOA	0.9910018511929262
ATF2	AADACL3	0.9307281833181484
ATF2	LACTB	0.9219736122091531
ATF2	SYDE1	1.0353133253669036
ATF2	ALKBH4	1.1125488886214874
ATF2	GOLGA5	1.051275519067704
ATF2	RRN3P1	0.8090961616168082
ATF2	ZNF81	1.0217278604945919
ATF2	C22orf31	0.8253132609580933
ATF2	ZNF607	0.8367657094413086
ATF2	RNF216L	1.030756747760933
ATF2	C18orf20	1.1125488886214874
ATF2	PAPOLG	1.051275519067704
ATF2	GPBP1	0.9219736122091531
ATF2	TTTY17B	0.8253132609580933
ATF2	ZNF566	0.9205059247947163
ATF2	ZNF169	0.9091566147525905
ATF2	ZNF323	0.8253132609580933
ATF2	MED1	1.202548864118925
ATF2	CCDC154	0.9219736122091531
ATF2	DYRK1A	0.9205059247947163
ATF2	CLDN4	0.9910018511929262
ATF2	C2orf57	1.0217278604945919
ATF2	CLDN3	0.9555089576224525
ATF2	HGC6.3	1.0395113188699283
ATF2	LOC653566	0.9219736122091535
ATF2	SCNN1A	1.0395113188699283
ATF2	TYRO3	0.9219736122091531
ATF2	CN5H6.4	0.9307281833181484
ATF2	ZNF677	0.8253132609580933
ATF2	TLN1	1.0217278604945919
ATF2	ZNF431	1.0217278604945919
ATF2	SLC22A1	0.9555089576224525
ATF2	PDS5B	1.0217278604945919
ATF2	HIF1A	0.8253132609580933
ATF2	GIGYF2	1.0217278604945919
ATF2	PHF21A	1.051275519067704
ATF2	WBSCR28	1.0395113188699283
ATF2	SLC15A3	1.1482944544217084
ATF2	ATP6V1C1	1.0307567477609334
ATF2	CPA5	0.9307281833181484
ATF2	ZC3H15	1.0353133253669036
ATF2	BPTF	0.8253132609580933
ATF2	MAP2K6	1.0217278604945919
ATF2	ARHGEF33	1.0395113188699283
ATF2	B3GALNT2	0.9219736122091535
ATF2	MGEA5	1.089977618376924
ATF2	TMEM132C	1.0353133253669036
ATF2	HLA-DRB5	0.8090961616168082
