Regulator	Target	MI
ATF1	TDRKH	0.8007046414322327
ATF1	FZD4	0.8131904766573732
ATF1	XIRP2	0.9198896616191785
ATF1	TXNDC2	0.8131904766573732
FOXA1	TRAPPC2	1.0395113188699283
FOXA1	ZNF331	0.8734641445321514
FOXA1	HNRNPUL1	0.8734641445321514
FOXA1	TMEM22	0.7984690266234171
FOXA1	NMI	0.8734641445321514
ATF2	EIF4A2	0.9219736122091531
ATF2	PANK4	0.8131904766573732
ATF2	C1orf177	0.9219736122091535
ATF2	CCNT2	0.8253132609580933
ATF2	CCNT1	0.8253132609580933
ATF2	WDR86	0.8599513603211224
ATF2	ALKBH7	1.0395113188699283
ATF2	EDC3	0.9219736122091531
ATF2	ERO1L	1.0353133253669036
ATF2	RNF126P1	1.030756747760933
ATF2	LIPE	0.8131904766573732
ATF2	EFEMP2	0.9219736122091535
ATF2	ZNF607	1.0217278604945919
ATF2	DIMT1L	1.0353133253669036
ATF2	FAM122C	0.8191566392551524
ATF2	POGZ	1.2933698922458212
ATF2	SNORD12	1.030756747760933
ATF2	ZNF566	1.202548864118925
ATF2	SLC39A1	1.0307567477609334
ATF2	VPS36	0.9219736122091531
ATF2	TNS1	1.1482944544217082
ATF2	ABT1	0.8734641445321509
ATF2	HEMK1	1.0395113188699283
ATF2	KIAA0090	0.8734641445321514
ATF2	SEPX1	0.9417139024144832
ATF2	ZBTB38	1.1482944544217082
ATF2	ENTPD6	0.8734641445321509
ATF2	ALG14	0.9317278849971542
ATF2	DYRK1A	0.8438651867491789
ATF2	MED8	0.9910018511929262
ATF2	GPR75	1.053843710210944
ATF2	HMHA1	0.9337378124069291
ATF2	NOSIP	1.1225349060388168
ATF2	FRS2	0.94307719503928
ATF2	TBR1	1.0217278604945919
ATF2	PDZK1	0.9205059247947163
ATF2	TRNT1	0.8131904766573732
ATF2	TICAM1	1.0217278604945919
ATF2	ALMS1P	0.8703171519179906
ATF2	JMJD5	0.8131904766573732
ATF2	LRRC37B	0.8253132609580933
ATF2	PIAS1	0.8734641445321514
ATF2	TRAIP	0.9219736122091531
ATF2	ATXN2L	1.0217278604945919
ATF2	OXA1L	0.8131904766573737
ATF2	FAM173B	0.8610842211802079
ATF2	NCL	0.9219736122091535
ATF2	NCRNA00201	0.9219736122091531
ATF2	ADPRH	0.8734641445321509
ATF2	ANAPC4	1.1570490255307035
ATF2	YME1L1	0.9219736122091531
ATF2	CYP2E1	0.8131904766573732
ATF2	KCTD12	0.8734641445321514
ATF2	TP53	0.9337378124069291
ATF2	DDX5	1.0353133253669036
ATF2	LRRC57	0.9219736122091531
ATF2	ZNF273	1.051275519067704
ATF2	FICD	0.8599513603211224
ATF2	BRI3	0.9219736122091535
ATF2	SLC35D2	1.053843710210944
ATF2	RNF219	0.9337378124069291
ATF2	OMA1	1.1482944544217084
ATF2	HIF1A	1.2707986220012577
ATF2	ANKRD19	0.8438651867491789
ATF2	OAZ2	0.9219736122091535
ATF2	C11orf30	0.9219736122091531
ATF2	SNORD111	0.9219736122091535
ATF2	SLAMF6	0.8734641445321514
ATF2	TBC1D15	0.9337378124069291
ATF2	SNORD9	1.1482944544217082
ATF2	TRAPPC3	1.051275519067704
ATF2	HELQ	1.1482944544217082
ATF2	SIGLEC11	1.0307567477609334
ATF2	HELZ	1.051275519067704
ATF2	CGN	0.9307281833181484
ATF2	ZFHX4	1.089977618376924
ATF2	FLI1	1.0217278604945919
ATF2	GGN	0.9205059247947163
ATF2	LOC728024	0.8191566392551524
ATF2	TBCK	0.9417139024144832
ATF2	DLG1	1.051275519067704
ATF2	NDUFAF4	0.8610842211802079
ATF2	SCARNA6	0.8734641445321509
ATF2	CNOT3	1.0217278604945919
ATF2	ZNF702P	0.9910018511929262
ATF2	ZNF415	1.1482944544217082
ATF2	TUBGCP3	0.9219736122091531
ATF2	INTS6	1.0217278604945919
ATF2	ZNF259	1.0353133253669036
ATF2	AVL9	0.9219736122091531
ATF2	COPS8	0.8734641445321509
ATF2	MON1A	1.0395113188699283
ATF2	SNORD2	0.8090961616168082
ATF2	ZSCAN2	0.9219736122091531
ATF2	PPP1R10	0.9205059247947163
ATF2	TSEN15	0.9205059247947163
ATF2	MED18	1.0353133253669036
ATF2	SNORD49A	1.030756747760933
ATF2	DUSP12	0.9219736122091531
ATF2	LMBR1	0.8131904766573732
ATF2	METTL14	0.8734641445321514
ATF2	MED10	1.0353133253669036
ATF2	NKIRAS2	0.8131904766573732
ATF2	CNGA1	1.0395113188699283
ATF2	TMEM109	0.8734641445321509
ATF2	AP3S1	0.8438651867491789
ATF2	ZNF763	1.051275519067704
ATF2	CCDC38	0.8131904766573732
ATF2	C3orf38	1.3833698677432584
ATF2	MYST2	0.94307719503928
ATF2	DST	1.030756747760933
ATF2	TTC33	0.8734641445321514
ATF2	MSL2	1.053843710210944
ATF2	C8orf56	0.8734641445321514
ATF2	SNORD38A	0.9219736122091531
ATF2	MED23	0.8015321883327955
ATF2	PIGC	0.8734641445321509
ATF2	LATS2	1.0353133253669036
ATF2	NCOR1	1.0217278604945919
ATF2	PAPD7	1.3833698677432589
ATF2	POC5	0.8191566392551524
ATF2	TST	0.9219736122091535
ATF2	FAM18B2	0.9219736122091535
ATF2	EXOC2	0.9219736122091535
ATF2	CAPS2	0.8131904766573732
ATF2	LRRC14	1.0307567477609334
ATF2	ZNF593	1.030756747760933
ATF2	KDM3B	1.0217278604945919
ATF2	CCDC67	1.1570490255307035
ATF2	TRIM16L	0.9910018511929262
ATF2	GOSR2	0.8219450477663686
ATF2	TMPRSS3	0.9337378124069291
ATF2	AMAC1L3	0.8131904766573732
ATF2	PARN	0.9091566147525905
ATF2	PRKX	0.8734641445321514
ATF2	ASAP2	0.816814572551769
ATF2	ASB17	0.9219736122091531
ATF2	NR2C1	1.0353133253669036
ATF2	C9orf163	0.8131904766573732
ATF2	PURB	1.0353133253669036
ATF2	TFPT	0.9091566147525905
ATF2	KIAA1328	0.8253132609580933
ATF2	HAUS7	0.9219736122091535
ATF2	POLR2C	0.9417139024144832
ATF2	RPRML	1.051275519067704
ATF2	LRIG2	0.9317278849971542
ATF2	ZNF587	0.9317278849971538
ATF2	SLC25A24	1.0307567477609334
ATF2	CDK11A	0.9337378124069291
ATF2	MBD6	0.9205059247947163
ATF2	ANGPT1	1.1125488886214874
ATF2	FOXJ3	0.9091566147525905
ATF2	ARID3A	1.0353133253669036
ATF2	KLHL3	0.9337378124069291
ATF2	PTPN11	0.9219736122091531
ATF2	FBXL14	1.0307567477609334
ATF2	WARS2	0.8165586898490984
ATF2	SKI	0.8131904766573732
ATF2	NECAP2	0.8734641445321514
ATF2	POLR3A	0.9910018511929262
ATF2	GNPDA2	1.030756747760933
ATF2	RAB15	0.9091566147525905
ATF2	C4orf29	0.9091566147525905
ATF2	ETNK1	1.2658321610824834
ATF2	RPA3	0.8599513603211224
ATF2	ABI1	1.089977618376924
ATF2	CCM2	0.8131904766573732
ATF2	CMTM1	0.9091566147525905
ATF2	FAM86A	1.0307567477609334
ATF2	C17orf63	0.8191566392551524
ATF2	ESYT1	0.8734641445321509
ATF2	SSBP1	0.8734641445321509
ATF2	ASB3	1.1125488886214874
ATF2	SEC24C	1.1482944544217082
ATF2	TRMT61B	0.8131904766573732
ATF2	CBLN1	1.1482944544217084
CCNT2	ATF2	0.8253132609580933
CCNT2	USP37	0.9317278849971538
CCNT2	KIR3DS1	0.9219736122091535
CCNT2	CCNT1	0.8253132609580933
CCNT2	MED18	1.0353133253669036
CCNT2	ERO1L	1.0217278604945919
CCNT2	RNF126P1	0.8734641445321514
CCNT2	DIMT1L	1.0353133253669036
CCNT2	MED10	0.8253132609580933
CCNT2	REV3L	1.0395113188699283
CCNT2	CCDC53	0.9091566147525905
CCNT2	ZNF645	0.8703171519179906
CCNT2	ZNF566	1.051275519067704
CCNT2	ZNF763	1.0217278604945919
CCNT2	RMRP	0.8734641445321509
CCNT2	TNS1	1.051275519067704
CCNT2	C3orf38	0.8253132609580933
CCNT2	ZBTB38	1.0217278604945919
CCNT2	TNNC2	0.8131904766573732
CCNT2	TBR1	1.051275519067704
CCNT2	TICAM1	1.0217278604945919
CCNT2	LRRC37B	0.8253132609580933
CCNT2	MED23	0.8015321883327955
CCNT2	LATS2	0.8253132609580933
CCNT2	NME6	0.8734641445321514
CCNT2	PAPD7	0.8253132609580933
CCNT2	FAM18B2	0.9219736122091535
CCNT2	ZNF433	1.0353133253669036
CCNT2	DDX5	1.0353133253669036
CCNT2	ZNF273	1.0217278604945919
CCNT2	USP11	1.0217278604945919
CCNT2	PARN	0.9205059247947163
CCNT2	NR2C1	0.8253132609580933
CCNT2	OAZ2	0.9219736122091535
CCNT2	SCARNA15	0.8734641445321509
CCNT2	SNORD59A	0.8703171519179906
CCNT2	C9orf163	0.8131904766573732
CCNT2	PURB	0.8253132609580933
CCNT2	C5orf23	0.9219736122091531
CCNT2	KIAA1328	0.8253132609580933
CCNT2	RPRML	1.0217278604945919
CCNT2	SLAMF6	0.9219736122091531
CCNT2	LRIG2	0.8703171519179906
CCNT2	RBM12	0.8253132609580933
CCNT2	ZNF587	0.9910018511929262
CCNT2	GTF2A1L	0.9091566147525905
CCNT2	SNORD9	1.051275519067704
CCNT2	TRAPPC3	1.1482944544217082
CCNT2	ARID3A	0.8253132609580933
CCNT2	HELZ	1.202548864118925
CCNT2	SCARNA8	0.9219736122091531
CCNT2	DLG1	1.0217278604945919
