Regulator	Target	MI
ATF1	UNC13C	0.9307281833181484
ATF1	FIGNL1	1.0395113188699283
FOXA1	FHL2	0.8131904766573737
FOXA1	HIST1H1C	0.90915661475259
ATF2	TTC12	0.9317278849971538
ATF2	CKM	1.0217278604945919
ATF2	SLC35D2	0.9317278849971542
ATF2	TRANK1	0.7984690266234171
ATF2	C3orf77	0.8094592125412281
ATF2	ESYT3	0.9317278849971538
ATF2	ITGB1BP2	0.9307281833181484
ATF2	ECT2	0.8253132609580933
CCNT2	SF4	0.8131904766573732
CCNT2	YAP1	0.8131904766573732
CCNT2	RBM26	0.8086316656406654
CCNT2	TMPRSS5	0.8090961616168082
CCNT2	TBC1D3B	0.8090961616168082
CCNT2	DDX23	0.8131904766573737
CCNT2	MRPS34	0.8131904766573737
CCNT2	THY1	0.9219736122091535
CCNT2	ASCL1	0.8090961616168082
CCNT2	MED18	1.053843710210944
CCNT2	SLC6A4	1.0395113188699283
CCNT2	EPB41L5	0.9219736122091531
CCNT2	FAM178A	0.9317278849971538
CCNT2	FAM48B2	0.8090961616168082
CCNT2	RPS16	0.8094592125412281
CCNT2	ZNF628	0.9317278849971542
CCNT2	ANKAR	0.8094592125412281
CCNT2	HS1BP3	1.030756747760933
CCNT2	RGS22	1.1570490255307035
CCNT2	RBM12	0.8007046414322327
CCNT2	UBQLN2	1.0395113188699283
CCNT2	CDKL4	0.8253132609580933
CCNT2	SLC35A4	1.053843710210944
CCNT2	SLC35A3	0.8131904766573732
CCNT2	KIR3DP1	1.0395113188699283
CCNT2	LOC653113	0.7984690266234171
CCNT2	C3orf31	0.9219736122091531
CCNT2	CBFA2T2	0.94307719503928
CCNT2	SENP2	1.051275519067704
CCNT2	RUFY1	0.8703171519179906
CCNT2	GPR180	0.9219736122091531
CCNT2	SP4	0.94307719503928
CCNT2	SARM1	0.9219736122091535
CCNT2	NUP35	0.8318973801207781
CCNT2	SNORA23	1.0217278604945919
CCNT2	KDELR3	1.0395113188699283
CCNT2	TRIML1	0.8703171519179906
CCNT2	CDK13	1.0282138480590324
CCNT2	SNORD2	0.8173862367496607
CCNT2	EMID2	0.8131904766573737
CCNT2	RNF165	0.8253132609580933
CCNT2	TJP2	0.9219736122091535
SMARCB1	GRLF1	0.8173862367496607
SMARCB1	WDR93	0.8438651867491789
SMARCB1	ZBTB20	0.9317278849971538
SMARCB1	MTIF2	0.8094592125412281
SMARCB1	JPH1	0.8131904766573737
SMARCB1	LOC100128191	0.8734641445321514
SMARCB1	DFNA5	0.8467979627105846
SMARCB1	EDC3	0.8191566392551524
SPI1	LRRC14B	1.3833698677432584
SPI1	PWWP2B	1.3833698677432584
SPI1	GAGE8	1.3833698677432584
