Regulator	Target	MI
FOXA1	TP53I13	1.0217278604945919
ATF2	ERCC6L	0.8007046414322327
ATF2	TAS2R40	0.8094592125412281
ATF2	TAS2R41	1.053843710210944
ATF2	TSEN15	0.8734641445321514
ATF2	UXS1	0.8253132609580933
ATF2	OR1G1	1.053843710210944
ATF2	SLC35D2	1.053843710210944
ATF2	C6orf25	1.053843710210944
ATF2	ERO1L	1.051275519067704
ATF2	PURA	1.053843710210944
ATF2	EMG1	0.8734641445321514
ATF2	RASSF5	0.8131904766573732
ATF2	POGZ	0.8253132609580933
ATF2	C9orf64	1.0353133253669036
ATF2	ZNF566	1.0353133253669036
ATF2	CACNG3	1.053843710210944
ATF2	PCDHA8	0.9219736122091535
ATF2	ATP6V1C1	0.8734641445321514
ATF2	CEP68	0.8007046414322327
ATF2	MYOG	1.053843710210944
ATF2	RAB2A	1.0217278604945919
ATF2	ZBTB17	1.0353133253669036
ATF2	CDKL4	0.9555089576224525
ATF2	ATAD2	0.8734641445321514
ATF2	GPR75	1.0353133253669036
ATF2	ASH1L	1.0353133253669036
ATF2	RNASE2	1.053843710210944
ATF2	WDR55	0.8007046414322327
ATF2	OR6V1	1.0353133253669036
ATF2	DLG2	0.9219736122091531
ATF2	C4orf29	0.8253132609580933
ATF2	KLHL7	0.8007046414322327
ATF2	GPR107	0.8007046414322327
ATF2	TRIML1	1.0217278604945919
ATF2	CDK13	1.0353133253669036
CCNT2	RTP4	0.816843194256776
CCNT2	KIAA1012	0.8253132609580933
SMARCB1	RCL1	0.9430771950392796
SMARCB1	OPN3	0.8213409548541089
SMARCB1	DDX55	0.8131904766573737
SMARCB1	ERI3	0.9219736122091535
SMARCB1	SPRY4	0.8101786141578553
SMARCB1	PHB	1.0395113188699283
SMARCB1	ZFPM2	0.8094592125412281
SMARCB1	NAT14	0.8131904766573737
SMARCB1	RPL3L	0.8131904766573737
SMARCB1	TMEM187	0.9317278849971542
SPI1	LRRC14B	1.3833698677432584
SPI1	PWWP2B	1.3833698677432584
SPI1	GAGE8	1.3833698677432584
SPI1	LOC284578	1.3833698677432584
SPI1	SPINT4	1.3833698677432584
