Regulator	Target	MI
ATF1	VKORC1L1	0.8131904766573732
ATF1	DGKE	1.0217278604945919
ATF1	SLC25A2	0.9219736122091535
ATF1	LOC283663	0.8131904766573732
ATF1	ASB15	0.8131904766573737
ATF1	C22orf26	1.0307567477609334
ATF1	RBM3	1.0307567477609334
ATF1	BCLAF1	0.9219736122091535
ATF1	PCSK1N	0.955508957622452
ATF1	PDLIM3	0.955508957622452
ATF1	ZNF628	0.9317278849971542
ATF1	VPS8	1.0395113188699283
ATF1	C6orf227	0.9219736122091535
ATF1	NRTN	0.8364021184955179
ATF1	GNAT1	0.9430771950392796
ATF1	DGCR5	0.9910018511929262
ATF1	LMCD1	1.030756747760933
ATF1	SMNDC1	0.8213409548541089
ATF1	SEC31B	0.816843194256776
ATF1	CLVS1	0.8219450477663686
ATF1	MGC2752	0.9219736122091531
ATF1	RNF26	0.9219736122091531
ATF1	METT10D	0.8131904766573732
ATF1	HELZ	1.0395113188699283
ATF1	NUDT16L1	0.7988320775478375
ATF1	TUBG1	0.9910018511929262
ATF1	FLJ40852	0.859951360321122
ATF1	P2RX4	1.1482944544217084
ATF1	LOC286367	0.9219736122091535
ATF1	C9orf114	1.1482944544217084
ATF1	SNORD69	0.9317278849971542
ATF1	LOC100128292	1.0395113188699283
ATF1	PLXNB2	0.8734641445321514
ATF1	SPATS2L	1.0395113188699283
ATF1	FAM86A	0.9910018511929262
ATF1	CRYAA	1.0395113188699283
ATF1	UBE2K	0.9219736122091535
ATF1	SPINK14	0.9219736122091531
ATF1	GRID2IP	0.9430771950392796
FOXA1	RFTN2	1.0307567477609334
FOXA1	INADL	1.0395113188699283
ATF2	SERF1A	0.8131904766573737
ATF2	PDCD6IP	0.8131904766573737
ATF2	MRPS34	0.9219736122091535
ATF2	IMMT	0.8131904766573732
ATF2	SIPA1L2	0.8131904766573737
ATF2	SUPT3H	0.8131904766573737
ATF2	HAUS1	0.8131904766573737
ATF2	FBXO40	1.0395113188699283
ATF2	IL3	0.8131904766573732
ATF2	ODF2L	0.9219736122091535
ATF2	PCDHA1	0.8131904766573732
ATF2	DPPA2	0.8131904766573732
ATF2	SAFB2	0.8131904766573737
ATF2	PGAM5	0.8131904766573732
ATF2	ZNF667	0.8131904766573737
ATF2	C14orf128	0.8131904766573737
ATF2	CNTNAP4	0.8131904766573732
ATF2	ZNF222	0.9219736122091535
CCNT2	RBM27	0.9219736122091531
CCNT2	ORC3L	0.9091566147525905
CCNT2	NOLC1	0.9219736122091535
CCNT2	GPR89B	1.202548864118925
CCNT2	SNORA5A	0.816843194256776
CCNT2	TCTEX1D1	0.9219736122091531
