Regulator	Target	MI
ATF1	ACER1	0.9219736122091535
ATF1	C4orf19	0.816814572551769
ATF1	TAF4B	0.9430771950392796
ATF1	HBP1	0.9430771950392796
ATF1	HAPLN3	0.9430771950392796
ATF1	IFIT1	0.816814572551769
ATF1	SEC24D	1.053843710210944
ATF1	BACH2	0.8191566392551524
ATF1	PFN2	0.9430771950392796
FOXA1	BCL2L12	0.9307281833181484
FOXA1	FAM129A	0.8734641445321514
FOXA1	SNX24	0.8734641445321514
FOXA1	SBSN	0.8165586898490984
FOXA1	KANK3	0.8734641445321514
ATF2	C1QB	1.0217278604945919
ATF2	SLC35F2	0.8219450477663686
ATF2	PARS2	0.9555089576224525
ATF2	UXS1	0.8191566392551524
ATF2	SNORD115-33	0.9205059247947163
ATF2	FUT2	0.8191566392551524
ATF2	FAM105B	0.8191566392551524
ATF2	TOR1AIP1	0.8253132609580933
ATF2	PURB	1.0217278604945919
ATF2	THTPA	0.8191566392551524
ATF2	CYP2B6	0.9205059247947163
ATF2	MED13	1.0217278604945919
ATF2	ZNF828	0.8191566392551524
ATF2	KIAA0114	0.90915661475259
ATF2	DBT	1.053843710210944
ATF2	ZNF846	0.9205059247947163
ATF2	C20orf107	1.0217278604945919
ATF2	ICOS	0.8131904766573732
ATF2	RHBDL3	0.8191566392551524
ATF2	P4HTM	0.8808708037525519
ATF2	SNORD92	0.8191566392551524
ATF2	ZNF781	1.053843710210944
ATF2	MGAM	0.8191566392551524
ATF2	PABPC4	0.8219450477663686
ATF2	ECD	0.90915661475259
ATF2	ASH1L	1.0217278604945919
ATF2	C1QL4	0.9205059247947163
ATF2	LATS2	1.0217278604945919
ATF2	NCOR1	1.0217278604945919
ATF2	FSCN2	1.089977618376924
ATF2	DEPDC5	0.8191566392551524
ATF2	LOC440354	0.8191566392551524
ATF2	PLCD4	1.0217278604945919
ATF2	ZNF433	1.0217278604945919
ATF2	ZNF510	0.9205059247947163
CCNT2	IGSF8	0.8364021184955179
CCNT2	SCARB1	0.816814572551769
CCNT2	STX17	0.8086316656406654
CCNT2	WIPF2	0.8740533198964271
CCNT2	PRUNE	0.9317278849971542
CCNT2	SNORD115-33	0.8253132609580933
CCNT2	GPATCH8	1.053843710210944
CCNT2	METT5D1	1.053843710210944
CCNT2	PSORS1C2	0.8173862367496607
CCNT2	SNORD116-4	0.8094592125412281
CCNT2	ZNF7	1.0353133253669036
CCNT2	IKBKB	0.8173862367496607
CCNT2	DUSP12	1.053843710210944
CCNT2	INE1	0.8094592125412281
CCNT2	MED13	1.0353133253669036
CCNT2	ICOS	0.8219450477663686
CCNT2	CTHRC1	0.8131904766573737
CCNT2	SNORD56B	1.053843710210944
CCNT2	PRMT2	0.7984690266234171
CCNT2	C10orf75	1.0217278604945919
CCNT2	PA2G4	0.9219736122091535
CCNT2	DEF6	0.8364021184955179
CCNT2	FLI1	1.0353133253669036
CCNT2	GJD4	0.9910018511929262
CCNT2	C9orf11	0.8364021184955179
CCNT2	ZMYND10	0.8165586898490984
CCNT2	DGKI	0.9177756187061279
SMARCB1	SLC30A7	1.0353133253669036
SMARCB1	NDFIP1	0.8734641445321509
SMARCB1	SNORD11B	0.8872536528759039
SMARCB1	FBXO38	0.9219736122091531
SMARCB1	PCDH20	0.8131904766573737
SMARCB1	PAQR3	0.9219736122091535
SMARCB1	C15orf2	0.8007046414322327
SMARCB1	RNF208	1.0217278604945919
SMARCB1	FOXL1	1.1482944544217084
SMARCB1	CISD3	0.9317278849971542
SMARCB1	IL4I1	0.9219736122091531
SMARCB1	DDX19B	0.8007046414322327
SMARCB1	C4orf29	0.8007046414322327
