Regulator	Target	MI
ATF1	ACSS3	0.9910018511929262
ATF1	CHIA	0.9219736122091535
ATF1	SFT2D3	0.816843194256776
ATF1	RNF14	0.9219736122091535
ATF1	KRT78	0.8219450477663686
ATF1	KLC1	0.955508957622452
ATF1	WFDC2	0.9219736122091535
ATF1	TAF1D	1.053843710210944
ATF1	NR4A3	0.9219736122091535
ATF1	ZNF219	0.9219736122091535
ATF1	OR5AN1	0.9219736122091535
ATF1	RBBP6	1.053843710210944
ATF1	UBXN6	0.9792900302477507
ATF1	SEC22C	1.053843710210944
FOXA1	DGKH	0.8740533198964271
ATF2	TOP2B	1.0217278604945919
ATF2	SLC25A32	0.8094592125412281
CCNT2	CLYBL	0.955508957622452
CCNT2	C5orf46	1.053843710210944
CCNT2	MUDENG	0.9430771950392796
CCNT2	DUSP12	1.053843710210944
CCNT2	THBD	1.053843710210944
CCNT2	MED10	1.053843710210944
CCNT2	ZNF569	1.053843710210944
CCNT2	KPNA5	1.053843710210944
CCNT2	NUDT16	1.0395113188699283
CCNT2	IFT57	0.9430771950392796
CCNT2	CDKAL1	1.053843710210944
CCNT2	NSUN6	0.8253132609580933
CCNT2	TICAM1	1.053843710210944
CCNT2	PPM1B	0.9091566147525905
CCNT2	AEBP2	1.053843710210944
CCNT2	TMEM139	1.0217278604945919
CCNT2	PPIG	1.053843710210944
CCNT2	LOC442454	1.0217278604945919
CCNT2	SLC27A5	1.2658321610824834
CCNT2	ZNF155	1.053843710210944
CCNT2	SMARCD2	1.053843710210944
CCNT2	BAT2	1.053843710210944
CCNT2	HKR1	1.053843710210944
CCNT2	CWF19L2	1.053843710210944
CCNT2	XIAP	0.8740533198964271
CCNT2	ZNF8	1.053843710210944
CCNT2	PRR5-ARHGAP8	0.9910018511929262
CCNT2	RPS6KC1	1.053843710210944
CCNT2	NSD1	1.053843710210944
CCNT2	DNAJC25-GNG10	1.053843710210944
CCNT2	RPRML	1.053843710210944
CCNT2	N4BP2	0.9430771950392796
CCNT2	ZNF587	1.053843710210944
CCNT2	EIF2B5	1.053843710210944
CCNT2	ASNS	1.053843710210944
CCNT2	CDC7	1.0217278604945919
CCNT2	FTSJD2	1.053843710210944
CCNT2	ZNF35	1.053843710210944
CCNT2	RSL1D1	1.053843710210944
CCNT2	STAG2	1.053843710210944
CCNT2	SDC1	1.053843710210944
CCNT2	CEBPZ	1.053843710210944
CCNT2	ERCC5	1.053843710210944
CCNT2	TRIM37	0.8253132609580933
CCNT2	BRWD1	1.3833698677432584
CCNT2	KIAA0947	1.053843710210944
CCNT2	ATR	1.0353133253669036
SMARCB1	OR51B2	0.9219736122091535
SPI1	SNORD115-6	1.3833698677432584
SPI1	LRRC14B	1.3833698677432584
SPI1	SNORD115-8	1.053843710210944
SPI1	SNORD115-9	1.3833698677432584
SPI1	PWWP2B	1.053843710210944
SPI1	GAGE8	1.3833698677432584
SPI1	LOC284578	1.0353133253669036
SPI1	SPINT4	1.0353133253669036
SPI1	FLJ12825	1.3833698677432584
SPI1	SNORD115-1	1.3833698677432584
SPI1	OR4Q3	1.3833698677432584
SPI1	NBLA00301	1.0353133253669036
SPI1	SNORD115-3	1.053843710210944
SPI1	CRHBP	1.3833698677432584
SPI1	MIMT1	1.3833698677432584
SPI1	DKFZP686I15217	1.053843710210944
SPI1	ISLR	1.0353133253669036
SPI1	NKX1-2	1.0353133253669036
SPI1	PWWP2A	1.3833698677432584
SPI1	C14orf70	1.0353133253669036
SPI1	SNORA35	1.053843710210944
SPI1	SNORA1	1.3833698677432584
SPI1	FAM19A5	1.053843710210944
SPI1	TMEM8B	1.053843710210944
SPI1	CXADR	1.0353133253669036
SPI1	FLJ45983	1.0353133253669036
SPI1	HDGFRP2	1.053843710210944
SPI1	OR4P4	1.053843710210944
SPI1	C22orf34	1.3833698677432584
SPI1	LOC643923	1.053843710210944
SPI1	ISL1	1.3833698677432584
SPI1	RNASE1	1.053843710210944
SPI1	AAA1	1.0353133253669036
SPI1	SLC5A8	1.3833698677432584
SPI1	NGFRAP1	1.0353133253669036
SPI1	SLC5A9	1.0353133253669036
SPI1	OPTC	1.053843710210944
SPI1	OR4K15	1.3833698677432584
SPI1	RFX7	1.3833698677432584
SPI1	C14orf86	1.3833698677432584
SPI1	CLDN8	1.3833698677432584
SPI1	OR4K14	1.053843710210944
SPI1	OR4K13	1.0353133253669036
SPI1	SPARCL1	1.053843710210944
SPI1	PADI1	1.3833698677432584
SPI1	CELA3B	1.3833698677432584
SPI1	LOC643719	1.3833698677432584
SPI1	TTYH3	1.053843710210944
SPI1	TTYH2	1.053843710210944
SPI1	TTYH1	1.053843710210944
SPI1	KRTAP27-1	1.0353133253669036
SPI1	TPRG1L	1.053843710210944
SPI1	DAZ2	1.053843710210944
SPI1	EDDM3A	1.3833698677432584
SPI1	DAZ1	1.0353133253669036
SPI1	LOC731779	1.0353133253669036
SPI1	SLC5A2	1.0353133253669036
SPI1	ADAM5P	1.3833698677432584
SPI1	OR6S1	1.3833698677432584
SPI1	SNORD115-30	1.0353133253669036
SPI1	SNORA5C	1.0353133253669036
SPI1	C3	1.0353133253669036
SPI1	HPX	1.3833698677432584
SPI1	LOC729467	1.3833698677432584
SPI1	GRPEL1	1.3833698677432584
SPI1	NCRNA00111	1.0353133253669036
SPI1	NCRNA00110	1.053843710210944
SPI1	SCGB1D2	1.053843710210944
SPI1	KCNQ1OT1	1.053843710210944
SPI1	NCRNA00113	1.053843710210944
SPI1	AFMID	1.053843710210944
SPI1	KRTAP5-11	0.94307719503928
SPI1	NCRNA00112	1.0353133253669036
SPI1	SCGB1D4	1.053843710210944
SPI1	LOC146481	1.0353133253669036
SPI1	A2BP1	1.3833698677432584
SPI1	HAO1	1.3833698677432584
SPI1	LOC100132354	1.053843710210944
SPI1	NCRNA00119	1.053843710210944
SPI1	GLYATL1	1.053843710210944
SPI1	BTBD17	1.053843710210944
SPI1	TIPARP	1.3833698677432584
SPI1	IL31RA	1.053843710210944
SPI1	OR2J2	1.053843710210944
SPI1	LOC285696	1.3833698677432584
SPI1	SNORD115-41	1.053843710210944
SPI1	LOC285692	1.053843710210944
SPI1	CS	1.3833698677432584
SPI1	FERMT1	1.053843710210944
SPI1	FAM135B	1.053843710210944
SPI1	SNORD115-35	1.053843710210944
SPI1	TDP2	1.0353133253669036
SPI1	TMEM99	1.053843710210944
SPI1	TDP1	1.0353133253669036
SPI1	OR10C1	1.0353133253669036
SPI1	SNORA46	1.3833698677432584
SPI1	LACRT	1.0353133253669036
SPI1	SNORA41	1.0353133253669036
SPI1	SNORA42	1.3833698677432584
SPI1	OR10J1	1.3833698677432584
SPI1	SFTA2	1.053843710210944
SPI1	LOC285629	1.0353133253669036
SPI1	SFTA3	1.053843710210944
SPI1	LOC440173	1.053843710210944
SPI1	SNAR-I	1.3833698677432584
SPI1	WFIKKN2	1.0353133253669036
SPI1	CSDAP1	1.3833698677432584
SPI1	LRRC4	1.053843710210944
SPI1	LOC92973	1.053843710210944
SPI1	SNAR-F	1.053843710210944
SPI1	FRG2B	1.3833698677432584
SPI1	HOXC13	1.3833698677432584
SPI1	SNAR-H	1.3833698677432584
SPI1	HOXC12	1.053843710210944
SPI1	SNAR-D	1.3833698677432584
SPI1	GPRC6A	1.053843710210944
SPI1	OR6Y1	1.053843710210944
SPI1	TSPO	1.053843710210944
SPI1	POM121L1P	1.3833698677432584
SPI1	DIO3OS	1.053843710210944
SPI1	C7orf41	1.3833698677432584
SPI1	CHST9	1.053843710210944
SPI1	LOC339568	1.0353133253669036
SPI1	RBMY1F	1.3833698677432584
SPI1	ZNF483	1.0353133253669036
SPI1	C13orf30	1.0353133253669036
SPI1	GPR37	1.053843710210944
SPI1	RBMY1E	1.3833698677432584
SPI1	C20orf194	1.0353133253669036
SPI1	MYOC	1.053843710210944
SPI1	LOC148824	1.3833698677432584
SPI1	LOC284788	1.3833698677432584
SPI1	C20orf191	1.053843710210944
SPI1	TEX15	1.0353133253669036
SPI1	MMP14	1.3833698677432584
SPI1	OR6X1	1.3833698677432584
SPI1	TEDDM1	1.053843710210944
SPI1	SNORA68	1.3833698677432584
SPI1	SNORA66	1.3833698677432584
SPI1	RBMY1B	1.053843710210944
SPI1	SNORA63	1.3833698677432584
SPI1	KRTAP25-1	1.0353133253669036
SPI1	RNASEL	1.0353133253669036
SPI1	SAMD7	1.053843710210944
SPI1	SERPINB13	1.0353133253669036
SPI1	STAU1	1.053843710210944
SPI1	OR10H2	1.0353133253669036
SPI1	OR10H5	1.053843710210944
SPI1	CRCT1	1.053843710210944
SPI1	LOC284798	1.0353133253669036
SPI1	MYADML	1.3833698677432584
SPI1	OR10H4	1.3833698677432584
SPI1	KCNA4	1.0353133253669036
SPI1	LOC285401	1.053843710210944
SPI1	NCRNA00164	1.3833698677432584
SPI1	OVCA2	1.053843710210944
SPI1	LOC650293	1.3833698677432584
SPI1	SLC7A1	1.0353133253669036
SPI1	NCRNA00160	1.053843710210944
SPI1	SLC7A2	1.053843710210944
SPI1	OR4S2	1.0353133253669036
SPI1	NCRNA00159	1.053843710210944
SPI1	NTF4	1.053843710210944
SPI1	OR4S1	1.053843710210944
SPI1	FOXS1	1.053843710210944
SPI1	MYCT1	1.053843710210944
SPI1	LOC643763	1.3833698677432584
SPI1	NCRNA00157	1.3833698677432584
SPI1	PABPC1P2	1.053843710210944
SPI1	NRAP	1.053843710210944
SPI1	NTF3	1.053843710210944
SPI1	UCP2	1.3833698677432584
SPI1	KRTAP2-4	1.3833698677432584
SPI1	PRAME	1.053843710210944
SPI1	KRTAP2-2	1.053843710210944
SPI1	RABAC1	1.053843710210944
SPI1	C7orf34	1.053843710210944
SPI1	KRTAP2-1	1.0353133253669036
SPI1	LOC29034	1.0353133253669036
SPI1	C4orf7	1.0353133253669036
SPI1	LOC339788	1.053843710210944
SPI1	MBD4	1.0353133253669036
SPI1	GSX1	1.3833698677432584
SPI1	OR10G4	1.053843710210944
SPI1	OR10G3	1.053843710210944
SPI1	C22orf13	1.0353133253669036
SPI1	BBOX1	1.053843710210944
SPI1	UNCX	1.053843710210944
SPI1	FAM92A3	1.3833698677432584
SPI1	FOXR2	1.053843710210944
SPI1	LOC100130148	1.3833698677432584
SPI1	LOC653545	1.0353133253669036
