Regulator	Target	MI
ATF1	ZNF606	0.801532188332795
ATF1	GPR137	1.053843710210944
FOXA1	GPR68	0.9910018511929262
FOXA1	PDCD6	1.1482944544217084
FOXA1	SH2D2A	1.0307567477609334
FOXA1	BHLHE41	0.9219736122091535
FOXA1	LSP1	0.8131904766573732
FOXA1	RNF5	0.9219736122091535
FOXA1	SLC4A4	0.9039352481933314
FOXA1	CIAO1	0.8131904766573732
FOXA1	PIK3R5	0.7984690266234171
FOXA1	FGD3	0.9910018511929262
FOXA1	SMPD3	0.9219736122091535
FOXA1	CAMKV	1.030756747760933
FOXA1	RASSF4	0.7984690266234171
FOXA1	TSPAN4	0.9219736122091535
FOXA1	DIP2A	0.9219736122091535
FOXA1	PDZK1P1	0.7984690266234171
FOXA1	CCDC154	1.0395113188699283
FOXA1	COG4	0.9219736122091531
FOXA1	ACSL5	1.1482944544217084
FOXA1	KCNAB2	0.9219736122091531
FOXA1	GRIN2D	1.1482944544217084
FOXA1	DNAJA1	0.8734641445321509
FOXA1	TEF	0.8599513603211224
FOXA1	SYT11	0.9307281833181484
FOXA1	GRB2	0.8703171519179906
FOXA1	OSTN	0.7984690266234171
FOXA1	MYH6	0.7984690266234171
ATF2	C1QB	1.0217278604945919
ATF2	LOC390858	0.9910018511929266
ATF2	DBNL	0.816843194256776
ATF2	SNORA4	0.9219736122091535
ATF2	MRPS14	0.9910018511929262
ATF2	RIOK3	1.053843710210944
ATF2	RNF180	0.9738545035508044
ATF2	GOSR1	1.0282138480590324
ATF2	TMEM200C	0.816843194256776
ATF2	DDX52	0.816843194256776
ATF2	KIAA1012	1.053843710210944
ATF2	TMEM164	0.816843194256776
ATF2	VGF	1.0217278604945919
ATF2	DNER	0.9910018511929266
ATF2	ENPP7	0.8467979627105846
CCNT2	HRK	0.8734641445321514
CCNT2	PCGEM1	1.0353133253669036
CCNT2	RBM27	0.8367657094413086
CCNT2	SUV420H2	1.0217278604945919
CCNT2	ZNF133	1.1125488886214874
CCNT2	SNORA4	0.8599513603211224
CCNT2	CERK	1.0217278604945919
CCNT2	ZC3H4	1.0217278604945919
CCNT2	HJURP	0.8610842211802079
CCNT2	PPWD1	0.8191566392551524
CCNT2	TXNDC11	1.0217278604945919
CCNT2	ZDHHC7	0.816843194256776
CCNT2	C3orf20	0.94307719503928
CCNT2	SLC4A2	1.0217278604945919
CCNT2	C19orf23	0.8740533198964275
CCNT2	MED18	1.0217278604945919
CCNT2	OBFC2A	1.0217278604945919
CCNT2	RAPGEFL1	0.94307719503928
CCNT2	AKAP12	1.2707986220012577
CCNT2	MRPL3	0.8191566392551524
CCNT2	PCMT1	0.9219736122091535
CCNT2	TCL1B	1.0217278604945919
CCNT2	RAB42	0.8191566392551524
CCNT2	RNF216L	1.0217278604945919
CCNT2	PAPOLG	1.0217278604945919
CCNT2	DHX16	1.053843710210944
CCNT2	GNPNAT1	0.8191566392551524
CCNT2	ZNF646	0.8367657094413086
CCNT2	MFSD2B	0.8740533198964275
CCNT2	RBM17	1.2707986220012577
CCNT2	UTS2R	0.8191566392551524
CCNT2	EP400NL	1.0217278604945919
CCNT2	RIPK2	1.0217278604945919
CCNT2	USP45	0.9091566147525905
CCNT2	ALG14	0.8191566392551524
CCNT2	ALG2	0.8191566392551524
CCNT2	PLA2G4A	0.8173862367496607
CCNT2	DDX51	0.8191566392551524
CCNT2	NSUN6	0.8191566392551524
CCNT2	LOC349114	0.9091566147525905
CCNT2	NSA2	0.9091566147525905
CCNT2	NSMCE4A	0.94307719503928
CCNT2	RASA1	0.8191566392551524
CCNT2	ZNF836	1.053843710210944
CCNT2	RASA2	0.8191566392551524
CCNT2	NAA38	0.8191566392551524
CCNT2	FTO	0.8808708037525519
CCNT2	ZNF273	0.94307719503928
CCNT2	NOXO1	0.8219450477663686
CCNT2	RTDR1	1.0217278604945919
CCNT2	HSD17B11	0.816843194256776
CCNT2	SDAD1	0.8191566392551524
CCNT2	ANKRD19	0.9219736122091531
CCNT2	PPP2CA	0.816843194256776
CCNT2	GRK7	0.8219450477663686
CCNT2	FAM177A1	0.8191566392551524
CCNT2	THEM4	0.8734641445321509
CCNT2	ZNF503	0.9205059247947163
CCNT2	GPBP1L1	1.0217278604945919
CCNT2	CD58	0.8734641445321514
CCNT2	C1orf105	1.1125488886214874
CCNT2	OST4	0.8734641445321509
CCNT2	PTPN18	0.8191566392551524
CCNT2	TTC15	1.0217278604945919
CCNT2	ACBD5	1.0217278604945919
CCNT2	MLL4	1.053843710210944
CCNT2	API5	1.0217278604945919
CCNT2	KRTAP12-4	0.9219736122091535
CCNT2	PHF12	1.2707986220012577
CCNT2	TRIP4	1.0217278604945919
CCNT2	TDRD7	0.9091566147525905
CCNT2	LYSMD3	0.8101786141578553
CCNT2	GATAD2B	0.8191566392551524
CCNT2	HIPK3	0.9205059247947163
CCNT2	C2orf34	0.9205059247947163
CCNT2	NUDT9	0.8133454543296925
CCNT2	DLG1	0.8367657094413086
CCNT2	MTL5	0.8734641445321509
CCNT2	SCARNA4	0.9219736122091531
CCNT2	ZNF415	0.8191566392551524
CCNT2	VPS45	0.94307719503928
CCNT2	MPHOSPH8	0.8253132609580933
SMARCB1	SERPINA13	0.8734641445321509
SMARCB1	TRAM1	1.3833698677432589
SMARCB1	SLC44A4	0.816814572551769
SMARCB1	PDCD6	0.8318973801207781
SMARCB1	NGLY1	0.9317278849971542
SMARCB1	LECT1	0.9555089576224525
SMARCB1	GCC2	0.816814572551769
SMARCB1	DTWD2	0.9430771950392796
SMARCB1	ALKBH2	0.9317278849971542
SMARCB1	GRIP1	0.7988320775478375
SMARCB1	KBTBD12	0.816814572551769
SMARCB1	ARV1	0.8131904766573732
SMARCB1	MAP1LC3A	1.0710158092730344
SMARCB1	SPTLC3	1.053843710210944
SMARCB1	FAM3D	0.9219736122091535
SMARCB1	TMED1	0.816814572551769
SMARCB1	SNORD98	0.816814572551769
SMARCB1	C20orf201	0.9430771950392796
SMARCB1	H2AFY	0.816814572551769
SMARCB1	MUM1L1	1.053843710210944
SMARCB1	ANKHD1-EIF4EBP3	0.8740533198964271
SMARCB1	C22orf36	1.0395113188699283
SMARCB1	ATP1B3	1.0172231221198516
SMARCB1	SYP	0.9317278849971542
SMARCB1	GMIP	0.9430771950392796
SMARCB1	PGM2L1	1.0282138480590324
SMARCB1	GOLGA8E	1.1482944544217082
SMARCB1	SIKE1	1.202548864118925
SMARCB1	RAB31	0.816814572551769
SMARCB1	SLC25A17	0.7988320775478375
SMARCB1	LOX	0.816814572551769
SMARCB1	ZNF717	0.8740533198964275
SMARCB1	COL4A4	0.816814572551769
SMARCB1	PPDPF	0.8740533198964271
SMARCB1	CLDN12	1.0307567477609334
SMARCB1	PKP2	0.8740533198964275
SMARCB1	CD226	1.1482944544217084
SMARCB1	ERGIC2	0.8191566392551524
SMARCB1	BLK	1.0710158092730344
SMARCB1	FAM27A	0.816814572551769
SMARCB1	KRT80	1.1570490255307035
SMARCB1	ATP1A3	0.7988320775478375
SMARCB1	HSD17B4	1.053843710210944
SMARCB1	KCNA6	0.816814572551769
SMARCB1	RUNDC2A	0.90915661475259
SMARCB1	GRAMD4	0.801532188332795
SMARCB1	LY9	0.816814572551769
SMARCB1	ZBTB3	1.0710158092730344
SMARCB1	ADAMTS19	0.816814572551769
SMARCB1	UBC	0.9317278849971542
SMARCB1	ZNF703	1.0282138480590324
SMARCB1	BMF	1.0353133253669036
SMARCB1	C14orf119	1.0353133253669036
SMARCB1	NPTX1	0.9555089576224525
SMARCB1	LONRF2	0.8740533198964271
SMARCB1	TP53I11	0.8007046414322327
SMARCB1	JAM2	0.9219736122091535
