Regulator	Target	MI
FOXA1	C1orf146	0.9219736122091531
FOXA1	H2AFY	1.0395113188699283
FOXA1	DDIT3	0.8253132609580933
FOXA1	ESRP1	0.8740533198964275
ATF2	FBN3	0.9430771950392796
ATF2	DDC	0.7984690266234171
ATF2	SNORD114-9	1.053843710210944
ATF2	TMPRSS7	0.9219736122091535
ATF2	CCDC120	1.053843710210944
ATF2	TAS2R41	1.053843710210944
ATF2	SETD7	0.90915661475259
ATF2	SLC35D2	1.053843710210944
ATF2	GUCA1B	0.8007046414322327
ATF2	WDR61	1.053843710210944
ATF2	C6orf25	1.053843710210944
ATF2	LRRC10	0.955508957622452
ATF2	MEOX2	1.053843710210944
ATF2	OR2T12	1.053843710210944
ATF2	ACACB	0.9430771950392796
ATF2	MEOX1	0.7984690266234171
ATF2	SLC7A3	0.9219736122091535
ATF2	TTBK2	0.8364021184955179
ATF2	GGTLC2	1.053843710210944
ATF2	GGTLC1	0.7984690266234171
ATF2	SBNO2	1.053843710210944
ATF2	FAM162B	0.9430771950392796
ATF2	PCDHA1	0.9430771950392796
ATF2	IDH3B	0.7984690266234171
ATF2	OR4A47	0.7984690266234171
ATF2	MAP4K4	0.8253132609580933
ATF2	RBM39	1.053843710210944
ATF2	PRM2	0.7984690266234171
ATF2	KRT4	1.053843710210944
ATF2	HCG26	1.053843710210944
ATF2	KRTAP10-9	1.053843710210944
ATF2	LRRC27	0.9430771950392796
ATF2	GLMN	1.053843710210944
ATF2	FBXO36	0.8734641445321514
ATF2	MEX3C	0.8364021184955179
ATF2	C16orf53	1.053843710210944
ATF2	ISX	1.053843710210944
ATF2	MED7	1.053843710210944
ATF2	SDHAP3	1.053843710210944
ATF2	FAM133A	0.7984690266234171
ATF2	C2orf76	1.053843710210944
ATF2	PFN4	1.053843710210944
ATF2	KIAA0907	1.053843710210944
ATF2	BRWD1	0.8094592125412281
ATF2	DVWA	0.7984690266234171
ATF2	CAPS	0.9430771950392796
ATF2	DBN1	1.202548864118925
ATF2	ST6GALNAC6	0.7984690266234171
CCNT2	KDM5A	1.053843710210944
CCNT2	OR4E2	0.7984690266234171
CCNT2	UBE3C	1.053843710210944
CCNT2	SETD6	1.053843710210944
CCNT2	DDX43	1.053843710210944
CCNT2	AQP4	0.9430771950392796
CCNT2	NOL9	0.9555089576224525
CCNT2	SNORD115-11	1.1363299612467856
CCNT2	SMG5	1.053843710210944
CCNT2	RGS4	1.0172231221198516
CCNT2	HERC4	1.053843710210944
CCNT2	ANKAR	1.053843710210944
CCNT2	ZNF41	1.053843710210944
CCNT2	ZNF229	1.053843710210944
CCNT2	ZNF385B	1.053843710210944
CCNT2	GPR112	0.7984690266234171
CCNT2	MAGEA10	0.9792900302477507
CCNT2	ZNF345	1.053843710210944
CCNT2	ZNF587	1.053843710210944
CCNT2	VPS16	1.053843710210944
CCNT2	SLC30A9	0.7984690266234171
CCNT2	TAF12	0.9430771950392796
CCNT2	SLC33A1	1.0282138480590324
CCNT2	C3orf77	0.7984690266234171
CCNT2	SNORD115-22	0.955508957622452
CCNT2	SDHAP2	1.053843710210944
CCNT2	SLC7A4	0.9307281833181484
CCNT2	C17orf88	1.0395113188699283
CCNT2	ASPG	1.0307567477609334
CCNT2	ZNF238	1.053843710210944
SMARCB1	TOP2A	0.9307281833181484
SMARCB1	USP8	0.8094592125412281
SMARCB1	KIRREL2	0.816814572551769
SMARCB1	KCNIP1	0.9219736122091531
SMARCB1	OR5K1	0.9219736122091535
