Regulator	Target	MI
ATF1	ELOVL1	0.8131904766573732
ATF1	LYNX1	1.136329961246786
ATF1	OPN3	0.8131904766573732
ATF1	HLA-L	0.9219736122091535
ATF1	TROAP	0.8131904766573732
ATF1	HPCA	0.8131904766573732
ATF1	TMEM61	0.8131904766573732
ATF1	TULP3	1.030756747760933
ATF1	CORO1A	1.030756747760933
ATF1	ALKBH8	0.8734641445321514
ATF1	PSMB7	0.8131904766573732
ATF1	TAF6L	1.0217278604945919
ATF1	TAF1D	1.0217278604945919
ATF1	BOLA3	0.8219450477663686
ATF1	GNRH2	0.8734641445321509
ATF1	SNORA74A	0.8131904766573737
ATF1	AIPL1	0.8131904766573737
ATF1	PGLS	0.9219736122091535
ATF1	ZFPM2	0.8094592125412281
ATF1	HCST	1.030756747760933
ATF1	SLC27A2	0.8131904766573732
FOXA1	LIMCH1	0.8734641445321509
FOXA1	MMGT1	0.7988320775478375
FOXA1	STAT2	0.9219736122091535
FOXA1	SLC35F4	0.9219736122091531
FOXA1	FOS	0.8253132609580933
FOXA1	TRIM6	0.9762280219063699
FOXA1	C17orf76	0.8219450477663686
FOXA1	DDIT3	0.8253132609580933
FOXA1	PARD3	0.90915661475259
FOXA1	PPIF	1.0217278604945919
FOXA1	NFKBIE	1.0217278604945919
FOXA1	SLC24A6	0.9317278849971538
ATF2	MAPKBP1	0.8599513603211224
ATF2	CNTF	0.8734641445321514
ATF2	ZAK	0.9219736122091531
ATF2	AKD1	1.0217278604945919
ATF2	C19orf26	1.1482944544217082
ATF2	PPP2R2A	1.1482944544217082
ATF2	STL	0.9219736122091535
ATF2	ABCA12	0.8191566392551524
ATF2	NUDT5	0.8808708037525519
ATF2	RXFP1	0.9091566147525905
ATF2	GPR173	0.9219736122091531
ATF2	EDNRA	0.8131904766573732
ATF2	WDR92	0.8734641445321509
ATF2	ZNF607	0.8253132609580933
ATF2	NDST4	0.9910018511929266
ATF2	AKT3	0.9205059247947163
ATF2	CDK5RAP1	0.8131904766573732
ATF2	DLEU1	1.3833698677432584
ATF2	DZIP1L	0.8740533198964275
ATF2	SPA17	1.0395113188699283
ATF2	ZNF282	0.9205059247947163
ATF2	YOD1	1.3833698677432584
ATF2	HCFC2	0.9091566147525905
ATF2	HGC6.3	0.9307281833181484
ATF2	SFRP2	0.9910018511929266
ATF2	KRTAP4-12	0.9219736122091531
ATF2	OR8G5	0.9910018511929266
ATF2	TLN1	0.8253132609580933
ATF2	MAGEA9B	0.8808708037525519
ATF2	UBE2J2	1.3833698677432584
ATF2	HIF1A	1.0217278604945919
ATF2	KLK8	0.8131904766573732
ATF2	GIGYF2	1.0217278604945919
ATF2	UGT8	0.8131904766573732
ATF2	C7	1.0395113188699283
ATF2	TERT	1.030756747760933
ATF2	NCRNA00110	0.8131904766573732
ATF2	STK38L	0.8610842211802079
ATF2	HLA-DQA2	0.8042300657070149
ATF2	PRRT2	0.9091566147525905
ATF2	CSPG4PY2	0.8734641445321514
ATF2	SPDYC	1.3833698677432584
ATF2	SLC10A3	0.9910018511929266
ATF2	IL31RA	0.8131904766573732
ATF2	RNASE13	0.8131904766573732
ATF2	SFRS3	1.202548864118925
ATF2	FLI1	1.0217278604945919
ATF2	SETX	1.1482944544217082
ATF2	LOC730101	0.8131904766573732
ATF2	RNF222	1.202548864118925
ATF2	AKR1B10	0.8610842211802079
ATF2	ARTN	1.0395113188699283
ATF2	SNORD115-35	1.0395113188699283
ATF2	LOC572558	0.8131904766573732
ATF2	ZNF259	0.9091566147525905
ATF2	ZNF322B	0.8610842211802079
ATF2	INTS8	1.030756747760933
ATF2	ITPA	0.8734641445321509
ATF2	SPRR1B	0.9219736122091531
ATF2	ROBO3	0.8734641445321509
ATF2	IFNA7	0.8131904766573732
ATF2	ZNF252	0.8253132609580933
ATF2	TINAGL1	0.9320909359215745
ATF2	UBXN1	0.9205059247947163
ATF2	PYROXD1	0.8090961616168082
ATF2	PHF1	0.8610842211802079
ATF2	MAGEF1	0.9219736122091531
ATF2	C21orf62	1.030756747760933
ATF2	EFCAB7	0.9091566147525905
ATF2	FRG2C	0.8131904766573732
ATF2	WDR46	1.1482944544217082
ATF2	ZCWPW1	0.9219736122091531
ATF2	NIPBL	1.030756747760933
ATF2	FAM138D	0.9910018511929266
ATF2	LOC100240726	0.8131904766573732
ATF2	NKRF	0.8253132609580933
ATF2	PCF11	0.9910018511929266
ATF2	C5orf48	0.8131904766573732
ATF2	UBXN7	0.9091566147525905
ATF2	SNORA79	1.030756747760933
ATF2	KIAA1704	1.3833698677432584
ATF2	APPL2	0.8734641445321514
ATF2	FOXD4	0.8734641445321514
ATF2	SHPRH	0.8090961616168082
ATF2	ZNF362	0.9317278849971542
ATF2	CNOT6L	0.9091566147525905
ATF2	ZDHHC16	1.1482944544217082
ATF2	MRPS5	1.089977618376924
ATF2	OR10Z1	0.9320909359215745
ATF2	KIN	0.9091566147525905
ATF2	OBFC2B	1.051275519067704
ATF2	NCOR1	1.0217278604945919
ATF2	POC5	0.8253132609580933
ATF2	BANK1	0.9219736122091531
ATF2	C18orf55	1.1570490255307035
ATF2	CHST4	0.8610842211802079
ATF2	RGR	0.8131904766573732
ATF2	OR3A3	0.8131904766573732
ATF2	IVL	0.9910018511929266
ATF2	LOC100192379	0.8131904766573732
ATF2	DTYMK	0.8734641445321509
ATF2	CXorf1	1.030756747760933
ATF2	LOC339674	1.0395113188699283
ATF2	WRB	0.9910018511929266
ATF2	SLED1	0.9910018511929266
ATF2	ZNF69	0.8131904766573732
ATF2	GLRA3	0.8734641445321514
ATF2	ORMDL2	0.8610842211802079
ATF2	CREG2	0.9205059247947163
ATF2	EXOSC8	1.0217278604945919
ATF2	C6orf127	0.8734641445321509
ATF2	HEATR2	1.0307567477609334
ATF2	C17orf74	0.9219736122091531
ATF2	GABRE	0.8740533198964275
ATF2	ZSWIM5	0.9219736122091531
ATF2	PMS1	1.1482944544217082
ATF2	MPP3	1.2042746676467713
ATF2	CCL22	0.8131904766573732
ATF2	GCGR	0.8253132609580933
ATF2	LOC647309	0.9910018511929266
ATF2	LBX1	0.8131904766573732
ATF2	KAZALD1	0.9219736122091535
ATF2	GUCA2A	0.9219736122091531
ATF2	HILS1	0.9219736122091531
ATF2	MAS1	0.816843194256776
ATF2	FAM200A	0.9091566147525905
ATF2	CAPZA3	0.8131904766573732
ATF2	PCDHB17	0.8734641445321514
ATF2	VMA21	0.9219736122091531
ATF2	GHRL	1.030756747760933
ATF2	EBAG9	1.051275519067704
ATF2	C1orf56	1.1482944544217082
ATF2	FAM25B	0.9910018511929266
ATF2	FAM107A	0.9910018511929266
ATF2	GUCA1A	0.9219736122091531
ATF2	UBP1	1.051275519067704
ATF2	YARS2	0.9205059247947163
ATF2	ERO1L	0.8438651867491789
ATF2	DAOA	0.9219736122091531
ATF2	DOCK10	0.9320909359215745
ATF2	RIMS4	0.9337378124069291
ATF2	ZNF81	0.9091566147525905
ATF2	POGZ	1.053843710210944
ATF2	SACS	0.8219450477663686
ATF2	NUDT17	1.0395113188699283
ATF2	SLC26A11	0.8131904766573732
ATF2	SH2D6	0.9219736122091531
ATF2	PRND	0.9219736122091531
ATF2	ZNF323	1.0217278604945919
ATF2	PUS3	0.8610842211802083
ATF2	CHRNB1	0.8131904766573732
ATF2	ZNF682	0.8253132609580933
ATF2	C1orf186	0.8734641445321509
ATF2	THOC3	1.051275519067704
ATF2	MYT1	0.9738545035508044
ATF2	ATXN2L	0.8253132609580933
ATF2	RAB35	0.9738545035508044
ATF2	ANKRD43	0.9910018511929266
ATF2	CN5H6.4	0.9910018511929266
ATF2	SNRPE	1.051275519067704
ATF2	LMX1B	0.9910018511929266
ATF2	ZNF674	1.0217278604945919
ATF2	C20orf96	1.1570490255307035
ATF2	COX19	1.0217278604945919
ATF2	LOC145783	0.8131904766573732
ATF2	BAGE	0.9219736122091531
ATF2	INO80D	0.8734641445321509
ATF2	C6orf170	0.8173862367496607
ATF2	BRI3	0.8734641445321509
ATF2	C1orf151	0.816843194256776
ATF2	ITPR2	0.9317278849971542
ATF2	NCRNA00086	0.8131904766573732
ATF2	PDS5B	0.8253132609580933
ATF2	RTDR1	1.030756747760933
ATF2	SPATA4	0.8131904766573732
ATF2	C11orf24	0.9219736122091531
ATF2	KRCC1	0.9219736122091531
ATF2	FAM176A	0.8131904766573732
ATF2	CALD1	0.9219736122091535
ATF2	MYH14	0.8734641445321514
ATF2	SMYD1	1.0217278604945919
ATF2	ZC3H18	1.1482944544217082
ATF2	C15orf63	0.9219736122091531
ATF2	KRTAP4-1	0.9219736122091531
ATF2	AMELX	0.9910018511929266
ATF2	SRGAP1	1.1482944544217082
ATF2	ZKSCAN1	0.9219736122091531
ATF2	BPTF	0.8253132609580933
ATF2	SEC16B	0.9417139024144832
ATF2	TMEM132C	0.8438651867491789
ATF2	MGAM	1.202548864118925
ATF2	UBE2H	0.9091566147525905
ATF2	OPN3	0.8610842211802079
ATF2	POU2F1	0.9205059247947163
ATF2	TFAP2D	0.9219736122091531
ATF2	BOD1	0.9091566147525905
ATF2	ORC2L	0.8253132609580933
ATF2	TRAPPC4	0.8610842211802079
ATF2	UBE2A	0.8610842211802079
ATF2	SMAD5	0.8253132609580933
ATF2	MARCH4	0.8131904766573732
ATF2	ABHD15	0.8610842211802079
ATF2	GCLC	0.8740533198964275
ATF2	MAFB	1.1085395578537014
ATF2	IL8	0.8467979627105846
ATF2	CNOT3	1.089977618376924
ATF2	PXMP2	1.0217278604945919
ATF2	PHF15	1.0217278604945919
ATF2	LCN6	0.9910018511929266
ATF2	FGF11	0.9910018511929266
ATF2	MIPEP	0.8131904766573732
ATF2	TRIM71	0.9219736122091531
ATF2	MS4A5	0.9910018511929266
ATF2	PIWIL1	0.8131904766573732
ATF2	USP37	0.9205059247947163
ATF2	PIWIL3	0.9910018511929266
ATF2	PCDHGB5	0.9317278849971542
ATF2	HTR2C	1.0395113188699283
ATF2	PIK3C2A	0.9091566147525905
ATF2	ACSM2B	0.8131904766573732
ATF2	SNORD49A	0.9219736122091535
ATF2	CALB2	0.8131904766573732
ATF2	SNRNP70	1.202548864118925
ATF2	SNAPC4	0.8131904766573732
ATF2	SPEG	0.9091566147525905
ATF2	CNGA3	0.9910018511929266
ATF2	ZNF766	1.202548864118925
ATF2	C9orf64	0.8253132609580933
ATF2	CEP290	1.089977618376924
ATF2	POLH	1.1085395578537014
ATF2	KRT222	0.9219736122091531
ATF2	CFC1B	0.9910018511929266
ATF2	PCDHGA7	0.9317278849971542
ATF2	PPP1R12A	0.8253132609580933
ATF2	PROP1	0.9417139024144832
ATF2	TRNAU1AP	0.8610842211802079
ATF2	SAFB	1.051275519067704
ATF2	ARID1B	1.0217278604945919
ATF2	SENP1	0.8131904766573732
ATF2	PTP4A1	0.9910018511929266
ATF2	DALRD3	0.8610842211802079
ATF2	RABEP2	1.051275519067704
ATF2	TEX13A	0.9910018511929266
ATF2	SMCR7	0.9219736122091531
ATF2	CLRN3	0.8131904766573732
ATF2	SOS2	1.030756747760933
ATF2	CNGB1	0.9219736122091531
ATF2	USP27X	1.3833698677432584
ATF2	TEX101	0.9317278849971542
ATF2	ZBTB44	0.9091566147525905
ATF2	ASB17	0.9219736122091531
ATF2	THSD1	1.0217278604945919
ATF2	MCART1	0.9219736122091531
ATF2	ZNRF1	0.9091566147525905
ATF2	RAB20	0.9205059247947163
ATF2	LOC643486	0.9219736122091531
ATF2	POLR2A	1.089977618376924
ATF2	POLD1	0.8734641445321509
ATF2	D2HGDH	0.8610842211802083
ATF2	CCDC77	0.9555089576224525
ATF2	OPCML	0.9307281833181484
ATF2	ZNF189	0.8253132609580933
ATF2	KCNJ13	0.8610842211802079
ATF2	OPRK1	0.8007046414322327
ATF2	CCK	0.9910018511929266
ATF2	WARS2	0.9091566147525905
ATF2	DPRX	1.089977618376924
ATF2	NEURL4	0.9910018511929266
ATF2	ZNF619	1.0217278604945919
ATF2	MFAP1	1.1482944544217082
ATF2	C4orf29	1.3833698677432589
ATF2	CTH	0.8007046414322327
ATF2	RAB13	0.9091566147525905
ATF2	C4orf27	1.0217278604945919
ATF2	PTPN7	0.8131904766573732
ATF2	RBM43	0.9091566147525905
CCNT2	IPO13	0.8599513603211224
CCNT2	EHF	1.0395113188699283
CCNT2	SNORD121B	1.0307567477609334
CCNT2	RNH1	0.90915661475259
CCNT2	CCNT1	0.8165586898490984
CCNT2	CERK	1.051275519067704
CCNT2	ZWILCH	0.9430771950392796
CCNT2	PTPRVP	0.8599513603211224
CCNT2	PLOD2	0.9910018511929262
CCNT2	TM7SF4	1.0395113188699283
CCNT2	ZDHHC2	1.0395113188699283
CCNT2	VPREB3	0.8734641445321514
CCNT2	ZNF81	1.030756747760933
CCNT2	ZNF607	0.90915661475259
CCNT2	PALM	0.9219736122091535
CCNT2	BBX	0.9219736122091535
CCNT2	ROPN1L	1.0395113188699283
CCNT2	FAM3C	0.9219736122091535
CCNT2	C12orf65	1.030756747760933
CCNT2	EYS	1.1482944544217082
CCNT2	SRRM3	0.8165586898490984
CCNT2	AQR	0.9219736122091531
CCNT2	SNORA59B	0.8734641445321509
CCNT2	COG6	0.9219736122091531
CCNT2	SLC30A3	0.8599513603211224
CCNT2	IFNA16	0.8599513603211224
CCNT2	FST	0.8131904766573732
CCNT2	ARID5A	0.8101786141578553
CCNT2	DIO3	1.0395113188699283
CCNT2	THOC3	0.9219736122091531
CCNT2	ACYP1	0.8734641445321509
CCNT2	UNC93A	0.8599513603211224
CCNT2	RNASE1	0.9219736122091531
CCNT2	SNORA2B	0.8734641445321509
CCNT2	SOX10	0.8131904766573737
CCNT2	GBGT1	0.8131904766573732
