Regulator	Target	MI
ATF1	SPRED2	0.8734641445321514
ATF1	TAF6L	1.0217278604945919
ATF1	TMEM132C	0.94307719503928
ATF1	PRDX5	0.7988320775478375
ATF1	TOR2A	0.8703171519179906
ATF1	SPPL2B	0.9198896616191785
ATF1	C19orf38	0.9219736122091535
ATF1	CNGA4	0.9219736122091535
ATF1	QRICH2	0.8007046414322327
ATF1	GTF2E2	0.9555089576224525
ATF1	CCNJL	0.8364021184955179
FOXA1	ABCD4	0.9307281833181484
FOXA1	KLHL18	1.053843710210944
FOXA1	CSRNP2	0.8253132609580933
FOXA1	TMEM41B	0.8131904766573732
FOXA1	LOC652276	1.0172231221198516
FOXA1	C21orf63	0.9430771950392796
FOXA1	RPL8	0.9219736122091531
FOXA1	DCAF7	0.9307281833181484
FOXA1	PRICKLE4	0.8090961616168078
FOXA1	SEC61A2	0.8090961616168078
FOXA1	SMPD3	0.9307281833181484
FOXA1	ATXN7	0.9307281833181484
FOXA1	FNTB	0.8090961616168078
FOXA1	FAM65A	0.8734641445321509
FOXA1	VPS36	0.8131904766573732
FOXA1	PAK4	0.816843194256776
FOXA1	SUPT16H	0.8131904766573732
FOXA1	SMURF1	0.816843194256776
FOXA1	TRAPPC10	0.8734641445321514
FOXA1	MAMDC2	0.7984690266234171
FOXA1	CHCHD10	0.9219736122091531
FOXA1	NMBR	0.9219736122091535
FOXA1	MTOR	0.9307281833181484
FOXA1	LOC646762	0.816843194256776
FOXA1	MC1R	0.8090961616168078
FOXA1	ADCK2	1.0395113188699283
FOXA1	CTDSP2	0.816843194256776
FOXA1	DUSP5P	1.030756747760933
ATF2	SLC23A3	1.030756747760933
ATF2	BRD2	1.0217278604945919
ATF2	RBM28	1.0217278604945919
ATF2	ACBD5	1.0217278604945919
ATF2	ZNF284	1.0353133253669036
ATF2	LOC100130093	0.8219450477663686
ATF2	COG3	1.0217278604945919
ATF2	LOC653113	0.9219736122091531
ATF2	SNX24	0.8131904766573737
ATF2	ZNF32	0.9910018511929262
ATF2	KIAA1310	0.816843194256776
ATF2	TRMT2B	0.9219736122091535
ATF2	GIGYF2	1.0353133253669036
ATF2	GTF2E2	0.8165586898490984
ATF2	RAPGEFL1	1.0217278604945919
ATF2	CCAR1	1.0353133253669036
ATF2	PRDX3	0.8734641445321509
ATF2	C2orf57	1.0217278604945919
ATF2	TMEM114	1.030756747760933
ATF2	CLPTM1	0.9219736122091535
ATF2	SNORD31	1.0217278604945919
ATF2	FAM3C	1.0217278604945919
ATF2	CBR4	1.0217278604945919
ATF2	NKTR	1.0217278604945919
CCNT2	ITSN2	1.0217278604945919
CCNT2	SETD4	1.0353133253669036
CCNT2	CERK	1.0217278604945919
CCNT2	TTLL10	1.053843710210944
CCNT2	SMEK2	1.0217278604945919
CCNT2	FRY	1.053843710210944
CCNT2	GPR89B	1.053843710210944
CCNT2	SEPT8	1.0217278604945919
CCNT2	SYDE1	1.051275519067704
CCNT2	NKRF	0.8094592125412281
CCNT2	MED10	1.053843710210944
CCNT2	ZNF642	1.053843710210944
CCNT2	BRD2	1.0353133253669036
CCNT2	SCARA3	1.0217278604945919
CCNT2	A2LD1	0.8734641445321509
CCNT2	ZNF284	1.0217278604945919
CCNT2	RIPK2	1.3833698677432584
CCNT2	ARID5A	1.0353133253669036
CCNT2	DYRK1A	1.0353133253669036
CCNT2	PRPF40A	1.053843710210944
CCNT2	UTF1	1.3833698677432584
CCNT2	UTP18	1.053843710210944
CCNT2	RSBN1	1.053843710210944
CCNT2	THOC6	1.053843710210944
CCNT2	TOX4	0.8734641445321514
CCNT2	LATS2	1.0353133253669036
CCNT2	AEBP2	1.0353133253669036
CCNT2	KIAA2026	1.0353133253669036
CCNT2	CDC37	1.053843710210944
CCNT2	C10orf137	1.053843710210944
CCNT2	C14orf2	1.053843710210944
CCNT2	TTLL11	0.8599513603211224
CCNT2	ZNF780A	1.053843710210944
CCNT2	ZNF599	1.053843710210944
CCNT2	DEPDC4	1.0395113188699283
CCNT2	SOS2	1.0353133253669036
CCNT2	ZNF433	1.0217278604945919
CCNT2	CSNK1G2	0.816843194256776
CCNT2	SLC27A5	0.9219736122091535
CCNT2	MCPH1	1.053843710210944
CCNT2	BEX4	0.816843194256776
CCNT2	BAT2	1.053843710210944
CCNT2	USP27X	1.053843710210944
CCNT2	LOC100130093	0.9307281833181484
CCNT2	FOXK2	0.801532188332795
CCNT2	RNF7	1.053843710210944
CCNT2	THY1	0.9219736122091535
CCNT2	ZNF25	1.053843710210944
CCNT2	SRM	0.8734641445321514
CCNT2	CCDC144C	0.8101786141578553
CCNT2	FAM160B1	1.053843710210944
CCNT2	KIAA1328	1.0353133253669036
CCNT2	POLD1	0.8734641445321514
CCNT2	REXO1L1	1.053843710210944
CCNT2	FLRT1	0.8131904766573732
CCNT2	HIVEP1	1.0217278604945919
CCNT2	BAK1	0.9219736122091531
CCNT2	CCDC77	1.053843710210944
CCNT2	FLJ22536	0.816843194256776
CCNT2	NKTR	1.0353133253669036
CCNT2	MGAM	1.0353133253669036
CCNT2	ZNF263	1.053843710210944
CCNT2	MLL4	0.8253132609580933
CCNT2	TOR1A	1.053843710210944
CCNT2	LRBA	0.8173862367496607
CCNT2	LOC653113	1.1482944544217084
CCNT2	ARID3A	1.0353133253669036
CCNT2	CDC7	1.0217278604945919
CCNT2	KLHL23	0.8734641445321514
CCNT2	FAM128B	1.0307567477609334
CCNT2	CTCFL	1.0217278604945919
CCNT2	RCAN1	1.053843710210944
CCNT2	RSL1D1	1.0353133253669036
CCNT2	TMEM114	1.0395113188699283
CCNT2	TTLL4	0.8734641445321514
CCNT2	GNPDA2	1.053843710210944
CCNT2	SP2	1.0217278604945919
CCNT2	ERCC5	1.3833698677432584
CCNT2	ZNF259	1.053843710210944
CCNT2	C6orf176	1.053843710210944
CCNT2	TAF2	1.053843710210944
CCNT2	ATR	1.053843710210944
SMARCB1	ZNF287	0.9205059247947163
SMARCB1	ZNF174	0.8438651867491789
SMARCB1	MACC1	0.9219736122091531
SMARCB1	NMNAT3	0.9091566147525905
SMARCB1	MANEA	0.8131904766573737
SMARCB1	IL17RB	0.9205059247947163
SMARCB1	CREB3	0.9091566147525905
SMARCB1	DHX57	0.9205059247947163
SMARCB1	NBR1	0.9219736122091535
SMARCB1	CKS2	0.8131904766573732
SMARCB1	DNMT3B	0.8165586898490984
SMARCB1	TIMELESS	0.8131904766573737
SMARCB1	GPR128	1.0217278604945919
SPI1	LOC400752	1.053843710210944
SPI1	OR2M7	1.053843710210944
SPI1	PWWP2B	1.0353133253669036
SPI1	LOC284578	1.0353133253669036
SPI1	SPINT4	1.0353133253669036
SPI1	FLJ12825	1.3833698677432584
SPI1	OR4K17	1.0217278604945919
SPI1	OR4Q3	1.0217278604945919
SPI1	MIMT1	1.0217278604945919
SPI1	DKFZP686I15217	1.3833698677432584
SPI1	NDST4	1.053843710210944
SPI1	PWWP2A	1.053843710210944
SPI1	SNORA1	1.0353133253669036
SPI1	FAM19A5	1.053843710210944
SPI1	CXADR	1.0353133253669036
SPI1	FLJ45983	1.3833698677432584
SPI1	HDGFRP2	1.0353133253669036
SPI1	ISL1	1.0353133253669036
SPI1	RNASE1	1.053843710210944
SPI1	AAA1	1.3833698677432584
SPI1	FAM133A	1.0217278604945919
SPI1	SLC5A9	1.0353133253669036
SPI1	CLDN8	1.0353133253669036
SPI1	TTYH3	1.0217278604945919
SPI1	TTYH2	1.3833698677432584
SPI1	DAZ4	1.0353133253669036
SPI1	TPRG1L	1.3833698677432584
SPI1	DAZ2	1.0353133253669036
SPI1	LOC731779	1.3833698677432584
SPI1	ADAM5P	1.0217278604945919
SPI1	TEX28	1.0217278604945919
SPI1	OR6S1	1.0217278604945919
SPI1	C3	1.0353133253669036
SPI1	LOC729467	1.3833698677432584
SPI1	NCRNA00110	1.0353133253669036
SPI1	KCNQ1OT1	1.3833698677432584
SPI1	NCRNA00113	1.0353133253669036
SPI1	NCRNA00112	1.3833698677432584
SPI1	SCGB1D4	1.0353133253669036
SPI1	LOC146481	1.3833698677432584
SPI1	LOC100132354	1.0353133253669036
SPI1	NCRNA00119	1.053843710210944
SPI1	GLYATL1	1.0217278604945919
SPI1	BTBD17	1.3833698677432584
SPI1	TIPARP	1.3833698677432584
SPI1	IL31RA	1.0353133253669036
SPI1	OR2J2	1.0217278604945919
SPI1	LOC285692	1.0217278604945919
SPI1	CS	1.0353133253669036
SPI1	FAM135B	1.053843710210944
SPI1	TDP2	1.3833698677432584
SPI1	OR10C1	1.0217278604945919
SPI1	SNORA46	1.0353133253669036
SPI1	HRG	1.0353133253669036
SPI1	SNORA41	1.3833698677432584
SPI1	SNORA42	1.3833698677432584
SPI1	OR10J1	1.3833698677432584
SPI1	SFTA2	1.0217278604945919
SPI1	LOC285629	1.0217278604945919
SPI1	GPR26	1.0353133253669036
SPI1	LOC440173	1.3833698677432584
SPI1	WFIKKN2	1.0353133253669036
SPI1	CSDAP1	1.3833698677432584
SPI1	EFCAB3	1.053843710210944
SPI1	SNAR-E	1.0353133253669036
SPI1	SNAR-F	1.3833698677432584
SPI1	FRG2B	1.0217278604945919
SPI1	HOXC13	1.0353133253669036
SPI1	LRRC31	1.0353133253669036
SPI1	SNAR-D	1.0353133253669036
SPI1	GPRC6A	1.0353133253669036
SPI1	TSPO	1.0217278604945919
SPI1	POM121L1P	1.3833698677432584
SPI1	DIO3OS	1.0217278604945919
SPI1	C13orf30	1.053843710210944
SPI1	MYOC	1.0353133253669036
SPI1	RBMY1J	1.0353133253669036
SPI1	C20orf191	1.053843710210944
SPI1	TEX15	1.0217278604945919
SPI1	TEX19	1.3833698677432584
SPI1	MRPL53	1.0217278604945919
SPI1	OR6X1	1.0217278604945919
SPI1	PLSCR5	1.0353133253669036
SPI1	OR52A4	1.3833698677432584
SPI1	PTRH1	1.3833698677432584
SPI1	SNORA66	1.3833698677432584
SPI1	SNORA63	1.0353133253669036
